* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 24 3:55:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: polaris uddd r
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	48.441	-64.7857
1.015000	48.214	-65.3730
1.030000	47.976	-66.0667
1.044000	47.744	-66.8214
1.060000	47.469	-67.7863
1.075000	47.201	-68.7666
1.090000	46.925	-69.7969
1.106000	46.622	-70.9254
1.120000	46.349	-71.9166
1.138000	45.991	-73.1649
1.150000	45.747	-73.9630
1.172000	45.291	-75.3118
1.180000	45.123	-75.7542
1.206000	44.568	-76.9592
1.220000	44.265	-77.4305
1.241000	43.807	-77.8537
1.250000	43.610	-77.9176
1.265000	43.280	-77.8491
1.280000	42.949	-77.5423
1.315000	42.178	-75.7714
1.320000	42.069	-75.3855
1.340000	41.632	-73.4758
1.360000	41.182	-70.8804
1.380000	40.672	-67.4538
1.400000	40.112	-63.2868
1.430000	39.203	-55.8730
1.450000	38.569	-50.3050
1.475000	37.767	-42.8224
1.500000	36.975	-34.9465
1.525000	36.217	-26.8783
1.550000	35.517	-18.8190
1.575000	34.899	-10.9693
1.600000	34.385	-3.5305
1.625000	34.000	3.2967
1.650000	33.767	9.3111
1.675000	33.709	14.3118
1.700000	33.854	18.2919
1.725000	34.209	21.7148
1.750000	34.747	24.6511
1.775000	35.436	27.1423
1.800000	36.249	29.2297
1.825000	37.156	30.9547
1.850000	38.127	32.3588
1.875000	39.133	33.4832
1.900000	40.144	34.3695
1.925000	41.132	35.0589
1.950000	42.066	35.5929
1.975000	42.918	36.0129
2.000000	43.658	36.3603
2.030000	44.368	36.7022
2.060000	44.974	36.6442
2.090000	45.514	36.1532
2.120000	45.995	35.2990
2.140000	46.289	34.5624
2.180000	46.822	32.7813
2.200000	47.066	31.7783
2.240000	47.525	29.6511
2.270000	47.853	28.0312
2.300000	48.178	26.4682
2.330000	48.507	25.0319
2.360000	48.851	23.7886
2.400000	49.297	22.1979
2.430000	49.611	20.9687
2.470000	50.008	19.3015
2.500000	50.292	18.0438
2.540000	50.656	16.3772
2.580000	51.009	14.7455
2.620000	51.358	13.1738
2.650000	51.619	12.0497
2.690000	51.972	10.6437
2.720000	52.238	9.6436
