* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.300
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 7, 24 6:59:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: pr3 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	82.989	-102.9066
1.015000	83.255	-103.4014
1.030000	83.516	-103.8945
1.044000	83.756	-104.3574
1.060000	84.025	-104.8944
1.075000	84.273	-105.4105
1.090000	84.516	-105.9434
1.106000	84.771	-106.5299
1.120000	84.992	-107.0288
1.138000	85.275	-107.6430
1.150000	85.462	-108.0363
1.172000	85.803	-108.7262
1.180000	85.926	-108.9676
1.206000	86.320	-109.7204
1.220000	86.528	-110.1071
1.241000	86.835	-110.6652
1.250000	86.964	-110.8970
1.265000	87.176	-111.2746
1.280000	87.383	-111.6421
1.315000	87.848	-112.4670
1.320000	87.912	-112.5817
1.340000	88.161	-113.0348
1.360000	88.399	-113.4805
1.380000	88.625	-113.9214
1.400000	88.838	-114.3605
1.430000	89.132	-115.0216
1.450000	89.309	-115.4680
1.475000	89.508	-116.0346
1.500000	89.674	-116.5888
1.525000	89.811	-117.1264
1.550000	89.922	-117.6489
1.575000	90.010	-118.1580
1.600000	90.079	-118.6553
1.625000	90.131	-119.1424
1.650000	90.172	-119.6209
1.675000	90.203	-120.0924
1.700000	90.230	-120.5585
1.725000	90.255	-121.0208
1.750000	90.281	-121.4809
1.775000	90.313	-121.9404
1.800000	90.354	-122.4011
1.825000	90.407	-122.8643
1.850000	90.470	-123.3289
1.875000	90.534	-123.7888
1.900000	90.598	-124.2441
1.925000	90.661	-124.6954
1.950000	90.724	-125.1430
1.975000	90.786	-125.5874
2.000000	90.848	-126.0289
2.030000	90.921	-126.5555
2.060000	90.994	-127.0794
2.090000	91.066	-127.6013
2.120000	91.136	-128.1220
2.140000	91.183	-128.4687
2.180000	91.274	-129.1623
2.200000	91.319	-129.5096
2.240000	91.408	-130.2018
2.270000	91.473	-130.7180
2.300000	91.538	-131.2319
2.330000	91.602	-131.7441
2.360000	91.664	-132.2547
2.400000	91.746	-132.9337
2.430000	91.806	-133.4420
2.470000	91.885	-134.1192
2.500000	91.943	-134.6271
2.540000	92.018	-135.3048
2.580000	92.091	-135.9839
2.620000	92.162	-136.6646
2.650000	92.214	-137.1758
2.690000	92.282	-137.8574
2.720000	92.332	-138.3683
2.760000	92.396	-139.0483
2.800000	92.459	-139.7262
2.850000	92.533	-140.5693
2.900000	92.604	-141.4062
2.950000	92.670	-142.2359
3.000000	92.732	-143.0632
3.040000	92.779	-143.7231
3.070000	92.812	-144.2162
3.110000	92.855	-144.8705
3.150000	92.896	-145.5202
3.200000	92.943	-146.3245
3.250000	92.987	-147.1183
3.300000	93.028	-147.8997
3.350000	93.065	-148.6717
3.400000	93.099	-149.4366
3.450000	93.129	-150.1924
3.500000	93.156	-150.9377
3.550000	93.179	-151.6707
3.600000	93.200	-152.3898
3.650000	93.219	-153.0932
3.700000	93.234	-153.7819
3.750000	93.246	-154.4596
3.820000	93.257	-155.3872
3.870000	93.262	-156.0322
3.950000	93.265	-157.0289
4.000000	93.265	-157.6271
4.060000	93.262	-158.3182
4.120000	93.255	-158.9848
4.180000	93.245	-159.6266
4.250000	93.230	-160.3416
4.310000	93.215	-160.9239
4.370000	93.200	-161.4763
4.440000	93.180	-162.0813
4.500000	93.161	-162.5668
4.550000	93.144	-162.9490
4.620000	93.119	-163.4512
4.680000	93.098	-163.8526
4.750000	93.076	-164.2886
4.820000	93.055	-164.6864
4.870000	93.040	-164.9443
4.940000	93.020	-165.2738
5.000000	93.005	-165.5322
5.080000	92.988	-165.8502
5.150000	92.977	-166.1099
5.220000	92.970	-166.3379
5.300000	92.966	-166.5649
5.380000	92.966	-166.7723
5.450000	92.969	-166.9509
5.520000	92.977	-167.1362
5.600000	92.992	-167.3370
5.700000	93.016	-167.5796
5.800000	93.047	-167.8366
5.900000	93.081	-168.1299
6.000000	93.121	-168.4473
6.080000	93.156	-168.7191
6.150000	93.188	-168.9736
6.220000	93.218	-169.2464
6.300000	93.253	-169.5831
6.400000	93.298	-170.0374
6.500000	93.341	-170.5212
6.600000	93.380	-171.0262
6.700000	93.414	-171.5596
6.800000	93.446	-172.1188
6.900000	93.473	-172.6882
7.000000	93.495	-173.2555
7.100000	93.511	-173.8328
7.200000	93.524	-174.4117
7.300000	93.531	-174.9775
7.400000	93.535	-175.5234
7.500000	93.534	-176.0579
7.620000	93.528	-176.6768
7.750000	93.520	-177.3089
7.880000	93.507	-177.9027
8.000000	93.494	-178.4215
8.120000	93.482	-178.9131
8.250000	93.467	-179.4100
8.380000	93.454	-179.8867
8.500000	93.443	179.6801
8.620000	93.434	179.2599
8.750000	93.425	178.8089
8.850000	93.417	178.4582
9.000000	93.405	177.9307
9.120000	93.394	177.5092
9.250000	93.380	177.0518
9.380000	93.364	176.5933
9.500000	93.348	176.1785
9.620000	93.328	175.7756
9.750000	93.305	175.3493
9.880000	93.275	174.9403
10.000000	93.238	174.5782
10.150000	93.182	174.1474
10.300000	93.124	173.7579
10.440000	93.066	173.4354
10.600000	92.999	173.1026
10.750000	92.940	172.8295
10.900000	92.882	172.5819
11.060000	92.826	172.2829
11.200000	92.781	171.9908
11.380000	92.722	171.6174
11.500000	92.681	171.3756
11.720000	92.603	170.9501
11.800000	92.573	170.8051
12.060000	92.471	170.3660
12.200000	92.415	170.1510
12.410000	92.335	169.8647
12.500000	92.308	169.7690
12.650000	92.271	169.6516
12.800000	92.242	169.5463
13.150000	92.208	169.2673
13.200000	92.206	169.2108
13.400000	92.207	168.9379
13.600000	92.207	168.5813
13.800000	92.204	168.1344
14.000000	92.198	167.6005
14.300000	92.162	166.6718
14.500000	92.118	166.0598
14.750000	92.048	165.3842
15.000000	91.966	164.8361
15.250000	91.890	164.3799
15.500000	91.827	163.9973
15.750000	91.779	163.6524
16.000000	91.745	163.2493
16.250000	91.717	162.7506
16.500000	91.687	162.1706
16.750000	91.643	161.5668
17.000000	91.587	160.9914
17.250000	91.524	160.4683
17.500000	91.460	160.0270
17.750000	91.403	159.6423
18.000000	91.350	159.2686
18.250000	91.302	158.8497
18.500000	91.245	158.4075
18.750000	91.174	158.0001
19.000000	91.087	157.6829
19.250000	90.990	157.5574
19.500000	90.903	157.6550
19.750000	90.839	157.9841
20.000000	90.822	158.4206
20.299999	90.864	158.8377
20.600000	90.957	158.9265
20.900000	91.064	158.5502
21.200001	91.140	157.7206
21.400000	91.158	157.0360
21.799999	91.110	155.6298
22.000000	91.052	155.0346
22.400000	90.902	154.2159
22.700001	90.790	153.9199
23.000000	90.698	153.7702
23.299999	90.623	153.6322
23.600000	90.555	153.4759
24.000000	90.464	153.2699
24.299999	90.396	153.1761
24.700001	90.322	153.1653
25.000000	90.291	153.1752
25.400000	90.281	153.0461
25.799999	90.283	152.6453
26.200001	90.267	152.0024
26.500000	90.235	151.4547
26.900000	90.169	150.7623
27.200001	90.110	150.3070
27.600000	90.026	149.7886
28.000000	89.939	149.3648
28.500000	89.833	148.9742
29.000000	89.740	148.7490
29.500000	89.672	148.5709
30.000000	89.616	148.3230
30.400000	89.564	148.0795
30.700001	89.518	147.9227
31.100000	89.455	147.7856
31.500000	89.397	147.7078
32.000000	89.339	147.6079
32.500000	89.282	147.4297
33.000000	89.217	147.2237
33.500000	89.150	147.0209
34.000000	89.086	146.7612
34.500000	89.013	146.3813
35.000000	88.915	145.9880
35.500000	88.802	145.7365
36.000000	88.703	145.6376
36.500000	88.628	145.5380
37.000000	88.562	145.3525
37.500000	88.492	145.1514
38.200001	88.414	144.9522
38.700001	88.381	144.7118
39.500000	88.302	143.9879
40.000000	88.210	143.6087
40.599998	88.095	143.4663
41.200001	88.012	143.4691
41.799999	87.943	143.4009
42.500000	87.854	143.3666
43.099998	87.803	143.4063
43.700001	87.769	143.2289
44.400002	87.691	142.7579
45.000000	87.584	142.5262
45.500000	87.509	142.5275
46.200001	87.451	142.4465
46.799999	87.398	142.0748
47.500000	87.284	141.6366
48.200001	87.164	141.5516
48.700001	87.109	141.5593
49.400002	87.046	141.3440
50.000000	86.960	141.1270
50.799999	86.853	141.2443
51.500000	86.827	141.2392
52.200001	86.767	140.7910
53.000000	86.616	140.7248
53.799999	86.563	141.1426
54.500000	86.557	140.9181
55.200001	86.477	140.6061
56.000000	86.401	140.6381
57.000000	86.295	140.2121
58.000000	86.122	140.7870
59.000000	86.183	141.0127
60.000000	86.042	139.8544
60.799999	85.827	140.0737
61.500000	85.748	140.6458
62.200001	85.735	140.8251
63.000000	85.726	140.4024
64.000000	85.575	139.3768
65.000000	85.405	139.6238
66.000000	85.434	138.9084
67.000000	85.080	138.0562
68.000000	85.023	141.0486
69.000000	85.419	139.9869
70.000000	85.025	138.2020
71.000000	84.865	141.4622
72.000000	85.177	141.5744
73.000000	85.084	140.5346
74.000000	84.957	140.4949
75.000000	84.788	140.5587
76.199997	84.683	141.1056
77.500000	84.562	141.4470
78.800003	84.575	141.0701
80.000000	84.319	140.7128
81.199997	84.306	141.5280
82.500000	84.273	140.6388
83.800003	84.143	140.4750
85.000000	84.113	140.4190
86.199997	84.045	140.0023
87.500000	83.909	140.0526
88.500000	83.830	140.4818
90.000000	83.768	140.4147
91.199997	83.613	140.5697
92.500000	83.546	140.5730
93.800003	83.405	140.8146
95.000000	83.427	141.1005
96.199997	83.372	140.7568
97.500000	83.292	141.3388
98.800003	83.315	141.4061
100.000000	83.187	141.2727
101.500000	83.109	141.9399
103.000000	83.021	141.7585
104.400002	82.951	142.0623
106.000000	82.868	141.8387
107.500000	82.749	141.9561
109.000000	82.706	142.5001
110.599998	82.600	142.1829
112.000000	82.575	142.3786
113.800003	82.436	142.4661
115.000000	82.415	142.4200
117.199997	82.290	142.5385
118.000000	82.237	142.7725
120.599998	82.027	143.2524
122.000000	82.064	143.1377
124.099998	81.940	143.7835
125.000000	81.934	143.7487
126.500000	81.916	143.6847
128.000000	81.828	143.8362
131.500000	81.665	144.3052
132.000000	81.665	144.5616
134.000000	81.573	144.9233
136.000000	81.586	144.9955
138.000000	81.520	145.1038
140.000000	81.456	145.6083
143.000000	81.375	145.7686
145.000000	81.291	146.1180
147.500000	81.229	146.2693
150.000000	81.151	146.5497
152.500000	81.071	146.8828
155.000000	80.995	147.1777
157.500000	80.919	147.3232
160.000000	80.874	147.6829
162.500000	80.779	148.0177
165.000000	80.710	148.3060
167.500000	80.630	148.5754
170.000000	80.544	148.8862
172.500000	80.475	149.1982
175.000000	80.414	149.5314
177.500000	80.315	149.8896
180.000000	80.223	150.2440
182.500000	80.181	150.5336
185.000000	80.101	150.9148
187.500000	80.034	151.1208
190.000000	79.987	151.5273
192.500000	79.921	151.9908
195.000000	79.859	152.3036
197.500000	79.833	152.4561
200.000000	79.751	152.7697
203.000000	79.684	153.0943
206.000000	79.650	153.4120
209.000000	79.585	153.7130
212.000000	79.536	154.0990
214.000000	79.510	154.3643
218.000000	79.447	155.0108
220.000000	79.420	155.1815
224.000000	79.336	155.7189
227.000000	79.310	156.1629
230.000000	79.292	156.4540
233.000000	79.259	156.9843
236.000000	79.226	157.4165
240.000000	79.174	157.8055
243.000000	79.176	158.1520
247.000000	79.174	158.7556
250.000000	79.179	159.0181
254.000000	79.120	159.2157
258.000000	79.080	159.4304
262.000000	79.035	159.7819
265.000000	79.009	159.8611
269.000000	78.945	160.1949
272.000000	78.921	160.4454
276.000000	78.849	160.8045
280.000000	78.816	161.1455
285.000000	78.752	161.6917
290.000000	78.699	162.1200
295.000000	78.634	162.6519
300.000000	78.609	163.0341
304.000000	78.568	163.4313
307.000000	78.542	163.7099
311.000000	78.515	164.0811
315.000000	78.477	164.5000
320.000000	78.441	164.9415
325.000000	78.390	165.3901
330.000000	78.370	165.7864
335.000000	78.323	166.3081
340.000000	78.304	166.6989
345.000000	78.241	167.2178
350.000000	78.215	167.4655
355.000000	78.213	168.0777
360.000000	78.128	168.2460
365.000000	78.147	168.8534
370.000000	78.134	169.3508
375.000000	78.091	169.6690
382.000000	78.036	170.3642
387.000000	78.033	170.7276
395.000000	77.992	171.4109
400.000000	77.951	171.7415
406.000000	77.923	172.3373
412.000000	77.920	172.7072
418.000000	77.898	173.2306
425.000000	77.868	173.8626
431.000000	77.837	174.3186
437.000000	77.829	174.8255
444.000000	77.780	175.3074
450.000000	77.760	175.8536
455.000000	77.756	176.2646
462.000000	77.720	176.7945
468.000000	77.719	177.2857
475.000000	77.696	177.7622
482.000000	77.680	178.2847
487.000000	77.683	178.6626
494.000000	77.659	179.2227
500.000000	77.645	179.6767
508.000000	77.637	-179.7219
515.000000	77.635	-179.1610
522.000000	77.624	-178.7124
530.000000	77.615	-178.0871
538.000000	77.615	-177.4835
545.000000	77.604	-176.9527
552.000000	77.589	-176.4939
560.000000	77.599	-175.8968
570.000000	77.585	-175.2057
580.000000	77.581	-174.4382
590.000000	77.570	-173.7083
600.000000	77.549	-173.0194
608.000000	77.562	-172.4447
615.000000	77.563	-171.9074
622.000000	77.568	-171.4638
630.000000	77.566	-170.8322
640.000000	77.575	-170.1423
650.000000	77.580	-169.4239
660.000000	77.593	-168.7751
670.000000	77.607	-168.0302
680.000000	77.623	-167.3712
690.000000	77.632	-166.6646
700.000000	77.653	-165.9234
710.000000	77.660	-165.2137
720.000000	77.665	-164.5735
730.000000	77.703	-163.7800
740.000000	77.728	-163.0294
750.000000	77.747	-162.2661
762.000000	77.780	-161.3517
775.000000	77.820	-160.4552
788.000000	77.864	-159.6294
800.000000	77.912	-158.6725
812.000000	77.970	-157.8909
825.000000	78.017	-157.0422
838.000000	78.077	-156.0984
850.000000	78.128	-155.3054
862.000000	78.191	-154.4859
875.000000	78.254	-153.6191
885.000000	78.323	-152.9619
900.000000	78.409	-151.9775
912.000000	78.478	-151.2582
925.000000	78.555	-150.4691
938.000000	78.653	-149.6571
950.000000	78.737	-148.9394
962.000000	78.846	-148.3201
975.000000	78.923	-147.5418
988.000000	79.026	-146.8715
1000.000000	79.125	-146.3300
1015.000000	79.261	-145.6116
1030.000000	79.380	-144.9528
1044.000000	79.503	-144.4204
1060.000000	79.638	-143.7481
1075.000000	79.763	-143.2537
1090.000000	79.890	-142.7247
1106.000000	80.022	-142.2080
1120.000000	80.140	-141.8098
1138.000000	80.292	-141.2565
1150.000000	80.390	-140.9616
1172.000000	80.577	-140.4745
1180.000000	80.628	-140.2014
1206.000000	80.839	-139.6883
1220.000000	80.931	-139.4445
1241.000000	81.093	-139.1696
1250.000000	81.168	-138.8722
1265.000000	81.281	-138.6415
1280.000000	81.396	-138.3528
1315.000000	81.657	-137.8239
1320.000000	81.701	-137.6943
1340.000000	81.851	-137.4380
1360.000000	82.005	-137.1187
1380.000000	82.145	-136.8503
1400.000000	82.294	-136.5152
1430.000000	82.526	-136.1622
1450.000000	82.693	-135.9246
1475.000000	82.885	-135.5800
1500.000000	83.096	-135.3162
1525.000000	83.316	-135.1249
1550.000000	83.534	-134.9623
1575.000000	83.769	-134.8878
1600.000000	84.021	-134.9815
1625.000000	84.273	-135.2303
1650.000000	84.527	-135.7707
1675.000000	84.767	-136.6077
1700.000000	84.969	-137.8858
1725.000000	85.102	-139.4509
1750.000000	85.116	-140.9908
1775.000000	85.030	-142.1248
1800.000000	84.905	-142.5469
1825.000000	84.802	-142.3640
1850.000000	84.723	-141.7814
1875.000000	84.681	-140.9342
1900.000000	84.698	-139.7996
1925.000000	84.775	-138.6237
1950.000000	84.911	-137.4592
1975.000000	85.073	-136.5116
2000.000000	85.257	-135.7569
2030.000000	85.501	-134.9876
2060.000000	85.761	-134.2369
2090.000000	86.065	-133.6191
2120.000000	86.420	-133.2000
2140.000000	86.671	-133.2875
2180.000000	87.138	-134.0241
2200.000000	87.346	-134.5727
2240.000000	87.709	-135.7946
2270.000000	87.950	-136.8290
2300.000000	88.169	-137.8541
2330.000000	88.364	-138.9255
2360.000000	88.551	-140.0354
2400.000000	88.767	-141.4193
2430.000000	88.938	-142.4240
2470.000000	89.152	-143.8508
2500.000000	89.324	-145.0691
2540.000000	89.527	-146.9368
2580.000000	89.682	-148.9964
2620.000000	89.775	-151.0360
2650.000000	89.813	-152.3979
2690.000000	89.857	-154.0471
2720.000000	89.890	-155.1836
2760.000000	89.933	-156.6916
2800.000000	89.969	-158.2990
2850.000000	89.994	-160.3042
2900.000000	89.982	-162.3458
2950.000000	89.924	-164.3873
3000.000000	89.855	-166.3373
3040.000000	89.794	-167.8887
3070.000000	89.724	-169.2292
3110.000000	89.584	-171.0892
3150.000000	89.354	-173.0499
3200.000000	88.858	-174.8432
3250.000000	88.302	-174.4235
3300.000000	87.997	-172.7023
3350.000000	87.888	-171.5536
3400.000000	87.808	-171.0322
3450.000000	87.706	-170.8170
3500.000000	87.530	-170.5669
3550.000000	87.348	-169.4694
3600.000000	87.313	-168.0261
3650.000000	87.361	-167.0761
3700.000000	87.427	-166.5417
3750.000000	87.488	-166.1965
3820.000000	87.577	-166.0024
3870.000000	87.652	-166.0529
3950.000000	87.763	-166.4943
4000.000000	87.807	-166.9213
4060.000000	87.887	-167.3865
4120.000000	88.021	-168.1100
4180.000000	88.181	-169.5688
4250.000000	88.307	-172.5075
4310.000000	88.240	-176.1290
4370.000000	87.859	179.6817
4440.000000	86.858	176.5029
4500.000000	85.859	177.8111
4550.000000	85.287	-178.9167
4620.000000	84.945	-173.8206
4680.000000	84.894	-170.1565
4750.000000	84.991	-166.6764
4820.000000	85.221	-163.9320
4870.000000	85.442	-162.7508
4940.000000	85.729	-161.8466
5000.000000	85.938	-161.5494
5080.000000	86.165	-161.7247
