* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 10, 24 12:24:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ra15 s L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	51.423	73.1553
1.015000	51.375	72.2479
1.030000	51.324	71.3531
1.044000	51.273	70.5278
1.060000	51.210	69.5948
1.075000	51.147	68.7283
1.090000	51.079	67.8680
1.106000	51.003	66.9552
1.120000	50.934	66.1587
1.138000	50.843	65.1392
1.150000	50.781	64.4641
1.172000	50.664	63.2394
1.180000	50.620	62.7993
1.206000	50.472	61.3924
1.220000	50.388	60.6525
1.241000	50.258	59.5700
1.250000	50.200	59.1173
1.265000	50.101	58.3793
1.280000	49.997	57.6636
1.315000	49.740	56.0912
1.320000	49.702	55.8788
1.340000	49.542	55.0626
1.360000	49.373	54.3032
1.380000	49.195	53.6053
1.400000	49.007	52.9736
1.430000	48.706	52.1599
1.450000	48.492	51.7135
1.475000	48.205	51.2553
1.500000	47.883	50.7790
1.525000	47.525	50.2806
1.550000	47.139	49.7923
1.575000	46.730	49.3462
1.600000	46.304	48.9748
1.625000	45.868	48.7101
1.650000	45.427	48.5844
1.675000	44.988	48.6298
1.700000	44.556	48.8788
1.725000	44.138	49.3633
1.750000	43.739	50.1158
1.775000	43.367	51.1684
1.800000	43.026	52.5533
1.825000	42.723	54.3027
1.850000	42.450	56.5219
1.875000	42.183	59.3532
1.900000	41.921	62.7148
1.925000	41.669	66.5162
1.950000	41.430	70.6666
1.975000	41.205	75.0757
2.000000	40.999	79.6527
2.030000	40.781	85.2393
2.060000	40.599	90.7809
2.090000	40.459	96.1209
2.120000	40.365	101.1030
2.140000	40.332	104.1481
2.180000	40.340	109.3668
2.200000	40.385	111.4499
2.240000	40.603	114.9531
2.270000	40.872	117.1747
2.300000	41.213	119.0755
2.330000	41.610	120.6798
2.360000	42.045	122.0119
2.400000	42.654	123.4068
2.430000	43.113	124.1984
2.470000	43.692	124.9609
2.500000	44.082	125.3446
2.540000	44.509	125.6514
2.580000	44.803	125.7566
2.620000	45.025	125.5273
2.650000	45.157	125.1216
2.690000	45.293	124.2845
2.720000	45.367	123.4448
2.760000	45.430	122.0582
2.800000	45.457	120.3837
2.850000	45.448	117.9149
2.900000	45.398	115.0634
2.950000	45.303	111.8473
3.000000	45.074	108.1391
3.040000	44.810	104.8275
3.070000	44.585	102.1624
3.110000	44.273	98.3911
3.150000	43.972	94.3986
3.200000	43.659	89.1430
3.250000	43.469	83.6478
3.300000	43.459	77.9680
3.350000	43.618	71.5328
3.400000	43.895	64.2187
3.450000	44.272	56.4734
3.500000	44.730	48.7446
3.550000	45.248	41.4798
3.600000	45.809	35.1267
3.650000	46.391	30.1330
3.700000	47.010	26.7232
3.750000	47.725	24.4824
3.820000	48.832	22.9082
3.870000	49.654	22.6337
3.950000	50.938	23.1245
4.000000	51.670	23.7068
4.060000	52.439	24.5224
4.120000	53.138	26.0575
4.180000	53.785	28.2064
4.250000	54.488	31.1780
4.310000	55.057	33.8564
4.370000	55.605	36.4095
4.440000	56.221	39.0964
4.500000	56.707	41.4519
4.550000	57.089	43.4428
4.620000	57.601	46.2172
4.680000	58.031	48.5314
4.750000	58.537	51.0898
4.820000	59.048	53.4944
4.870000	59.406	55.1654
4.940000	59.902	57.4179
5.000000	60.325	59.2470
5.080000	60.895	61.5050
5.150000	61.405	63.2818
5.220000	61.925	64.8926
5.300000	62.528	66.5416
5.380000	63.132	67.9832
5.450000	63.657	69.0722
5.520000	64.173	69.9951
5.600000	64.764	70.8171
5.700000	65.498	71.5426
5.800000	66.209	72.0138
5.900000	66.884	72.2990
6.000000	67.531	72.3208
6.080000	68.027	72.1872
6.150000	68.444	72.0046
6.220000	68.841	71.7969
6.300000	69.270	71.5117
6.400000	69.773	71.0390
6.500000	70.241	70.5083
6.600000	70.677	69.9957
6.700000	71.077	69.4793
6.800000	71.442	68.9503
6.900000	71.783	68.4669
7.000000	72.107	68.0784
7.100000	72.403	67.7549
7.200000	72.680	67.5020
7.300000	72.954	67.3404
7.400000	73.229	67.2911
7.500000	73.495	67.3481
7.620000	73.820	67.5116
7.750000	74.200	67.7674
7.880000	74.602	68.1609
8.000000	74.993	68.5220
8.120000	75.409	68.7691
8.250000	75.890	68.9788
8.380000	76.385	69.0363
8.500000	76.844	68.8699
8.620000	77.314	68.5240
8.750000	77.815	67.9627
8.850000	78.185	67.3963
9.000000	78.725	66.3074
9.120000	79.134	65.3088
9.250000	79.546	64.1387
9.380000	79.929	62.8476
9.500000	80.258	61.6535
9.620000	80.562	60.4992
9.750000	80.862	59.2571
9.880000	81.143	58.1124
10.000000	81.387	57.1720
10.150000	81.670	56.1272
10.300000	81.954	55.2786
10.440000	82.216	54.6861
10.600000	82.525	54.1653
10.750000	82.838	53.8061
10.900000	83.169	53.5520
11.060000	83.543	53.2354
11.200000	83.892	52.9421
11.380000	84.348	52.4463
11.500000	84.657	52.0104
11.720000	85.215	51.0499
11.800000	85.409	50.6461
12.060000	86.007	49.1881
12.200000	86.296	48.3980
12.410000	86.693	47.2418
12.500000	86.851	46.8278
12.650000	87.095	46.2239
12.800000	87.329	45.7549
13.150000	87.882	45.2767
13.200000	87.937	45.2553
13.400000	88.053	45.3198
13.600000	88.152	45.4176
13.800000	88.289	45.5013
14.000000	88.450	45.3366
14.300000	88.723	44.5535
14.500000	88.881	43.6615
14.750000	89.019	42.3038
15.000000	89.077	40.7765
15.250000	89.066	39.2673
15.500000	88.985	38.0866
15.750000	88.849	37.3846
16.000000	88.707	37.2870
16.250000	88.618	37.6478
16.500000	88.602	38.3192
16.750000	88.668	39.0619
17.000000	88.807	39.4894
17.250000	88.993	39.4956
17.500000	89.188	38.9807
17.750000	89.344	38.1079
18.000000	89.456	37.0031
18.250000	89.524	35.8035
18.500000	89.549	34.7678
18.750000	89.551	33.9534
19.000000	89.551	33.4104
19.250000	89.589	33.0148
19.500000	89.660	32.6383
19.750000	89.761	32.1741
20.000000	89.876	31.4426
20.299999	90.000	30.2173
20.600000	90.073	28.7311
20.900000	90.068	27.2298
21.200001	89.993	25.9855
21.400000	89.919	25.4502
21.799999	89.765	25.1556
22.000000	89.713	25.3296
22.400000	89.716	25.9241
22.700001	89.790	26.2518
23.000000	89.886	26.2320
23.299999	89.967	25.8814
23.600000	90.004	25.4158
24.000000	89.984	24.9846
24.299999	89.954	24.9874
24.700001	89.947	25.4175
25.000000	89.994	25.8337
25.400000	90.127	26.1044
25.799999	90.281	25.8461
26.200001	90.405	25.1077
26.500000	90.466	24.3846
26.900000	90.500	23.3866
27.200001	90.503	22.6497
27.600000	90.487	21.6786
28.000000	90.445	20.7254
28.500000	90.354	19.5973
29.000000	90.218	18.7303
29.500000	90.065	18.2138
30.000000	89.911	18.1394
30.400000	89.815	18.4032
30.700001	89.773	18.8040
31.100000	89.787	19.4289
31.500000	89.892	19.8002
32.000000	90.081	19.3734
32.500000	90.198	17.8711
33.000000	90.127	16.1678
33.500000	89.914	15.3964
34.000000	89.749	16.1136
34.500000	89.824	17.3204
35.000000	90.090	17.5499
35.500000	90.338	16.3476
36.000000	90.429	14.5753
36.500000	90.387	13.2269
37.000000	90.335	12.7148
37.500000	90.367	12.6104
38.200001	90.518	12.0918
38.700001	90.613	11.2654
39.500000	90.630	9.9268
40.000000	90.584	9.6459
40.599998	90.582	10.0294
41.200001	90.724	10.3696
41.799999	90.907	9.6461
42.500000	90.918	7.9264
43.099998	90.749	7.3068
43.700001	90.648	7.8492
44.400002	90.740	8.2580
45.000000	90.825	7.5082
45.500000	90.804	6.6330
46.200001	90.700	5.8979
46.799999	90.640	5.5964
47.500000	90.592	5.1346
48.200001	90.527	4.7264
48.700001	90.488	4.5806
49.400002	90.465	4.4237
50.000000	90.452	4.2535
50.799999	90.442	4.1737
51.500000	90.473	4.1649
52.200001	90.516	3.9405
53.000000	90.533	3.7139
53.799999	90.597	3.6711
54.500000	90.682	3.1362
55.200001	90.683	2.3410
56.000000	90.649	1.9193
57.000000	90.661	1.0935
58.000000	90.546	0.3514
59.000000	90.515	0.0752
60.000000	90.429	-0.6444
60.799999	90.385	-0.6467
61.500000	90.402	-1.0489
62.200001	90.349	-1.5522
63.000000	90.327	-1.5996
64.000000	90.357	-2.4276
65.000000	90.277	-2.7602
66.000000	90.334	-3.1856
67.000000	90.264	-3.6694
68.000000	90.359	-3.8259
69.000000	90.266	-5.1839
70.000000	90.143	-4.0936
71.000000	90.374	-4.4260
72.000000	90.252	-5.9631
73.000000	90.118	-5.3959
74.000000	90.200	-5.6134
75.000000	90.119	-6.5263
76.199997	90.023	-6.4840
77.500000	90.041	-6.5521
78.800003	90.118	-7.6714
80.000000	89.880	-8.3792
81.199997	89.916	-7.1373
82.500000	90.009	-8.5858
83.800003	89.740	-9.0183
85.000000	89.711	-8.2414
86.199997	89.680	-8.7863
87.500000	89.549	-8.0212
88.500000	89.667	-7.3747
90.000000	89.752	-8.1531
91.199997	89.729	-7.7585
92.500000	89.894	-8.0719
93.800003	89.885	-8.9240
95.000000	89.897	-9.6269
96.199997	89.863	-9.9690
97.500000	89.876	-11.3504
98.800003	89.630	-10.7896
100.000000	89.821	-10.7541
101.500000	89.644	-11.0226
103.000000	89.841	-11.8088
104.400002	89.532	-12.3762
106.000000	89.669	-12.3374
107.500000	89.488	-12.8508
109.000000	89.594	-12.7132
110.599998	89.510	-13.8574
112.000000	89.471	-13.6127
113.800003	89.472	-14.2060
115.000000	89.420	-14.7874
117.199997	89.419	-14.4486
118.000000	89.441	-15.2117
120.599998	89.148	-15.7962
122.000000	89.210	-15.5338
124.099998	89.204	-16.7077
125.000000	89.135	-16.8483
126.500000	89.096	-16.5365
128.000000	89.063	-16.5727
131.500000	88.993	-16.6018
132.000000	88.980	-16.7146
134.000000	88.938	-17.3062
136.000000	88.841	-17.7416
138.000000	88.787	-17.6523
140.000000	88.744	-17.5065
143.000000	88.694	-17.6133
145.000000	88.677	-17.6203
147.500000	88.671	-17.3748
150.000000	88.634	-17.2209
152.500000	88.614	-17.4907
155.000000	88.604	-17.8113
157.500000	88.657	-18.3129
160.000000	88.610	-18.5650
162.500000	88.520	-18.9672
165.000000	88.470	-19.4628
167.500000	88.411	-19.8680
170.000000	88.347	-19.9740
172.500000	88.269	-20.2349
175.000000	88.197	-20.4094
177.500000	88.136	-20.6118
180.000000	88.078	-20.7544
182.500000	88.031	-20.9111
185.000000	87.962	-21.1841
187.500000	87.908	-21.3686
190.000000	87.840	-21.5568
192.500000	87.782	-21.7266
195.000000	87.727	-21.8174
197.500000	87.675	-22.0616
200.000000	87.609	-22.1426
203.000000	87.537	-22.2261
206.000000	87.469	-22.3843
209.000000	87.412	-22.4988
212.000000	87.340	-22.7026
214.000000	87.303	-22.8135
218.000000	87.236	-22.8322
220.000000	87.184	-22.8752
224.000000	87.099	-23.2725
227.000000	87.027	-23.1705
230.000000	86.985	-23.1991
233.000000	86.927	-23.2767
236.000000	86.864	-23.4629
240.000000	86.818	-23.1838
243.000000	86.727	-23.4743
247.000000	86.651	-23.2245
250.000000	86.597	-23.5019
254.000000	86.541	-23.5325
258.000000	86.463	-23.2563
262.000000	86.384	-23.3294
265.000000	86.306	-23.5757
269.000000	86.242	-23.4827
272.000000	86.170	-23.3158
276.000000	86.097	-23.3502
280.000000	86.041	-23.0853
285.000000	85.929	-23.3202
290.000000	85.847	-23.1680
295.000000	85.756	-23.0916
300.000000	85.690	-23.0637
304.000000	85.597	-22.8371
307.000000	85.557	-22.8848
311.000000	85.516	-22.9760
315.000000	85.443	-22.7101
320.000000	85.350	-22.5113
325.000000	85.251	-22.4050
330.000000	85.164	-22.0799
335.000000	85.106	-22.0744
340.000000	85.076	-21.9092
345.000000	84.994	-21.7840
350.000000	84.932	-21.6961
355.000000	84.874	-21.5996
360.000000	84.808	-21.3545
365.000000	84.719	-21.1424
370.000000	84.658	-20.6941
375.000000	84.600	-20.4520
382.000000	84.479	-20.2006
387.000000	84.408	-20.0137
395.000000	84.323	-19.5370
400.000000	84.234	-19.2322
406.000000	84.171	-18.9753
412.000000	84.087	-18.7584
418.000000	84.016	-18.3450
425.000000	83.951	-18.0372
431.000000	83.883	-17.6242
437.000000	83.818	-17.3549
444.000000	83.746	-16.9515
450.000000	83.694	-16.6490
455.000000	83.644	-16.4011
462.000000	83.578	-15.9366
468.000000	83.512	-15.6461
475.000000	83.444	-15.1907
482.000000	83.382	-14.7609
487.000000	83.317	-14.4449
494.000000	83.249	-13.9716
500.000000	83.195	-13.5705
508.000000	83.129	-13.0973
515.000000	83.056	-12.7536
522.000000	82.994	-12.2235
530.000000	82.926	-11.7940
538.000000	82.895	-11.2187
545.000000	82.823	-10.8324
552.000000	82.803	-10.1863
560.000000	82.728	-9.6992
570.000000	82.643	-9.0227
580.000000	82.576	-8.4165
590.000000	82.508	-7.5396
600.000000	82.426	-6.9068
608.000000	82.390	-6.3230
615.000000	82.380	-5.7288
622.000000	82.318	-5.3877
630.000000	82.291	-4.7534
640.000000	82.233	-3.8840
650.000000	82.160	-3.1556
660.000000	82.144	-2.3333
670.000000	82.110	-1.6038
680.000000	82.042	-0.9466
690.000000	82.012	-0.1729
700.000000	82.001	0.7213
710.000000	81.942	1.4788
720.000000	81.926	2.2883
730.000000	81.881	3.0228
740.000000	81.859	3.8964
750.000000	81.835	4.7447
762.000000	81.802	5.6120
775.000000	81.796	6.8171
788.000000	81.797	7.8577
800.000000	81.821	8.6911
812.000000	81.811	9.7738
825.000000	81.788	10.9725
838.000000	81.781	12.0219
850.000000	81.785	13.0816
862.000000	81.796	14.0144
875.000000	81.810	15.1063
885.000000	81.845	15.9407
900.000000	81.869	17.1480
912.000000	81.919	18.1507
925.000000	81.976	19.2103
938.000000	82.035	20.1867
950.000000	82.093	21.0744
962.000000	82.154	22.1552
975.000000	82.224	22.9729
988.000000	82.303	23.9434
1000.000000	82.375	24.7084
1015.000000	82.457	25.7259
1030.000000	82.571	26.7422
1044.000000	82.668	27.5104
1060.000000	82.792	28.4462
1075.000000	82.903	29.2376
1090.000000	83.004	29.9198
1106.000000	83.121	30.7540
1120.000000	83.242	31.4352
1138.000000	83.365	32.1241
