* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 25, 24 3:48:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: reference 2019 dsp L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	48.916	-139.4385
1.015000	49.188	-138.7787
1.030000	49.458	-138.1613
1.044000	49.707	-137.6261
1.060000	49.988	-137.0663
1.075000	50.246	-136.5952
1.090000	50.497	-136.1793
1.106000	50.759	-135.7995
1.120000	50.990	-135.5190
1.138000	51.289	-135.2252
1.150000	51.490	-135.0689
1.172000	51.861	-134.8595
1.180000	51.996	-134.8068
1.206000	52.439	-134.7149
1.220000	52.678	-134.7121
1.241000	53.038	-134.7633
1.250000	53.192	-134.8040
1.265000	53.448	-134.8946
1.280000	53.704	-135.0114
1.315000	54.298	-135.3701
1.320000	54.382	-135.4298
1.340000	54.717	-135.6854
1.360000	55.049	-135.9633
1.380000	55.376	-136.2570
1.400000	55.699	-136.5602
1.430000	56.173	-137.0184
1.450000	56.480	-137.3169
1.475000	56.855	-137.6779
1.500000	57.222	-138.0797
1.525000	57.583	-138.5321
1.550000	57.938	-139.0303
1.575000	58.287	-139.5693
1.600000	58.630	-140.1441
1.625000	58.968	-140.7498
1.650000	59.301	-141.3813
1.675000	59.628	-142.0338
1.700000	59.951	-142.7023
1.725000	60.269	-143.3818
1.750000	60.583	-144.0674
1.775000	60.893	-144.7541
1.800000	61.198	-145.4370
1.825000	61.500	-146.1110
1.850000	61.798	-146.7807
1.875000	62.090	-147.4650
1.900000	62.378	-148.1635
1.925000	62.660	-148.8745
1.950000	62.937	-149.5964
1.975000	63.210	-150.3278
2.000000	63.478	-151.0671
2.030000	63.795	-151.9625
2.060000	64.106	-152.8644
2.090000	64.412	-153.7701
2.120000	64.714	-154.6769
2.140000	64.912	-155.2808
2.180000	65.304	-156.4833
2.200000	65.498	-157.0804
2.240000	65.878	-158.2780
2.270000	66.156	-159.1822
2.300000	66.430	-160.0903
2.330000	66.698	-161.0016
2.360000	66.961	-161.9150
2.400000	67.305	-163.1345
2.430000	67.559	-164.0490
2.470000	67.890	-165.2665
2.500000	68.135	-166.1770
2.540000	68.456	-167.3856
2.580000	68.772	-168.5868
2.620000	69.081	-169.7863
2.650000	69.308	-170.6853
2.690000	69.604	-171.8823
2.720000	69.821	-172.7784
2.760000	70.106	-173.9700
2.800000	70.385	-175.1573
2.850000	70.726	-176.6336
2.900000	71.059	-178.0996
2.950000	71.386	-179.5539
3.000000	71.704	178.9998
3.040000	71.951	177.8483
3.070000	72.133	176.9882
3.110000	72.372	175.8464
3.150000	72.606	174.7110
3.200000	72.892	173.3014
3.250000	73.171	171.9032
3.300000	73.445	170.5175
3.350000	73.712	169.1431
3.400000	73.972	167.7791
3.450000	74.225	166.4259
3.500000	74.472	165.0840
3.550000	74.713	163.7541
3.600000	74.949	162.4364
3.650000	75.180	161.1317
3.700000	75.406	159.8398
3.750000	75.626	158.5599
3.820000	75.924	156.7885
3.870000	76.131	155.5380
3.950000	76.453	153.5636
4.000000	76.649	152.3463
4.060000	76.879	150.9028
4.120000	77.102	149.4780
4.180000	77.319	148.0716
4.250000	77.564	146.4539
4.310000	77.768	145.0868
4.370000	77.968	143.7375
4.440000	78.196	142.1861
4.500000	78.385	140.8766
4.550000	78.539	139.7992
4.620000	78.749	138.3113
4.680000	78.925	137.0540
4.750000	79.125	135.6073
4.820000	79.320	134.1829
4.870000	79.456	133.1802
4.940000	79.642	131.7957
5.000000	79.797	130.6257
5.080000	79.999	129.0880
5.150000	80.172	127.7616
5.220000	80.341	126.4558
5.300000	80.528	124.9880
5.380000	80.709	123.5440
5.450000	80.865	122.2979
5.520000	81.017	121.0667
5.600000	81.186	119.6806
5.700000	81.391	117.9784
5.800000	81.589	116.3068
5.900000	81.781	114.6629
6.000000	81.967	113.0485
6.080000	82.110	111.7780
6.150000	82.233	110.6812
6.220000	82.353	109.5978
6.300000	82.486	108.3759
6.400000	82.647	106.8737
6.500000	82.803	105.3994
6.600000	82.954	103.9535
6.700000	83.100	102.5359
6.800000	83.240	101.1465
6.900000	83.376	99.7850
7.000000	83.509	98.4512
7.100000	83.638	97.1466
7.200000	83.762	95.8691
7.300000	83.884	94.6159
7.400000	84.004	93.3870
7.500000	84.121	92.1846
7.620000	84.258	90.7694
7.750000	84.403	89.2623
7.880000	84.546	87.7881
8.000000	84.675	86.4471
8.120000	84.802	85.1164
8.250000	84.937	83.6922
8.380000	85.068	82.2780
8.500000	85.186	80.9745
8.620000	85.301	79.6762
8.750000	85.422	78.2739
8.850000	85.510	77.1963
9.000000	85.638	75.5818
9.120000	85.734	74.2972
9.250000	85.831	72.9145
9.380000	85.923	71.5393
9.500000	86.001	70.2856
9.620000	86.075	69.0499
9.750000	86.150	67.7288
9.880000	86.213	66.4357
10.000000	86.258	65.2700
10.150000	86.299	63.8482
10.300000	86.333	62.4731
10.440000	86.355	61.2328
10.600000	86.376	59.8636
10.750000	86.394	58.6278
10.900000	86.410	57.4362
11.060000	86.426	56.2050
11.200000	86.440	55.1638
11.380000	86.458	53.8602
11.500000	86.471	53.0122
11.720000	86.495	51.4910
11.800000	86.504	50.9449
12.060000	86.534	49.1962
12.200000	86.549	48.2614
12.410000	86.573	46.8677
12.500000	86.587	46.2702
12.650000	86.617	45.2750
12.800000	86.648	44.2799
13.150000	86.711	41.9551
13.200000	86.718	41.6241
13.400000	86.746	40.3007
13.600000	86.767	38.9911
13.800000	86.782	37.6984
14.000000	86.790	36.4366
14.300000	86.792	34.6111
14.500000	86.788	33.4507
14.750000	86.781	32.0654
15.000000	86.771	30.7515
15.250000	86.764	29.4979
15.500000	86.760	28.2857
15.750000	86.759	27.1023
16.000000	86.761	25.9293
16.250000	86.765	24.7593
16.500000	86.770	23.5913
16.750000	86.772	22.4276
17.000000	86.770	21.2783
17.250000	86.764	20.1490
17.500000	86.754	19.0463
17.750000	86.742	17.9728
18.000000	86.728	16.9269
18.250000	86.713	15.9070
18.500000	86.696	14.9091
18.750000	86.677	13.9327
19.000000	86.656	12.9776
19.250000	86.634	12.0461
19.500000	86.610	11.1394
19.750000	86.586	10.2579
20.000000	86.561	9.3998
20.299999	86.531	8.3940
20.600000	86.501	7.4070
20.900000	86.471	6.4322
21.200001	86.438	5.4669
21.400000	86.415	4.8314
21.799999	86.364	3.5893
22.000000	86.336	2.9875
22.400000	86.279	1.8297
22.700001	86.236	0.9998
23.000000	86.194	0.1964
23.299999	86.152	-0.5883
23.600000	86.112	-1.3599
24.000000	86.059	-2.3731
24.299999	86.019	-3.1224
24.700001	85.964	-4.1066
25.000000	85.922	-4.8323
25.400000	85.864	-5.7804
25.799999	85.804	-6.6987
26.200001	85.743	-7.5789
26.500000	85.697	-8.2130
26.900000	85.638	-9.0312
27.200001	85.596	-9.6348
27.600000	85.541	-10.4385
28.000000	85.484	-11.2448
28.500000	85.408	-12.2383
29.000000	85.326	-13.1843
29.500000	85.243	-14.0695
30.000000	85.161	-14.9047
