* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 25, 24 3:46:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: reference 2019 dsp R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	50.193	-124.2795
1.015000	50.444	-124.5760
1.030000	50.693	-124.8744
1.044000	50.925	-125.1531
1.060000	51.187	-125.4700
1.075000	51.431	-125.7636
1.090000	51.674	-126.0521
1.106000	51.930	-126.3543
1.120000	52.153	-126.6261
1.138000	52.437	-126.9884
1.150000	52.625	-127.2376
1.172000	52.965	-127.7093
1.180000	53.088	-127.8853
1.206000	53.483	-128.4727
1.220000	53.694	-128.7980
1.241000	54.007	-129.2964
1.250000	54.140	-129.5136
1.265000	54.360	-129.8800
1.280000	54.579	-130.2513
1.315000	55.082	-131.1340
1.320000	55.154	-131.2617
1.340000	55.437	-131.7755
1.360000	55.718	-132.2934
1.380000	55.996	-132.8141
1.400000	56.272	-133.3364
1.430000	56.681	-134.1198
1.450000	56.951	-134.6404
1.475000	57.285	-135.2882
1.500000	57.615	-135.9430
1.525000	57.940	-136.6069
1.550000	58.261	-137.2790
1.575000	58.578	-137.9584
1.600000	58.890	-138.6443
1.625000	59.198	-139.3358
1.650000	59.502	-140.0321
1.675000	59.803	-140.7324
1.700000	60.100	-141.4358
1.725000	60.394	-142.1415
1.750000	60.684	-142.8485
1.775000	60.972	-143.5562
1.800000	61.256	-144.2636
1.825000	61.538	-144.9698
1.850000	61.817	-145.6758
1.875000	62.092	-146.3849
1.900000	62.364	-147.0970
1.925000	62.632	-147.8118
1.950000	62.896	-148.5288
1.975000	63.157	-149.2479
2.000000	63.415	-149.9686
2.030000	63.721	-150.8353
2.060000	64.022	-151.7033
2.090000	64.319	-152.5722
2.120000	64.613	-153.4414
2.140000	64.807	-154.0207
2.180000	65.189	-155.1783
2.200000	65.379	-155.7563
2.240000	65.752	-156.9133
2.270000	66.026	-157.7825
2.300000	66.297	-158.6528
2.330000	66.563	-159.5239
2.360000	66.826	-160.3953
2.400000	67.171	-161.5576
2.430000	67.425	-162.4290
