* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 3, 24 1:53:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: saga bass L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	64.401	-55.2347
1.015000	64.904	-55.9406
1.030000	65.391	-56.6152
1.044000	65.829	-57.2006
1.060000	66.305	-57.7980
1.075000	66.727	-58.2700
1.090000	67.120	-58.6382
1.106000	67.509	-58.9163
1.120000	67.837	-59.1648
1.138000	68.245	-59.5208
1.150000	68.509	-59.7793
1.172000	68.976	-60.2933
1.180000	69.140	-60.4921
1.206000	69.656	-61.1770
1.220000	69.922	-61.5676
1.241000	70.307	-62.1779
1.250000	70.466	-62.4472
1.265000	70.725	-62.9048
1.280000	70.975	-63.3715
1.315000	71.526	-64.4848
1.320000	71.601	-64.6455
1.340000	71.892	-65.2897
1.360000	72.170	-65.9322
1.380000	72.435	-66.5683
1.400000	72.687	-67.1932
1.430000	73.041	-68.0993
1.450000	73.263	-68.6755
1.475000	73.522	-69.3601
1.500000	73.747	-70.0357
1.525000	73.935	-70.7098
1.550000	74.093	-71.3818
1.575000	74.223	-72.0512
1.600000	74.330	-72.7174
1.625000	74.418	-73.3796
1.650000	74.491	-74.0374
1.675000	74.553	-74.6901
1.700000	74.607	-75.3370
1.725000	74.659	-75.9776
1.750000	74.712	-76.6113
1.775000	74.769	-77.2374
1.800000	74.836	-77.8554
1.825000	74.917	-78.4646
1.850000	75.008	-79.0653
1.875000	75.097	-79.6592
1.900000	75.185	-80.2464
1.925000	75.271	-80.8270
1.950000	75.355	-81.4009
1.975000	75.438	-81.9684
2.000000	75.519	-82.5293
2.030000	75.615	-83.1939
2.060000	75.709	-83.8492
2.090000	75.802	-84.4953
2.120000	75.893	-85.1324
2.140000	75.954	-85.5521
2.180000	76.075	-86.3794
2.200000	76.135	-86.7872
2.240000	76.253	-87.5885
2.270000	76.340	-88.1770
2.300000	76.425	-88.7553
2.330000	76.510	-89.3242
2.360000	76.593	-89.8842
2.400000	76.702	-90.6179
2.430000	76.783	-91.1592
2.470000	76.889	-91.8701
2.500000	76.968	-92.3959
2.540000	77.073	-93.0882
2.580000	77.177	-93.7712
2.620000	77.280	-94.4415
2.650000	77.356	-94.9355
2.690000	77.457	-95.5833
2.720000	77.531	-96.0612
2.760000	77.630	-96.6882
2.800000	77.727	-97.3043
2.850000	77.846	-98.0598
2.900000	77.964	-98.8002
2.950000	78.081	-99.5262
3.000000	78.195	-100.2341
3.040000	78.284	-100.7876
3.070000	78.351	-101.1958
3.110000	78.438	-101.7314
3.150000	78.525	-102.2579
3.200000	78.632	-102.9045
3.250000	78.738	-103.5397
3.300000	78.843	-104.1651
3.350000	78.947	-104.7777
3.400000	79.050	-105.3757
3.450000	79.151	-105.9608
3.500000	79.251	-106.5349
3.550000	79.350	-107.0997
3.600000	79.447	-107.6568
3.650000	79.544	-108.2080
3.700000	79.639	-108.7533
3.750000	79.733	-109.2895
3.820000	79.863	-110.0262
3.870000	79.954	-110.5433
3.950000	80.098	-111.3572
4.000000	80.185	-111.8586
4.060000	80.289	-112.4536
4.120000	80.390	-113.0402
4.180000	80.490	-113.6180
4.250000	80.604	-114.2808
4.310000	80.699	-114.8394
4.370000	80.792	-115.3889
4.440000	80.898	-116.0192
4.500000	80.986	-116.5511
4.550000	81.058	-116.9877
4.620000	81.156	-117.5878
4.680000	81.237	-118.0907
4.750000	81.331	-118.6628
4.820000	81.421	-119.2195
4.870000	81.484	-119.6090
4.940000	81.570	-120.1415
5.000000	81.641	-120.5853
5.080000	81.734	-121.1571
5.150000	81.814	-121.6371
5.220000	81.892	-122.0983
5.300000	81.978	-122.6035
5.380000	82.061	-123.0869
5.450000	82.134	-123.4932
5.520000	82.205	-123.8845
5.600000	82.286	-124.3100
5.700000	82.384	-124.8124
5.800000	82.481	-125.2892
5.900000	82.579	-125.7457
6.000000	82.676	-126.1749
6.080000	82.753	-126.5025
6.150000	82.820	-126.7822
6.220000	82.888	-127.0590
6.300000	82.966	-127.3697
6.400000	83.063	-127.7450
6.500000	83.160	-128.1148
6.600000	83.257	-128.4883
6.700000	83.355	-128.8636
6.800000	83.452	-129.2390
6.900000	83.548	-129.6206
7.000000	83.643	-130.0136
7.100000	83.738	-130.4154
7.200000	83.832	-130.8257
7.300000	83.923	-131.2455
7.400000	84.012	-131.6757
7.500000	84.099	-132.1161
7.620000	84.200	-132.6559
7.750000	84.304	-133.2531
7.880000	84.404	-133.8658
8.000000	84.492	-134.4394
8.120000	84.575	-135.0154
8.250000	84.659	-135.6450
8.380000	84.738	-136.2776
8.500000	84.808	-136.8624
8.620000	84.873	-137.4496
8.750000	84.939	-138.0840
8.850000	84.986	-138.5687
9.000000	85.051	-139.2933
9.120000	85.099	-139.8663
9.250000	85.147	-140.4770
9.380000	85.192	-141.0793
9.500000	85.230	-141.6246
9.620000	85.267	-142.1575
9.750000	85.303	-142.7222
9.880000	85.332	-143.2758
