* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 20, 24 9:16:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: sgluna R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 52.936 -175.4055
0.732422 45.574 -11.9262
1.098633 63.130 -39.1810
1.464844 70.075 -53.0617
1.831055 71.899 -63.4347
2.197266 73.183 -71.6173
2.563477 74.172 -78.0977
2.929688 74.995 -83.3212
3.295898 75.720 -87.5249
3.662109 76.418 -91.1154
4.028320 77.104 -94.5915
4.394531 77.750 -98.2293
4.760742 78.309 -101.9768
5.126953 78.766 -105.4895
5.493164 79.150 -108.3380
5.859375 79.536 -110.3522
6.225586 80.004 -111.7806
6.591797 80.577 -113.2179
6.958008 81.200 -115.1830
7.324219 81.781 -117.7524
7.690430 82.252 -120.5585
8.056641 82.605 -123.0954
8.422852 82.887 -125.0214
8.789062 83.167 -126.4286
9.155273 83.459 -127.7136
9.521484 83.723 -129.1897
9.887695 83.882 -130.7389
10.253906 83.864 -131.8252
10.620117 83.758 -131.7190
10.986328 83.736 -130.3110
11.352539 83.940 -128.7057
11.718750 84.316 -128.0664
12.084961 84.683 -129.0102
12.451172 84.872 -131.1058
12.817383 84.851 -133.0853
13.183594 84.677 -133.8506
13.549805 84.560 -132.9608
13.916016 84.709 -131.2993
14.282227 85.133 -130.7443
14.648438 85.621 -132.2541
15.014648 85.950 -135.4444
15.380859 86.020 -139.2865
15.747070 85.851 -142.4861
16.113281 85.582 -144.2614
16.479492 85.403 -144.6983
16.845703 85.413 -144.7329
17.211914 85.557 -145.4780
17.578125 85.679 -147.1719
17.944336 85.669 -149.1761
18.310547 85.531 -150.6239
18.676758 85.372 -150.8880
19.042969 85.337 -150.1735
19.409180 85.489 -149.4348
19.775391 85.756 -149.4979
20.141602 86.007 -150.5211
20.507812 86.155 -152.0536
20.874023 86.192 -153.4742
21.240234 86.167 -154.4395
21.606445 86.137 -154.9294
21.972656 86.130 -155.1494
22.338867 86.141 -155.3012
22.705078 86.155 -155.3531
23.071289 86.181 -155.2220
23.437500 86.251 -154.9764
23.803711 86.381 -154.8689
24.169922 86.551 -155.2480
24.536133 86.702 -156.2556
24.902344 86.776 -157.7112
25.268555 86.745 -159.2464
25.634766 86.625 -160.4447
26.000977 86.471 -161.0567
26.367188 86.347 -161.1541
26.733398 86.295 -161.0401
27.099609 86.308 -161.1184
27.465820 86.342 -161.6205
27.832031 86.345 -162.4819
28.198242 86.288 -163.4419
28.564453 86.179 -164.1765
28.930664 86.057 -164.4739
29.296875 85.972 -164.3774
29.663086 85.954 -164.1359
30.029297 85.996 -164.0535
30.395508 86.062 -164.2870
30.761719 86.113 -164.7474
31.127930 86.135 -165.2277
31.494141 86.143 -165.5497
31.860352 86.162 -165.6681
32.226562 86.213 -165.7035
32.592773 86.292 -165.8148
32.958984 86.379 -166.0880
33.325195 86.453 -166.5043
33.691406 86.501 -166.9577
34.057617 86.524 -167.3359
34.423828 86.532 -167.5647
34.790039 86.542 -167.6070
35.156250 86.570 -167.5118
35.522461 86.630 -167.4091
35.888672 86.719 -167.4743
36.254883 86.815 -167.8560
36.621094 86.887 -168.5696
36.987305 86.907 -169.4841
37.353516 86.869 -170.3922
37.719727 86.788 -171.1065
38.085938 86.691 -171.5606
38.452148 86.600 -171.8112
38.818359 86.522 -171.9431
39.184570 86.457 -171.9994
39.550781 86.407 -171.9681
39.916992 86.385 -171.8626
40.283203 86.401 -171.7950
40.649414 86.448 -171.9197
41.015625 86.498 -172.3127
41.381836 86.524 -172.8944
41.748047 86.516 -173.4662
42.114258 86.486 -173.8642
42.480469 86.461 -174.0630
42.846680 86.452 -174.1513
43.212891 86.455 -174.2189
43.579102 86.457 -174.2421
43.945312 86.461 -174.1217
44.311523 86.493 -173.8411
44.677734 86.573 -173.5705
45.043945 86.692 -173.5905
45.410156 86.807 -174.0656
45.776367 86.867 -174.8813
46.142578 86.850 -175.7185
46.508789 86.776 -176.2516
46.875000 86.692 -176.3557
47.241211 86.641 -176.1813
47.607422 86.632 -176.0024
47.973633 86.641 -175.9821
48.339844 86.644 -176.0829
48.706055 86.639 -176.1740
49.072266 86.645 -176.2215
49.438477 86.672 -176.3486
49.804688 86.709 -176.7093
50.170898 86.725 -177.3236
50.537109 86.696 -178.0266
50.903320 86.625 -178.5819
51.269531 86.542 -178.8548
51.635742 86.478 -178.8968
52.001953 86.446 -178.8791
52.368164 86.434 -178.9406
52.734375 86.428 -179.0920
53.100586 86.422 -179.2915
53.466797 86.418 -179.5431
53.833008 86.411 -179.9035
54.199219 86.383 179.6223
54.565430 86.312 179.1856
54.931641 86.204 179.0577
55.297852 86.105 179.4273
55.664062 86.077 -179.8240
56.030273 86.151 -179.1507
56.396484 86.289 -179.0320
56.762695 86.414 -179.5930
57.128906 86.458 179.4624
57.495117 86.408 178.6387
57.861328 86.311 178.3379
58.227539 86.240 178.6087
58.593750 86.249 179.1190
58.959961 86.332 179.4160
59.326172 86.439 179.2635
59.692383 86.519 178.7484
60.058594 86.552 178.1219
60.424805 86.553 177.5827
60.791016 86.545 177.1638
61.157227 86.536 176.7701
61.523438 86.516 176.3222
61.889648 86.469 175.8663
62.255859 86.389 175.5585
62.622070 86.295 175.5485
62.988281 86.220 175.8524
63.354492 86.191 176.3028
63.720703 86.208 176.6574
64.086914 86.247 176.7508
64.453125 86.273 176.6023
64.819336 86.267 176.3778
65.185547 86.236 176.2649
65.551758 86.205 176.3437
65.917969 86.198 176.5383
66.284180 86.218 176.6943
66.650391 86.245 176.7305
67.016602 86.264 176.7202
67.382812 86.279 176.8146
67.749023 86.318 177.0686
68.115234 86.413 177.3007
68.481445 86.558 177.1690
68.847656 86.705 176.4314
69.213867 86.782 175.1620
69.580078 86.745 173.7512
69.946289 86.598 172.7225
70.312500 86.405 172.4577
70.678711 86.253 172.9417
71.044922 86.202 173.7195
71.411133 86.235 174.2247
71.777344 86.284 174.2141
72.143555 86.285 173.8791
72.509766 86.228 173.6147
72.875977 86.152 173.6895
73.242188 86.110 174.0379
73.608398 86.126 174.3275
73.974609 86.170 174.2549
74.340820 86.193 173.7961
74.707031 86.158 173.2018
75.073242 86.073 172.7957
75.439453 85.978 172.7493
75.805664 85.920 172.9790
76.171875 85.915 173.2205
76.538086 85.945 173.2420
76.904297 85.974 172.9985
77.270508 85.979 172.6219
77.636719 85.958 172.2993
78.002930 85.930 172.1443
78.369141 85.917 172.1363
78.735352 85.931 172.1530
79.101562 85.966 172.0547
79.467773 86.001 171.7749
79.833984 86.012 171.3611
80.200195 85.989 170.9542
80.566406 85.936 170.7194
80.932617 85.875 170.7574
81.298828 85.836 171.0323
81.665039 85.836 171.3771
82.031250 85.870 171.5841
82.397461 85.911 171.5366
82.763672 85.930 171.2804
83.129883 85.911 170.9804
83.496094 85.864 170.8105
83.862305 85.813 170.8435
84.228516 85.781 171.0126
84.594727 85.775 171.1687
84.960938 85.786 171.1896
85.327148 85.793 171.0517
85.693359 85.785 170.8299
86.059570 85.760 170.6268
86.425781 85.727 170.5082
86.791992 85.700 170.4678
87.158203 85.684 170.4535
87.524414 85.681 170.4063
87.890625 85.683 170.2916
88.256836 85.684 170.1047
88.623047 85.677 169.8640
88.989258 85.657 169.6125
89.355469 85.623 169.4072
89.721680 85.583 169.3102
90.087891 85.548 169.3452
90.454102 85.532 169.4724
90.820312 85.541 169.5927
91.186523 85.572 169.5891
91.552734 85.607 169.3925
91.918945 85.624 169.0278
92.285156 85.610 168.6132
92.651367 85.566 168.3056
93.017578 85.511 168.2202
93.383789 85.471 168.3548
93.750000 85.466 168.5840
94.116211 85.495 168.7236
94.482422 85.536 168.6537
94.848633 85.563 168.3921
95.214844 85.561 168.0720
95.581055 85.535 167.8422
95.947266 85.502 167.7590
96.313477 85.478 167.7582
96.679688 85.459 167.7296
97.045898 85.430 167.6467
97.412109 85.377 167.6135
97.778320 85.312 167.7813
98.144531 85.266 168.1775
98.510742 85.266 168.6146
98.876953 85.304 168.7994
99.243164 85.337 168.5816
99.609375 85.317 168.1121
99.975586 85.235 167.7552
100.341797 85.130 167.8196
100.708008 85.071 168.2712
101.074219 85.097 168.6942
101.440430 85.178 168.6271
101.806641 85.236 167.9823
102.172852 85.216 167.1358
102.539062 85.132 166.6373
102.905273 85.070 166.7489
103.271484 85.118 167.1106
103.637695 85.280 166.9445
104.003906 85.451 165.7392
104.370117 85.498 163.7016
104.736328 85.341 161.6436
105.102539 85.006 160.6031
105.468750 84.632 161.3245
105.834961 84.427 163.6199
106.201172 84.505 166.2095
106.567383 84.785 167.7339
106.933594 85.078 167.8319
107.299805 85.248 167.0511
107.666016 85.266 166.1952
108.032227 85.180 165.8523
108.398438 85.072 166.1999
108.764648 85.003 167.0497
109.130859 85.001 168.0642
109.497070 85.060 168.9464
109.863281 85.160 169.4802
110.229492 85.267 169.5202
110.595703 85.339 169.0559
110.961914 85.336 168.2881
111.328125 85.247 167.5899
111.694336 85.111 167.3060
112.060547 85.001 167.4719
112.426758 84.965 167.7107
112.792969 84.981 167.5290
113.159180 84.967 166.8015
113.525391 84.858 165.9488
113.891602 84.667 165.6679
114.257812 84.502 166.3775
114.624023 84.497 167.6897
114.990234 84.681 168.5484
115.356445 84.932 168.1663
115.722656 85.085 166.6927
116.088867 85.048 165.0092
116.455078 84.854 164.1575
116.821289 84.651 164.7023
117.187500 84.606 166.1973
117.553711 84.764 167.4054
117.919922 84.993 167.4212
118.286133 85.120 166.3846
118.652344 85.053 165.1943
119.018555 84.833 164.8752
119.384766 84.607 165.9620
119.750977 84.547 168.0162
120.117188 84.707 169.8319
120.483398 84.981 170.4415
120.849609 85.215 169.7645
121.215820 85.313 168.3580
121.582031 85.262 166.9065
121.948242 85.110 165.8860
122.314453 84.927 165.4331
122.680664 84.763 165.4012
123.046875 84.633 165.5574
123.413086 84.531 165.7682
123.779297 84.448 166.0340
124.145508 84.393 166.3831
124.511719 84.378 166.7648
124.877930 84.408 167.0412
125.244141 84.471 167.0754
125.610352 84.540 166.8234
125.976562 84.592 166.3547
126.342773 84.616 165.8010
126.708984 84.613 165.2926
127.075195 84.593 164.9101
127.441406 84.564 164.6818
127.807617 84.536 164.6081
128.173828 84.514 164.6810
128.540039 84.506 164.8784
128.906250 84.520 165.1415
129.272461 84.559 165.3676
129.638672 84.612 165.4496
130.004883 84.660 165.3385
130.371094 84.682 165.0912
130.737305 84.668 164.8500
131.103516 84.625 164.7728
131.469727 84.580 164.9362
131.835938 84.559 165.2787
132.202148 84.574 165.6289
132.568359 84.616 165.8118
132.934570 84.662 165.7521
133.300781 84.691 165.4965
133.666992 84.692 165.1598
134.033203 84.668 164.8471
134.399414 84.628 164.6087
134.765625 84.580 164.4517
135.131836 84.527 164.3734
135.498047 84.472 164.3893
135.864258 84.420 164.5230
136.230469 84.380 164.7762
136.596680 84.362 165.1011
136.962891 84.371 165.4095
137.329102 84.402 165.6104
137.695312 84.444 165.6573
138.061523 84.484 165.5528
138.427734 84.515 165.3315
138.793945 84.533 165.0268
139.160156 84.535 164.6675
139.526367 84.516 164.2900
139.892578 84.475 163.9598
140.258789 84.414 163.7710
140.625000 84.347 163.8112
140.991211 84.298 164.0975
141.357422 84.290 164.5256
141.723633 84.331 164.8835
142.089844 84.404 164.9656
142.456055 84.471 164.7017
142.822266 84.499 164.2152
143.188477 84.475 163.7533
143.554688 84.418 163.5470
143.920898 84.368 163.6611
144.287109 84.358 163.9363
144.653320 84.389 164.0935
145.019531 84.430 163.9516
145.385742 84.438 163.5679
145.751953 84.393 163.1941
146.118164 84.312 163.1010
146.484375 84.239 163.3820
146.850586 84.215 163.8691
147.216797 84.247 164.2458
147.583008 84.302 164.2883
147.949219 84.336 164.0144
148.315430 84.327 163.6300
148.681641 84.282 163.3651
149.047852 84.228 163.3193
149.414062 84.190 163.4292
