* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 21, 24 1:21:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: sp01 bl L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 42.554 -122.1231
0.732422 63.136 -61.0135
1.098633 74.021 -70.9670
1.464844 80.547 -78.5709
1.831055 82.506 -84.3915
2.197266 84.038 -89.1524
2.563477 85.296 -93.1714
2.929688 86.364 -96.7710
3.295898 87.269 -99.9768
3.662109 88.058 -102.8555
4.028320 88.759 -105.5420
4.394531 89.386 -108.1163
4.760742 89.942 -110.6120
5.126953 90.435 -113.0001
5.493164 90.874 -115.2135
5.859375 91.271 -117.2395
6.225586 91.644 -119.0879
6.591797 92.004 -120.8125
6.958008 92.356 -122.4994
7.324219 92.700 -124.2309
7.690430 93.021 -126.0308
8.056641 93.311 -127.8733
8.422852 93.562 -129.6727
8.789062 93.784 -131.3733
9.155273 93.978 -132.9371
9.521484 94.161 -134.3627
9.887695 94.333 -135.6857
10.253906 94.452 -136.9713
10.620117 94.541 -138.1522
10.986328 94.621 -139.2137
11.352539 94.708 -140.3687
11.718750 94.785 -141.4733
12.084961 94.852 -142.5723
12.451172 94.909 -143.7408
12.817383 94.982 -144.8333
13.183594 95.048 -145.8877
13.549805 95.108 -146.8940
13.916016 95.161 -147.8022
14.282227 95.216 -148.7246
14.648438 95.267 -149.6336
15.014648 95.312 -150.5219
15.380859 95.352 -151.4735
15.747070 95.382 -152.3840
16.113281 95.405 -153.2625
16.479492 95.428 -154.1254
16.845703 95.442 -154.9173
17.211914 95.453 -155.6619
17.578125 95.463 -156.3457
17.944336 95.476 -156.9546
18.310547 95.497 -157.5628
18.676758 95.524 -158.1691
19.042969 95.552 -158.7976
19.409180 95.578 -159.4820
19.775391 95.595 -160.1732
20.141602 95.605 -160.8568
20.507812 95.609 -161.5153
20.874023 95.609 -162.1129
21.240234 95.611 -162.6814
21.606445 95.616 -163.2295
21.972656 95.623 -163.7671
22.338867 95.631 -164.3337
22.705078 95.636 -164.9050
23.071289 95.637 -165.4710
23.437500 95.635 -166.0309
23.803711 95.630 -166.5520
24.169922 95.627 -167.0502
24.536133 95.627 -167.5421
24.902344 95.628 -168.0283
25.268555 95.627 -168.5231
25.634766 95.624 -169.0062
26.000977 95.618 -169.4565
26.367188 95.614 -169.8907
26.733398 95.613 -170.2994
27.099609 95.617 -170.7099
27.465820 95.622 -171.1448
27.832031 95.624 -171.5933
28.198242 95.621 -172.0444
28.564453 95.616 -172.4755
28.930664 95.610 -172.8735
29.296875 95.605 -173.2607
29.663086 95.602 -173.6454
30.029297 95.598 -174.0299
30.395508 95.593 -174.4103
30.761719 95.588 -174.7634
31.127930 95.588 -175.0987
31.494141 95.593 -175.4499
31.860352 95.603 -175.8446
32.226562 95.609 -176.3038
32.592773 95.605 -176.7987
32.958984 95.588 -177.2675
33.325195 95.563 -177.6595
33.691406 95.539 -177.9505
34.057617 95.526 -178.1735
34.423828 95.527 -178.4002
34.790039 95.536 -178.6762
35.156250 95.544 -179.0184
35.522461 95.546 -179.3976
35.888672 95.538 -179.7606
36.254883 95.526 179.9233
36.621094 95.517 179.6600
36.987305 95.513 179.4240
37.353516 95.515 179.1744
37.719727 95.520 178.8921
38.085938 95.522 178.5775
38.452148 95.519 178.2476
38.818359 95.511 177.9329
39.184570 95.500 177.6450
39.550781 95.490 177.3820
39.916992 95.482 177.1333
40.283203 95.477 176.8814
40.649414 95.473 176.6219
41.015625 95.468 176.3575
41.381836 95.463 176.0902
41.748047 95.459 175.8273
42.114258 95.455 175.5622
42.480469 95.452 175.2842
42.846680 95.448 174.9958
43.212891 95.442 174.7021
43.579102 95.433 174.4155
43.945312 95.422 174.1486
44.311523 95.412 173.9030
44.677734 95.405 173.6738
45.043945 95.400 173.4464
45.410156 95.397 173.2045
45.776367 95.394 172.9503
46.142578 95.388 172.6899
46.508789 95.380 172.4349
46.875000 95.370 172.1973
47.241211 95.360 171.9782
47.607422 95.352 171.7739
47.973633 95.346 171.5739
48.339844 95.342 171.3628
48.706055 95.338 171.1355
49.072266 95.333 170.8952
49.438477 95.324 170.6542
49.804688 95.312 170.4319
50.170898 95.302 170.2349
50.537109 95.294 170.0530
50.903320 95.291 169.8652
51.269531 95.290 169.6525
51.635742 95.286 169.4170
52.001953 95.279 169.1794
52.368164 95.269 168.9576
52.734375 95.259 168.7624
53.100586 95.253 168.5765
53.466797 95.248 168.3753
53.833008 95.243 168.1530
54.199219 95.233 167.9286
54.565430 95.220 167.7315
54.931641 95.209 167.5734
55.297852 95.203 167.4280
55.664062 95.204 167.2541
56.030273 95.204 167.0246
56.396484 95.195 166.7541
56.762695 95.176 166.5025
57.128906 95.150 166.3262
57.495117 95.128 166.2359
57.861328 95.120 166.1819
58.227539 95.123 166.0861
58.593750 95.131 165.9017
58.959961 95.130 165.6440
59.326172 95.116 165.3755
59.692383 95.092 165.1631
60.058594 95.068 165.0318
60.424805 95.053 164.9529
60.791016 95.049 164.8718
61.157227 95.050 164.7459
61.523438 95.051 164.5710
61.889648 95.047 164.3735
62.255859 95.040 164.1808
62.622070 95.033 163.9997
62.988281 95.026 163.8195
63.354492 95.018 163.6240
63.720703 95.007 163.4217
64.086914 94.992 163.2299
64.453125 94.976 163.0659
64.819336 94.960 162.9280
65.185547 94.948 162.7990
65.551758 94.937 162.6614
65.917969 94.926 162.5123
66.284180 94.912 162.3620
66.650391 94.896 162.2252
67.016602 94.881 162.1092
67.382812 94.867 162.0050
67.749023 94.856 161.8992
68.115234 94.848 161.7786
68.481445 94.839 161.6405
68.847656 94.829 161.4932
69.213867 94.817 161.3470
69.580078 94.804 161.2065
69.946289 94.791 161.0698
70.312500 94.779 160.9309
70.678711 94.767 160.7886
71.044922 94.754 160.6448
71.411133 94.741 160.5019
71.777344 94.727 160.3622
72.143555 94.713 160.2263
72.509766 94.700 160.0947
72.875977 94.686 159.9691
73.242188 94.673 159.8482
73.608398 94.661 159.7291
73.974609 94.649 159.6058
74.340820 94.639 159.4728
74.707031 94.626 159.3334
75.073242 94.612 159.1979
75.439453 94.595 159.0760
75.805664 94.580 158.9721
76.171875 94.567 158.8754
76.538086 94.557 158.7688
76.904297 94.546 158.6425
77.270508 94.533 158.5035
77.636719 94.517 158.3719
78.002930 94.500 158.2629
78.369141 94.484 158.1712
78.735352 94.471 158.0781
79.101562 94.461 157.9614
79.467773 94.450 157.8167
79.833984 94.433 157.6621
80.200195 94.413 157.5263
80.566406 94.392 157.4255
80.932617 94.374 157.3505
81.298828 94.361 157.2714
81.665039 94.350 157.1652
82.031250 94.338 157.0283
82.397461 94.322 156.8801
82.763672 94.301 156.7513
83.129883 94.278 156.6602
83.496094 94.259 156.6020
83.862305 94.245 156.5507
84.228516 94.236 156.4777
84.594727 94.229 156.3687
84.960938 94.218 156.2287
85.327148 94.203 156.0746
85.693359 94.182 155.9327
86.059570 94.159 155.8232
86.425781 94.135 155.7555
86.791992 94.116 155.7158
87.158203 94.103 155.6784
87.524414 94.095 155.6157
87.890625 94.089 155.5129
88.256836 94.080 155.3745
88.623047 94.066 155.2180
88.989258 94.046 155.0693
89.355469 94.021 154.9449
89.721680 93.997 154.8541
90.087891 93.974 154.7878
90.454102 93.954 154.7316
90.820312 93.937 154.6758
91.186523 93.922 154.6176
91.552734 93.908 154.5566
91.918945 93.896 154.4910
92.285156 93.884 154.4175
92.651367 93.873 154.3329
93.017578 93.861 154.2366
93.383789 93.848 154.1292
93.750000 93.834 154.0190
94.116211 93.818 153.9131
94.482422 93.800 153.8183
94.848633 93.781 153.7377
95.214844 93.764 153.6692
95.581055 93.749 153.6044
95.947266 93.736 153.5309
96.313477 93.723 153.4415
96.679688 93.708 153.3372
97.045898 93.690 153.2337
97.412109 93.668 153.1488
97.778320 93.647 153.0925
98.144531 93.630 153.0530
98.510742 93.617 153.0066
98.876953 93.605 152.9351
99.243164 93.592 152.8389
99.609375 93.575 152.7383
99.975586 93.556 152.6541
100.341797 93.537 152.5926
100.708008 93.522 152.5394
101.074219 93.508 152.4776
101.440430 93.495 152.4019
101.806641 93.481 152.3194
102.172852 93.464 152.2430
102.539062 93.447 152.1792
102.905273 93.433 152.1242
103.271484 93.420 152.0662
103.637695 93.407 151.9987
104.003906 93.394 151.9248
104.370117 93.380 151.8519
104.736328 93.367 151.7795
105.102539 93.353 151.7026
105.468750 93.339 151.6181
105.834961 93.322 151.5342
106.201172 93.303 151.4633
106.567383 93.285 151.4108
106.933594 93.270 151.3673
107.299805 93.257 151.3127
107.666016 93.243 151.2333
108.032227 93.226 151.1382
108.398438 93.205 151.0564
108.764648 93.181 151.0151
109.130859 93.161 151.0162
109.497070 93.149 151.0298
109.863281 93.145 151.0118
110.229492 93.142 150.9348
110.595703 93.134 150.8091
110.961914 93.118 150.6741
111.328125 93.095 150.5703
111.694336 93.071 150.5151
112.060547 93.051 150.4937
112.426758 93.038 150.4743
112.792969 93.029 150.4302
113.159180 93.019 150.3566
113.525391 93.005 150.2684
113.891602 92.988 150.1869
114.257812 92.969 150.1235
114.624023 92.951 150.0741
114.990234 92.934 150.0281
115.356445 92.918 149.9776
115.722656 92.901 149.9274
116.088867 92.883 149.8869
116.455078 92.866 149.8636
116.821289 92.851 149.8547
117.187500 92.840 149.8474
117.553711 92.832 149.8242
117.919922 92.827 149.7728
118.286133 92.819 149.6930
118.652344 92.808 149.6002
119.018555 92.793 149.5171
119.384766 92.776 149.4595
119.750977 92.762 149.4271
120.117188 92.752 149.4002
120.483398 92.745 149.3520
120.849609 92.738 149.2673
121.215820 92.727 149.1544
121.582031 92.708 149.0416
121.948242 92.684 148.9604
122.314453 92.660 148.9243
122.680664 92.639 148.9213
123.046875 92.624 148.9227
123.413086 92.611 148.9036
123.779297 92.598 148.8618
124.145508 92.581 148.8153
124.511719 92.563 148.7842
124.877930 92.546 148.7715
125.244141 92.534 148.7615
125.610352 92.524 148.7321
125.976562 92.515 148.6735
126.342773 92.502 148.5956
126.708984 92.486 148.5224
127.075195 92.468 148.4698
127.441406 92.451 148.4347
127.807617 92.438 148.4003
128.173828 92.427 148.3529
128.540039 92.414 148.2939
128.906250 92.400 148.2377
129.272461 92.385 148.1973
129.638672 92.373 148.1719
130.004883 92.365 148.1444
130.371094 92.359 148.0967
130.737305 92.353 148.0220
131.103516 92.342 147.9335
131.469727 92.328 147.8527
131.835938 92.311 147.7955
132.202148 92.295 147.7616
132.568359 92.280 147.7391
132.934570 92.266 147.7173
133.300781 92.253 147.6942
133.666992 92.240 147.6756
134.033203 92.227 147.6648
134.399414 92.214 147.6559
134.765625 92.203 147.6407
135.131836 92.193 147.6132
135.498047 92.182 147.5765
135.864258 92.170 147.5384
136.230469 92.156 147.5076
136.596680 92.142 147.4854
136.962891 92.130 147.4648
137.329102 92.120 147.4338
137.695312 92.109 147.3908
138.061523 92.097 147.3408
138.427734 92.084 147.2940
138.793945 92.069 147.2541
139.160156 92.055 147.2206
139.526367 92.042 147.1899
139.892578 92.030 147.1600
140.258789 92.018 147.1308
140.625000 92.006 147.1030
140.991211 91.994 147.0775
141.357422 91.982 147.0550
141.723633 91.971 147.0317
142.089844 91.960 147.0052
142.456055 91.949 146.9746
142.822266 91.937 146.9453
143.188477 91.925 146.9200
143.554688 91.912 146.8984
143.920898 91.900 146.8766
144.287109 91.889 146.8505
144.653320 91.876 146.8167
145.019531 91.863 146.7776
145.385742 91.848 146.7404
145.751953 91.833 146.7104
146.118164 91.817 146.6883
146.484375 91.802 146.6686
146.850586 91.789 146.6459
147.216797 91.775 146.6171
147.583008 91.761 146.5851
147.949219 91.747 146.5563
148.315430 91.732 146.5336
148.681641 91.719 146.5156
149.047852 91.707 146.4955
149.414062 91.695 146.4685
149.780273 91.683 146.4334
150.146484 91.669 146.3984
150.512695 91.655 146.3731
