* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 21, 24 1:27:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: sp01 c R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.685 67.9880
0.732422 64.172 13.6956
1.098633 72.162 -50.2098
1.464844 79.672 -73.9870
1.831055 82.136 -84.8640
2.197266 83.871 -91.3702
2.563477 85.215 -95.6959
2.929688 86.349 -98.9016
3.295898 87.342 -101.4828
3.662109 88.243 -103.8400
4.028320 89.059 -106.2738
4.394531 89.775 -108.8493
4.760742 90.378 -111.4613
5.126953 90.881 -113.9145
5.493164 91.309 -116.0362
5.859375 91.700 -117.8180
6.225586 92.084 -119.3738
6.591797 92.473 -120.8916
6.958008 92.858 -122.5350
7.324219 93.220 -124.3681
7.690430 93.537 -126.3284
8.056641 93.802 -128.2957
8.422852 94.017 -130.1270
8.789062 94.205 -131.7611
9.155273 94.376 -133.1956
9.521484 94.549 -134.4838
9.887695 94.722 -135.7145
10.253906 94.849 -136.9900
10.620117 94.944 -138.2511
10.986328 95.018 -139.4532
11.352539 95.085 -140.7424
11.718750 95.130 -141.8968
12.084961 95.164 -142.9158
12.451172 95.204 -143.9001
12.817383 95.284 -144.8009
13.183594 95.374 -145.7715
13.549805 95.457 -146.8609
13.916016 95.516 -147.9759
14.282227 95.547 -149.1038
14.648438 95.556 -150.0844
15.014648 95.556 -150.8538
15.380859 95.572 -151.5524
15.747070 95.605 -152.2079
16.113281 95.649 -152.9500
16.479492 95.693 -153.8326
16.845703 95.715 -154.7469
17.211914 95.716 -155.6239
17.578125 95.706 -156.3806
17.944336 95.696 -156.9912
18.310547 95.701 -157.5632
18.676758 95.716 -158.1329
19.042969 95.734 -158.7349
19.409180 95.748 -159.3872
19.775391 95.755 -160.0238
20.141602 95.758 -160.6329
20.507812 95.760 -161.2171
20.874023 95.762 -161.7601
21.240234 95.764 -162.2938
21.606445 95.768 -162.8090
21.972656 95.772 -163.2971
22.338867 95.781 -163.7965
22.705078 95.792 -164.3033
23.071289 95.804 -164.8363
23.437500 95.812 -165.4143
23.803711 95.815 -166.0043
24.169922 95.811 -166.6017
24.536133 95.801 -167.1913
24.902344 95.785 -167.7406
25.268555 95.765 -168.2407
25.634766 95.746 -168.6690
26.000977 95.734 -169.0296
26.367188 95.736 -169.3888
26.733398 95.751 -169.7918
27.099609 95.770 -170.2946
27.465820 95.780 -170.9006
27.832031 95.770 -171.5323
28.198242 95.739 -172.0928
28.564453 95.699 -172.4946
28.930664 95.668 -172.7180
29.296875 95.659 -172.8482
29.663086 95.675 -172.9992
30.029297 95.707 -173.2674
30.395508 95.737 -173.6832
30.761719 95.751 -174.1809
31.127930 95.745 -174.6715
31.494141 95.726 -175.0810
31.860352 95.706 -175.3761
32.226562 95.695 -175.5975
32.592773 95.697 -175.8096
32.958984 95.707 -176.0660
33.325195 95.716 -176.3920
33.691406 95.719 -176.7610
34.057617 95.714 -177.1324
34.423828 95.704 -177.4812
34.790039 95.695 -177.7926
35.156250 95.690 -178.0903
35.522461 95.689 -178.4043
35.888672 95.688 -178.7473
36.254883 95.684 -179.1191
36.621094 95.676 -179.4951
36.987305 95.663 -179.8502
37.353516 95.648 179.8257
37.719727 95.633 179.5411
38.085938 95.622 179.2938
38.452148 95.615 179.0736
38.818359 95.616 178.8703
39.184570 95.626 178.6511
39.550781 95.641 178.3814
39.916992 95.656 178.0441
40.283203 95.663 177.6497
40.649414 95.658 177.2461
41.015625 95.642 176.8886
41.381836 95.621 176.6059
41.748047 95.605 176.3947
42.114258 95.596 176.2127
42.480469 95.594 176.0126
42.846680 95.594 175.7802
43.212891 95.592 175.5222
43.579102 95.587 175.2590
43.945312 95.579 175.0048
44.311523 95.571 174.7583
44.677734 95.563 174.5178
45.043945 95.554 174.2848
45.410156 95.545 174.0617
45.776367 95.539 173.8551
46.142578 95.537 173.6494
46.508789 95.538 173.4189
46.875000 95.540 173.1484
47.241211 95.535 172.8455
47.607422 95.523 172.5472
47.973633 95.504 172.2955
48.339844 95.485 172.1055
48.706055 95.473 171.9630
49.072266 95.468 171.8289
49.438477 95.469 171.6679
49.804688 95.472 171.4742
50.170898 95.472 171.2596
50.537109 95.471 171.0386
50.903320 95.468 170.8141
51.269531 95.465 170.5770
51.635742 95.459 170.3268
52.001953 95.447 170.0809
52.368164 95.430 169.8625
52.734375 95.412 169.6950
53.100586 95.400 169.5688
53.466797 95.395 169.4490
53.833008 95.397 169.3002
54.199219 95.401 169.1064
54.565430 95.402 168.8771
54.931641 95.400 168.6346
55.297852 95.394 168.3926
55.664062 95.386 168.1578
56.030273 95.376 167.9291
56.396484 95.365 167.7071
56.762695 95.351 167.5042
57.128906 95.338 167.3271
57.495117 95.325 167.1724
57.861328 95.314 167.0288
58.227539 95.303 166.8907
58.593750 95.291 166.7683
58.959961 95.280 166.6750
59.326172 95.274 166.6050
59.692383 95.274 166.5300
60.058594 95.279 166.4132
60.424805 95.283 166.2393
60.791016 95.280 166.0328
61.157227 95.267 165.8404
61.523438 95.250 165.6979
61.889648 95.237 165.6023
62.255859 95.233 165.5111
62.622070 95.234 165.3754
62.988281 95.234 165.1805
63.354492 95.225 164.9505
63.720703 95.208 164.7387
64.086914 95.188 164.5759
64.453125 95.173 164.4552
64.819336 95.163 164.3406
65.185547 95.156 164.2030
65.551758 95.147 164.0456
65.917969 95.136 163.8978
66.284180 95.125 163.7826
66.650391 95.119 163.6924
67.016602 95.120 163.5916
67.382812 95.125 163.4403
67.749023 95.126 163.2336
68.115234 95.117 163.0043
68.481445 95.099 162.8070
68.847656 95.077 162.6821
69.213867 95.058 162.6263
69.580078 95.049 162.5928
69.946289 95.048 162.5251
70.312500 95.047 162.3976
70.678711 95.038 162.2373
71.044922 95.022 162.0999
71.411133 95.003 162.0233
71.777344 94.992 161.9928
72.143555 94.994 161.9428
72.509766 95.002 161.8063
72.875977 95.004 161.5683
73.242188 94.991 161.2816
73.608398 94.961 161.0341
73.974609 94.925 160.8846
74.340820 94.897 160.8211
74.707031 94.882 160.7769
75.073242 94.874 160.6871
75.439453 94.866 160.5395
75.805664 94.851 160.3816
76.171875 94.832 160.2664
76.538086 94.817 160.2012
76.904297 94.813 160.1389
77.270508 94.814 160.0212
77.636719 94.812 159.8366
78.002930 94.797 159.6373
78.369141 94.770 159.4997
78.735352 94.744 159.4686
79.101562 94.729 159.5144
79.467773 94.731 159.5533
79.833984 94.743 159.5068
80.200195 94.753 159.3555
80.566406 94.748 159.1453
80.932617 94.728 158.9521
81.298828 94.697 158.8340
81.665039 94.667 158.8080
82.031250 94.646 158.8425
82.397461 94.637 158.8769
82.763672 94.637 158.8523
83.129883 94.638 158.7348
83.496094 94.630 158.5353
83.862305 94.604 158.3110
84.228516 94.563 158.1462
84.594727 94.516 158.1086
84.960938 94.480 158.1961
85.327148 94.469 158.3162
85.693359 94.481 158.3386
86.059570 94.498 158.1771
86.425781 94.499 157.8585
86.791992 94.470 157.5070
87.158203 94.417 157.2768
87.524414 94.361 157.2513
87.890625 94.328 157.3844
88.256836 94.327 157.5243
88.623047 94.349 157.5155
88.989258 94.368 157.3089
89.355469 94.365 156.9811
89.721680 94.336 156.6812
90.087891 94.293 156.5201
90.454102 94.255 156.5076
90.820312 94.234 156.5592
91.186523 94.229 156.5688
91.552734 94.227 156.4883
91.918945 94.215 156.3540
92.285156 94.190 156.2469
92.651367 94.161 156.2231
93.017578 94.139 156.2721
93.383789 94.129 156.3266
93.750000 94.127 156.3270
94.116211 94.122 156.2627
94.482422 94.108 156.1791
94.848633 94.087 156.1343
95.214844 94.067 156.1506
95.581055 94.056 156.1953
95.947266 94.057 156.2047
96.313477 94.061 156.1346
96.679688 94.058 155.9888
97.045898 94.044 155.8177
97.412109 94.019 155.6765
97.778320 93.992 155.5927
98.144531 93.968 155.5482
98.510742 93.949 155.5051
98.876953 93.930 155.4427
99.243164 93.909 155.3741
99.609375 93.885 155.3356
99.975586 93.864 155.3471
100.341797 93.853 155.3852
100.708008 93.854 155.3882
101.074219 93.860 155.3008
101.440430 93.861 155.1177
101.806641 93.846 154.8921
102.172852 93.815 154.7092
102.539062 93.777 154.6324
102.905273 93.747 154.6592
103.271484 93.733 154.7167
103.637695 93.732 154.7144
104.003906 93.732 154.6096
104.370117 93.721 154.4390
104.736328 93.694 154.2867
105.102539 93.659 154.2245
105.468750 93.630 154.2576
105.834961 93.613 154.3245
106.201172 93.608 154.3451
106.567383 93.603 154.2868
106.933594 93.588 154.1886
107.299805 93.562 154.1268
107.666016 93.532 154.1514
108.032227 93.513 154.2462
108.398438 93.508 154.3413
108.764648 93.513 154.3665
109.130859 93.517 154.3029
109.497070 93.512 154.1888
109.863281 93.496 154.0823
110.229492 93.476 154.0166
110.595703 93.457 153.9840
110.961914 93.441 153.9540
111.328125 93.426 153.9049
111.694336 93.408 153.8449
112.060547 93.386 153.7997
112.426758 93.363 153.7878
112.792969 93.344 153.8027
113.159180 93.330 153.8202
113.525391 93.318 153.8202
113.891602 93.307 153.8024
114.257812 93.294 153.7813
114.624023 93.282 153.7664
114.990234 93.273 153.7498
115.356445 93.267 153.7081
115.722656 93.259 153.6254
116.088867 93.246 153.5103
116.455078 93.222 153.4022
116.821289 93.190 153.3531
117.187500 93.158 153.3969
117.553711 93.137 153.5220
117.919922 93.132 153.6690
118.286133 93.143 153.7598
118.652344 93.160 153.7436
119.018555 93.173 153.6233
119.384766 93.174 153.4482
119.750977 93.162 153.2810
120.117188 93.144 153.1600
120.483398 93.123 153.0847
120.849609 93.105 153.0324
121.215820 93.086 152.9872
121.582031 93.066 152.9570
121.948242 93.045 152.9636
122.314453 93.028 153.0149
122.680664 93.021 153.0886
123.046875 93.022 153.1388
123.413086 93.029 153.1267
123.779297 93.034 153.0503
124.145508 93.031 152.9427
124.511719 93.021 152.8452
124.877930 93.009 152.7740
125.244141 93.000 152.7116
125.610352 92.993 152.6254
125.976562 92.981 152.5032
126.342773 92.959 152.3732
126.708984 92.928 152.2954
127.075195 92.894 152.3158
127.441406 92.870 152.4253
127.807617 92.864 152.5530
128.173828 92.873 152.6082
128.540039 92.884 152.5441
128.906250 92.884 152.3931
129.272461 92.868 152.2437
129.638672 92.845 152.1736
130.004883 92.828 152.1862
130.371094 92.827 152.2047
130.737305 92.835 152.1325
131.103516 92.836 151.9413
131.469727 92.819 151.7013
131.835938 92.781 151.5345
132.202148 92.737 151.5214
132.568359 92.707 151.6372
132.934570 92.699 151.7709
133.300781 92.705 151.8160
133.666992 92.710 151.7532
134.033203 92.702 151.6517
134.399414 92.684 151.5955
134.765625 92.668 151.6109
135.131836 92.661 151.6480
135.498047 92.663 151.6390
135.864258 92.662 151.5672
136.230469 92.651 151.4832
136.596680 92.635 151.4480
136.962891 92.624 151.4646
137.329102 92.623 151.4647
137.695312 92.626 151.3794
138.061523 92.619 151.2106
138.427734 92.592 151.0475
138.793945 92.552 150.9940
139.160156 92.517 151.0828
139.526367 92.503 151.2352
139.892578 92.510 151.3201
140.258789 92.520 151.2604
140.625000 92.516 151.0952
140.991211 92.489 150.9477
141.357422 92.452 150.9290
141.723633 92.424 151.0475
142.089844 92.419 151.2048
142.456055 92.432 151.2695
142.822266 92.448 151.1805
143.188477 92.447 150.9818
143.554688 92.424 150.7888
143.920898 92.385 150.7099
144.287109 92.348 150.7814
144.653320 92.328 150.9458
145.019531 92.330 151.0947
145.385742 92.344 151.1390
145.751953 92.356 151.0603
146.118164 92.353 150.9174
146.484375 92.333 150.8035
146.850586 92.307 150.7864
147.216797 92.289 150.8618
147.583008 92.286 150.9575
147.949219 92.294 150.9877
148.315430 92.302 150.9164
148.681641 92.298 150.7864
149.047852 92.280 150.6812
149.414062 92.257 150.6610
149.780273 92.240 150.7123
150.146484 92.236 150.7657
150.512695 92.239 150.7545
