* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 25, 24 3:43:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: splendor ii dsp L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	45.218	-126.7258
1.015000	45.408	-127.8083
1.030000	45.597	-128.8627
1.044000	45.771	-129.8219
1.060000	45.968	-130.8894
1.075000	46.149	-131.8629
1.090000	46.327	-132.8107
1.106000	46.514	-133.7914
1.120000	46.676	-134.6106
1.138000	46.884	-135.6090
1.150000	47.023	-136.2419
1.172000	47.276	-137.3380
1.180000	47.368	-137.7169
1.206000	47.666	-138.8813
1.220000	47.825	-139.4683
1.241000	48.065	-140.3007
1.250000	48.167	-140.6409
1.265000	48.337	-141.1877
1.280000	48.507	-141.7107
1.315000	48.902	-142.8499
1.320000	48.958	-143.0044
1.340000	49.182	-143.6051
1.360000	49.406	-144.1814
1.380000	49.630	-144.7379
1.400000	49.852	-145.2795
1.430000	50.185	-146.0741
1.450000	50.406	-146.5989
1.475000	50.682	-147.2513
1.500000	50.956	-147.8516
1.525000	51.228	-148.3926
1.550000	51.500	-148.8808
1.575000	51.770	-149.3224
1.600000	52.039	-149.7239
1.625000	52.307	-150.0914
1.650000	52.574	-150.4314
1.675000	52.841	-150.7502
1.700000	53.107	-151.0542
1.725000	53.373	-151.3495
1.750000	53.638	-151.6427
1.775000	53.904	-151.9400
1.800000	54.169	-152.2478
1.825000	54.435	-152.5723
1.850000	54.701	-152.9068
1.875000	54.967	-153.2244
1.900000	55.234	-153.5268
1.925000	55.501	-153.8169
1.950000	55.768	-154.0974
1.975000	56.034	-154.3712
2.000000	56.300	-154.6414
2.030000	56.618	-154.9646
2.060000	56.935	-155.2916
2.090000	57.250	-155.6273
2.120000	57.563	-155.9765
2.140000	57.771	-156.2194
2.180000	58.183	-156.7360
2.200000	58.387	-157.0124
2.240000	58.794	-157.5855
2.270000	59.097	-158.0273
2.300000	59.400	-158.4798
2.330000	59.701	-158.9432
2.360000	60.000	-159.4179
2.400000	60.396	-160.0691
2.430000	60.689	-160.5715
2.470000	61.076	-161.2608
2.500000	61.362	-161.7927
2.540000	61.737	-162.5225
2.580000	62.106	-163.2771
2.620000	62.468	-164.0607
2.650000	62.737	-164.6666
2.690000	63.091	-165.4960
2.720000	63.353	-166.1327
2.760000	63.696	-166.9986
2.800000	64.034	-167.8810
2.850000	64.448	-169.0026
2.900000	64.851	-170.1392
2.950000	65.243	-171.2873
3.000000	65.626	-172.4631
3.040000	65.924	-173.4233
3.070000	66.144	-174.1528
3.110000	66.431	-175.1351
3.150000	66.713	-176.1255
3.200000	67.056	-177.3699
3.250000	67.390	-178.6155
3.300000	67.716	-179.8560
3.350000	68.031	178.8987
3.400000	68.336	177.6422
3.450000	68.632	176.3793
3.500000	68.919	175.1151
3.550000	69.198	173.8544
3.600000	69.469	172.6024
3.650000	69.733	171.3639
3.700000	69.989	170.1381
3.750000	70.236	168.9149
3.820000	70.568	167.2123
3.870000	70.796	166.0075
3.950000	71.147	164.1084
4.000000	71.359	162.9444
4.060000	71.607	161.5740
4.120000	71.845	160.2242
4.180000	72.073	158.8956
4.250000	72.328	157.3752
4.310000	72.540	156.0998
4.370000	72.747	154.8524
4.440000	72.982	153.4345
4.500000	73.175	152.2502
4.550000	73.331	151.2840
4.620000	73.544	149.9612
4.680000	73.721	148.8536
4.750000	73.925	147.5902
4.820000	74.125	146.3605
4.870000	74.264	145.5056
4.940000	74.454	144.3369
5.000000	74.613	143.3570
5.080000	74.823	142.0748
5.150000	75.004	140.9702
5.220000	75.183	139.8913
5.300000	75.383	138.6874
5.380000	75.579	137.5052
5.450000	75.749	136.4810
5.520000	75.916	135.4604
5.600000	76.105	134.3082
5.700000	76.337	132.8870
5.800000	76.563	131.4775
5.900000	76.783	130.0709
6.000000	76.998	128.6696
6.080000	77.165	127.5546
6.150000	77.308	126.5841
6.220000	77.447	125.6190
6.300000	77.602	124.5206
6.400000	77.788	123.1537
6.500000	77.968	121.8015
6.600000	78.141	120.4719
6.700000	78.306	119.1625
6.800000	78.464	117.8724
6.900000	78.617	116.6083
7.000000	78.764	115.3761
7.100000	78.906	114.1736
7.200000	79.042	112.9993
7.300000	79.175	111.8530
7.400000	79.306	110.7362
7.500000	79.433	109.6504
7.620000	79.582	108.3785
7.750000	79.741	107.0288
7.880000	79.898	105.7157
8.000000	80.041	104.5243
8.120000	80.181	103.3412
8.250000	80.330	102.0750
8.380000	80.477	100.8194
8.500000	80.608	99.6635
8.620000	80.735	98.5121
8.750000	80.869	97.2746
8.850000	80.968	96.3309
9.000000	81.110	94.9253
9.120000	81.219	93.8183
9.250000	81.331	92.6426
9.380000	81.438	91.4879
9.500000	81.533	90.4457
9.620000	81.627	89.4297
9.750000	81.725	88.3561
9.880000	81.815	87.3077
10.000000	81.889	86.3631
10.150000	81.970	85.2120
10.300000	82.047	84.0822
10.440000	82.114	83.0482
10.600000	82.187	81.8853
10.750000	82.255	80.8072
10.900000	82.320	79.7437
11.060000	82.387	78.6267
11.200000	82.442	77.6629
11.380000	82.510	76.4508
11.500000	82.554	75.6614
11.720000	82.630	74.2512
11.800000	82.657	73.7518
12.060000	82.745	72.1697
12.200000	82.792	71.3344
12.410000	82.865	70.0972
12.500000	82.901	69.5629
12.650000	82.969	68.6712
12.800000	83.037	67.7700
13.150000	83.187	65.6092
13.200000	83.206	65.2973
13.400000	83.278	64.0357
13.600000	83.339	62.7876
13.800000	83.389	61.5620
14.000000	83.429	60.3927
14.300000	83.477	58.7595
14.500000	83.505	57.7673
14.750000	83.543	56.6100
15.000000	83.588	55.5270
15.250000	83.642	54.4649
15.500000	83.701	53.3880
15.750000	83.762	52.2791
16.000000	83.820	51.1292
16.250000	83.872	49.9641
16.500000	83.916	48.8025
16.750000	83.950	47.6738
17.000000	83.978	46.5976
17.250000	84.002	45.5762
17.500000	84.025	44.6095
17.750000	84.050	43.6812
18.000000	84.075	42.7818
18.250000	84.102	41.9008
18.500000	84.129	41.0314
18.750000	84.156	40.1727
19.000000	84.183	39.3236
19.250000	84.209	38.4824
19.500000	84.234	37.6468
19.750000	84.257	36.8150
20.000000	84.278	35.9863
20.299999	84.298	35.0038
20.600000	84.313	34.0463
20.900000	84.324	33.1284
21.200001	84.332	32.2608
21.400000	84.339	31.7084
21.799999	84.355	30.6443
22.000000	84.366	30.1183
22.400000	84.391	29.0469
22.700001	84.408	28.2151
23.000000	84.420	27.3653
23.299999	84.425	26.5194
23.600000	84.422	25.6990
24.000000	84.412	24.6706
24.299999	84.403	23.9534
24.700001	84.392	23.0547
25.000000	84.387	22.4060
25.400000	84.383	21.5553
25.799999	84.381	20.7117
26.200001	84.377	19.8774
26.500000	84.373	19.2612
26.900000	84.366	18.4554
27.200001	84.360	17.8650
27.600000	84.350	17.1014
28.000000	84.338	16.3735
28.500000	84.325	15.5197
29.000000	84.318	14.7083
29.500000	84.317	13.8967
30.000000	84.316	13.0547
30.400000	84.311	12.3684
30.700001	84.303	11.8616
31.100000	84.290	11.2149
31.500000	84.276	10.6066
32.000000	84.262	9.8812
32.500000	84.251	9.1624
33.000000	84.239	8.4440
33.500000	84.224	7.7513
34.000000	84.211	7.1000
34.500000	84.203	6.4629
35.000000	84.199	5.7986
35.500000	84.191	5.1010
36.000000	84.174	4.4137
36.500000	84.151	3.7865
37.000000	84.130	3.2313
37.500000	84.117	2.7161
38.200001	84.111	1.9725
38.700001	84.108	1.3871
39.500000	84.089	0.3926
40.000000	84.067	-0.1962
40.599998	84.039	-0.8279
41.200001	84.020	-1.4282
41.799999	84.005	-2.0634
42.500000	83.981	-2.8309
43.099998	83.958	-3.4580
43.700001	83.938	-4.0704
44.400002	83.913	-4.7900
45.000000	83.889	-5.3727
45.500000	83.872	-5.8181
46.200001	83.857	-6.4349
46.799999	83.847	-7.0048
47.500000	83.827	-7.6861
48.200001	83.800	-8.3254
48.700001	83.779	-8.7490
