* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 22, 24 11:39:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: titan s2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	49.285	-84.9814
1.015000	49.212	-85.9749
1.030000	49.137	-86.9569
1.044000	49.068	-87.8617
1.060000	48.988	-88.8821
1.075000	48.912	-89.8263
1.090000	48.835	-90.7589
1.106000	48.751	-91.7415
1.120000	48.676	-92.5915
1.138000	48.578	-93.6715
1.150000	48.511	-94.3839
1.172000	48.383	-95.6753
1.180000	48.336	-96.1404
1.206000	48.175	-97.6368
1.220000	48.085	-98.4336
1.241000	47.944	-99.6182
1.250000	47.881	-100.1223
1.265000	47.774	-100.9581
1.280000	47.662	-101.7889
1.315000	47.384	-103.7108
1.320000	47.342	-103.9837
1.340000	47.169	-105.0722
1.360000	46.992	-106.1650
1.380000	46.819	-107.2831
1.400000	46.651	-108.4204
1.430000	46.401	-110.1456
1.450000	46.231	-111.2972
1.475000	46.010	-112.7249
1.500000	45.777	-114.1254
1.525000	45.524	-115.4836
1.550000	45.247	-116.7846
1.575000	44.941	-118.0132
1.600000	44.601	-119.1545
1.625000	44.221	-120.1933
1.650000	43.796	-121.1146
1.675000	43.321	-121.9034
1.700000	42.771	-122.7141
1.725000	42.097	-123.9468
1.750000	41.322	-125.4897
1.775000	40.470	-127.2007
1.800000	39.565	-128.9378
1.825000	38.632	-130.5587
1.850000	37.696	-131.9215
1.875000	36.781	-132.8839
1.900000	35.912	-133.3038
1.925000	35.114	-133.0393
1.950000	34.412	-131.9480
1.975000	33.829	-129.8879
2.000000	33.392	-126.7170
2.030000	33.086	-121.1695
2.060000	32.975	-112.9598
2.090000	33.025	-102.3861
2.120000	33.214	-90.0088
2.140000	33.408	-81.0319
2.180000	33.929	-62.0851
2.200000	34.243	-52.4472
2.240000	34.951	-33.6728
2.270000	35.526	-20.6845
2.300000	36.115	-9.2554
2.330000	36.697	0.0539
2.360000	37.254	5.8226
2.400000	38.078	5.6588
2.430000	38.784	5.3925
2.470000	39.809	4.9015
2.500000	40.617	4.4690
2.540000	41.712	3.8620
2.580000	42.788	3.2836
2.620000	43.801	2.8027
2.650000	44.495	2.5477
2.690000	45.296	2.4036
2.720000	45.805	2.0011
2.760000	46.407	1.3406
2.800000	46.932	0.6082
2.850000	47.503	-0.3461
2.900000	48.000	-1.2690
2.950000	48.450	-2.0805
3.000000	48.877	-2.7008
3.040000	49.218	-3.0143
3.070000	49.460	-3.2040
3.110000	49.754	-3.4209
3.150000	50.021	-3.5712
3.200000	50.321	-3.6233
3.250000	50.589	-3.4738
