* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 8, 24 8:51:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: vader DDUU R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	49.590	-87.9722
1.015000	49.491	-88.8928
1.030000	49.389	-89.8007
1.044000	49.294	-90.6358
1.060000	49.183	-91.5754
1.075000	49.077	-92.4418
1.090000	48.969	-93.2939
1.106000	48.852	-94.1867
1.120000	48.747	-94.9542
1.138000	48.610	-95.9217
1.150000	48.516	-96.5545
1.172000	48.339	-97.6889
1.180000	48.273	-98.0930
1.206000	48.052	-99.3749
1.220000	47.928	-100.0449
1.241000	47.737	-101.0228
1.250000	47.653	-101.4318
1.265000	47.509	-102.0999
1.280000	47.361	-102.7507
1.315000	46.997	-104.2009
1.320000	46.943	-104.4002
1.340000	46.721	-105.1769
1.360000	46.490	-105.9390
1.380000	46.254	-106.7302
1.400000	46.011	-107.5412
1.430000	45.635	-108.7669
1.450000	45.376	-109.5717
1.475000	45.043	-110.5414
1.500000	44.698	-111.4477
1.525000	44.342	-112.2657
1.550000	43.974	-112.9706
1.575000	43.593	-113.5377
1.600000	43.200	-113.9421
1.625000	42.793	-114.1589
1.650000	42.373	-114.1635
1.675000	41.939	-113.9309
1.700000	41.480	-113.4641
1.725000	40.972	-112.8291
1.750000	40.425	-112.0320
1.775000	39.847	-111.0741
1.800000	39.249	-109.9572
1.825000	38.640	-108.6828
1.850000	38.031	-107.2525
1.875000	37.430	-105.6677
1.900000	36.849	-103.9302
1.925000	36.298	-102.0415
1.950000	35.785	-100.0032
1.975000	35.321	-97.8167
2.000000	34.915	-95.4838
2.030000	34.520	-92.4503
2.060000	34.218	-88.7719
2.090000	33.996	-84.4850
2.120000	33.839	-79.7552
2.140000	33.764	-76.4376
2.180000	33.664	-69.6293
2.200000	33.630	-66.2365
2.240000	33.577	-59.7194
2.270000	33.532	-55.2596
2.300000	33.466	-51.3508
2.330000	33.366	-48.1586
2.360000	33.217	-45.8340
2.400000	32.944	-43.1456
2.430000	32.700	-41.2191
2.470000	32.342	-39.0324
2.500000	32.065	-37.8579
2.540000	31.704	-37.1749
2.580000	31.379	-37.8010
2.620000	31.115	-40.0636
2.650000	30.973	-43.0312
2.690000	30.880	-48.9448
2.720000	30.859	-55.4799
2.760000	30.838	-67.5387
2.800000	30.847	-82.4240
2.850000	30.944	-103.3440
2.900000	31.186	-124.8466
2.950000	31.626	-144.8017
3.000000	32.317	-161.0794
3.040000	33.092	-170.1164
3.070000	33.862	-175.0018
3.110000	35.121	-179.7043
3.150000	36.574	177.3099
3.200000	38.550	175.4051
3.250000	40.563	174.8280
3.300000	42.467	174.8260
3.350000	44.113	174.6465
3.400000	45.429	174.0766
3.450000	46.568	174.1800
3.500000	47.573	174.8977
3.550000	48.477	176.0884
3.600000	49.311	177.6106
3.650000	50.108	179.3229
3.700000	50.901	-178.9160
3.750000	51.674	-176.9889
3.820000	52.665	-173.7444
3.870000	53.320	-171.1613
3.950000	54.302	-166.8229
4.000000	54.888	-164.1263
4.060000	55.576	-161.0225
4.120000	56.228	-157.8222
4.180000	56.843	-154.5424
4.250000	57.521	-150.7698
4.310000	58.077	-147.7142
4.370000	58.617	-144.9449
4.440000	59.222	-142.0784
4.500000	59.714	-139.8362
4.550000	60.107	-138.1148
4.620000	60.638	-135.9231
4.680000	61.077	-134.2415
4.750000	61.573	-132.5209
4.820000	62.045	-131.1136
4.870000	62.370	-130.2673
4.940000	62.808	-129.2470
5.000000	63.173	-128.4746
5.080000	63.646	-127.5285
5.150000	64.042	-126.8614
5.220000	64.423	-126.3305
5.300000	64.846	-125.8322
5.380000	65.259	-125.3843
5.450000	65.613	-125.0338
5.520000	65.956	-124.7560
5.600000	66.339	-124.4971
5.700000	66.813	-124.2091
5.800000	67.284	-123.9253
5.900000	67.748	-123.6773
6.000000	68.209	-123.4719
6.080000	68.578	-123.3405
6.150000	68.902	-123.2361
6.220000	69.226	-123.1497
6.300000	69.594	-123.0930
6.400000	70.051	-123.1190
6.500000	70.507	-123.2456
6.600000	70.959	-123.4669
6.700000	71.402	-123.8093
6.800000	71.832	-124.2972
6.900000	72.254	-124.9234
7.000000	72.662	-125.6562
7.100000	73.052	-126.4692
7.200000	73.425	-127.3923
7.300000	73.782	-128.3927
7.400000	74.122	-129.4156
7.500000	74.441	-130.4711
7.620000	74.802	-131.7817
7.750000	75.172	-133.1233
7.880000	75.517	-134.3643
8.000000	75.820	-135.4206
8.120000	76.120	-136.3347
8.250000	76.438	-137.1610
8.380000	76.759	-137.8590
8.500000	77.069	-138.3966
8.620000	77.388	-138.8233
8.750000	77.749	-139.2722
8.850000	78.041	-139.6183
9.000000	78.498	-140.1428
9.120000	78.870	-140.6774
9.250000	79.284	-141.3753
9.380000	79.697	-142.1858
9.500000	80.067	-143.0518
9.620000	80.431	-144.0324
9.750000	80.805	-145.1545
9.880000	81.154	-146.3350
10.000000	81.456	-147.4611
10.150000	81.802	-148.7769
10.300000	82.112	-150.0206
10.440000	82.382	-150.9973
10.600000	82.666	-151.8366
10.750000	82.927	-152.3688
10.900000	83.199	-152.5984
11.060000	83.507	-152.5884
11.200000	83.814	-152.4607
11.380000	84.254	-152.1491
11.500000	84.578	-152.0453
11.720000	85.234	-152.0387
11.800000	85.477	-152.1861
12.060000	86.291	-153.2278
12.200000	86.704	-154.1496
12.410000	87.283	-155.9748
12.500000	87.501	-156.8421
12.650000	87.830	-158.4393
12.800000	88.107	-160.0648
13.150000	88.524	-163.7074
13.200000	88.528	-164.1629
13.400000	88.433	-165.7726
13.600000	88.240	-166.7852
13.800000	87.991	-167.2103
14.000000	87.765	-166.9815
14.300000	87.540	-165.8263
14.500000	87.484	-164.7892
14.750000	87.521	-163.5502
15.000000	87.637	-162.8500
15.250000	87.781	-162.7583
15.500000	87.909	-163.2244
15.750000	87.971	-163.9996
16.000000	87.978	-164.8392
16.250000	87.946	-165.5915
16.500000	87.894	-166.1442
16.750000	87.837	-166.4264
17.000000	87.807	-166.5891
17.250000	87.810	-166.7594
17.500000	87.843	-167.0457
17.750000	87.879	-167.5080
18.000000	87.910	-168.1511
18.250000	87.927	-168.9188
18.500000	87.926	-169.7342
18.750000	87.899	-170.4753
19.000000	87.866	-171.1160
19.250000	87.836	-171.6528
19.500000	87.816	-172.0946
19.750000	87.806	-172.4710
20.000000	87.809	-172.8474
20.299999	87.829	-173.3373
20.600000	87.856	-173.8755
20.900000	87.880	-174.4390
21.200001	87.906	-175.0330
21.400000	87.922	-175.4335
21.799999	87.943	-176.2056
22.000000	87.951	-176.5857
22.400000	87.963	-177.3244
22.700001	87.964	-177.8176
23.000000	87.962	-178.2610
23.299999	87.964	-178.6833
23.600000	87.966	-179.0906
24.000000	87.965	-179.6404
24.299999	87.960	179.9123
24.700001	87.932	179.3503
25.000000	87.897	179.0182
25.400000	87.853	178.7312
25.799999	87.826	178.6317
26.200001	87.839	178.5324
26.500000	87.869	178.3413
26.900000	87.912	177.8696
27.200001	87.934	177.3452
27.600000	87.935	176.5649
28.000000	87.903	175.8533
28.500000	87.855	175.1637
29.000000	87.825	174.6631
29.500000	87.830	174.1194
30.000000	87.844	173.4272
30.400000	87.850	172.7447
30.700001	87.844	172.2136
