* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 8, 24 8:51:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: vader DUUU R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	50.295	-94.2528
1.015000	50.217	-95.1543
1.030000	50.137	-96.0400
1.044000	50.060	-96.8515
1.060000	49.971	-97.7607
1.075000	49.885	-98.5952
1.090000	49.797	-99.4122
1.106000	49.700	-100.2640
1.120000	49.614	-100.9925
1.138000	49.500	-101.9056
1.150000	49.421	-102.4996
1.172000	49.273	-103.5571
1.180000	49.218	-103.9315
1.206000	49.033	-105.1102
1.220000	48.929	-105.7204
1.241000	48.768	-106.6031
1.250000	48.697	-106.9692
1.265000	48.576	-107.5631
1.280000	48.451	-108.1363
1.315000	48.145	-109.3918
1.320000	48.100	-109.5617
1.340000	47.914	-110.2171
1.360000	47.720	-110.8456
1.380000	47.518	-111.4764
1.400000	47.307	-112.1035
1.430000	46.978	-113.0192
1.450000	46.749	-113.6009
1.475000	46.456	-114.2814
1.500000	46.153	-114.8948
1.525000	45.843	-115.4251
1.550000	45.527	-115.8562
1.575000	45.205	-116.1719
1.600000	44.879	-116.3562
1.625000	44.549	-116.3930
1.650000	44.217	-116.2662
1.675000	43.885	-115.9595
1.700000	43.545	-115.4537
1.725000	43.181	-114.7413
1.750000	42.798	-113.8423
1.775000	42.402	-112.7776
1.800000	41.996	-111.5683
1.825000	41.588	-110.2353
1.850000	41.181	-108.7998
1.875000	40.781	-107.2826
1.900000	40.394	-105.7049
1.925000	40.025	-104.0877
1.950000	39.679	-102.4518
1.975000	39.362	-100.8185
2.000000	39.078	-99.2086
2.030000	38.790	-97.2996
2.060000	38.555	-95.0834
2.090000	38.367	-92.5601
2.120000	38.217	-89.8390
2.140000	38.134	-87.9689
2.180000	38.000	-84.2399
2.200000	37.945	-82.4458
2.240000	37.845	-79.1601
2.270000	37.770	-77.0879
2.300000	37.688	-75.4732
2.330000	37.591	-74.4251
2.360000	37.470	-74.0475
2.400000	37.248	-74.2642
2.430000	37.043	-74.8333
2.470000	36.744	-76.1429
2.500000	36.519	-77.5441
2.540000	36.243	-79.9800
2.580000	36.022	-83.0745
2.620000	35.891	-86.8387
2.650000	35.869	-90.1079
2.690000	35.969	-95.0703
2.720000	36.142	-99.5562
2.760000	36.474	-106.9781
2.800000	36.909	-115.6023
2.850000	37.577	-127.3321
2.900000	38.357	-139.2300
2.950000	39.223	-150.3455
3.000000	40.147	-159.7284
3.040000	40.916	-165.3957
3.070000	41.553	-168.8131
3.110000	42.490	-172.5743
3.150000	43.500	-175.5439
3.200000	44.817	-178.3376
3.250000	46.140	179.6553
3.300000	47.409	178.1850
3.350000	48.565	177.0011
3.400000	49.579	176.0695
3.450000	50.516	175.8107
3.500000	51.391	176.1402
3.550000	52.214	176.9388
3.600000	52.995	178.0873
3.650000	53.745	179.4666
3.700000	54.474	-179.0425
3.750000	55.175	-177.3197
3.820000	56.087	-174.2848
3.870000	56.699	-171.8087
3.950000	57.625	-167.5910
4.000000	58.181	-164.9520
4.060000	58.832	-161.9105
4.120000	59.452	-158.7452
4.180000	60.040	-155.4731
4.250000	60.695	-151.6852
4.310000	61.235	-148.6050
4.370000	61.761	-145.8089
4.440000	62.353	-142.9026
4.500000	62.839	-140.6117
4.550000	63.229	-138.8439
4.620000	63.759	-136.5853
4.680000	64.200	-134.8506
4.750000	64.702	-133.0774
4.820000	65.184	-131.6159
4.870000	65.517	-130.7321
4.940000	65.971	-129.6667
5.000000	66.351	-128.8672
5.080000	66.845	-127.9076
5.150000	67.263	-127.2428
5.220000	67.668	-126.7281
5.300000	68.119	-126.2696
5.380000	68.561	-125.8893
5.450000	68.939	-125.6234
