* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 29, 24 12:57:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: wyvern abyss1 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	43.449	-46.8056
1.015000	43.121	-46.0959
1.030000	42.756	-45.2288
1.044000	42.379	-44.2861
1.060000	41.912	-43.0595
1.075000	41.443	-41.7733
1.090000	40.951	-40.3636
1.106000	40.405	-38.7327
1.120000	39.914	-37.2054
1.138000	39.273	-35.1153
1.150000	38.842	-33.6492
1.172000	38.058	-30.8255
1.180000	37.776	-29.7592
1.206000	36.889	-26.1676
1.220000	36.435	-24.1645
1.241000	35.797	-21.0868
1.250000	35.542	-19.7458
1.265000	35.147	-17.4876
1.280000	34.792	-15.2076
1.315000	34.151	-9.8477
1.320000	34.083	-9.0819
1.340000	33.882	-6.0299
1.360000	33.795	-2.9107
1.380000	33.815	0.5205
1.400000	33.930	4.2279
1.430000	34.260	10.1905
1.450000	34.567	14.3556
1.475000	35.031	19.6820
1.500000	35.564	25.0449
1.525000	36.145	30.3403
1.550000	36.753	35.4642
1.575000	37.365	40.3127
1.600000	37.962	44.7818
1.625000	38.521	48.7674
1.650000	39.023	52.1657
1.675000	39.444	54.8727
1.700000	39.791	56.8376
1.725000	40.123	58.1887
1.750000	40.445	58.9982
1.775000	40.756	59.3319
1.800000	41.055	59.2553
1.825000	41.343	58.8342
1.850000	41.618	58.1342
1.875000	41.881	57.2211
1.900000	42.130	56.1603
1.925000	42.365	55.0177
1.950000	42.586	53.8589
1.975000	42.792	52.7495
2.000000	42.983	51.7552
2.030000	43.190	50.7714
2.060000	43.364	49.7296
2.090000	43.506	48.5555
2.120000	43.621	47.2658
2.140000	43.685	46.3499
2.180000	43.791	44.4058
2.200000	43.835	43.3874
2.240000	43.912	41.2827
2.270000	43.967	39.6641
2.300000	44.025	38.0295
2.330000	44.091	36.3957
2.360000	44.169	34.7776
2.400000	44.266	32.5314
2.430000	44.328	30.7576
2.470000	44.402	28.3105
2.500000	44.456	26.4387
2.540000	44.531	23.9311
2.580000	44.617	21.4519
2.620000	44.724	19.0469
2.650000	44.821	17.3194
2.690000	44.982	15.1545
2.720000	45.123	13.5998
2.760000	45.330	11.5234
2.800000	45.557	9.4782
2.850000	45.869	7.0247
2.900000	46.210	4.7561
2.950000	46.580	2.7481
3.000000	46.976	1.0763
3.040000	47.313	0.0271
3.070000	47.582	-0.6182
3.110000	47.963	-1.3146
3.150000	48.364	-1.8264
3.200000	48.890	-2.2114
3.250000	49.433	-2.3190
3.300000	49.985	-2.1555
3.350000	50.538	-1.7271
3.400000	51.092	-1.0163
3.450000	51.662	0.0209
3.500000	52.243	1.3500
3.550000	52.831	2.9316
3.600000	53.419	4.7266
3.650000	54.001	6.6959
3.700000	54.570	8.8003
3.750000	55.132	11.1285
3.820000	55.915	14.8597
3.870000	56.468	17.7441
3.950000	57.336	22.4990
4.000000	57.864	25.4233
4.060000	58.478	28.7732
4.120000	59.075	32.1710
4.180000	59.657	35.6038
4.250000	60.316	39.5151
4.310000	60.863	42.6690
4.370000	61.393	45.5306
4.440000	61.987	48.4886
4.500000	62.478	50.7841
4.550000	62.874	52.5391
4.620000	63.411	54.7717
4.680000	63.858	56.4927
4.750000	64.364	58.2724
4.820000	64.848	59.7412
4.870000	65.183	60.6324
4.940000	65.638	61.7174
5.000000	66.020	62.5481
5.080000	66.519	63.5787
5.150000	66.942	64.3327
5.220000	67.352	64.9551
5.300000	67.812	65.5511
5.380000	68.268	66.0752
5.450000	68.663	66.4775
5.520000	69.052	66.8013
5.600000	69.491	67.0925
5.700000	70.037	67.3686
5.800000	70.582	67.5671
5.900000	71.123	67.6696
6.000000	71.659	67.6736
6.080000	72.083	67.6052
6.150000	72.452	67.4965
6.220000	72.819	67.3401
6.300000	73.232	67.0982
6.400000	73.737	66.6924
6.500000	74.230	66.1679
6.600000	74.710	65.5312
6.700000	75.174	64.7889
6.800000	75.618	63.9353
6.900000	76.045	62.9614
7.000000	76.454	61.9092
7.100000	76.844	60.8176
7.200000	77.212	59.6572
7.300000	77.563	58.4531
7.400000	77.896	57.2530
7.500000	78.212	56.0507
7.620000	78.569	54.6014
7.750000	78.937	53.1261
7.880000	79.284	51.7666
8.000000	79.590	50.6106
8.120000	79.893	49.5866
8.250000	80.214	48.6286
8.380000	80.535	47.7999
8.500000	80.839	47.1442
8.620000	81.146	46.5990
8.750000	81.490	46.0644
8.850000	81.763	45.6892
9.000000	82.184	45.1776
9.120000	82.528	44.7331
9.250000	82.911	44.2207
9.380000	83.298	43.6657
9.500000	83.653	43.0922
9.620000	84.010	42.4670
9.750000	84.391	41.7394
9.880000	84.762	40.9534
10.000000	85.097	40.1846
10.150000	85.501	39.2071
10.300000	85.887	38.1989
10.440000	86.233	37.2826
10.600000	86.608	36.2835
10.750000	86.945	35.4037
10.900000	87.268	34.6043
11.060000	87.601	33.8320
11.200000	87.885	33.2309
11.380000	88.243	32.5544
11.500000	88.480	32.1489
11.720000	88.910	31.5016
11.800000	89.065	31.2753
12.060000	89.570	30.5769
12.200000	89.837	30.1835
12.410000	90.233	29.5680
12.500000	90.397	29.2939
12.650000	90.666	28.8238
12.800000	90.926	28.3372
13.150000	91.471	27.1420
13.200000	91.512	26.9674
13.400000	91.598	26.2740
13.600000	91.621	25.6588
13.800000	91.601	25.1142
14.000000	91.586	24.6404
14.300000	91.573	24.0176
14.500000	91.571	23.6547
14.750000	91.570	23.2688
15.000000	91.584	22.8556
15.250000	91.611	22.3727
15.500000	91.646	21.8119
15.750000	91.673	21.2238
16.000000	91.699	20.5993
16.250000	91.730	19.9567
16.500000	91.766	19.3225
16.750000	91.797	18.7526
17.000000	91.839	18.1987
17.250000	91.894	17.6278
17.500000	91.960	17.0136
17.750000	92.022	16.3522
18.000000	92.079	15.6154
18.250000	92.127	14.8266
18.500000	92.158	14.0293
18.750000	92.162	13.3244
19.000000	92.151	12.7622
19.250000	92.138	12.3721
19.500000	92.132	12.1686
19.750000	92.142	12.1181
20.000000	92.181	12.0818
20.299999	92.260	11.9084
20.600000	92.352	11.4567
20.900000	92.419	10.7015
21.200001	92.440	9.7256
21.400000	92.419	9.0671
21.799999	92.307	8.0710
22.000000	92.242	7.8025
22.400000	92.153	7.6132
22.700001	92.154	7.4341
23.000000	92.197	6.8057
23.299999	92.232	5.4782
23.600000	92.182	3.5217
24.000000	91.877	0.6221
24.299999	91.461	-0.9553
24.700001	90.755	-0.8858
25.000000	90.320	1.2408
25.400000	90.198	5.7085
25.799999	90.646	8.8642
26.200001	91.290	8.6763
26.500000	91.662	6.7427
26.900000	91.881	3.2867
27.200001	91.857	0.9461
27.600000	91.714	-0.9498
28.000000	91.630	-1.5073
28.500000	91.763	-1.9893
29.000000	91.947	-3.7607
29.500000	91.919	-6.1706
30.000000	91.673	-7.2595
30.400000	91.501	-6.6528
30.700001	91.475	-5.6938
31.100000	91.590	-4.6042
31.500000	91.777	-4.3450
32.000000	91.938	-4.9283
32.500000	91.974	-5.7078
33.000000	91.946	-6.1880
33.500000	91.905	-6.5657
34.000000	91.833	-6.9087
34.500000	91.740	-7.0792
35.000000	91.664	-7.0283
35.500000	91.638	-7.1110
36.000000	91.620	-7.5355
36.500000	91.575	-8.2185
37.000000	91.504	-8.8812
37.500000	91.437	-9.5083
38.200001	91.344	-10.3981
38.700001	91.272	-10.9417
39.500000	91.197	-11.4812
40.000000	91.190	-11.7661
40.599998	91.211	-12.1830
41.200001	91.249	-12.7127
41.799999	91.275	-13.4471
42.500000	91.238	-14.1746
43.099998	91.219	-14.2548
43.700001	91.304	-14.5010
44.400002	91.362	-16.0904
45.000000	91.175	-17.6010
45.500000	90.924	-17.7433
46.200001	90.756	-16.4670
46.799999	90.823	-15.9730
47.500000	90.853	-16.5963
48.200001	90.795	-17.1495
48.700001	90.770	-17.6024
49.400002	90.648	-18.6123
50.000000	90.425	-18.6791
50.799999	90.342	-17.0150
