* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 1:00:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: xtra stock L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	32.917	31.3683
1.015000	33.083	26.8131
1.030000	33.261	22.4312
1.044000	33.438	18.5211
1.060000	33.653	14.2928
1.075000	33.867	10.5889
1.090000	34.093	7.1634
1.106000	34.350	3.8285
1.120000	34.597	1.0930
1.138000	34.948	-2.2126
1.150000	35.201	-4.2912
1.172000	35.700	-7.8591
1.180000	35.891	-9.0830
1.206000	36.546	-12.8119
1.220000	36.916	-14.6740
1.241000	37.490	-17.2956
1.250000	37.741	-18.3613
1.265000	38.166	-20.0677
1.280000	38.597	-21.6944
1.315000	39.611	-25.2305
1.320000	39.756	-25.7108
1.340000	40.333	-27.5834
1.360000	40.900	-29.3938
1.380000	41.454	-31.1632
1.400000	41.990	-32.9127
1.430000	42.747	-35.5461
1.450000	43.214	-37.3386
1.475000	43.750	-39.6351
1.500000	44.259	-41.8205
1.525000	44.747	-43.8622
1.550000	45.217	-45.7749
1.575000	45.670	-47.5734
1.600000	46.108	-49.2722
1.625000	46.532	-50.8861
1.650000	46.943	-52.4299
1.675000	47.343	-53.9181
1.700000	47.734	-55.3655
1.725000	48.116	-56.7868
1.750000	48.492	-58.1967
1.775000	48.862	-59.6099
1.800000	49.229	-61.0410
1.825000	49.593	-62.5048
1.850000	49.953	-63.9916
1.875000	50.304	-65.4511
1.900000	50.645	-66.8832
1.925000	50.977	-68.2900
1.950000	51.301	-69.6736
1.975000	51.617	-71.0361
2.000000	51.926	-72.3796
2.030000	52.288	-73.9697
2.060000	52.642	-75.5392
2.090000	52.988	-77.0917
2.120000	53.328	-78.6308
2.140000	53.552	-79.6512
2.180000	53.993	-81.6835
2.200000	54.212	-82.6974
2.240000	54.639	-84.7071
2.270000	54.950	-86.1945
2.300000	55.254	-87.6655
2.330000	55.550	-89.1209
2.360000	55.840	-90.5614
2.400000	56.216	-92.4601
2.430000	56.492	-93.8685
2.470000	56.853	-95.7271
2.500000	57.118	-97.1074
2.540000	57.465	-98.9309
2.580000	57.806	-100.7363
2.620000	58.138	-102.5203
2.650000	58.380	-103.8438
2.690000	58.695	-105.5892
2.720000	58.925	-106.8840
2.760000	59.226	-108.5914
2.800000	59.519	-110.2773
2.850000	59.876	-112.3547
2.900000	60.224	-114.3991
2.950000	60.565	-116.4108
3.000000	60.894	-118.3894
3.040000	61.149	-119.9482
3.070000	61.337	-121.1034
3.110000	61.581	-122.6250
3.150000	61.819	-124.1254
3.200000	62.110	-125.9709
3.250000	62.395	-127.7833
3.300000	62.673	-129.5625
3.350000	62.944	-131.3074
3.400000	63.207	-133.0181
3.450000	63.462	-134.6951
3.500000	63.710	-136.3396
3.550000	63.952	-137.9523
3.600000	64.189	-139.5340
3.650000	64.422	-141.0857
3.700000	64.651	-142.6062
3.750000	64.874	-144.0921
3.820000	65.177	-146.1183
3.870000	65.388	-147.5297
3.950000	65.717	-149.7319
4.000000	65.920	-151.0766
4.060000	66.159	-152.6593
4.120000	66.394	-154.1989
4.180000	66.623	-155.6987
4.250000	66.885	-157.4052
4.310000	67.106	-158.8367
4.370000	67.324	-160.2449
4.440000	67.575	-161.8596
4.500000	67.786	-163.2096
4.550000	67.960	-164.3131
4.620000	68.200	-165.8307
4.680000	68.403	-167.1113
4.750000	68.636	-168.5883
4.820000	68.866	-170.0468
4.870000	69.027	-171.0724
4.940000	69.251	-172.4882
5.000000	69.439	-173.6856
5.080000	69.685	-175.2631
5.150000	69.895	-176.6293
5.220000	70.102	-177.9808
5.300000	70.333	-179.5051
5.380000	70.558	178.9930
5.450000	70.750	177.6979
5.520000	70.938	176.4207
5.600000	71.146	174.9797
5.700000	71.398	173.2104
5.800000	71.641	171.4843
5.900000	71.875	169.8086
6.000000	72.100	168.1775
6.080000	72.273	166.9065
6.150000	72.421	165.8219
6.220000	72.567	164.7652
6.300000	72.730	163.5927
6.400000	72.927	162.1768
6.500000	73.119	160.8132
6.600000	73.309	159.4990
6.700000	73.496	158.2403
6.800000	73.679	157.0335
6.900000	73.861	155.8657
7.000000	74.044	154.7267
7.100000	74.225	153.6288
7.200000	74.407	152.5619
7.300000	74.588	151.5094
7.400000	74.768	150.4650
7.500000	74.949	149.4386
7.620000	75.165	148.2173
7.750000	75.395	146.8896
7.880000	75.622	145.5620
8.000000	75.827	144.3381
8.120000	76.026	143.1138
8.250000	76.235	141.7844
8.380000	76.437	140.4650
8.500000	76.616	139.2637
8.620000	76.787	138.0725
8.750000	76.965	136.8073
8.850000	77.097	135.8597
9.000000	77.286	134.4725
9.120000	77.432	133.3977
9.250000	77.586	132.2742
9.380000	77.734	131.1908
9.500000	77.869	130.2216
9.620000	78.002	129.2819
9.750000	78.146	128.2978
9.880000	78.281	127.3381
10.000000	78.397	126.4713
10.150000	78.532	125.4152
10.300000	78.662	124.3779
10.440000	78.777	123.4264
10.600000	78.905	122.3590
10.750000	79.023	121.3755
10.900000	79.138	120.4101
11.060000	79.257	119.4038
11.200000	79.359	118.5433
11.380000	79.488	117.4630
11.500000	79.572	116.7607
11.720000	79.726	115.5012
11.800000	79.781	115.0499
12.060000	79.960	113.6055
12.200000	80.053	112.8303
12.410000	80.193	111.6712
12.500000	80.256	111.1733
12.650000	80.366	110.3408
12.800000	80.474	109.5122
13.150000	80.710	107.6067
13.200000	80.741	107.3428
13.400000	80.863	106.3074
13.600000	80.979	105.3235
13.800000	81.091	104.3997
14.000000	81.203	103.5342
14.300000	81.373	102.3367
14.500000	81.493	101.5851
14.750000	81.649	100.6600
