* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 13, 24 7:41:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: xuanji R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	75.341	-90.6471
1.015000	75.675	-90.9409
1.030000	76.003	-91.2385
1.044000	76.305	-91.5248
1.060000	76.643	-91.8683
1.075000	76.955	-92.2121
1.090000	77.260	-92.5829
1.106000	77.580	-93.0079
1.120000	77.856	-93.3702
1.138000	78.208	-93.8135
1.150000	78.439	-94.0957
1.172000	78.858	-94.5876
1.180000	79.008	-94.7587
1.206000	79.487	-95.2888
1.220000	79.739	-95.5591
1.241000	80.109	-95.9469
1.250000	80.265	-96.1072
1.265000	80.520	-96.3672
1.280000	80.769	-96.6193
1.315000	81.327	-97.1822
1.320000	81.404	-97.2602
1.340000	81.704	-97.5680
1.360000	81.992	-97.8706
1.380000	82.266	-98.1702
1.400000	82.527	-98.4694
1.430000	82.892	-98.9224
1.450000	83.116	-99.2306
1.475000	83.373	-99.6249
1.500000	83.596	-100.0114
1.525000	83.786	-100.3863
1.550000	83.948	-100.7509
1.575000	84.085	-101.1061
1.600000	84.200	-101.4531
1.625000	84.298	-101.7930
1.650000	84.382	-102.1269
1.675000	84.455	-102.4558
1.700000	84.523	-102.7808
1.725000	84.587	-103.1031
1.750000	84.653	-103.4237
1.775000	84.723	-103.7437
1.800000	84.802	-104.0642
1.825000	84.893	-104.3863
1.850000	84.995	-104.7092
1.875000	85.095	-105.0288
1.900000	85.194	-105.3453
1.925000	85.291	-105.6588
1.950000	85.387	-105.9697
1.975000	85.481	-106.2782
2.000000	85.574	-106.5845
2.030000	85.684	-106.9496
2.060000	85.792	-107.3125
2.090000	85.899	-107.6734
2.120000	86.005	-108.0330
2.140000	86.074	-108.2721
2.180000	86.211	-108.7496
2.200000	86.279	-108.9882
2.240000	86.412	-109.4627
2.270000	86.511	-109.8156
2.300000	86.607	-110.1664
2.330000	86.702	-110.5153
2.360000	86.795	-110.8627
2.400000	86.917	-111.3241
2.430000	87.008	-111.6693
2.470000	87.126	-112.1287
2.500000	87.213	-112.4732
2.540000	87.327	-112.9331
2.580000	87.440	-113.3941
2.620000	87.551	-113.8559
2.650000	87.632	-114.2026
2.690000	87.739	-114.6646
2.720000	87.817	-115.0107
2.760000	87.920	-115.4712
2.800000	88.020	-115.9300
2.850000	88.142	-116.5005
2.900000	88.261	-117.0665
2.950000	88.376	-117.6275
3.000000	88.488	-118.1859
3.040000	88.574	-118.6309
3.070000	88.637	-118.9632
3.110000	88.719	-119.4041
3.150000	88.799	-119.8421
3.200000	88.897	-120.3846
3.250000	88.992	-120.9208
3.300000	89.085	-121.4498
3.350000	89.175	-121.9725
3.400000	89.261	-122.4900
3.450000	89.345	-123.0017
3.500000	89.426	-123.5074
3.550000	89.505	-124.0066
3.600000	89.582	-124.4990
3.650000	89.656	-124.9843
3.700000	89.729	-125.4626
3.750000	89.799	-125.9346
3.820000	89.893	-126.5843
3.870000	89.958	-127.0402
3.950000	90.059	-127.7543
4.000000	90.119	-128.1907
4.060000	90.191	-128.7038
4.120000	90.259	-129.2054
4.180000	90.326	-129.6961
4.250000	90.400	-130.2552
4.310000	90.463	-130.7236
4.370000	90.524	-131.1825
4.440000	90.594	-131.7054
4.500000	90.652	-132.1412
4.550000	90.699	-132.4964
4.620000	90.764	-132.9835
4.680000	90.818	-133.3929
4.750000	90.882	-133.8632
4.820000	90.945	-134.3245
4.870000	90.990	-134.6464
4.940000	91.051	-135.0889
5.000000	91.104	-135.4626
5.080000	91.173	-135.9566
5.150000	91.234	-136.3876
5.220000	91.294	-136.8124
5.300000	91.362	-137.2917
5.380000	91.430	-137.7693
5.450000	91.489	-138.1901
5.520000	91.547	-138.6168
5.600000	91.612	-139.1074
5.700000	91.693	-139.7248
5.800000	91.771	-140.3495
5.900000	91.846	-140.9843
6.000000	91.917	-141.6310
6.080000	91.973	-142.1538
6.150000	92.019	-142.6128
6.220000	92.062	-143.0710
6.300000	92.109	-143.5965
6.400000	92.164	-144.2584
6.500000	92.213	-144.9160
6.600000	92.258	-145.5584
6.700000	92.298	-146.1896
6.800000	92.333	-146.8103
6.900000	92.364	-147.4107
7.000000	92.392	-147.9827
7.100000	92.416	-148.5314
7.200000	92.437	-149.0557
7.300000	92.457	-149.5518
7.400000	92.477	-150.0160
7.500000	92.494	-150.4493
7.620000	92.515	-150.9369
7.750000	92.541	-151.4337
7.880000	92.568	-151.8895
8.000000	92.596	-152.2899
8.120000	92.627	-152.6849
8.250000	92.663	-153.0956
8.380000	92.702	-153.5081
8.500000	92.740	-153.9064
8.620000	92.781	-154.3143
8.750000	92.824	-154.7709
8.850000	92.856	-155.1364
9.000000	92.901	-155.7083
9.120000	92.934	-156.1746
9.250000	92.966	-156.6833
9.380000	92.994	-157.1997
9.500000	93.017	-157.6671
9.620000	93.035	-158.1183
9.750000	93.052	-158.5946
9.880000	93.062	-159.0491
10.000000	93.061	-159.4477
10.150000	93.051	-159.9183
10.300000	93.039	-160.3443
10.440000	93.025	-160.6965
10.600000	93.010	-161.0634
10.750000	93.000	-161.3717
10.900000	92.995	-161.6581
11.060000	92.995	-162.0120
11.200000	93.002	-162.3613
11.380000	93.012	-162.8346
11.500000	93.018	-163.1605
11.720000	93.025	-163.7847
11.800000	93.025	-164.0205
12.060000	93.020	-164.8163
12.200000	93.011	-165.2662
12.410000	92.993	-165.9515
12.500000	92.987	-166.2247
12.650000	92.979	-166.6569
12.800000	92.972	-167.0668
13.150000	92.951	-167.9453
13.200000	92.948	-168.0634
13.400000	92.938	-168.5192
13.600000	92.929	-168.9438
13.800000	92.920	-169.3300
14.000000	92.914	-169.7210
14.300000	92.908	-170.3219
14.500000	92.903	-170.7124
14.750000	92.896	-171.1772
15.000000	92.888	-171.6176
15.250000	92.883	-172.0837
15.500000	92.879	-172.5351
15.750000	92.875	-172.9657
16.000000	92.873	-173.3974
16.250000	92.873	-173.8457
16.500000	92.872	-174.3034
16.750000	92.867	-174.7411
17.000000	92.857	-175.1622
17.250000	92.844	-175.5575
17.500000	92.830	-175.9124
17.750000	92.818	-176.2141
18.000000	92.809	-176.4873
18.250000	92.807	-176.7632
18.500000	92.809	-177.0480
18.750000	92.812	-177.3506
19.000000	92.814	-177.6789
19.250000	92.810	-178.0386
19.500000	92.800	-178.3928
19.750000	92.783	-178.7160
20.000000	92.763	-178.9885
20.299999	92.742	-179.2591
20.600000	92.731	-179.4919
20.900000	92.732	-179.7371
21.200001	92.742	179.9125
21.400000	92.747	179.6012
21.799999	92.736	178.8345
22.000000	92.715	178.4171
22.400000	92.633	177.6331
22.700001	92.547	177.2262
23.000000	92.456	177.0458
23.299999	92.380	177.0587
23.600000	92.331	177.2010
24.000000	92.318	177.4259
24.299999	92.342	177.4828
24.700001	92.403	177.3065
25.000000	92.454	176.9608
25.400000	92.509	176.2270
25.799999	92.529	175.2888
26.200001	92.500	174.3167
26.500000	92.451	173.7001
26.900000	92.370	173.1672
27.200001	92.319	172.9789
27.600000	92.288	172.8665
28.000000	92.296	172.6564
28.500000	92.304	172.0552
29.000000	92.247	171.4089
29.500000	92.150	171.2399
30.000000	92.109	171.5986
30.400000	92.153	171.8290
30.700001	92.211	171.7464
31.100000	92.274	171.2453
31.500000	92.281	170.4992
32.000000	92.215	169.6977
32.500000	92.122	169.2832
33.000000	92.052	169.0739
33.500000	91.995	168.8212
34.000000	91.929	168.5741
34.500000	91.868	168.4672
35.000000	91.841	168.4335
35.500000	91.845	168.2280
36.000000	91.844	167.7866
36.500000	91.818	167.2693
37.000000	91.775	166.8601
37.500000	91.734	166.5703
38.200001	91.688	166.2613
38.700001	91.659	166.0926
39.500000	91.623	165.9028
40.000000	91.604	165.7837
40.599998	91.579	165.6472
41.200001	91.556	165.5196
41.799999	91.536	165.2866
42.500000	91.487	164.8297
43.099998	91.414	164.4283
43.700001	91.327	164.0708
44.400002	91.209	163.6790
45.000000	91.096	163.5089
45.500000	91.024	163.5255
46.200001	90.983	163.4421
46.799999	90.951	163.0170
47.500000	90.856	162.6168
48.200001	90.795	162.8188
48.700001	90.831	162.9384
49.400002	90.905	162.3215
50.000000	90.854	161.4346
50.799999	90.653	161.3566
51.500000	90.594	162.4181
52.200001	90.689	163.0102
53.000000	90.743	162.7329
53.799999	90.717	162.7077
54.500000	90.745	162.6692
55.200001	90.748	162.0706
56.000000	90.654	161.4764
57.000000	90.566	161.1063
58.000000	90.439	160.6101
59.000000	90.390	160.9889
60.000000	90.476	160.3102
60.799999	90.412	159.4797
61.500000	90.341	159.3405
62.200001	90.320	159.2545
63.000000	90.284	159.0059
64.000000	90.229	158.9138
65.000000	90.191	158.6671
66.000000	90.119	158.4582
67.000000	90.071	158.2609
68.000000	89.989	157.9255
69.000000	89.918	157.9508
70.000000	89.903	157.8032
71.000000	89.852	157.3799
72.000000	89.765	157.2799
73.000000	89.741	157.3440
74.000000	89.703	156.8711
75.000000	89.593	156.7921
76.199997	89.570	156.8102
77.500000	89.484	156.4920
78.800003	89.446	156.4094
80.000000	89.382	156.1782
81.199997	89.306	156.1341
82.500000	89.261	156.2449
83.800003	89.180	155.8915
85.000000	89.098	156.0349
86.199997	89.056	155.9295
87.500000	89.025	155.8203
88.500000	88.995	155.5467
90.000000	88.928	155.3952
91.199997	88.885	155.3926
92.500000	88.831	155.3293
93.800003	88.755	155.4215
95.000000	88.699	155.5406
96.199997	88.662	155.5697
97.500000	88.608	155.3159
98.800003	88.537	155.2906
100.000000	88.504	155.0416
101.500000	88.448	155.1346
103.000000	88.398	154.5113
104.400002	88.316	154.9414
106.000000	88.277	155.0728
107.500000	88.233	154.8603
109.000000	88.153	155.4810
110.599998	88.131	155.0268
112.000000	88.058	155.0713
113.800003	87.993	154.8290
115.000000	87.944	154.8367
117.199997	87.903	155.0064
118.000000	87.882	155.0245
120.599998	87.781	155.0191
122.000000	87.736	155.3394
124.099998	87.622	155.5268
125.000000	87.627	155.5186
126.500000	87.519	155.2672
128.000000	87.515	155.6452
131.500000	87.413	155.2633
132.000000	87.399	155.2202
134.000000	87.357	155.2652
136.000000	87.279	155.5804
138.000000	87.252	155.6860
140.000000	87.228	155.6987
143.000000	87.157	155.6419
145.000000	87.151	156.0178
147.500000	87.052	156.3936
150.000000	86.968	156.3905
152.500000	86.937	156.4303
155.000000	86.837	156.6896
157.500000	86.804	156.9199
160.000000	86.561	156.5697
162.500000	86.739	156.8960
165.000000	86.587	157.1124
167.500000	86.420	158.1190
170.000000	86.406	157.5230
172.500000	86.358	157.9012
175.000000	86.191	156.8874
177.500000	86.378	157.3594
180.000000	86.185	158.0575
182.500000	86.080	158.0288
185.000000	86.177	158.6113
187.500000	86.011	158.4509
190.000000	85.873	158.1021
192.500000	86.008	157.9775
195.000000	85.954	158.4517
197.500000	85.870	159.3533
200.000000	85.743	159.4415
203.000000	85.574	159.5661
206.000000	85.735	159.6803
209.000000	85.621	159.9710
212.000000	85.400	159.6568
214.000000	85.649	160.4887
218.000000	85.496	161.4961
220.000000	85.363	161.1098
224.000000	85.452	161.2987
227.000000	85.285	161.6440
230.000000	85.306	161.8743
233.000000	85.371	160.7230
236.000000	85.201	162.2741
240.000000	85.190	162.6251
243.000000	85.168	162.9657
247.000000	85.180	163.3139
250.000000	85.149	163.4174
254.000000	85.071	163.6247
258.000000	85.011	163.9830
262.000000	84.960	164.0710
265.000000	84.929	164.3790
269.000000	84.860	164.5665
272.000000	84.846	165.1053
276.000000	84.856	165.1728
280.000000	84.785	165.3492
285.000000	84.745	165.7570
290.000000	84.704	166.2119
295.000000	84.681	166.2025
300.000000	84.636	166.8279
304.000000	84.592	167.3524
307.000000	84.597	166.8602
311.000000	84.533	166.9792
315.000000	84.491	167.2902
320.000000	84.348	167.5817
325.000000	84.432	168.7656
330.000000	84.333	168.9141
335.000000	84.370	169.3002
340.000000	84.248	169.9033
345.000000	84.202	169.7950
350.000000	84.388	170.7189
355.000000	84.205	170.9824
360.000000	84.151	171.3729
365.000000	84.176	171.8050
370.000000	84.158	171.8308
375.000000	84.232	172.5012
382.000000	84.113	173.2612
387.000000	84.145	172.6456
395.000000	84.097	173.5582
400.000000	83.980	174.3626
406.000000	83.969	173.9839
412.000000	83.897	175.5828
418.000000	83.950	176.1009
425.000000	83.869	175.6433
431.000000	83.846	176.1441
437.000000	83.830	176.5955
444.000000	83.842	177.0674
450.000000	83.853	177.0593
455.000000	83.789	177.5571
462.000000	83.764	177.7425
468.000000	83.757	178.3546
475.000000	83.765	178.7334
482.000000	83.711	179.2935
487.000000	83.717	179.2519
494.000000	83.691	-179.6312
500.000000	83.580	179.7349
508.000000	83.694	-179.2021
515.000000	83.655	-178.5358
522.000000	83.764	-178.0054
530.000000	83.372	-178.0134
538.000000	82.740	179.7557
545.000000	83.908	-177.4507
552.000000	83.647	-176.7850
560.000000	83.479	-174.4486
570.000000	83.650	-174.9672
580.000000	83.644	-174.9852
590.000000	83.378	-174.4294
600.000000	83.475	-173.5866
608.000000	83.447	-173.2333
615.000000	83.430	-172.8757
622.000000	83.397	-172.4467
630.000000	83.368	-172.1005
640.000000	83.386	-171.2282
650.000000	83.368	-170.2231
660.000000	83.256	-170.2125
670.000000	83.320	-168.8593
680.000000	83.308	-168.6551
690.000000	83.290	-167.2299
700.000000	83.262	-166.8660
710.000000	83.282	-166.1084
720.000000	83.094	-166.1703
730.000000	82.905	-164.2435
740.000000	82.630	-162.2141
750.000000	82.928	-158.1864
762.000000	83.507	-156.5096
775.000000	83.767	-155.9440
788.000000	83.963	-156.4036
800.000000	84.147	-156.5876
812.000000	84.152	-156.1078
825.000000	84.156	-155.6588
838.000000	84.259	-155.2508
850.000000	84.316	-154.8212
862.000000	84.394	-154.4501
875.000000	84.422	-153.7534
885.000000	84.481	-153.2408
900.000000	84.568	-152.6291
912.000000	84.633	-151.9590
925.000000	84.725	-151.4200
938.000000	84.786	-150.7726
950.000000	84.864	-150.1943
962.000000	84.978	-149.7401
975.000000	85.064	-149.1249
988.000000	85.165	-148.6764
1000.000000	85.273	-148.1952
1015.000000	85.394	-147.7485
1030.000000	85.516	-147.0865
1044.000000	85.625	-146.7165
1060.000000	85.730	-146.3046
1075.000000	85.888	-145.8526
1090.000000	86.010	-145.4949
1106.000000	86.127	-145.2390
1120.000000	86.245	-144.9698
1138.000000	86.390	-144.7296
1150.000000	86.497	-144.4206
1172.000000	86.647	-144.2968
1180.000000	86.692	-144.1354
1206.000000	86.878	-144.1283
1220.000000	87.004	-143.6838
1241.000000	87.147	-143.7573
1250.000000	87.201	-143.7971
1265.000000	87.309	-143.6292
1280.000000	87.404	-143.5858
1315.000000	87.625	-143.5689
1320.000000	87.678	-143.4704
1340.000000	87.807	-143.4614
1360.000000	87.911	-143.4397
1380.000000	88.035	-143.4642
1400.000000	88.154	-143.3725
1430.000000	88.306	-143.4051
1450.000000	88.438	-143.2774
1475.000000	88.579	-143.3291
1500.000000	88.735	-143.3246
1525.000000	88.835	-143.2882
1550.000000	89.006	-143.2750
1575.000000	89.133	-143.2421
1600.000000	89.288	-143.3083
1625.000000	89.407	-143.2743
1650.000000	89.553	-143.3667
1675.000000	89.700	-143.5563
1700.000000	89.817	-143.5874
1725.000000	89.964	-143.8412
1750.000000	90.107	-143.8469
1775.000000	90.230	-143.9530
