* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 5, 24 1:52:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zephyr L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	66.138	50.1400
1.015000	66.059	48.6531
1.030000	65.985	47.0748
1.044000	65.920	45.5126
1.060000	65.854	43.6141
1.075000	65.799	41.7168
1.090000	65.753	39.6982
1.106000	65.713	37.3959
1.120000	65.676	35.2154
1.138000	65.624	32.1914
1.150000	65.586	30.0496
1.172000	65.515	25.8900
1.180000	65.488	24.3103
1.206000	65.400	18.9657
1.220000	65.353	15.9745
1.241000	65.285	11.3722
1.250000	65.257	9.3663
1.265000	65.213	5.9903
1.280000	65.172	2.5866
1.315000	65.096	-5.3789
1.320000	65.087	-6.5113
1.340000	65.061	-11.0049
1.360000	65.047	-15.4139
1.380000	65.048	-19.7025
1.400000	65.066	-23.8352
1.430000	65.128	-29.6635
1.450000	65.195	-33.2498
1.475000	65.312	-37.3619
1.500000	65.472	-41.2749
1.525000	65.673	-45.0464
1.550000	65.908	-48.6769
1.575000	66.172	-52.1669
1.600000	66.460	-55.5168
1.625000	66.765	-58.7270
1.650000	67.083	-61.7981
1.675000	67.407	-64.7304
1.700000	67.732	-67.5244
1.725000	68.053	-70.1806
1.750000	68.364	-72.6994
1.775000	68.660	-75.0813
1.800000	68.934	-77.3267
1.825000	69.181	-79.4360
1.850000	69.404	-81.3831
1.875000	69.619	-83.1144
1.900000	69.827	-84.6468
1.925000	70.028	-85.9998
1.950000	70.223	-87.1930
1.975000	70.411	-88.2461
2.000000	70.592	-89.1787
2.030000	70.802	-90.1664
2.060000	71.004	-91.0428
2.090000	71.198	-91.8417
2.120000	71.383	-92.5971
2.140000	71.503	-93.0932
2.180000	71.733	-94.1129
2.200000	71.844	-94.6559
2.240000	72.051	-95.6787
2.270000	72.193	-96.3521
2.300000	72.325	-96.9532
2.330000	72.448	-97.4894
2.360000	72.565	-97.9679
2.400000	72.710	-98.5288
2.430000	72.813	-98.9011
2.470000	72.946	-99.3470
2.500000	73.044	-99.6528
2.540000	73.173	-100.0365
2.580000	73.303	-100.4016
2.620000	73.426	-100.7025
2.650000	73.513	-100.8825
2.690000	73.623	-101.0687
2.720000	73.702	-101.1729
2.760000	73.804	-101.2715
2.800000	73.905	-101.3323
2.850000	74.030	-101.3684
2.900000	74.158	-101.3765
2.950000	74.291	-101.3665
3.000000	74.424	-101.2912
3.040000	74.528	-101.1854
3.070000	74.607	-101.0857
3.110000	74.712	-100.9334
3.150000	74.818	-100.7677
3.200000	74.953	-100.5562
3.250000	75.091	-100.3575
3.300000	75.235	-100.1898
3.350000	75.384	-100.0262
3.400000	75.538	-99.8477
3.450000	75.695	-99.6673
3.500000	75.855	-99.4983
3.550000	76.016	-99.3536
3.600000	76.178	-99.2463
3.650000	76.341	-99.1896
3.700000	76.504	-99.1852
3.750000	76.670	-99.2137
3.820000	76.906	-99.3103
3.870000	77.074	-99.4223
3.950000	77.340	-99.6815
4.000000	77.501	-99.8963
4.060000	77.689	-100.2119
4.120000	77.874	-100.5961
4.180000	78.055	-101.0413
4.250000	78.262	-101.6263
4.310000	78.431	-102.1737
4.370000	78.592	-102.7542
4.440000	78.767	-103.4738
4.500000	78.910	-104.1476
4.550000	79.023	-104.7418
4.620000	79.173	-105.6090
4.680000	79.292	-106.3714
4.750000	79.420	-107.2653
4.820000	79.536	-108.1699
4.870000	79.611	-108.8382
4.940000	79.706	-109.7904
5.000000	79.778	-110.6086
5.080000	79.864	-111.6800
5.150000	79.928	-112.5814
5.220000	79.980	-113.4736
5.300000	80.026	-114.4796
5.380000	80.061	-115.4499
5.450000	80.085	-116.2524
5.520000	80.103	-116.9990
5.600000	80.113	-117.8033
5.700000	80.112	-118.7326
5.800000	80.105	-119.5598
5.900000	80.099	-120.2664
6.000000	80.086	-120.8491
6.080000	80.075	-121.2385
