* Measurement data measured by REW V5.31.1
* Source: VENTURE-DAS-32, VENTURE-DAS-32, 0, volume: 0.604
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 31, 2024 11:44:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7Hz Aurora R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.000000, 88.479, -165.4652
20.299999, 88.475, -166.0856
20.600000, 88.471, -166.7019
20.900000, 88.465, -167.3083
21.200001, 88.457, -167.8936
21.400000, 88.450, -168.2671
21.799999, 88.439, -168.9721
22.000000, 88.434, -169.3075
22.400000, 88.428, -169.9625
22.700001, 88.427, -170.4541
23.000000, 88.425, -170.9537
23.299999, 88.421, -171.4607
23.600000, 88.414, -171.9697
24.000000, 88.400, -172.6400
24.299999, 88.386, -173.1295
24.700001, 88.364, -173.7589
25.000000, 88.346, -174.2123
25.400000, 88.322, -174.7946
25.799999, 88.298, -175.3605
26.200001, 88.273, -175.9240
26.500000, 88.254, -176.3496
26.900000, 88.224, -176.9126
27.200001, 88.198, -177.3169
27.600000, 88.162, -177.8087
28.000000, 88.129, -178.2415
28.500000, 88.103, -178.7481
29.000000, 88.091, -179.3130
29.500000, 88.079, -179.9845
30.000000, 88.053, 179.2955
30.400000, 88.021, 178.7522
30.700001, 87.995, 178.3845
31.100000, 87.962, 177.9431
31.500000, 87.932, 177.5360
32.000000, 87.899, 177.0433
32.500000, 87.867, 176.5613
33.000000, 87.837, 176.0938
33.500000, 87.809, 175.6300
34.000000, 87.782, 175.1549
34.500000, 87.750, 174.6757
35.000000, 87.715, 174.2168
35.500000, 87.679, 173.7888
36.000000, 87.645, 173.3767
36.500000, 87.613, 172.9592
37.000000, 87.580, 172.5306
37.500000, 87.545, 172.1019
38.200001, 87.493, 171.5268
38.700001, 87.456, 171.1413
39.500000, 87.399, 170.5544
40.000000, 87.366, 170.1913
40.599998, 87.325, 169.7555
41.200001, 87.282, 169.3346
41.799999, 87.238, 168.9418
42.500000, 87.190, 168.5066
43.099998, 87.151, 168.1318
43.700001, 87.112, 167.7492
44.400002, 87.062, 167.3038
45.000000, 87.018, 166.9367
45.500000, 86.981, 166.6458
46.200001, 86.932, 166.2509
46.799999, 86.891, 165.9055
47.500000, 86.841, 165.4969
48.200001, 86.787, 165.1206
48.700001, 86.750, 164.8804
49.400002, 86.704, 164.5555
50.000000, 86.666, 164.2605
50.799999, 86.611, 163.8559
51.500000, 86.558, 163.5292
52.200001, 86.507, 163.2297
53.000000, 86.450, 162.8826
53.799999, 86.392, 162.5285
54.500000, 86.341, 162.2341
55.200001, 86.293, 161.9377
56.000000, 86.236, 161.5864
57.000000, 86.164, 161.1973
58.000000, 86.100, 160.8305
59.000000, 86.030, 160.4734
60.000000, 85.962, 160.2094
60.799999, 85.914, 159.9852
61.500000, 85.868, 159.7598
62.200001, 85.818, 159.5415
63.000000, 85.761, 159.3104
64.000000, 85.693, 159.0182
65.000000, 85.628, 158.6879
66.000000, 85.557, 158.3820
67.000000, 85.491, 158.1929
68.000000, 85.442, 158.0260
69.000000, 85.391, 157.8370
70.000000, 85.334, 157.6525
71.000000, 85.261, 157.4616
72.000000, 85.175, 157.2968
73.000000, 85.074, 157.1176
74.000000, 84.964, 157.1654
75.000000, 84.923, 157.3109
76.199997, 84.911, 156.8035
77.500000, 84.829, 156.1449
78.800003, 84.753, 155.8157
80.000000, 84.695, 155.6335
81.199997, 84.639, 155.4985
82.500000, 84.566, 155.3621
83.800003, 84.482, 155.2584
85.000000, 84.406, 155.1589
86.199997, 84.335, 155.0125
87.500000, 84.262, 154.8393
88.500000, 84.209, 154.7339
90.000000, 84.135, 154.5993
91.199997, 84.073, 154.5164
92.500000, 84.004, 154.4529
93.800003, 83.933, 154.3448
95.000000, 83.863, 154.2326
96.199997, 83.794, 154.1555
97.500000, 83.727, 154.0969
98.800003, 83.664, 154.0480
100.000000, 83.604, 154.0092
101.500000, 83.526, 154.0212
103.000000, 83.454, 154.0314
104.400002, 83.390, 153.9820
106.000000, 83.317, 153.8863
107.500000, 83.245, 153.8309
109.000000, 83.178, 153.8410
110.599998, 83.106, 153.8375
112.000000, 83.036, 153.8261
113.800003, 82.944, 153.8353
115.000000, 82.889, 153.8448
117.199997, 82.796, 153.8336
118.000000, 82.761, 153.8391
120.599998, 82.649, 153.9218
122.000000, 82.586, 153.9720
124.099998, 82.492, 154.0489
125.000000, 82.454, 154.0911
126.500000, 82.396, 154.1686
128.000000, 82.342, 154.2480
131.500000, 82.215, 154.4750
132.000000, 82.196, 154.4983
134.000000, 82.118, 154.5986
136.000000, 82.045, 154.7073
138.000000, 81.976, 154.7831
140.000000, 81.906, 154.9062
143.000000, 81.817, 155.1659
145.000000, 81.764, 155.3950
147.500000, 81.704, 155.7769
150.000000, 81.656, 156.0732
152.500000, 81.596, 156.1860
155.000000, 81.544, 156.3026
157.500000, 81.498, 156.3808
160.000000, 81.429, 156.4558
162.500000, 81.319, 156.5645
165.000000, 81.183, 156.7269
167.500000, 81.031, 156.9178
170.000000, 80.887, 157.0974
172.500000, 80.762, 157.2473
175.000000, 80.656, 157.4526
177.500000, 80.568, 157.6747
180.000000, 80.489, 157.8480
182.500000, 80.419, 158.0357
185.000000, 80.366, 158.2636
187.500000, 80.334, 158.5168
190.000000, 80.318, 158.7471
192.500000, 80.309, 158.9702
195.000000, 80.301, 159.2150
197.500000, 80.286, 159.4805
200.000000, 80.262, 159.7267
203.000000, 80.222, 160.0013
206.000000, 80.175, 160.3094
209.000000, 80.122, 160.6182
212.000000, 80.062, 160.9180
214.000000, 80.022, 161.1214
218.000000, 79.937, 161.5314
220.000000, 79.892, 161.7625
224.000000, 79.814, 162.2003
227.000000, 79.761, 162.4824
230.000000, 79.710, 162.7823
233.000000, 79.657, 163.1035
236.000000, 79.606, 163.4186
240.000000, 79.543, 163.8284
243.000000, 79.496, 164.1427
247.000000, 79.435, 164.5574
250.000000, 79.389, 164.8906
254.000000, 79.331, 165.3240
258.000000, 79.275, 165.7325
262.000000, 79.218, 166.1780
265.000000, 79.174, 166.5033
269.000000, 79.120, 166.9408
272.000000, 79.082, 167.2717
276.000000, 79.032, 167.6988
280.000000, 78.985, 168.1272
285.000000, 78.929, 168.6590
290.000000, 78.873, 169.1976
295.000000, 78.820, 169.7589
300.000000, 78.766, 170.3190
304.000000, 78.724, 170.7358
307.000000, 78.696, 171.0408
311.000000, 78.662, 171.4363
315.000000, 78.629, 171.8455
320.000000, 78.584, 172.3810
325.000000, 78.543, 172.9020
330.000000, 78.505, 173.4308
335.000000, 78.465, 173.9482
340.000000, 78.421, 174.4852
345.000000, 78.381, 175.0229
350.000000, 78.347, 175.5432
355.000000, 78.313, 176.0562
360.000000, 78.280, 176.5798
365.000000, 78.249, 177.0928
370.000000, 78.220, 177.6046
375.000000, 78.192, 178.1159
382.000000, 78.153, 178.8274
387.000000, 78.127, 179.3558
395.000000, 78.088, -179.8168
400.000000, 78.066, -179.3093
406.000000, 78.042, -178.6952
412.000000, 78.018, -178.0949
418.000000, 77.997, -177.4806
425.000000, 77.971, -176.7758
431.000000, 77.952, -176.1813
437.000000, 77.934, -175.6008
444.000000, 77.914, -174.9141
450.000000, 77.898, -174.3370
455.000000, 77.885, -173.8696
462.000000, 77.869, -173.2097
468.000000, 77.853, -172.6393
475.000000, 77.837, -171.9727
482.000000, 77.828, -171.3019
487.000000, 77.820, -170.8266
494.000000, 77.808, -170.1615
500.000000, 77.800, -169.5925
508.000000, 77.791, -168.8385
515.000000, 77.783, -168.1848
522.000000, 77.777, -167.5406
530.000000, 77.771, -166.7838
538.000000, 77.765, -166.0301
545.000000, 77.763, -165.3854
552.000000, 77.763, -164.7404
560.000000, 77.765, -164.0042
570.000000, 77.769, -163.0893
580.000000, 77.774, -162.1723
590.000000, 77.782, -161.2630
600.000000, 77.792, -160.3510
608.000000, 77.799, -159.6428
615.000000, 77.808, -159.0168
622.000000, 77.817, -158.3836
630.000000, 77.828, -157.6520
640.000000, 77.844, -156.7568
650.000000, 77.862, -155.8754
660.000000, 77.884, -154.9882
670.000000, 77.906, -154.1078
680.000000, 77.931, -153.2253
690.000000, 77.962, -152.3444
700.000000, 77.995, -151.4671
710.000000, 78.029, -150.5905
720.000000, 78.066, -149.7189
730.000000, 78.103, -148.8449
740.000000, 78.142, -147.9747
750.000000, 78.183, -147.1118
762.000000, 78.233, -146.0803
775.000000, 78.293, -144.9798
788.000000, 78.359, -143.8750
800.000000, 78.424, -142.8493
812.000000, 78.490, -141.8360
825.000000, 78.565, -140.7494
838.000000, 78.644, -139.6716
850.000000, 78.717, -138.6842
862.000000, 78.789, -137.7072
875.000000, 78.874, -136.6572
885.000000, 78.949, -135.8566
900.000000, 79.063, -134.6714
912.000000, 79.148, -133.7426
925.000000, 79.239, -132.7579
938.000000, 79.335, -131.7921
950.000000, 79.428, -130.9167
962.000000, 79.527, -130.0606
975.000000, 79.636, -129.1556
988.000000, 79.747, -128.2731
1000.000000, 79.851, -127.4782
1015.000000, 79.983, -126.5207
1030.000000, 80.118, -125.6016
1044.000000, 80.245, -124.7719
1060.000000, 80.391, -123.8659
1075.000000, 80.529, -123.0515
1090.000000, 80.670, -122.2673
1106.000000, 80.820, -121.4784
1120.000000, 80.953, -120.8202
1138.000000, 81.127, -120.0056
1150.000000, 81.245, -119.4885
1172.000000, 81.464, -118.6017
1180.000000, 81.545, -118.2956
1206.000000, 81.805, -117.3598
1220.000000, 81.945, -116.8822
1241.000000, 82.159, -116.2026
1250.000000, 82.252, -115.9271
1265.000000, 82.408, -115.4913
1280.000000, 82.566, -115.0786
1315.000000, 82.945, -114.2177
1320.000000, 83.000, -114.1094
1340.000000, 83.222, -113.6919
1360.000000, 83.442, -113.3022
1380.000000, 83.661, -112.9593
1400.000000, 83.881, -112.6715
1430.000000, 84.215, -112.3351
1450.000000, 84.438, -112.1632
1475.000000, 84.715, -112.0292
1500.000000, 84.993, -111.9853
1525.000000, 85.269, -112.0228
1550.000000, 85.543, -112.1592
1575.000000, 85.816, -112.3894
1600.000000, 86.085, -112.7096
1625.000000, 86.348, -113.1216
1650.000000, 86.606, -113.6307
1675.000000, 86.857, -114.2398
1700.000000, 87.103, -114.9540
1725.000000, 87.341, -115.7730
1750.000000, 87.567, -116.7133
1775.000000, 87.779, -117.7941
1800.000000, 87.976, -119.0144
1825.000000, 88.147, -120.3438
1850.000000, 88.287, -121.7556
1875.000000, 88.395, -123.2205
1900.000000, 88.469, -124.6636
1925.000000, 88.513, -126.0392
1950.000000, 88.532, -127.3058
1975.000000, 88.533, -128.4427
2000.000000, 88.520, -129.4563
2030.000000, 88.492, -130.5173
2060.000000, 88.454, -131.4231
2090.000000, 88.410, -132.1902
2120.000000, 88.361, -132.8289
2140.000000, 88.328, -133.1842
2180.000000, 88.262, -133.7388
2200.000000, 88.231, -133.9418
2240.000000, 88.174, -134.2147
2270.000000, 88.137, -134.3175
2300.000000, 88.106, -134.3394
2330.000000, 88.083, -134.2862
2360.000000, 88.068, -134.1680
2400.000000, 88.063, -133.9232
2430.000000, 88.071, -133.6873
2470.000000, 88.101, -133.3254
2500.000000, 88.138, -133.0396
2540.000000, 88.209, -132.6708
2580.000000, 88.300, -132.3504
2620.000000, 88.409, -132.1044
2650.000000, 88.500, -131.9746
2690.000000, 88.631, -131.8845
2720.000000, 88.736, -131.8873
2760.000000, 88.884, -131.9958
2800.000000, 89.037, -132.2383
2850.000000, 89.227, -132.7445
2900.000000, 89.407, -133.4670
2950.000000, 89.563, -134.3625
3000.000000, 89.686, -135.3473
3040.000000, 89.758, -136.1211
3070.000000, 89.797, -136.6492
3110.000000, 89.834, -137.2353
3150.000000, 89.862, -137.6510
3200.000000, 89.905, -137.9355
3250.000000, 89.992, -138.0774
3300.000000, 90.148, -138.3363
3350.000000, 90.388, -139.0674
3400.000000, 90.699, -140.6214
3450.000000, 91.030, -143.2334
3500.000000, 91.311, -146.9175
3550.000000, 91.463, -151.4384
3600.000000, 91.433, -156.3703
3650.000000, 91.200, -161.2165
3700.000000, 90.779, -165.5547
3750.000000, 90.211, -169.1244
3820.000000, 89.261, -172.6724
3870.000000, 88.541, -174.2343
3950.000000, 87.416, -175.3373
4000.000000, 86.763, -175.3285
4060.000000, 86.060, -174.7734
4120.000000, 85.450, -173.7474
4180.000000, 84.941, -172.3582
4250.000000, 84.459, -170.3937
4310.000000, 84.131, -168.4945
4370.000000, 83.868, -166.4636
4440.000000, 83.627, -163.9934
4500.000000, 83.471, -161.8369
4550.000000, 83.374, -160.0450
4620.000000, 83.286, -157.5685
4680.000000, 83.253, -155.4974
4750.000000, 83.268, -153.1736
4820.000000, 83.342, -150.9977
4870.000000, 83.432, -149.5673
4940.000000, 83.614, -147.7930
5000.000000, 83.822, -146.5465
5080.000000, 84.177, -145.4085
5150.000000, 84.553, -145.0579
5220.000000, 84.974, -145.4701
5300.000000, 85.480, -147.0739
5380.000000, 85.965, -150.0508
5450.000000, 86.312, -153.8169
5520.000000, 86.527, -158.5527
5600.000000, 86.543, -164.7882
5700.000000, 86.159, -172.8705
5800.000000, 85.356, 179.9615
5900.000000, 84.254, 174.6000
6000.000000, 83.006, 171.3312
6080.000000, 81.992, 170.1205
6150.000000, 81.137, 169.9322
6220.000000, 80.331, 170.4254
6300.000000, 79.485, 171.6675
6400.000000, 78.555, 174.0096
6500.000000, 77.770, 177.0031
6600.000000, 77.133, -179.5315
6700.000000, 76.654, -175.7563
6800.000000, 76.343, -171.8241
6900.000000, 76.213, -167.9407
7000.000000, 76.273, -164.3837
7100.000000, 76.512, -161.4759
7200.000000, 76.892, -159.4975
7300.000000, 77.357, -158.5008
7400.000000, 77.884, -158.2834
7500.000000, 78.479, -159.0147
7620.000000, 79.135, -161.5152
7750.000000, 79.605, -165.3437
7880.000000, 79.711, -169.5053
8000.000000, 79.481, -172.4553
8120.000000, 79.051, -173.3806
8250.000000, 78.611, -171.5919
8380.000000, 78.448, -167.4295
8500.000000, 78.638, -162.3716
8620.000000, 79.188, -156.7679
8750.000000, 80.286, -150.8613
8850.000000, 81.454, -148.2879
9000.000000, 83.023, -149.2944
9120.000000, 83.982, -151.2031
9250.000000, 84.892, -153.7827
9380.000000, 85.617, -157.1618
9500.000000, 86.097, -160.5437
9620.000000, 86.436, -163.7604
9750.000000, 86.712, -166.9805
9880.000000, 86.934, -170.1729
10000.000000, 87.094, -173.3974
10150.000000, 87.186, -178.1554
10300.000000, 87.062, 176.1381
10440.000000, 86.642, 170.2970
10600.000000, 85.723, 164.0947
10750.000000, 84.478, 159.9655
10900.000000, 82.999, 158.2308
11060.000000, 81.346, 159.0761
11200.000000, 79.948, 161.7113
11380.000000, 78.304, 166.9846
11500.000000, 77.325, 171.3027
11720.000000, 75.773, -179.8693
11800.000000, 75.280, -176.5123
12060.000000, 73.889, -165.4079
12200.000000, 73.242, -159.3245
12410.000000, 72.379, -149.8808
12500.000000, 72.049, -145.6315
12650.000000, 71.562, -138.1504
12800.000000, 71.168, -130.0862
13150.000000, 70.618, -109.2246
13200.000000, 70.556, -106.0913
13400.000000, 70.288, -93.5518
13600.000000, 69.965, -81.7454
13800.000000, 69.479, -71.3639
14000.000000, 69.067, -62.1071
14300.000000, 69.212, -48.3989
14500.000000, 69.682, -38.9189
14750.000000, 70.583, -28.2313
15000.000000, 71.228, -21.3256
