* Measurement data measured by REW V5.31.1
* Source: VENTURE-DAS-32, VENTURE-DAS-32, 0, volume: 0.604
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2024 3:45:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Denon AH-C820 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.000000, 86.463, -138.7420
20.299999, 86.481, -139.5747
20.600000, 86.495, -140.2986
20.900000, 86.515, -140.9227
21.200001, 86.549, -141.5011
21.400000, 86.580, -141.8965
21.799999, 86.651, -142.7770
22.000000, 86.685, -143.2708
22.400000, 86.738, -144.3282
22.700001, 86.762, -145.1245
23.000000, 86.775, -145.8743
23.299999, 86.783, -146.5576
23.600000, 86.792, -147.1796
24.000000, 86.809, -147.9519
24.299999, 86.825, -148.5157
24.700001, 86.849, -149.2650
25.000000, 86.867, -149.8238
25.400000, 86.892, -150.5612
25.799999, 86.918, -151.2986
26.200001, 86.943, -152.0515
26.500000, 86.958, -152.6264
26.900000, 86.973, -153.3870
27.200001, 86.980, -153.9341
27.600000, 86.986, -154.6147
28.000000, 86.996, -155.2472
28.500000, 87.015, -156.0182
29.000000, 87.037, -156.8147
29.500000, 87.054, -157.6321
30.000000, 87.065, -158.4317
30.400000, 87.072, -159.0438
30.700001, 87.077, -159.4890
31.100000, 87.083, -160.0712
31.500000, 87.089, -160.6451
32.000000, 87.094, -161.3502
32.500000, 87.096, -162.0377
33.000000, 87.096, -162.7057
33.500000, 87.094, -163.3497
34.000000, 87.093, -163.9649
34.500000, 87.093, -164.5577
35.000000, 87.097, -165.1481
35.500000, 87.100, -165.7509
36.000000, 87.101, -166.3612
36.500000, 87.099, -166.9623
37.000000, 87.096, -167.5465
37.500000, 87.093, -168.1193
38.200001, 87.087, -168.9099
38.700001, 87.080, -169.4582
39.500000, 87.069, -170.2981
40.000000, 87.062, -170.8092
40.599998, 87.053, -171.4129
41.200001, 87.042, -171.9985
41.799999, 87.031, -172.5678
42.500000, 87.019, -173.2306
43.099998, 87.004, -173.7938
43.700001, 86.987, -174.3305
44.400002, 86.968, -174.9250
45.000000, 86.954, -175.4395
45.500000, 86.941, -175.8787
46.200001, 86.919, -176.4819
46.799999, 86.899, -176.9749
47.500000, 86.879, -177.5467
48.200001, 86.858, -178.1277
48.700001, 86.842, -178.5434
49.400002, 86.820, -179.1387
50.000000, 86.795, -179.6633
50.799999, 86.750, 179.7080
51.500000, 86.714, 179.2879
52.200001, 86.696, 178.8987
53.000000, 86.685, 178.3584
53.799999, 86.664, 177.7702
54.500000, 86.641, 177.2923
55.200001, 86.618, 176.8395
56.000000, 86.592, 176.3293
57.000000, 86.559, 175.7213
58.000000, 86.529, 175.1251
59.000000, 86.496, 174.4902
60.000000, 86.451, 173.9068
60.799999, 86.416, 173.4994
61.500000, 86.389, 173.1401
62.200001, 86.361, 172.7763
63.000000, 86.328, 172.3729
64.000000, 86.286, 171.8749
65.000000, 86.243, 171.3685
66.000000, 86.195, 170.8402
67.000000, 86.138, 170.3842
68.000000, 86.096, 170.0060
69.000000, 86.065, 169.5360
70.000000, 86.024, 169.0266
71.000000, 85.980, 168.5670
72.000000, 85.937, 168.1308
73.000000, 85.894, 167.7077
74.000000, 85.850, 167.3040
75.000000, 85.807, 166.9211
76.199997, 85.755, 166.4604
77.500000, 85.696, 165.9692
78.800003, 85.635, 165.5045
80.000000, 85.580, 165.0799
81.199997, 85.525, 164.6644
82.500000, 85.468, 164.2089
83.800003, 85.408, 163.7137
85.000000, 85.339, 163.3247
86.199997, 85.280, 163.0641
87.500000, 85.227, 162.7340
88.500000, 85.179, 162.4717
90.000000, 85.115, 162.1999
91.199997, 85.077, 161.8824
92.500000, 85.019, 161.4581
93.800003, 84.955, 161.0951
95.000000, 84.897, 160.7963
96.199997, 84.844, 160.5203
97.500000, 84.790, 160.2275
98.800003, 84.736, 159.9369
100.000000, 84.682, 159.6755
101.500000, 84.608, 159.3806
103.000000, 84.538, 159.1274
104.400002, 84.480, 158.8339
106.000000, 84.413, 158.4737
107.500000, 84.356, 158.1804
109.000000, 84.308, 157.9760
110.599998, 84.272, 157.7423
112.000000, 84.218, 157.3762
113.800003, 84.108, 157.1148
115.000000, 84.042, 156.9994
117.199997, 83.937, 156.7098
118.000000, 83.904, 156.5933
120.599998, 83.799, 156.2083
122.000000, 83.739, 156.0307
124.099998, 83.647, 155.7891
125.000000, 83.608, 155.6933
126.500000, 83.549, 155.5453
128.000000, 83.494, 155.3943
131.500000, 83.335, 155.0923
132.000000, 83.306, 155.0546
134.000000, 83.196, 154.9767
136.000000, 83.125, 154.8604
138.000000, 83.074, 154.6002
140.000000, 83.016, 154.3576
143.000000, 82.910, 154.1561
145.000000, 82.834, 154.0326
147.500000, 82.747, 153.9199
150.000000, 82.663, 153.8344
152.500000, 82.578, 153.7105
155.000000, 82.500, 153.4973
157.500000, 82.422, 153.3618
160.000000, 82.327, 153.3749
162.500000, 82.197, 153.4283
165.000000, 82.042, 153.3932
167.500000, 81.874, 153.3575
170.000000, 81.713, 153.3945
172.500000, 81.573, 153.4147
175.000000, 81.455, 153.3848
177.500000, 81.355, 153.3420
180.000000, 81.261, 153.3582
182.500000, 81.174, 153.4053
185.000000, 81.104, 153.4109
187.500000, 81.057, 153.4043
190.000000, 81.022, 153.4405
192.500000, 80.993, 153.4937
195.000000, 80.964, 153.5444
197.500000, 80.928, 153.6245
200.000000, 80.877, 153.7162
203.000000, 80.795, 153.7250
206.000000, 80.710, 153.7482
209.000000, 80.642, 153.8964
212.000000, 80.564, 154.0739
214.000000, 80.505, 154.1648
218.000000, 80.388, 154.3038
220.000000, 80.332, 154.4281
224.000000, 80.225, 154.7349
227.000000, 80.137, 154.8415
230.000000, 80.046, 154.9372
233.000000, 79.958, 155.0706
236.000000, 79.871, 155.2277
240.000000, 79.758, 155.4711
243.000000, 79.685, 155.7084
247.000000, 79.592, 156.0775
250.000000, 79.514, 156.2558
254.000000, 79.407, 156.4449
258.000000, 79.308, 156.7000
262.000000, 79.202, 157.0497
