* Measurement data measured by REW V5.31
* Source: VENTURE-DAS-32, VENTURE-DAS-32, 0, volume: 0.647
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 9, 2024 2:03:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MYER-AUDIOSLIIVO SL-41 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.000000, 94.755, -173.5660
20.299999, 94.744, -174.1063
20.600000, 94.733, -174.6365
20.900000, 94.723, -175.1602
21.200001, 94.713, -175.6758
21.400000, 94.705, -176.0128
21.799999, 94.690, -176.6660
22.000000, 94.682, -176.9819
22.400000, 94.669, -177.5973
22.700001, 94.660, -178.0517
23.000000, 94.652, -178.5060
23.299999, 94.643, -178.9621
23.600000, 94.634, -179.4185
24.000000, 94.618, 179.9798
24.299999, 94.605, 179.5383
24.700001, 94.587, 178.9649
25.000000, 94.574, 178.5441
25.400000, 94.557, 177.9899
25.799999, 94.540, 177.4387
26.200001, 94.521, 176.8904
26.500000, 94.506, 176.4827
26.900000, 94.484, 175.9473
27.200001, 94.467, 175.5533
27.600000, 94.444, 175.0389
28.000000, 94.420, 174.5373
28.500000, 94.389, 173.9272
29.000000, 94.359, 173.3321
29.500000, 94.330, 172.7457
30.000000, 94.300, 172.1647
30.400000, 94.276, 171.7065
30.700001, 94.257, 171.3696
31.100000, 94.232, 170.9320
31.500000, 94.207, 170.5074
32.000000, 94.177, 169.9869
32.500000, 94.149, 169.4647
33.000000, 94.120, 168.9342
33.500000, 94.088, 168.4021
34.000000, 94.055, 167.8808
34.500000, 94.020, 167.3774
35.000000, 93.984, 166.8901
35.500000, 93.948, 166.4147
36.000000, 93.912, 165.9498
36.500000, 93.876, 165.4951
37.000000, 93.841, 165.0472
37.500000, 93.806, 164.6014
38.200001, 93.755, 163.9803
38.700001, 93.718, 163.5435
39.500000, 93.657, 162.8576
40.000000, 93.618, 162.4365
40.599998, 93.569, 161.9456
41.200001, 93.520, 161.4751
41.799999, 93.472, 161.0164
42.500000, 93.417, 160.4833
43.099998, 93.369, 160.0327
43.700001, 93.321, 159.5924
44.400002, 93.265, 159.0849
45.000000, 93.217, 158.6532
45.500000, 93.175, 158.3006
46.200001, 93.117, 157.8212
46.799999, 93.067, 157.4216
47.500000, 93.008, 156.9706
48.200001, 92.950, 156.5286
48.700001, 92.908, 156.2091
49.400002, 92.846, 155.7662
50.000000, 92.790, 155.4160
50.799999, 92.720, 154.9891
51.500000, 92.663, 154.6025
52.200001, 92.603, 154.1859
53.000000, 92.527, 153.7264
53.799999, 92.448, 153.3288
54.500000, 92.385, 152.9997
55.200001, 92.322, 152.6537
56.000000, 92.245, 152.2927
57.000000, 92.161, 151.9150
58.000000, 92.089, 151.4346
59.000000, 92.008, 150.9882
60.000000, 91.953, 150.4628
60.799999, 91.887, 149.8402
61.500000, 91.794, 149.4079
62.200001, 91.704, 149.2047
63.000000, 91.628, 149.0606
64.000000, 91.544, 148.7841
65.000000, 91.452, 148.4932
66.000000, 91.355, 148.2026
67.000000, 91.253, 147.9017
68.000000, 91.149, 147.5758
69.000000, 91.050, 147.2153
70.000000, 90.955, 146.8103
71.000000, 90.872, 146.4453
72.000000, 90.807, 146.1058
73.000000, 90.768, 145.8689
74.000000, 90.770, 145.3540
75.000000, 90.680, 144.4418
76.199997, 90.456, 144.3879
77.500000, 90.327, 144.9348
78.800003, 90.213, 145.0140
80.000000, 90.089, 144.9465
81.199997, 89.960, 144.8564
82.500000, 89.843, 144.7135
83.800003, 89.740, 144.4764
85.000000, 89.638, 144.2565
86.199997, 89.530, 144.1442
87.500000, 89.416, 144.0823
88.500000, 89.327, 144.0360
90.000000, 89.196, 143.9835
91.199997, 89.099, 143.9347
92.500000, 88.993, 143.8611
93.800003, 88.879, 143.8653
95.000000, 88.774, 143.9597
96.199997, 88.680, 144.0486
97.500000, 88.580, 144.0289
98.800003, 88.474, 144.0157
100.000000, 88.386, 144.0577
101.500000, 88.285, 144.1038
103.000000, 88.154, 144.0967
104.400002, 87.997, 144.2877
106.000000, 87.839, 144.6544
107.500000, 87.764, 144.8251
109.000000, 87.741, 144.4244
110.599998, 87.674, 143.5612
112.000000, 87.514, 143.5001
113.800003, 87.379, 144.6870
115.000000, 87.329, 145.4127
117.199997, 87.220, 146.3577
118.000000, 87.176, 146.6472
120.599998, 87.099, 147.4750
122.000000, 87.075, 147.3451
124.099998, 86.910, 147.3011
125.000000, 86.841, 147.4868
126.500000, 86.739, 147.6987
128.000000, 86.628, 147.9028
131.500000, 86.451, 148.9672
132.000000, 86.430, 149.0809
134.000000, 86.337, 149.5463
136.000000, 86.242, 149.9707
138.000000, 86.148, 150.3772
140.000000, 86.062, 150.8841
143.000000, 85.925, 151.6928
145.000000, 85.838, 152.2255
147.500000, 85.763, 152.7371
150.000000, 85.669, 153.0583
152.500000, 85.555, 154.0098
155.000000, 85.467, 155.1121
157.500000, 85.366, 156.2714
160.000000, 85.256, 157.6310
162.500000, 85.170, 159.1858
165.000000, 85.149, 160.7332
167.500000, 85.203, 161.9888
170.000000, 85.299, 162.6487
172.500000, 85.378, 162.8053
175.000000, 85.419, 162.6899
177.500000, 85.417, 162.5349
180.000000, 85.401, 162.4318
182.500000, 85.380, 162.3319
185.000000, 85.360, 162.4145
187.500000, 85.361, 162.5754
190.000000, 85.380, 162.7225
192.500000, 85.418, 162.8369
195.000000, 85.448, 162.9937
197.500000, 85.448, 163.3152
200.000000, 85.447, 163.7514
203.000000, 85.469, 164.1434
206.000000, 85.481, 164.5214
209.000000, 85.473, 164.8525
212.000000, 85.466, 165.0529
214.000000, 85.455, 165.1379
218.000000, 85.408, 165.3847
220.000000, 85.393, 165.5042
224.000000, 85.395, 165.8471
227.000000, 85.396, 166.3261
230.000000, 85.392, 166.7118
233.000000, 85.383, 166.9763
236.000000, 85.374, 167.2731
240.000000, 85.362, 167.6177
243.000000, 85.354, 167.8138
247.000000, 85.353, 168.1390
250.000000, 85.355, 168.3771
254.000000, 85.352, 168.5921
258.000000, 85.344, 168.8102
262.000000, 85.333, 169.0801
265.000000, 85.329, 169.2761
269.000000, 85.324, 169.4897
272.000000, 85.317, 169.6422
276.000000, 85.301, 169.8663
280.000000, 85.287, 170.1178
285.000000, 85.271, 170.4102
290.000000, 85.264, 170.7235
295.000000, 85.276, 171.0077
300.000000, 85.281, 171.3740
304.000000, 85.249, 171.7970
307.000000, 85.232, 172.1462
311.000000, 85.245, 172.5496
315.000000, 85.288, 172.8861
320.000000, 85.347, 173.2108
325.000000, 85.409, 173.2197
330.000000, 85.452, 173.0825
335.000000, 85.452, 172.9954
