* Measurement data measured by REW V5.31.1
* Source: VENTURE-DAS-32, VENTURE-DAS-32, 0, volume: 0.668
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 22, 2024 3:00:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim Origin R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.000000, 87.980, -137.6767
20.299999, 88.010, -138.3108
20.600000, 88.040, -138.9037
20.900000, 88.073, -139.4650
21.200001, 88.109, -140.0145
21.400000, 88.134, -140.3841
21.799999, 88.185, -141.1443
22.000000, 88.208, -141.5335
22.400000, 88.247, -142.3100
22.700001, 88.270, -142.8692
23.000000, 88.290, -143.3946
23.299999, 88.310, -143.8852
23.600000, 88.332, -144.3510
24.000000, 88.364, -144.9601
24.299999, 88.389, -145.4238
24.700001, 88.421, -146.0570
25.000000, 88.442, -146.5353
25.400000, 88.466, -147.1598
25.799999, 88.487, -147.7582
26.200001, 88.507, -148.3343
26.500000, 88.521, -148.7594
26.900000, 88.540, -149.3230
27.200001, 88.553, -149.7410
27.600000, 88.567, -150.2815
28.000000, 88.580, -150.7923
28.500000, 88.597, -151.3913
29.000000, 88.619, -151.9722
29.500000, 88.643, -152.5611
30.000000, 88.667, -153.1606
30.400000, 88.684, -153.6384
30.700001, 88.695, -153.9910
31.100000, 88.709, -154.4504
31.500000, 88.722, -154.8953
32.000000, 88.735, -155.4269
32.500000, 88.749, -155.9300
33.000000, 88.764, -156.4145
33.500000, 88.780, -156.8972
34.000000, 88.796, -157.3846
34.500000, 88.808, -157.8655
35.000000, 88.817, -158.3238
35.500000, 88.827, -158.7575
36.000000, 88.837, -159.1813
36.500000, 88.849, -159.6112
37.000000, 88.859, -160.0503
37.500000, 88.867, -160.4880
38.200001, 88.873, -161.0745
38.700001, 88.877, -161.4713
39.500000, 88.885, -162.0888
40.000000, 88.889, -162.4718
40.599998, 88.893, -162.9194
41.200001, 88.896, -163.3407
41.799999, 88.901, -163.7428
42.500000, 88.911, -164.2222
43.099998, 88.918, -164.6519
43.700001, 88.919, -165.0738
44.400002, 88.918, -165.5250
45.000000, 88.920, -165.8911
45.500000, 88.924, -166.2037
46.200001, 88.927, -166.6576
46.799999, 88.927, -167.0392
47.500000, 88.927, -167.4633
48.200001, 88.928, -167.8799
48.700001, 88.930, -168.1772
49.400002, 88.933, -168.5937
50.000000, 88.936, -168.9583
50.799999, 88.934, -169.4404
51.500000, 88.929, -169.8192
52.200001, 88.928, -170.1686
53.000000, 88.926, -170.5799
53.799999, 88.918, -170.9693
54.500000, 88.910, -171.2590
55.200001, 88.906, -171.5241
56.000000, 88.906, -171.8234
57.000000, 88.912, -172.2210
58.000000, 88.923, -172.6340
59.000000, 88.948, -173.1687
60.000000, 88.940, -173.9108
60.799999, 88.897, -174.3227
61.500000, 88.874, -174.4887
62.200001, 88.872, -174.6719
63.000000, 88.869, -174.9777
64.000000, 88.855, -175.3316
65.000000, 88.847, -175.6480
66.000000, 88.846, -176.0122
67.000000, 88.840, -176.4654
68.000000, 88.818, -176.8939
69.000000, 88.799, -177.2150
70.000000, 88.789, -177.5396
71.000000, 88.778, -177.8786
72.000000, 88.767, -178.2012
73.000000, 88.755, -178.5187
74.000000, 88.743, -178.8246
75.000000, 88.732, -179.1364
76.199997, 88.718, -179.5336
77.500000, 88.700, -179.9526
78.800003, 88.683, 179.6534
80.000000, 88.668, 179.3041
81.199997, 88.651, 178.9658
82.500000, 88.632, 178.6154
83.800003, 88.612, 178.2745
85.000000, 88.593, 177.9566
86.199997, 88.574, 177.6342
87.500000, 88.553, 177.2918
88.500000, 88.538, 177.0316
90.000000, 88.514, 176.6532
91.199997, 88.495, 176.3629
92.500000, 88.472, 176.0518
93.800003, 88.447, 175.7570
95.000000, 88.424, 175.5027
96.199997, 88.402, 175.2721
97.500000, 88.385, 175.0186
98.800003, 88.369, 174.7278
