* Measurement data measured by REW V5.31.1
* Source: VENTURE-DAS-32, VENTURE-DAS-32, 0, volume: 0.636
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 6, 2024 9:20:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TangZu Xuanwu Gate S2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.000000, 89.467, -155.8968
20.299999, 89.479, -156.7474
20.600000, 89.482, -157.5923
20.900000, 89.476, -158.3985
21.200001, 89.464, -159.1418
21.400000, 89.456, -159.5994
21.799999, 89.445, -160.4433
22.000000, 89.443, -160.8455
22.400000, 89.446, -161.6505
22.700001, 89.451, -162.2735
23.000000, 89.455, -162.9149
23.299999, 89.455, -163.5655
23.600000, 89.452, -164.2135
24.000000, 89.443, -165.0592
24.299999, 89.434, -165.6761
24.700001, 89.420, -166.4768
25.000000, 89.409, -167.0627
25.400000, 89.395, -167.8276
25.799999, 89.380, -168.5792
26.200001, 89.364, -169.3230
26.500000, 89.349, -169.8741
26.900000, 89.327, -170.5871
27.200001, 89.307, -171.0927
27.600000, 89.282, -171.7161
28.000000, 89.261, -172.2916
28.500000, 89.245, -172.9964
29.000000, 89.235, -173.7435
29.500000, 89.218, -174.5272
30.000000, 89.190, -175.2853
30.400000, 89.167, -175.8460
30.700001, 89.151, -176.2467
31.100000, 89.132, -176.7782
31.500000, 89.114, -177.3270
32.000000, 89.085, -178.0337
32.500000, 89.046, -178.7252
33.000000, 89.003, -179.3723
33.500000, 88.959, -179.9818
34.000000, 88.917, 179.4303
34.500000, 88.876, 178.8610
35.000000, 88.839, 178.3006
35.500000, 88.806, 177.7147
36.000000, 88.770, 177.0770
36.500000, 88.723, 176.4200
37.000000, 88.664, 175.8260
37.500000, 88.603, 175.3530
38.200001, 88.541, 174.8261
38.700001, 88.514, 174.4267
39.500000, 88.472, 173.6708
40.000000, 88.436, 173.1917
40.599998, 88.391, 172.6624
41.200001, 88.348, 172.1539
41.799999, 88.303, 171.6306
42.500000, 88.242, 171.0270
43.099998, 88.182, 170.5630
43.700001, 88.124, 170.1540
44.400002, 88.062, 169.7029
45.000000, 88.011, 169.3077
45.500000, 87.968, 168.9736
46.200001, 87.906, 168.5156
46.799999, 87.854, 168.1361
47.500000, 87.793, 167.7069
48.200001, 87.730, 167.3007
48.700001, 87.685, 167.0319
49.400002, 87.624, 166.6825
50.000000, 87.575, 166.3886
50.799999, 87.509, 165.9724
51.500000, 87.445, 165.6060
52.200001, 87.376, 165.2742
53.000000, 87.301, 164.9124
53.799999, 87.225, 164.5454
54.500000, 87.162, 164.2169
55.200001, 87.099, 163.8245
56.000000, 87.005, 163.3570
57.000000, 86.873, 163.1160
58.000000, 86.806, 163.0678
59.000000, 86.761, 162.7311
60.000000, 86.689, 162.3528
60.799999, 86.625, 162.1343
61.500000, 86.568, 161.9824
62.200001, 86.511, 161.8625
63.000000, 86.450, 161.7340
64.000000, 86.370, 161.5130
65.000000, 86.273, 161.3535
66.000000, 86.195, 161.3250
67.000000, 86.138, 161.1126
68.000000, 86.056, 160.8023
69.000000, 85.969, 160.6313
70.000000, 85.892, 160.5036
71.000000, 85.818, 160.3889
72.000000, 85.746, 160.2901
73.000000, 85.674, 160.2154
74.000000, 85.604, 160.1647
75.000000, 85.536, 160.1153
76.199997, 85.454, 160.0572
77.500000, 85.365, 160.0385
78.800003, 85.288, 160.0417
80.000000, 85.219, 160.0045
81.199997, 85.142, 159.9921
82.500000, 85.059, 160.0255
83.800003, 84.972, 160.1254
85.000000, 84.910, 160.2670
86.199997, 84.853, 160.2657
87.500000, 84.780, 160.2603
88.500000, 84.727, 160.2886
90.000000, 84.652, 160.3429
91.199997, 84.594, 160.3895
92.500000, 84.525, 160.4852
93.800003, 84.461, 160.6671
95.000000, 84.408, 160.8204
96.199997, 84.356, 160.9489
97.500000, 84.299, 161.0625
98.800003, 84.242, 161.1658
100.000000, 84.192, 161.2653
101.500000, 84.136, 161.4008
103.000000, 84.086, 161.5429
104.400002, 84.042, 161.6913
106.000000, 83.992, 161.8919
107.500000, 83.947, 162.0849
109.000000, 83.900, 162.2414
110.599998, 83.849, 162.4336
112.000000, 83.812, 162.5677
113.800003, 83.756, 162.6846
115.000000, 83.719, 162.8156
117.199997, 83.657, 163.1056
118.000000, 83.638, 163.2253
120.599998, 83.582, 163.5771
122.000000, 83.553, 163.7455
124.099998, 83.510, 163.9796
125.000000, 83.492, 164.0740
126.500000, 83.463, 164.2348
128.000000, 83.437, 164.4110
131.500000, 83.389, 164.7911
132.000000, 83.380, 164.8399
134.000000, 83.342, 165.0551
136.000000, 83.301, 165.2569
138.000000, 83.260, 165.4658
140.000000, 83.225, 165.7178
143.000000, 83.194, 166.1591
145.000000, 83.172, 166.3882
147.500000, 83.141, 166.7594
150.000000, 83.130, 167.2522
152.500000, 83.144, 167.7251
155.000000, 83.173, 168.0226
157.500000, 83.201, 168.1331
160.000000, 83.194, 168.1604
162.500000, 83.143, 168.2486
165.000000, 83.074, 168.2866
167.500000, 82.989, 168.3180
170.000000, 82.898, 168.4832
172.500000, 82.818, 168.7325
175.000000, 82.755, 168.9063
177.500000, 82.711, 169.0283
180.000000, 82.680, 169.1529
182.500000, 82.655, 169.3144
185.000000, 82.652, 169.4870
187.500000, 82.670, 169.6009
190.000000, 82.699, 169.7547
192.500000, 82.736, 169.9103
195.000000, 82.774, 170.0341
197.500000, 82.808, 170.1622
200.000000, 82.838, 170.3387
203.000000, 82.867, 170.5758
206.000000, 82.885, 170.7431
209.000000, 82.890, 170.8287
212.000000, 82.886, 170.8825
214.000000, 82.881, 170.9181
218.000000, 82.865, 171.0160
220.000000, 82.856, 171.0779
224.000000, 82.837, 171.2264
227.000000, 82.823, 171.3427
230.000000, 82.811, 171.4568
233.000000, 82.800, 171.5544
236.000000, 82.789, 171.6551
240.000000, 82.772, 171.7905
243.000000, 82.758, 171.8817
247.000000, 82.743, 172.0367
250.000000, 82.733, 172.1472
254.000000, 82.726, 172.2590
258.000000, 82.717, 172.3616
262.000000, 82.704, 172.4743
265.000000, 82.696, 172.5617
269.000000, 82.688, 172.6812
272.000000, 82.681, 172.7565
276.000000, 82.674, 172.8263
280.000000, 82.668, 172.8786
285.000000, 82.654, 173.0522
290.000000, 82.644, 173.1844
295.000000, 82.647, 173.3116
300.000000, 82.636, 173.4192
304.000000, 82.620, 173.4930
307.000000, 82.612, 173.5410
311.000000, 82.603, 173.6099
315.000000, 82.592, 173.6971
320.000000, 82.577, 173.8140
325.000000, 82.566, 173.9223
330.000000, 82.556, 174.0234
335.000000, 82.546, 174.1168
340.000000, 82.536, 174.2013
345.000000, 82.525, 174.2999
350.000000, 82.513, 174.4097
355.000000, 82.502, 174.5126
360.000000, 82.491, 174.6083
365.000000, 82.480, 174.6970
370.000000, 82.470, 174.7914
375.000000, 82.458, 174.8938
382.000000, 82.441, 175.0352
387.000000, 82.430, 175.1360
395.000000, 82.412, 175.2936
400.000000, 82.400, 175.3921
406.000000, 82.386, 175.5126
412.000000, 82.374, 175.6324
418.000000, 82.360, 175.7503
425.000000, 82.344, 175.8881
431.000000, 82.330, 176.0088
437.000000, 82.317, 176.1396
444.000000, 82.303, 176.2992
450.000000, 82.291, 176.4222
455.000000, 82.281, 176.5218
462.000000, 82.265, 176.6706
468.000000, 82.252, 176.8042
475.000000, 82.238, 176.9562
482.000000, 82.225, 177.1107
487.000000, 82.215, 177.2213
494.000000, 82.201, 177.3756
500.000000, 82.189, 177.5124
508.000000, 82.173, 177.6945
515.000000, 82.159, 177.8560
522.000000, 82.146, 178.0238
530.000000, 82.131, 178.2188
538.000000, 82.116, 178.4221
545.000000, 82.103, 178.6006
552.000000, 82.091, 178.7744
560.000000, 82.077, 178.9769
570.000000, 82.060, 179.2459
580.000000, 82.044, 179.5157
590.000000, 82.028, 179.7872
600.000000, 82.012, -179.9277
608.000000, 82.000, -179.6953
615.000000, 81.990, -179.4890
622.000000, 81.981, -179.2796
630.000000, 81.972, -179.0326
640.000000, 81.960, -178.7178
650.000000, 81.949, -178.3999
660.000000, 81.939, -178.0766
670.000000, 81.930, -177.7460
680.000000, 81.923, -177.4055
690.000000, 81.916, -177.0547
700.000000, 81.912, -176.6989
710.000000, 81.908, -176.3360
720.000000, 81.907, -175.9645
730.000000, 81.907, -175.5863
740.000000, 81.909, -175.2041
750.000000, 81.913, -174.8172
762.000000, 81.920, -174.3388
775.000000, 81.932, -173.8092
788.000000, 81.948, -173.2675
800.000000, 81.965, -172.7644
812.000000, 81.986, -172.2562
825.000000, 82.012, -171.6958
838.000000, 82.042, -171.1395
850.000000, 82.072, -170.6277
862.000000, 82.102, -170.1121
875.000000, 82.143, -169.5555
885.000000, 82.183, -169.1331
900.000000, 82.247, -168.5109
912.000000, 82.294, -168.0248
925.000000, 82.343, -167.5148
938.000000, 82.398, -167.0247
950.000000, 82.455, -166.5911
962.000000, 82.517, -166.1780
975.000000, 82.589, -165.7569
988.000000, 82.663, -165.3654
1000.000000, 82.733, -165.0347
1015.000000, 82.822, -164.6672
1030.000000, 82.912, -164.3492
1044.000000, 82.997, -164.0977
1060.000000, 83.094, -163.8647
1075.000000, 83.183, -163.6961
1090.000000, 83.272, -163.5740
1106.000000, 83.364, -163.4922
1120.000000, 83.444, -163.4562
1138.000000, 83.546, -163.4507
1150.000000, 83.612, -163.4743
