* Measurement data measured by REW V5.31.1
* Source: VENTURE-DAS-32, VENTURE-DAS-32, 0, volume: 0.636
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2024 8:26:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.000000, 93.731, -174.0209
20.299999, 93.709, -174.6667
20.600000, 93.687, -175.2974
20.900000, 93.667, -175.9186
21.200001, 93.647, -176.5335
21.400000, 93.633, -176.9400
21.799999, 93.604, -177.7416
22.000000, 93.589, -178.1346
22.400000, 93.557, -178.9004
22.700001, 93.533, -179.4560
23.000000, 93.509, -179.9973
23.299999, 93.485, 179.4719
23.600000, 93.462, 178.9477
24.000000, 93.431, 178.2538
24.299999, 93.407, 177.7365
24.700001, 93.372, 177.0551
25.000000, 93.345, 176.5553
25.400000, 93.307, 175.9125
25.799999, 93.268, 175.3016
26.200001, 93.230, 174.7197
26.500000, 93.202, 174.2958
26.900000, 93.168, 173.7368
27.200001, 93.143, 173.3172
27.600000, 93.108, 172.7573
28.000000, 93.071, 172.2037
28.500000, 93.022, 171.5335
29.000000, 92.972, 170.8900
29.500000, 92.922, 170.2645
30.000000, 92.871, 169.6556
30.400000, 92.830, 169.1887
30.700001, 92.799, 168.8537
31.100000, 92.760, 168.4225
31.500000, 92.724, 167.9945
32.000000, 92.682, 167.4402
32.500000, 92.637, 166.8616
33.000000, 92.586, 166.2875
33.500000, 92.531, 165.7488
34.000000, 92.478, 165.2478
34.500000, 92.429, 164.7628
35.000000, 92.381, 164.2772
35.500000, 92.331, 163.7947
36.000000, 92.280, 163.3275
36.500000, 92.229, 162.8796
37.000000, 92.178, 162.4445
37.500000, 92.129, 162.0151
38.200001, 92.057, 161.4284
38.700001, 92.004, 161.0330
39.500000, 91.921, 160.4479
40.000000, 91.873, 160.0930
40.599998, 91.818, 159.6529
41.200001, 91.760, 159.1978
41.799999, 91.700, 158.7496
42.500000, 91.628, 158.2564
43.099998, 91.568, 157.8569
43.700001, 91.509, 157.4718
44.400002, 91.442, 157.0320
45.000000, 91.386, 156.6577
45.500000, 91.337, 156.3507
46.200001, 91.269, 155.9407
46.799999, 91.211, 155.6096
47.500000, 91.144, 155.2339
48.200001, 91.078, 154.8614
48.700001, 91.029, 154.5988
49.400002, 90.961, 154.2418
50.000000, 90.901, 153.9509
