* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 6, 2024 2:26:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7Hz Salnotes Zero 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 103.326 -139.8528
20.600000 103.312 -140.5889
20.900000 103.289 -141.8085
21.200001 103.284 -142.7102
21.400000 103.289 -143.1529
21.799999 103.306 -143.9105
22.000000 103.308 -144.3461
22.400000 103.282 -145.4963
22.700001 103.233 -146.5968
23.000000 103.165 -147.7777
23.299999 103.089 -148.8537
23.600000 103.020 -149.7075
24.000000 102.951 -150.4587
24.299999 102.923 -150.8516
24.700001 102.905 -151.4089
25.000000 102.894 -151.9984
25.400000 102.865 -153.0446
25.799999 102.811 -154.2123
26.200001 102.743 -155.2522
26.500000 102.695 -155.8688
26.900000 102.647 -156.5167
27.200001 102.621 -156.9817
27.600000 102.585 -157.7334
28.000000 102.530 -158.7218
28.500000 102.429 -160.1516
29.000000 102.336 -161.4044
29.500000 102.302 -162.2012
30.000000 102.324 -162.6223
30.400000 102.335 -162.9063
30.700001 102.317 -163.1852
31.100000 102.247 -163.6928
31.500000 102.149 -164.3395
32.000000 102.048 -165.2772
32.500000 102.015 -166.2883
33.000000 102.023 -167.2744
33.500000 102.004 -168.1125
34.000000 101.924 -168.7615
34.500000 101.821 -169.3662
35.000000 101.751 -170.1060
35.500000 101.738 -170.9662
36.000000 101.744 -171.7374
36.500000 101.722 -172.3011
37.000000 101.652 -172.7871
37.500000 101.563 -173.3821
38.200001 101.471 -174.3427
38.700001 101.439 -174.9189
39.500000 101.379 -175.7541
40.000000 101.320 -176.4326
40.599998 101.244 -177.3144
41.200001 101.178 -177.9840
41.799999 101.125 -178.4260
42.500000 101.062 -178.9329
43.099998 100.993 -179.4796
43.700001 100.908 179.9361
44.400002 100.826 179.3038
45.000000 100.814 178.8161
45.500000 100.829 178.4032
46.200001 100.807 177.7686
46.799999 100.734 177.2161
47.500000 100.673 176.5982
48.200001 100.663 175.9295
48.700001 100.630 175.4373
49.400002 100.517 174.8028
50.000000 100.430 174.1638
50.799999 100.375 172.9365
51.500000 100.286 172.0355
52.200001 100.160 171.9178
53.000000 100.105 172.1422
53.799999 100.110 171.6545
54.500000 100.043 170.9340
55.200001 99.937 170.6260
56.000000 99.866 170.6665
57.000000 99.838 170.3113
58.000000 99.778 169.5733
59.000000 99.712 169.0277
60.000000 99.653 168.5430
60.799999 99.577 168.1246
61.500000 99.495 167.7271
62.200001 99.428 167.3104
63.000000 99.362 166.8486
64.000000 99.260 166.2333
65.000000 99.164 165.6292
66.000000 99.101 165.2064
67.000000 99.049 164.8025
68.000000 98.991 164.4000
69.000000 98.938 164.0221
70.000000 98.914 163.6326
71.000000 98.899 163.4002
72.000000 98.862 163.4110
73.000000 98.771 163.6042
74.000000 98.616 163.7227
75.000000 98.429 163.4072
76.199997 98.252 162.4916
77.500000 98.200 161.7471
78.800003 98.151 161.8282
80.000000 98.026 161.8605
81.199997 97.950 161.1921
82.500000 97.952 160.6856
83.800003 97.883 160.5210
85.000000 97.812 160.1952
86.199997 97.768 160.0361
87.500000 97.695 159.9478
88.500000 97.637 159.8099
90.000000 97.571 159.4295
91.199997 97.509 159.2391
92.500000 97.424 159.1583
93.800003 97.341 159.0598
95.000000 97.276 158.9108
96.199997 97.223 158.7506
97.500000 97.163 158.5926
98.800003 97.101 158.4623
100.000000 97.030 158.4001
101.500000 96.941 158.2327
103.000000 96.879 158.0176
104.400002 96.822 157.8525
106.000000 96.742 157.8515
107.500000 96.680 157.8250
109.000000 96.614 157.7549
110.599998 96.543 157.5483
112.000000 96.468 157.4277
113.800003 96.391 157.5065
115.000000 96.342 157.4467
117.199997 96.238 157.4418
118.000000 96.217 157.4761
120.599998 96.152 157.1265
122.000000 96.073 156.9524
124.099998 95.948 157.1278
125.000000 95.914 157.2822
126.500000 95.886 157.4658
128.000000 95.866 157.4535
131.500000 95.750 157.0297
132.000000 95.728 156.9834
134.000000 95.652 156.9019
136.000000 95.593 156.9358
138.000000 95.526 157.0633
140.000000 95.447 157.3235
143.000000 95.315 157.7238
145.000000 95.222 157.7556
147.500000 95.146 157.6425
150.000000 95.091 157.6985
152.500000 95.001 157.7411
155.000000 94.936 157.7900
157.500000 94.878 157.9368
160.000000 94.818 158.0081
162.500000 94.746 158.1542
165.000000 94.652 158.3651
167.500000 94.556 158.4923
170.000000 94.477 158.6200
172.500000 94.418 158.8995
175.000000 94.359 159.2197
177.500000 94.265 159.4168
180.000000 94.169 159.5377
182.500000 94.109 159.7963
185.000000 94.030 159.9988
187.500000 93.974 159.9628
190.000000 93.928 160.1902
192.500000 93.852 160.6576
195.000000 93.774 161.0596
197.500000 93.707 161.3560
200.000000 93.631 161.5588
203.000000 93.548 161.5599
206.000000 93.507 161.3447
209.000000 93.467 161.4307
212.000000 93.444 161.6719
214.000000 93.445 161.8989
218.000000 93.461 162.3460
220.000000 93.451 162.4767
224.000000 93.391 162.8318
227.000000 93.343 163.0692
230.000000 93.293 163.3029
233.000000 93.248 163.5393
236.000000 93.208 163.7483
240.000000 93.154 164.0014
243.000000 93.119 164.2395
247.000000 93.071 164.5643
250.000000 93.026 164.8204
254.000000 92.966 165.1694
258.000000 92.911 165.5080
262.000000 92.862 165.8404
265.000000 92.823 166.1055
269.000000 92.775 166.4458
272.000000 92.742 166.7174
276.000000 92.700 167.0712
280.000000 92.661 167.4024
285.000000 92.607 167.7704
290.000000 92.556 168.1552
295.000000 92.511 168.5652
300.000000 92.465 168.9990
304.000000 92.428 169.3471
307.000000 92.405 169.6029
311.000000 92.377 169.9420
315.000000 92.349 170.2734
320.000000 92.313 170.6882
325.000000 92.276 171.1153
330.000000 92.239 171.5315
335.000000 92.206 171.9381
340.000000 92.176 172.3188
345.000000 92.147 172.7012
350.000000 92.122 173.0878
355.000000 92.095 173.4681
360.000000 92.071 173.8543
365.000000 92.049 174.2601
370.000000 92.024 174.6732
375.000000 92.002 175.0651
382.000000 91.977 175.5787
387.000000 91.958 175.9449
395.000000 91.927 176.5307
400.000000 91.910 176.9008
406.000000 91.890 177.3328
412.000000 91.871 177.7592
418.000000 91.853 178.1835
425.000000 91.834 178.6797
431.000000 91.819 179.0970
437.000000 91.804 179.5022
444.000000 91.788 179.9702
450.000000 91.775 -179.6272
455.000000 91.764 -179.2932
462.000000 91.750 -178.8274
468.000000 91.739 -178.4296
475.000000 91.725 -177.9788
482.000000 91.713 -177.5437
487.000000 91.704 -177.2388
494.000000 91.693 -176.8100
500.000000 91.684 -176.4352
508.000000 91.673 -175.9349
515.000000 91.662 -175.4941
522.000000 91.654 -175.0530
530.000000 91.646 -174.5555
538.000000 91.639 -174.0619
545.000000 91.633 -173.6344
552.000000 91.627 -173.2146
560.000000 91.619 -172.7290
570.000000 91.610 -172.1140
580.000000 91.605 -171.5036
590.000000 91.599 -170.9005
600.000000 91.592 -170.2942
608.000000 91.587 -169.8080
615.000000 91.583 -169.3756
622.000000 91.581 -168.9392
630.000000 91.579 -168.4348
640.000000 91.576 -167.7983
650.000000 91.575 -167.1727
660.000000 91.578 -166.5340
670.000000 91.581 -165.8849
680.000000 91.584 -165.2328
690.000000 91.592 -164.5806
700.000000 91.605 -163.9268
710.000000 91.619 -163.2736
720.000000 91.631 -162.6179
730.000000 91.644 -161.9597
740.000000 91.660 -161.3034
750.000000 91.679 -160.6530
762.000000 91.706 -159.8710
775.000000 91.739 -159.0160
788.000000 91.775 -158.1617
800.000000 91.807 -157.3734
812.000000 91.839 -156.5867
825.000000 91.877 -155.7413
838.000000 91.919 -154.9013
850.000000 91.961 -154.1308
862.000000 92.007 -153.3665
875.000000 92.062 -152.5542
885.000000 92.108 -151.9389
900.000000 92.183 -151.0313
912.000000 92.247 -150.3272
925.000000 92.320 -149.5881
938.000000 92.398 -148.8705
950.000000 92.474 -148.2301
962.000000 92.552 -147.6135
975.000000 92.638 -146.9734
988.000000 92.728 -146.3655
1000.000000 92.810 -145.8356
1015.000000 92.912 -145.2080
1030.000000 93.013 -144.6212
1044.000000 93.109 -144.1157
1060.000000 93.219 -143.5828
1075.000000 93.325 -143.1250
1090.000000 93.430 -142.7111
1106.000000 93.541 -142.3168
1120.000000 93.636 -142.0012
1138.000000 93.755 -141.6358
1150.000000 93.834 -141.4203
1172.000000 93.975 -141.0780
1180.000000 94.025 -140.9690
1206.000000 94.182 -140.6552
1220.000000 94.266 -140.5097
1241.000000 94.389 -140.3220
1250.000000 94.441 -140.2475
1265.000000 94.529 -140.1296
1280.000000 94.618 -140.0228
1315.000000 94.822 -139.8108
1320.000000 94.850 -139.7834
1340.000000 94.960 -139.6788
1360.000000 95.069 -139.5834
1380.000000 95.175 -139.4953
1400.000000 95.277 -139.4119
1430.000000 95.424 -139.2892
1450.000000 95.521 -139.2133
1475.000000 95.643 -139.1231
1500.000000 95.761 -139.0347
1525.000000 95.879 -138.9526
1550.000000 95.999 -138.8806
1575.000000 96.116 -138.8233
1600.000000 96.230 -138.7757
1625.000000 96.348 -138.7415
1650.000000 96.467 -138.7220
1675.000000 96.585 -138.7106
1700.000000 96.701 -138.7123
1725.000000 96.817 -138.7355
1750.000000 96.934 -138.7744
1775.000000 97.052 -138.8275
1800.000000 97.169 -138.8995
1825.000000 97.285 -138.9927
1850.000000 97.398 -139.1060
1875.000000 97.510 -139.2368
1900.000000 97.623 -139.3904
1925.000000 97.735 -139.5691
1950.000000 97.847 -139.7699
1975.000000 97.957 -139.9908
2000.000000 98.065 -140.2315
2030.000000 98.193 -140.5507
2060.000000 98.318 -140.9026
2090.000000 98.440 -141.2868
2120.000000 98.559 -141.6994
2140.000000 98.635 -141.9905
2180.000000 98.783 -142.6131
2200.000000 98.853 -142.9421
2240.000000 98.989 -143.6351
2270.000000 99.084 -144.1836
2300.000000 99.172 -144.7545
2330.000000 99.255 -145.3467
2360.000000 99.332 -145.9552
2400.000000 99.426 -146.7922
2430.000000 99.489 -147.4369
2470.000000 99.561 -148.3068
2500.000000 99.608 -148.9602
2540.000000 99.663 -149.8242
2580.000000 99.710 -150.6827
2620.000000 99.746 -151.5209
2650.000000 99.764 -152.1268
2690.000000 99.780 -152.9046
2720.000000 99.787 -153.4651
2760.000000 99.791 -154.1900
2800.000000 99.788 -154.8926
2850.000000 99.771 -155.7241
2900.000000 99.743 -156.4796
2950.000000 99.711 -157.1765
3000.000000 99.672 -157.8617
3040.000000 99.624 -158.3927
3070.000000 99.575 -158.7521
3110.000000 99.492 -159.1231
3150.000000 99.395 -159.2960
3200.000000 99.269 -159.1145
3250.000000 99.172 -158.4145
3300.000000 99.163 -157.2871
3350.000000 99.291 -156.1385
3400.000000 99.546 -155.5942
3450.000000 99.837 -156.0540
3500.000000 100.068 -157.3967
3550.000000 100.197 -159.1877
3600.000000 100.233 -161.0448
3650.000000 100.204 -162.7711
3700.000000 100.129 -164.3285
3750.000000 100.023 -165.7339
3820.000000 99.824 -167.4324
3870.000000 99.649 -168.3828
3950.000000 99.343 -169.3145
4000.000000 99.163 -169.5707
4060.000000 98.970 -169.6905
4120.000000 98.804 -169.7383
4180.000000 98.659 -169.7793
4250.000000 98.504 -169.8581
4310.000000 98.374 -169.9581
4370.000000 98.241 -170.0789
4440.000000 98.079 -170.2060
4500.000000 97.935 -170.2701
4550.000000 97.815 -170.2902
4620.000000 97.651 -170.2765
4680.000000 97.512 -170.2365
4750.000000 97.347 -170.1700
4820.000000 97.178 -170.0921
4870.000000 97.054 -170.0209
4940.000000 96.870 -169.8743
5000.000000 96.704 -169.6839
5080.000000 96.470 -169.3139
5150.000000 96.261 -168.8552
5220.000000 96.053 -168.2670
5300.000000 95.826 -167.4561
5380.000000 95.615 -166.5243
5450.000000 95.445 -165.6330
5520.000000 95.285 -164.6873
5600.000000 95.115 -163.5471
