* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 6, 2024 2:07:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Binary Chopin L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 100.377 -100.3506
20.600000 100.397 -100.9467
20.900000 100.419 -102.0552
21.200001 100.402 -103.2278
21.400000 100.383 -104.0398
21.799999 100.366 -105.7108
22.000000 100.384 -106.5331
22.400000 100.480 -108.0317
22.700001 100.585 -108.9793
23.000000 100.687 -109.7882
23.299999 100.759 -110.5141
23.600000 100.789 -111.2146
24.000000 100.775 -112.1887
24.299999 100.751 -112.9855
24.700001 100.745 -114.1507
25.000000 100.775 -115.1012
25.400000 100.850 -116.4653
25.799999 100.919 -117.9138
26.200001 100.945 -119.3757
26.500000 100.935 -120.4154
26.900000 100.900 -121.6572
27.200001 100.879 -122.4703
27.600000 100.874 -123.4527
28.000000 100.894 -124.4425
28.500000 100.928 -125.8240
29.000000 100.959 -127.2932
29.500000 100.999 -128.6237
30.000000 101.053 -129.6888
30.400000 101.097 -130.4209
30.700001 101.123 -130.9709
31.100000 101.146 -131.7742
31.500000 101.156 -132.6710
32.000000 101.154 -133.8738
32.500000 101.137 -135.0864
33.000000 101.110 -136.2407
33.500000 101.097 -137.2875
34.000000 101.123 -138.2091
34.500000 101.180 -139.0718
35.000000 101.229 -139.9928
35.500000 101.237 -141.0358
36.000000 101.205 -142.1332
36.500000 101.160 -143.1676
37.000000 101.125 -144.1063
37.500000 101.106 -145.0323
38.200001 101.098 -146.4406
38.700001 101.103 -147.4627
39.500000 101.122 -148.8937
40.000000 101.128 -149.7046
40.599998 101.119 -150.7242
41.200001 101.099 -151.7920
41.799999 101.083 -152.7879
42.500000 101.076 -153.7986
43.099998 101.067 -154.6323
43.700001 101.049 -155.5254
44.400002 101.031 -156.6373
45.000000 101.035 -157.5915
45.500000 101.043 -158.3529
46.200001 101.037 -159.3552
46.799999 101.011 -160.1715
47.500000 100.987 -161.0986
48.200001 100.985 -162.0086
48.700001 100.983 -162.6578
49.400002 100.956 -163.5884
50.000000 100.920 -164.4050
50.799999 100.886 -165.4606
51.500000 100.868 -166.3094
52.200001 100.842 -167.1257
53.000000 100.807 -168.0769
53.799999 100.779 -168.9966
54.500000 100.754 -169.7635
55.200001 100.724 -170.5898
56.000000 100.688 -171.6015
57.000000 100.630 -172.6861
58.000000 100.565 -173.6199
59.000000 100.515 -174.6702
60.000000 100.471 -175.7431
60.799999 100.441 -176.4747
61.500000 100.420 -177.0004
62.200001 100.399 -177.5165
63.000000 100.358 -178.2005
64.000000 100.274 -179.1337
65.000000 100.205 179.9211
66.000000 100.174 179.0318
67.000000 100.133 178.2987
68.000000 100.070 177.5173
69.000000 100.016 176.6212
70.000000 99.967 175.7876
71.000000 99.910 175.0671
72.000000 99.842 174.3716
73.000000 99.765 173.6251
74.000000 99.681 172.8882
75.000000 99.600 172.1775
76.199997 99.511 171.3041
77.500000 99.434 170.4303
78.800003 99.371 169.6655
80.000000 99.292 169.0002
81.199997 99.207 168.2663
82.500000 99.130 167.4608
83.800003 99.063 166.7538
85.000000 98.990 166.1553
86.199997 98.917 165.5211
87.500000 98.852 164.8123
88.500000 98.821 164.2450
90.000000 98.773 163.4628
91.199997 98.670 163.0011
92.500000 98.548 162.4765
93.800003 98.454 161.8613
95.000000 98.373 161.3314
96.199997 98.285 160.8655
97.500000 98.196 160.3552
98.800003 98.112 159.8065
100.000000 98.038 159.2929
101.500000 97.949 158.7026
103.000000 97.855 158.2099
104.400002 97.759 157.7326
106.000000 97.654 157.1853
107.500000 97.561 156.7517
109.000000 97.454 156.4622
110.599998 97.338 156.0910
112.000000 97.248 155.6465
113.800003 97.123 155.1797
115.000000 97.044 154.8406
117.199997 96.907 154.3069
118.000000 96.854 154.1823
120.599998 96.677 153.7451
122.000000 96.579 153.4657
124.099998 96.433 153.0820
125.000000 96.372 152.9290
126.500000 96.273 152.6841
128.000000 96.176 152.4664
131.500000 95.963 152.0039
132.000000 95.933 151.9473
134.000000 95.810 151.7506
136.000000 95.673 151.6037
138.000000 95.540 151.4681
140.000000 95.412 151.3741
143.000000 95.201 151.2735
145.000000 95.073 151.4413
147.500000 94.948 151.6923
150.000000 94.842 151.4369
152.500000 94.713 151.1871
155.000000 94.575 151.1837
157.500000 94.414 151.4525
160.000000 94.253 151.5766
162.500000 94.127 151.6219
165.000000 94.006 151.7858
167.500000 93.862 151.9919
170.000000 93.709 152.2354
172.500000 93.568 152.5275
175.000000 93.441 152.8459
177.500000 93.326 153.1000
180.000000 93.216 153.3655
182.500000 93.097 153.6451
185.000000 92.972 153.8033
187.500000 92.831 154.0069
190.000000 92.720 154.5277
192.500000 92.632 155.0206
195.000000 92.526 155.3822
197.500000 92.429 155.8962
200.000000 92.367 156.6873
203.000000 92.319 157.3391
206.000000 92.196 157.5948
209.000000 92.095 157.9857
212.000000 92.024 158.5532
214.000000 91.960 158.9470
218.000000 91.832 159.6599
220.000000 91.790 160.0611
224.000000 91.703 160.7429
227.000000 91.644 161.3066
230.000000 91.598 161.8740
233.000000 91.542 162.4471
236.000000 91.476 163.0838
240.000000 91.395 163.8358
243.000000 91.334 164.4838
247.000000 91.262 165.3984
250.000000 91.236 165.9176
254.000000 91.213 166.6018
258.000000 91.172 167.3242
262.000000 91.119 168.0515
265.000000 91.089 168.6028
269.000000 91.058 169.3141
272.000000 91.034 169.8381
276.000000 91.005 170.4874
280.000000 90.988 171.1212
285.000000 90.971 171.9111
290.000000 90.953 172.7313
295.000000 90.943 173.4973
300.000000 90.936 174.2209
304.000000 90.933 174.8143
307.000000 90.929 175.2555
311.000000 90.926 175.8383
315.000000 90.927 176.3855
320.000000 90.934 177.0319
325.000000 90.949 177.6281
330.000000 90.948 178.2145
335.000000 90.950 178.8419
340.000000 90.956 179.3727
345.000000 90.965 179.8942
350.000000 90.977 -179.5519
355.000000 90.992 -178.9871
360.000000 91.009 -178.4677
365.000000 91.025 -178.0041
370.000000 91.042 -177.5680
375.000000 91.059 -177.1282
382.000000 91.078 -176.5317
387.000000 91.094 -176.1064
395.000000 91.121 -175.4616
400.000000 91.137 -175.0930
406.000000 91.153 -174.6518
412.000000 91.168 -174.2181
418.000000 91.186 -173.7720
425.000000 91.212 -173.2725
431.000000 91.222 -172.8753
437.000000 91.227 -172.4592
444.000000 91.251 -171.9865
450.000000 91.277 -171.6369
455.000000 91.296 -171.3658
462.000000 91.319 -170.9809
468.000000 91.332 -170.6210
475.000000 91.347 -170.1967
482.000000 91.359 -169.7845
487.000000 91.370 -169.4922
494.000000 91.391 -169.0564
500.000000 91.407 -168.6857
508.000000 91.431 -168.2817
515.000000 91.453 -167.9728
522.000000 91.465 -167.6203
530.000000 91.474 -167.1359
538.000000 91.484 -166.7320
545.000000 91.498 -166.3897
552.000000 91.511 -166.0070
560.000000 91.526 -165.5697
570.000000 91.545 -165.0346
580.000000 91.565 -164.4860
590.000000 91.585 -163.9389
600.000000 91.605 -163.3942
608.000000 91.624 -162.9606
615.000000 91.644 -162.5811
622.000000 91.665 -162.2063
630.000000 91.687 -161.7840
640.000000 91.716 -161.2709
650.000000 91.746 -160.7901
660.000000 91.775 -160.3287
670.000000 91.802 -159.8639
680.000000 91.826 -159.3914
690.000000 91.847 -158.9183
700.000000 91.867 -158.4415
710.000000 91.889 -157.9553
720.000000 91.912 -157.4642
730.000000 91.936 -156.9550
740.000000 91.960 -156.4097
750.000000 91.979 -155.8333
762.000000 92.003 -155.1911
775.000000 92.043 -154.4973
788.000000 92.086 -153.7791
800.000000 92.123 -153.1021
812.000000 92.157 -152.4103
825.000000 92.198 -151.6618
838.000000 92.247 -150.9413
850.000000 92.296 -150.2761
862.000000 92.347 -149.5947
875.000000 92.405 -148.8708
885.000000 92.453 -148.3347
900.000000 92.528 -147.5401
912.000000 92.592 -146.9132
925.000000 92.666 -146.2485
938.000000 92.746 -145.6206
950.000000 92.825 -145.0773
962.000000 92.905 -144.5471
975.000000 92.992 -143.9776
988.000000 93.081 -143.4386
1000.000000 93.164 -142.9800
1015.000000 93.267 -142.4434
1030.000000 93.371 -141.9390
1044.000000 93.471 -141.5179
1060.000000 93.585 -141.0958
1075.000000 93.689 -140.7388
1090.000000 93.792 -140.4165
1106.000000 93.904 -140.1272
1120.000000 94.001 -139.9160
1138.000000 94.122 -139.6779
1150.000000 94.198 -139.5425
1172.000000 94.332 -139.3462
1180.000000 94.378 -139.2890
1206.000000 94.522 -139.1420
1220.000000 94.596 -139.0829
1241.000000 94.703 -139.0132
1250.000000 94.750 -138.9872
1265.000000 94.828 -138.9455
1280.000000 94.906 -138.9083
1315.000000 95.076 -138.8562
1320.000000 95.099 -138.8498
1340.000000 95.190 -138.8118
1360.000000 95.276 -138.7600
1380.000000 95.358 -138.7023
1400.000000 95.439 -138.6410
1430.000000 95.556 -138.5280
1450.000000 95.631 -138.4350
1475.000000 95.725 -138.3160
1500.000000 95.817 -138.1792
1525.000000 95.907 -138.0198
1550.000000 95.998 -137.8531
1575.000000 96.093 -137.6823
1600.000000 96.190 -137.5018
1625.000000 96.288 -137.3074
1650.000000 96.386 -137.1096
1675.000000 96.487 -136.9149
1700.000000 96.592 -136.7173
1725.000000 96.699 -136.5185
1750.000000 96.809 -136.3244
1775.000000 96.921 -136.1372
1800.000000 97.031 -135.9505
1825.000000 97.142 -135.7612
1850.000000 97.260 -135.5752
1875.000000 97.387 -135.3994
1900.000000 97.521 -135.2460
1925.000000 97.660 -135.1320
1950.000000 97.800 -135.0770
1975.000000 97.939 -135.0845
2000.000000 98.076 -135.1335
2030.000000 98.238 -135.2302
2060.000000 98.403 -135.3772
2090.000000 98.571 -135.5642
2120.000000 98.743 -135.7611
2140.000000 98.858 -135.8989
2180.000000 99.088 -136.2298
2200.000000 99.203 -136.4389
2240.000000 99.434 -136.9658
2270.000000 99.605 -137.4492
2300.000000 99.771 -137.9921
2330.000000 99.930 -138.5880
2360.000000 100.083 -139.2377
2400.000000 100.274 -140.1877
2430.000000 100.409 -140.9631
2470.000000 100.579 -142.0785
2500.000000 100.700 -142.9707
2540.000000 100.848 -144.2225
2580.000000 100.976 -145.5419
2620.000000 101.079 -146.9153
2650.000000 101.140 -147.9689
2690.000000 101.200 -149.3892
2720.000000 101.228 -150.4537
2760.000000 101.242 -151.8487
2800.000000 101.226 -153.1833
2850.000000 101.167 -154.7019
2900.000000 101.068 -155.9458
2950.000000 100.945 -156.7829
3000.000000 100.837 -157.1251
3040.000000 100.797 -157.1390
3070.000000 100.807 -157.1465
3110.000000 100.860 -157.3662
3150.000000 100.922 -157.9264
3200.000000 100.962 -158.9474
3250.000000 100.956 -160.0510
3300.000000 100.920 -161.1470
3350.000000 100.851 -162.2177
3400.000000 100.744 -163.1678
3450.000000 100.610 -163.9012
3500.000000 100.467 -164.3773
3550.000000 100.329 -164.6165
3600.000000 100.207 -164.6857
3650.000000 100.101 -164.6651
3700.000000 100.008 -164.6062
3750.000000 99.921 -164.5138
3820.000000 99.804 -164.2920
3870.000000 99.728 -164.0511
3950.000000 99.622 -163.5193
4000.000000 99.568 -163.1001
4060.000000 99.518 -162.5258
4120.000000 99.497 -161.9187
4180.000000 99.510 -161.3542
4250.000000 99.559 -160.8370
4310.000000 99.616 -160.5540
4370.000000 99.684 -160.4302
4440.000000 99.771 -160.4960
4500.000000 99.846 -160.7382
4550.000000 99.902 -161.0697
4620.000000 99.968 -161.7262
4680.000000 100.013 -162.4597
4750.000000 100.040 -163.4946
4820.000000 100.028 -164.6815
4870.000000 99.991 -165.5903
4940.000000 99.898 -166.8907
5000.000000 99.783 -167.9812
5080.000000 99.578 -169.3226
5150.000000 99.351 -170.3227
5220.000000 99.090 -171.1011
5300.000000 98.762 -171.6723
5380.000000 98.416 -171.8782
