* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 13, 2024 12:54:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Brownie Stellaris FML 300 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 97.402 -129.3970
20.600000 97.426 -130.0534
20.900000 97.485 -131.0755
21.200001 97.564 -132.3718
21.400000 97.615 -133.2933
21.799999 97.692 -135.0110
22.000000 97.718 -135.7265
22.400000 97.761 -136.8346
22.700001 97.799 -137.4814
23.000000 97.850 -138.1062
23.299999 97.907 -138.8052
23.600000 97.965 -139.6084
24.000000 98.031 -140.7732
24.299999 98.070 -141.6336
24.700001 98.109 -142.6958
25.000000 98.130 -143.4555
25.400000 98.149 -144.5148
25.799999 98.168 -145.6583
26.200001 98.202 -146.7338
26.500000 98.237 -147.3378
26.900000 98.275 -147.7631
27.200001 98.279 -147.8792
27.600000 98.236 -148.0984
28.000000 98.156 -148.7986
28.500000 98.086 -150.5282
29.000000 98.107 -152.5170
29.500000 98.148 -153.8640
30.000000 98.101 -154.6111
30.400000 98.016 -155.2963
30.700001 97.976 -156.0517
31.100000 98.008 -157.2611
31.500000 98.131 -158.3138
32.000000 98.285 -158.9881
32.500000 98.298 -159.2218
33.000000 98.182 -159.6736
33.500000 98.077 -160.5263
34.000000 98.067 -161.3412
34.500000 98.092 -161.8585
35.000000 98.064 -162.4476
35.500000 97.986 -163.4716
36.000000 97.910 -164.6050
36.500000 97.844 -165.1538
37.000000 97.764 -164.9981
37.500000 97.695 -164.7952
38.200001 97.733 -165.4636
38.700001 97.836 -166.2567
39.500000 97.870 -166.9662
40.000000 97.779 -167.3240
40.599998 97.697 -168.1240
41.200001 97.717 -169.1081
41.799999 97.739 -169.9747
42.500000 97.659 -171.0163
43.099998 97.559 -172.0075
43.700001 97.500 -172.8824
44.400002 97.480 -173.7218
45.000000 97.487 -174.3904
45.500000 97.504 -174.8365
46.200001 97.515 -175.1821
46.799999 97.482 -175.3951
47.500000 97.410 -175.8439
48.200001 97.345 -176.5275
48.700001 97.307 -177.0607
49.400002 97.256 -177.7143
50.000000 97.215 -178.1168
50.799999 97.170 -178.5450
51.500000 97.142 -178.9663
52.200001 97.126 -179.4076
53.000000 97.090 -179.8307
53.799999 97.006 179.8672
54.500000 96.945 179.5931
55.200001 96.940 179.1252
56.000000 96.950 178.3930
57.000000 96.893 177.5634
58.000000 96.780 177.0096
59.000000 96.696 176.6342
60.000000 96.669 176.1152
60.799999 96.625 175.6552
61.500000 96.562 175.3243
62.200001 96.503 175.0479
63.000000 96.446 174.8031
64.000000 96.395 174.4815
65.000000 96.368 173.9759
66.000000 96.319 173.6555
67.000000 96.252 173.5134
68.000000 96.184 173.1949
69.000000 96.122 172.8724
70.000000 96.080 172.5628
71.000000 96.044 172.2229
72.000000 95.989 171.9608
73.000000 95.919 171.7156
74.000000 95.862 171.4732
75.000000 95.816 171.2358
76.199997 95.755 170.9756
77.500000 95.689 170.6778
78.800003 95.623 170.3543
80.000000 95.572 170.1602
81.199997 95.524 169.9847
82.500000 95.447 169.8149
83.800003 95.381 169.3793
85.000000 95.332 169.1664
86.199997 95.279 169.0883
87.500000 95.220 169.2129
88.500000 95.143 170.5120
90.000000 94.978 173.6332
91.199997 95.022 171.2927
92.500000 95.053 168.8495
93.800003 95.002 168.1921
95.000000 94.936 167.9210
96.199997 94.874 167.8006
97.500000 94.818 167.7776
98.800003 94.766 167.6624
100.000000 94.724 167.5501
101.500000 94.671 167.4814
103.000000 94.608 167.3947
104.400002 94.559 167.2805
106.000000 94.503 167.1752
107.500000 94.444 167.1159
109.000000 94.389 166.9694
110.599998 94.329 166.8629
112.000000 94.274 166.9223
113.800003 94.220 166.9074
115.000000 94.184 166.7894
117.199997 94.084 166.7038
118.000000 94.036 166.8007
120.599998 93.926 167.1911
122.000000 93.915 167.1873
124.099998 93.886 167.0630
125.000000 93.872 167.0200
126.500000 93.850 166.9722
128.000000 93.819 166.9500
131.500000 93.712 167.1601
132.000000 93.691 167.2151
134.000000 93.592 167.4401
136.000000 93.483 167.5316
138.000000 93.386 167.4019
140.000000 93.351 167.1898
143.000000 93.323 167.9246
145.000000 93.250 168.4668
147.500000 93.220 168.6740
150.000000 93.237 169.4744
152.500000 93.245 169.9835
155.000000 93.296 170.0997
157.500000 93.333 169.9084
160.000000 93.366 169.6595
162.500000 93.357 169.3147
165.000000 93.311 169.0723
167.500000 93.253 168.9045
170.000000 93.192 168.8126
172.500000 93.132 168.7183
175.000000 93.071 168.6565
177.500000 93.008 168.6573
180.000000 92.947 168.6994
182.500000 92.891 168.7778
185.000000 92.839 168.8633
187.500000 92.787 168.9519
190.000000 92.734 169.0551
192.500000 92.685 169.1371
195.000000 92.638 169.2115
197.500000 92.594 169.3435
200.000000 92.553 169.4764
203.000000 92.509 169.6395
206.000000 92.469 169.8126
209.000000 92.430 169.9930
212.000000 92.391 170.1816
214.000000 92.367 170.3017
218.000000 92.325 170.5300
220.000000 92.309 170.6565
224.000000 92.274 170.9077
227.000000 92.245 171.1001
230.000000 92.218 171.2819
233.000000 92.194 171.4340
236.000000 92.170 171.5804
240.000000 92.137 171.8031
243.000000 92.113 171.9819
247.000000 92.079 172.2162
250.000000 92.052 172.3895
254.000000 92.017 172.6317
258.000000 91.985 172.8703
262.000000 91.951 173.1060
265.000000 91.925 173.2860
269.000000 91.892 173.5307
272.000000 91.868 173.7163
276.000000 91.837 173.9631
280.000000 91.808 174.2123
285.000000 91.776 174.5463
290.000000 91.748 174.8629
295.000000 91.717 175.1731
300.000000 91.685 175.5088
304.000000 91.665 175.7648
307.000000 91.651 175.9504
311.000000 91.634 176.1923
315.000000 91.621 176.4144
320.000000 91.597 176.7089
325.000000 91.570 177.0233
330.000000 91.548 177.3163
335.000000 91.528 177.5952
340.000000 91.509 177.8837
345.000000 91.490 178.1724
350.000000 91.472 178.4642
355.000000 91.455 178.7567
360.000000 91.438 179.0505
365.000000 91.421 179.3475
370.000000 91.406 179.6403
375.000000 91.392 179.9347
382.000000 91.373 -179.6565
387.000000 91.360 -179.3642
395.000000 91.341 -178.9034
400.000000 91.331 -178.6134
406.000000 91.320 -178.2645
412.000000 91.309 -177.9170
418.000000 91.300 -177.5716
425.000000 91.288 -177.1771
431.000000 91.278 -176.8362
437.000000 91.270 -176.4936
444.000000 91.264 -176.1037
450.000000 91.259 -175.7772
455.000000 91.255 -175.5011
462.000000 91.250 -175.1113
468.000000 91.246 -174.7727
475.000000 91.242 -174.3866
482.000000 91.238 -174.0032
487.000000 91.237 -173.7254
494.000000 91.237 -173.3420
500.000000 91.237 -173.0243
508.000000 91.236 -172.5957
515.000000 91.237 -172.2170
522.000000 91.238 -171.8418
530.000000 91.242 -171.4162
538.000000 91.247 -170.9934
545.000000 91.252 -170.6273
552.000000 91.256 -170.2617
560.000000 91.262 -169.8389
570.000000 91.271 -169.3090
580.000000 91.283 -168.7859
590.000000 91.296 -168.2712
600.000000 91.309 -167.7441
608.000000 91.319 -167.3244
615.000000 91.330 -166.9693
622.000000 91.341 -166.6159
630.000000 91.355 -166.2008
640.000000 91.373 -165.6730
650.000000 91.392 -165.1561
660.000000 91.414 -164.6484
670.000000 91.438 -164.1436
680.000000 91.463 -163.6341
690.000000 91.489 -163.1209
700.000000 91.514 -162.6057
710.000000 91.543 -162.0955
720.000000 91.573 -161.5963
730.000000 91.605 -161.0955
740.000000 91.638 -160.5846
750.000000 91.673 -160.0779
762.000000 91.717 -159.4766
775.000000 91.766 -158.8306
788.000000 91.818 -158.1804
800.000000 91.866 -157.5894
812.000000 91.915 -157.0092
825.000000 91.968 -156.3855
838.000000 92.024 -155.7626
850.000000 92.078 -155.1985
862.000000 92.136 -154.6490
875.000000 92.202 -154.0672
885.000000 92.255 -153.6262
900.000000 92.338 -152.9836
912.000000 92.409 -152.4954
925.000000 92.489 -151.9797
938.000000 92.570 -151.4748
950.000000 92.647 -151.0363
962.000000 92.728 -150.6249
975.000000 92.818 -150.2045
988.000000 92.911 -149.8058
1000.000000 92.996 -149.4635
1015.000000 93.100 -149.0717
1030.000000 93.202 -148.7102
1044.000000 93.296 -148.4063
1060.000000 93.405 -148.1030
1075.000000 93.511 -147.8688
1090.000000 93.615 -147.6715
1106.000000 93.723 -147.4850
1120.000000 93.817 -147.3549
1138.000000 93.939 -147.2406
1150.000000 94.020 -147.1856
1172.000000 94.161 -147.1169
1180.000000 94.211 -147.1064
1206.000000 94.372 -147.1264
1220.000000 94.457 -147.1649
1241.000000 94.580 -147.2409
1250.000000 94.634 -147.2847
1265.000000 94.727 -147.3772
1280.000000 94.822 -147.4890
1315.000000 95.036 -147.7832
1320.000000 95.066 -147.8300
1340.000000 95.185 -148.0359
1360.000000 95.301 -148.2694
1380.000000 95.411 -148.5093
1400.000000 95.515 -148.7590
1430.000000 95.672 -149.1906
1450.000000 95.775 -149.5047
1475.000000 95.896 -149.9067
1500.000000 96.012 -150.3390
1525.000000 96.124 -150.8042
1550.000000 96.232 -151.2914
1575.000000 96.336 -151.8043
1600.000000 96.438 -152.3529
1625.000000 96.535 -152.9216
1650.000000 96.625 -153.5046
1675.000000 96.710 -154.1136
1700.000000 96.793 -154.7538
1725.000000 96.869 -155.4117
1750.000000 96.936 -156.0816
1775.000000 96.997 -156.7715
1800.000000 97.052 -157.4792
1825.000000 97.101 -158.1938
1850.000000 97.143 -158.9148
1875.000000 97.178 -159.6434
1900.000000 97.207 -160.3775
1925.000000 97.228 -161.1128
1950.000000 97.242 -161.8446
1975.000000 97.247 -162.5640
2000.000000 97.246 -163.2763
2030.000000 97.241 -164.1249
2060.000000 97.228 -164.9533
2090.000000 97.205 -165.7512
2120.000000 97.172 -166.5211
2140.000000 97.147 -167.0181
2180.000000 97.085 -167.9653
2200.000000 97.048 -168.4120
2240.000000 96.968 -169.2498
2270.000000 96.905 -169.8336
2300.000000 96.837 -170.3753
2330.000000 96.761 -170.8696
2360.000000 96.678 -171.3161
2400.000000 96.564 -171.8419
2430.000000 96.478 -172.1854
2470.000000 96.361 -172.5713
2500.000000 96.272 -172.8079
2540.000000 96.156 -173.0582
2580.000000 96.040 -173.2329
2620.000000 95.922 -173.3403
2650.000000 95.834 -173.3830
2690.000000 95.720 -173.3872
2720.000000 95.634 -173.3416
2760.000000 95.520 -173.1947
2800.000000 95.409 -172.9648
2850.000000 95.285 -172.6374
2900.000000 95.170 -172.2805
2950.000000 95.058 -171.8761
3000.000000 94.949 -171.4137
3040.000000 94.864 -171.0002
3070.000000 94.803 -170.6638
3110.000000 94.724 -170.1821
3150.000000 94.649 -169.6669
3200.000000 94.563 -168.9789
3250.000000 94.484 -168.2427
3300.000000 94.412 -167.4586
3350.000000 94.349 -166.6382
3400.000000 94.299 -165.7943
3450.000000 94.263 -164.9384
3500.000000 94.237 -164.0885
3550.000000 94.221 -163.2627
3600.000000 94.210 -162.4614
3650.000000 94.200 -161.6822
3700.000000 94.193 -160.9028
3750.000000 94.188 -160.1084
3820.000000 94.190 -158.9654
3870.000000 94.196 -158.1128
3950.000000 94.217 -156.6600
4000.000000 94.238 -155.6860
4060.000000 94.276 -154.4337
4120.000000 94.341 -153.0838
4180.000000 94.443 -151.6580
4250.000000 94.628 -149.9927
4310.000000 94.854 -148.7186
4370.000000 95.137 -147.7654
4440.000000 95.516 -147.2789
4500.000000 95.851 -147.4890
4550.000000 96.113 -148.0816
4620.000000 96.429 -149.4177
4680.000000 96.642 -150.8876
4750.000000 96.822 -152.8303
4820.000000 96.936 -154.9216
4870.000000 96.977 -156.4631
4940.000000 96.982 -158.6400
5000.000000 96.937 -160.4852
5080.000000 96.808 -162.8564
5150.000000 96.637 -164.7955
5220.000000 96.416 -166.5588
5300.000000 96.114 -168.3096
5380.000000 95.767 -169.7256
5450.000000 95.435 -170.6478
