* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 13, 2024 12:54:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Brownie Stellaris FM 300 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 98.309 -128.4973
20.600000 98.352 -129.3826
20.900000 98.397 -130.3508
21.200001 98.440 -131.3334
21.400000 98.469 -131.9915
21.799999 98.526 -133.3010
22.000000 98.555 -133.9443
22.400000 98.611 -135.1921
22.700001 98.648 -136.0911
23.000000 98.677 -136.9659
23.299999 98.699 -137.8285
23.600000 98.716 -138.6898
24.000000 98.739 -139.8387
24.299999 98.763 -140.6881
24.700001 98.802 -141.7731
25.000000 98.834 -142.5360
25.400000 98.871 -143.4906
25.799999 98.893 -144.4142
26.200001 98.903 -145.3627
26.500000 98.909 -146.1095
26.900000 98.919 -147.1389
27.200001 98.929 -147.9060
27.600000 98.944 -148.8733
28.000000 98.956 -149.7538
28.500000 98.965 -150.7753
29.000000 98.976 -151.8131
29.500000 98.992 -152.9158
30.000000 99.007 -154.0065
30.400000 99.011 -154.7950
30.700001 99.007 -155.3250
31.100000 98.993 -155.9836
31.500000 98.974 -156.6500
32.000000 98.953 -157.5621
32.500000 98.943 -158.5242
33.000000 98.945 -159.4194
33.500000 98.954 -160.1988
34.000000 98.958 -160.9421
34.500000 98.951 -161.7520
35.000000 98.931 -162.6272
35.500000 98.908 -163.4732
36.000000 98.890 -164.2253
36.500000 98.877 -164.9160
37.000000 98.866 -165.6105
37.500000 98.849 -166.3185
38.200001 98.813 -167.2571
38.700001 98.788 -167.8780
39.500000 98.767 -168.8592
40.000000 98.758 -169.4622
40.599998 98.730 -170.1480
41.200001 98.681 -170.8321
41.799999 98.631 -171.5631
42.500000 98.594 -172.4112
43.099998 98.572 -173.0461
43.700001 98.546 -173.6125
44.400002 98.508 -174.2827
45.000000 98.473 -174.8889
45.500000 98.442 -175.3915
46.200001 98.401 -176.0546
46.799999 98.368 -176.5841
47.500000 98.331 -177.1840
48.200001 98.292 -177.7747
48.700001 98.261 -178.1728
49.400002 98.209 -178.6899
50.000000 98.159 -179.1387
50.799999 98.101 -179.8045
51.500000 98.066 179.6088
52.200001 98.032 179.0893
53.000000 97.985 178.5410
53.799999 97.936 178.0006
54.500000 97.892 177.5630
55.200001 97.843 177.1495
56.000000 97.784 176.6660
57.000000 97.723 176.0563
58.000000 97.668 175.3895
59.000000 97.588 174.8206
60.000000 97.533 174.5606
60.799999 97.504 174.2403
61.500000 97.468 173.8149
62.200001 97.424 173.4462
63.000000 97.371 173.1052
64.000000 97.294 172.5844
65.000000 97.225 172.0934
66.000000 97.171 171.6814
67.000000 97.109 171.2634
68.000000 97.043 170.8567
69.000000 96.984 170.5695
70.000000 96.930 170.3938
71.000000 96.870 170.0905
72.000000 96.799 169.7186
73.000000 96.737 169.4557
74.000000 96.685 169.2878
75.000000 96.629 169.1180
76.199997 96.556 168.8134
77.500000 96.479 168.3895
78.800003 96.427 168.0134
80.000000 96.380 167.7132
81.199997 96.322 167.4707
82.500000 96.252 167.1528
83.800003 96.180 166.7044
85.000000 96.113 166.4742
86.199997 96.046 166.3826
87.500000 96.019 166.4800
88.500000 96.082 167.2853
90.000000 96.235 169.1795
91.199997 96.017 167.7062
92.500000 95.761 165.8716
93.800003 95.651 165.3475
95.000000 95.585 165.1573
96.199997 95.525 164.9930
97.500000 95.469 164.8074
98.800003 95.414 164.6977
100.000000 95.357 164.7571
101.500000 95.278 164.7075
103.000000 95.191 164.5372
104.400002 95.124 164.4730
106.000000 95.047 164.4122
107.500000 94.972 164.3721
109.000000 94.904 164.3199
110.599998 94.831 164.2784
112.000000 94.768 164.2861
113.800003 94.671 164.3613
115.000000 94.603 164.4391
117.199997 94.493 164.5406
118.000000 94.454 164.5135
120.599998 94.322 164.6223
122.000000 94.252 165.0664
124.099998 94.184 165.7294
125.000000 94.157 166.0536
126.500000 94.122 166.6826
128.000000 94.115 167.3369
131.500000 94.232 168.6539
132.000000 94.265 168.7332
134.000000 94.399 168.6499
136.000000 94.488 168.0808
138.000000 94.511 167.3335
140.000000 94.487 166.6603
143.000000 94.401 165.9484
145.000000 94.332 165.6508
147.500000 94.252 165.4405
150.000000 94.172 165.3328
152.500000 94.091 165.2589
155.000000 94.018 165.2247
157.500000 93.946 165.2325
160.000000 93.874 165.2519
162.500000 93.803 165.2765
165.000000 93.730 165.3388
167.500000 93.658 165.4359
170.000000 93.590 165.5415
172.500000 93.524 165.6617
175.000000 93.457 165.7808
177.500000 93.394 165.8845
180.000000 93.332 166.0112
182.500000 93.271 166.1484
185.000000 93.211 166.2810
187.500000 93.155 166.4224
190.000000 93.103 166.5558
192.500000 93.053 166.6866
195.000000 93.001 166.8191
197.500000 92.948 166.9851
200.000000 92.900 167.1545
203.000000 92.851 167.3568
206.000000 92.808 167.5544
209.000000 92.766 167.7472
212.000000 92.725 167.9468
214.000000 92.696 168.0947
218.000000 92.644 168.3969
220.000000 92.620 168.5495
224.000000 92.572 168.8344
227.000000 92.537 169.0281
230.000000 92.503 169.2384
233.000000 92.470 169.4620
236.000000 92.438 169.6609
240.000000 92.395 169.9450
243.000000 92.365 170.1821
247.000000 92.330 170.4749
250.000000 92.306 170.6885
254.000000 92.273 170.9786
258.000000 92.236 171.2534
262.000000 92.200 171.4984
265.000000 92.174 171.6846
269.000000 92.138 171.9361
272.000000 92.111 172.1346
276.000000 92.075 172.4123
280.000000 92.040 172.6934
285.000000 91.998 173.0396
290.000000 91.961 173.3705
295.000000 91.925 173.7119
300.000000 91.889 174.0626
304.000000 91.862 174.3419
307.000000 91.841 174.5450
311.000000 91.815 174.8120
315.000000 91.790 175.0836
320.000000 91.761 175.4221
325.000000 91.732 175.7656
330.000000 91.704 176.1078
335.000000 91.678 176.4473
340.000000 91.651 176.7843
345.000000 91.625 177.1182
350.000000 91.601 177.4516
355.000000 91.578 177.7851
360.000000 91.556 178.1172
365.000000 91.535 178.4495
370.000000 91.517 178.7815
375.000000 91.501 179.1105
382.000000 91.480 179.5524
387.000000 91.466 179.8735
395.000000 91.442 -179.6160
400.000000 91.427 -179.2914
406.000000 91.409 -178.9032
412.000000 91.393 -178.5291
418.000000 91.379 -178.1558
425.000000 91.365 -177.7186
431.000000 91.354 -177.3386
437.000000 91.342 -176.9617
444.000000 91.331 -176.5325
450.000000 91.323 -176.1687
455.000000 91.317 -175.8689
462.000000 91.308 -175.4505
468.000000 91.300 -175.0855
475.000000 91.291 -174.6622
482.000000 91.283 -174.2411
487.000000 91.277 -173.9414
494.000000 91.272 -173.5257
500.000000 91.267 -173.1715
508.000000 91.262 -172.6999
515.000000 91.258 -172.2896
522.000000 91.255 -171.8800
530.000000 91.254 -171.4181
538.000000 91.254 -170.9683
545.000000 91.255 -170.5749
552.000000 91.257 -170.1768
560.000000 91.259 -169.7206
570.000000 91.263 -169.1445
580.000000 91.268 -168.5721
590.000000 91.274 -168.0122
600.000000 91.284 -167.4632
608.000000 91.294 -167.0187
615.000000 91.303 -166.6255
622.000000 91.312 -166.2334
630.000000 91.322 -165.7867
640.000000 91.334 -165.2285
650.000000 91.350 -164.6764
660.000000 91.367 -164.1336
670.000000 91.385 -163.5877
680.000000 91.404 -163.0372
690.000000 91.425 -162.4867
700.000000 91.447 -161.9415
710.000000 91.471 -161.3988
720.000000 91.498 -160.8578
730.000000 91.525 -160.3192
740.000000 91.555 -159.7780
750.000000 91.586 -159.2413
762.000000 91.626 -158.5998
775.000000 91.672 -157.9059
788.000000 91.719 -157.2155
800.000000 91.762 -156.5820
812.000000 91.805 -155.9586
825.000000 91.852 -155.2951
838.000000 91.903 -154.6408
850.000000 91.953 -154.0392
862.000000 92.006 -153.4478
875.000000 92.067 -152.8201
885.000000 92.118 -152.3468
900.000000 92.198 -151.6647
912.000000 92.264 -151.1398
925.000000 92.339 -150.5796
938.000000 92.417 -150.0403
950.000000 92.491 -149.5647
962.000000 92.569 -149.1138
975.000000 92.655 -148.6523
988.000000 92.744 -148.2159
1000.000000 92.823 -147.8335
1015.000000 92.920 -147.3879
1030.000000 93.019 -146.9889
1044.000000 93.112 -146.6563
1060.000000 93.219 -146.3150
1075.000000 93.320 -146.0309
1090.000000 93.420 -145.7843
1106.000000 93.526 -145.5591
1120.000000 93.618 -145.3932
1138.000000 93.736 -145.2247
1150.000000 93.813 -145.1385
1172.000000 93.951 -145.0224
1180.000000 94.001 -144.9942
1206.000000 94.159 -144.9512
1220.000000 94.241 -144.9529
1241.000000 94.364 -144.9860
1250.000000 94.417 -145.0117
1265.000000 94.508 -145.0695
1280.000000 94.600 -145.1405
1315.000000 94.809 -145.3618
1320.000000 94.838 -145.3993
1340.000000 94.952 -145.5585
1360.000000 95.062 -145.7374
1380.000000 95.169 -145.9429
1400.000000 95.274 -146.1679
1430.000000 95.427 -146.5380
1450.000000 95.524 -146.8118
1475.000000 95.642 -147.1728
1500.000000 95.754 -147.5616
1525.000000 95.864 -147.9824
1550.000000 95.969 -148.4286
1575.000000 96.068 -148.8999
1600.000000 96.163 -149.3968
1625.000000 96.254 -149.9142
1650.000000 96.342 -150.4524
1675.000000 96.425 -151.0131
1700.000000 96.501 -151.5932
1725.000000 96.570 -152.1890
1750.000000 96.634 -152.7982
1775.000000 96.692 -153.4218
1800.000000 96.744 -154.0557
1825.000000 96.791 -154.6978
1850.000000 96.830 -155.3471
1875.000000 96.862 -156.0008
1900.000000 96.889 -156.6557
1925.000000 96.909 -157.3071
1950.000000 96.923 -157.9547
1975.000000 96.931 -158.5951
2000.000000 96.933 -159.2272
2030.000000 96.929 -159.9718
2060.000000 96.918 -160.7006
2090.000000 96.900 -161.4021
2120.000000 96.873 -162.0746
2140.000000 96.851 -162.5069
2180.000000 96.799 -163.3338
2200.000000 96.769 -163.7258
2240.000000 96.703 -164.4633
2270.000000 96.647 -164.9706
2300.000000 96.587 -165.4380
2330.000000 96.523 -165.8638
2360.000000 96.455 -166.2522
2400.000000 96.360 -166.7104
2430.000000 96.287 -167.0085
2470.000000 96.187 -167.3455
2500.000000 96.111 -167.5535
2540.000000 96.012 -167.7717
2580.000000 95.914 -167.9208
2620.000000 95.816 -168.0070
2650.000000 95.744 -168.0345
2690.000000 95.647 -168.0212
2720.000000 95.575 -167.9731
2760.000000 95.481 -167.8622
2800.000000 95.390 -167.7028
2850.000000 95.281 -167.4399
2900.000000 95.177 -167.1110
2950.000000 95.077 -166.7183
3000.000000 94.984 -166.2730
3040.000000 94.913 -165.8813
3070.000000 94.863 -165.5647
3110.000000 94.800 -165.1127
3150.000000 94.741 -164.6336
3200.000000 94.671 -164.0018
3250.000000 94.609 -163.3335
3300.000000 94.554 -162.6311
3350.000000 94.507 -161.8979
3400.000000 94.469 -161.1453
3450.000000 94.438 -160.3761
3500.000000 94.417 -159.5863
3550.000000 94.404 -158.7794
3600.000000 94.400 -157.9515
3650.000000 94.407 -157.1099
3700.000000 94.424 -156.2820
3750.000000 94.453 -155.4857
3820.000000 94.505 -154.4429
3870.000000 94.545 -153.7365
3950.000000 94.613 -152.5910
4000.000000 94.658 -151.8418
4060.000000 94.719 -150.9035
4120.000000 94.794 -149.9143
4180.000000 94.891 -148.8668
4250.000000 95.046 -147.5727
4310.000000 95.231 -146.4522
4370.000000 95.478 -145.4497
4440.000000 95.852 -144.7127
4500.000000 96.224 -144.7322
4550.000000 96.539 -145.3326
4620.000000 96.928 -147.0220
4680.000000 97.175 -149.0272
4750.000000 97.350 -151.6471
4820.000000 97.419 -154.2804
4870.000000 97.416 -156.0865
4940.000000 97.355 -158.4658
5000.000000 97.258 -160.3607
5080.000000 97.072 -162.6878
5150.000000 96.864 -164.5375
5220.000000 96.617 -166.1852
5300.000000 96.297 -167.7454
5380.000000 95.952 -168.9725
5450.000000 95.633 -169.7969
