* Measurement data measured by REW V5.30.2
* Source: Headset (JA3 HIFI AUDIO(CX31993)), no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 15, 2024 6:00:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FitEar TG334 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 37.098 70.0426
1.015000 37.793 70.7540
1.030000 38.464 71.4008
1.044000 39.063 71.9465
1.060000 39.712 72.5020
1.075000 40.278 72.9571
1.090000 40.799 73.3491
1.106000 41.304 73.6903
1.120000 41.724 73.8819
1.138000 42.244 73.9788
1.150000 42.578 73.9560
1.172000 43.168 73.7476
1.180000 43.375 73.6221
1.206000 44.023 73.0505
1.220000 44.358 72.6491
1.241000 44.842 71.9412
1.250000 45.044 71.6034
1.265000 45.373 71.0010
1.280000 45.693 70.3558
1.315000 46.412 68.7272
1.320000 46.512 68.4847
1.340000 46.907 67.5014
1.360000 47.293 66.5107
1.380000 47.673 65.5308
1.400000 48.049 64.5802
1.430000 48.610 63.2490
1.450000 48.984 62.4514
1.475000 49.454 61.5721
1.500000 49.910 60.7068
1.525000 50.351 59.8264
1.550000 50.778 58.9330
1.575000 51.190 58.0287
1.600000 51.591 57.1158
1.625000 51.980 56.1964
1.650000 52.359 55.2726
1.675000 52.729 54.3467
1.700000 53.090 53.4208
1.725000 53.445 52.4972
1.750000 53.795 51.5779
1.775000 54.139 50.6652
1.800000 54.481 49.7612
1.825000 54.819 48.8680
1.850000 55.155 47.9844
1.875000 55.482 47.1028
1.900000 55.801 46.2231
1.925000 56.113 45.3458
1.950000 56.418 44.4711
1.975000 56.716 43.5994
2.000000 57.009 42.7309
2.030000 57.352 41.6935
2.060000 57.688 40.6617
2.090000 58.018 39.6362
2.120000 58.342 38.6175
2.140000 58.555 37.9424
2.180000 58.976 36.6027
2.200000 59.184 35.9383
2.240000 59.591 34.6186
2.270000 59.888 33.6361
2.300000 60.178 32.6600
2.330000 60.462 31.6903
2.360000 60.740 30.7271
2.400000 61.102 29.4533
2.430000 61.367 28.5059
2.470000 61.714 27.2534
2.500000 61.970 26.3223
2.540000 62.305 25.0920
2.580000 62.635 23.8745
2.620000 62.956 22.6696
2.650000 63.191 21.7740
2.690000 63.497 20.5907
2.720000 63.721 19.7113
2.760000 64.014 18.5497
2.800000 64.300 17.4004
2.850000 64.649 15.9813
2.900000 64.991 14.5815
2.950000 65.326 13.2013
3.000000 65.650 11.8410
3.040000 65.903 10.7670
3.070000 66.088 9.9697
3.110000 66.330 8.9173
3.150000 66.568 7.8772
3.200000 66.858 6.5938
3.250000 67.142 5.3288
3.300000 67.420 4.0818
3.350000 67.692 2.8541
3.400000 67.956 1.6459
3.450000 68.213 0.4566
3.500000 68.464 -0.7147
3.550000 68.709 -1.8687
3.600000 68.949 -3.0062
3.650000 69.185 -4.1279
3.700000 69.417 -5.2334
3.750000 69.643 -6.3203
3.820000 69.950 -7.8130
3.870000 70.164 -8.8600
3.950000 70.498 -10.5052
4.000000 70.702 -11.5165
4.060000 70.943 -12.7135
4.120000 71.178 -13.8882
4.180000 71.407 -15.0419
4.250000 71.668 -16.3642
4.310000 71.887 -17.4799
4.370000 72.102 -18.5816
4.440000 72.348 -19.8497
4.500000 72.553 -20.9179
4.550000 72.722 -21.7959
4.620000 72.952 -23.0085
4.680000 73.146 -24.0345
4.750000 73.368 -25.2184
4.820000 73.585 -26.3882
4.870000 73.737 -27.2131
4.940000 73.945 -28.3543
5.000000 74.120 -29.3207
5.080000 74.348 -30.5944
5.150000 74.544 -31.6963
5.220000 74.734 -32.7855
5.300000 74.946 -34.0142
5.380000 75.153 -35.2259
5.450000 75.330 -36.2725
5.520000 75.502 -37.3065
5.600000 75.694 -38.4734
5.700000 75.926 -39.9087
5.800000 76.150 -41.3162
5.900000 76.367 -42.6943
6.000000 76.577 -44.0447
6.080000 76.739 -45.1043
6.150000 76.877 -46.0155
6.220000 77.013 -46.9113
6.300000 77.164 -47.9159
6.400000 77.347 -49.1438
6.500000 77.525 -50.3412
6.600000 77.699 -51.5088
6.700000 77.868 -52.6447
6.800000 78.033 -53.7500
6.900000 78.194 -54.8288
7.000000 78.352 -55.8839
7.100000 78.508 -56.9109
7.200000 78.660 -57.9141
7.300000 78.810 -58.8997
7.400000 78.958 -59.8696
7.500000 79.105 -60.8197
7.620000 79.277 -61.9417
7.750000 79.460 -63.1443
7.880000 79.640 -64.3292
8.000000 79.803 -65.4112
8.120000 79.962 -66.4872
8.250000 80.130 -67.6443
8.380000 80.292 -68.7911
8.500000 80.437 -69.8409
8.620000 80.578 -70.8832
8.750000 80.725 -71.9979
8.850000 80.833 -72.8422
9.000000 80.990 -74.0914
9.120000 81.109 -75.0688
9.250000 81.234 -76.1006
9.380000 81.354 -77.1070
9.500000 81.461 -78.0100
9.620000 81.565 -78.8853
9.750000 81.674 -79.8040
9.880000 81.781 -80.6952
10.000000 81.878 -81.4922
10.150000 81.998 -82.4558
10.300000 82.117 -83.3960
10.440000 82.228 -84.2493
10.600000 82.354 -85.2080
10.750000 82.471 -86.0994
10.900000 82.588 -86.9821
11.060000 82.710 -87.9257
11.200000 82.816 -88.7522
11.380000 82.947 -89.8155
11.500000 83.032 -90.5266
11.720000 83.181 -91.8252
11.800000 83.232 -92.2936
12.060000 83.391 -93.7995
12.200000 83.471 -94.5891
12.410000 83.585 -95.7446
12.500000 83.632 -96.2254
12.650000 83.707 -97.0081
12.800000 83.780 -97.7684
13.150000 83.946 -99.4554
13.200000 83.969 -99.6889
13.400000 84.062 -100.6028
13.600000 84.155 -101.4980
13.800000 84.246 -102.3786
14.000000 84.336 -103.2525
14.300000 84.468 -104.5529
14.500000 84.552 -105.4138
14.750000 84.652 -106.4753
15.000000 84.745 -107.5158
15.250000 84.833 -108.5239
15.500000 84.917 -109.4939
15.750000 84.998 -110.4236
16.000000 85.077 -111.3131
16.250000 85.156 -112.1714
16.500000 85.236 -113.0063
16.750000 85.317 -113.8293
17.000000 85.398 -114.6532
17.250000 85.478 -115.4822
17.500000 85.554 -116.3211
17.750000 85.626 -117.1634
18.000000 85.692 -118.0000
18.250000 85.752 -118.8203
18.500000 85.805 -119.6068
18.750000 85.855 -120.3536
19.000000 85.902 -121.0550
19.250000 85.951 -121.7152
19.500000 86.001 -122.3467
19.750000 86.053 -122.9596
20.000000 86.109 -123.5731
20.299999 86.176 -124.3219
20.600000 86.242 -125.0900
20.900000 86.303 -125.8726
21.200001 86.357 -126.6537
21.400000 86.390 -127.1626
21.799999 86.449 -128.1380
22.000000 86.476 -128.6002
22.400000 86.531 -129.4763
22.700001 86.574 -130.1042
23.000000 86.619 -130.7231
23.299999 86.664 -131.3439
23.600000 86.708 -131.9700
24.000000 86.763 -132.8074
24.299999 86.799 -133.4244
24.700001 86.844 -134.2133
25.000000 86.876 -134.7731
25.400000 86.920 -135.4837
25.799999 86.966 -136.1773
26.200001 87.012 -136.8743
26.500000 87.045 -137.3976
26.900000 87.083 -138.0776
27.200001 87.110 -138.5605
27.600000 87.147 -139.1656
28.000000 87.189 -139.7550
28.500000 87.244 -140.5311
29.000000 87.289 -141.3599
29.500000 87.317 -142.1558
30.000000 87.337 -142.8303
30.400000 87.360 -143.2998
30.700001 87.383 -143.6493
31.100000 87.417 -144.1548
31.500000 87.447 -144.7041
32.000000 87.472 -145.3819
32.500000 87.490 -145.9717
33.000000 87.518 -146.4938
33.500000 87.555 -147.0387
34.000000 87.591 -147.6469
34.500000 87.616 -148.2639
35.000000 87.635 -148.8262
35.500000 87.656 -149.3321
36.000000 87.680 -149.8234
36.500000 87.705 -150.3208
37.000000 87.728 -150.8114
37.500000 87.749 -151.2851
38.200001 87.778 -151.9391
38.700001 87.795 -152.4068
39.500000 87.815 -153.1100
40.000000 87.828 -153.5142
40.599998 87.848 -154.0052
41.200001 87.867 -154.5319
41.799999 87.878 -155.0506
42.500000 87.891 -155.5889
43.099998 87.911 -156.0458
43.700001 87.930 -156.5409
44.400002 87.946 -157.0870
45.000000 87.965 -157.5057
45.500000 87.985 -157.8843
46.200001 87.999 -158.4373
46.799999 88.003 -158.8009
47.500000 88.025 -159.1848
48.200001 88.035 -159.7074
48.700001 88.014 -159.9847
49.400002 88.002 -159.9742
50.000000 88.061 -159.9758
50.799999 88.153 -160.6826
51.500000 88.149 -161.5039
52.200001 88.118 -161.9799
53.000000 88.111 -162.3968
53.799999 88.109 -162.8385
54.500000 88.120 -163.1753
55.200001 88.141 -163.6310
56.000000 88.142 -164.1816
57.000000 88.143 -164.6454
58.000000 88.158 -165.1073
59.000000 88.176 -165.5625
60.000000 88.177 -166.0819
60.799999 88.170 -166.3463
61.500000 88.186 -166.5855
62.200001 88.199 -166.9730
63.000000 88.191 -167.4007
64.000000 88.187 -167.7978
65.000000 88.192 -168.2321
66.000000 88.198 -168.6627
67.000000 88.199 -169.1031
68.000000 88.194 -169.4661
69.000000 88.195 -169.7771
70.000000 88.206 -170.1061
71.000000 88.209 -170.5777
72.000000 88.185 -170.9086
73.000000 88.198 -171.1177
74.000000 88.211 -171.5696
75.000000 88.208 -171.9076
76.199997 88.211 -172.3530
77.500000 88.215 -172.6508
78.800003 88.218 -173.1988
80.000000 88.200 -173.4245
81.199997 88.213 -173.7934
82.500000 88.207 -174.2012
83.800003 88.200 -174.6643
85.000000 88.185 -174.9333
86.199997 88.190 -175.2564
87.500000 88.180 -175.5873
88.500000 88.172 -175.8384
90.000000 88.173 -176.0056
91.199997 88.199 -176.5297
92.500000 88.155 -176.9129
93.800003 88.163 -177.1482
95.000000 88.158 -177.5107
96.199997 88.149 -177.8273
97.500000 88.133 -178.0997
98.800003 88.134 -178.3414
100.000000 88.133 -178.6725
101.500000 88.114 -179.0246
103.000000 88.107 -179.2914
104.400002 88.105 -179.5810
106.000000 88.099 -179.9297
107.500000 88.088 179.7946
109.000000 88.082 179.4804
110.599998 88.071 179.1457
112.000000 88.053 178.9013
113.800003 88.054 178.5417
115.000000 88.037 178.3102
117.199997 88.024 177.9221
118.000000 88.016 177.7791
120.599998 87.989 177.3410
122.000000 87.987 177.1354
124.099998 87.968 176.7533
125.000000 87.960 176.6010
126.500000 87.949 176.3815
128.000000 87.938 176.1012
131.500000 87.911 175.5654
132.000000 87.908 175.4727
134.000000 87.893 175.2143
136.000000 87.869 174.9213
138.000000 87.854 174.6078
140.000000 87.829 174.3385
143.000000 87.796 173.8925
145.000000 87.796 173.6938
147.500000 87.762 173.2793
150.000000 87.745 173.0040
152.500000 87.717 172.6017
155.000000 87.689 172.3174
157.500000 87.655 172.0237
160.000000 87.626 171.7489
162.500000 87.589 171.4615
165.000000 87.566 171.1370
167.500000 87.542 170.8873
170.000000 87.518 170.6562
172.500000 87.496 170.5016
175.000000 87.451 170.2677
177.500000 87.420 170.0665
180.000000 87.399 169.8397
182.500000 87.377 169.7886
185.000000 87.362 169.5970
187.500000 87.330 169.4778
190.000000 87.334 169.2820
192.500000 87.321 169.2220
195.000000 87.301 168.9645
197.500000 87.281 168.7554
200.000000 87.277 168.6146
203.000000 87.273 168.1971
206.000000 87.247 168.0237
209.000000 87.256 167.5269
212.000000 87.243 167.5653
214.000000 87.128 167.0646
218.000000 87.113 166.8670
220.000000 87.119 166.6212
224.000000 87.065 166.3589
227.000000 87.033 166.0938
230.000000 86.983 165.7290
233.000000 86.961 165.5010
236.000000 86.896 165.3704
240.000000 86.894 165.2906
243.000000 86.849 164.9470
247.000000 86.799 164.8600
250.000000 86.809 164.9414
254.000000 86.758 164.4735
258.000000 86.735 164.3401
262.000000 86.725 163.9581
265.000000 86.700 163.6916
269.000000 86.655 163.5616
272.000000 86.588 163.5149
276.000000 86.533 163.0692
280.000000 86.494 163.0238
285.000000 86.446 162.7287
290.000000 86.385 162.4980
295.000000 86.329 162.2606
300.000000 86.283 161.9473
304.000000 86.218 161.8668
307.000000 86.201 161.7148
311.000000 86.177 161.6103
315.000000 86.110 161.5136
320.000000 86.067 161.2869
