* Measurement data measured by REW V5.30.9
* Source: Headset (JA3 HIFI AUDIO(CX31993)), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Feb 24, 2024 2:51:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer Galileo R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 57.243 9.1342
1.015000 57.657 9.7023
1.030000 58.063 10.2005
1.044000 58.434 10.6056
1.060000 58.847 11.0019
1.075000 59.224 11.3148
1.090000 59.590 11.5795
1.106000 59.971 11.8235
1.120000 60.299 12.0176
1.138000 60.715 12.2521
1.150000 60.990 12.4007
1.172000 61.490 12.6545
1.180000 61.670 12.7399
1.206000 62.250 12.9870
1.220000 62.559 13.0987
1.241000 63.017 13.2354
1.250000 63.211 13.2821
1.265000 63.533 13.3434
1.280000 63.851 13.3837
1.315000 64.579 13.3939
1.320000 64.682 13.3857
1.340000 65.087 13.3283
1.360000 65.487 13.2320
1.380000 65.879 13.0970
1.400000 66.264 12.9239
1.430000 66.827 12.5962
1.450000 67.193 12.3379
1.475000 67.639 11.9843
1.500000 68.073 11.6153
1.525000 68.493 11.2426
1.550000 68.902 10.8679
1.575000 69.299 10.4889
1.600000 69.685 10.1027
1.625000 70.061 9.7064
1.650000 70.429 9.2976
1.675000 70.788 8.8743
1.700000 71.139 8.4346
1.725000 71.484 7.9773
1.750000 71.823 7.5011
1.775000 72.156 7.0056
1.800000 72.485 6.4913
1.825000 72.808 5.9608
1.850000 73.125 5.4193
1.875000 73.436 4.8724
1.900000 73.739 4.3240
1.925000 74.034 3.7756
1.950000 74.323 3.2279
1.975000 74.605 2.6806
2.000000 74.881 2.1336
2.030000 75.205 1.4770
2.060000 75.522 0.8194
2.090000 75.832 0.1600
2.120000 76.137 -0.5022
2.140000 76.336 -0.9455
2.180000 76.730 -1.8370
2.200000 76.923 -2.2847
2.240000 77.300 -3.1819
2.270000 77.576 -3.8540
2.300000 77.844 -4.5239
2.330000 78.107 -5.1908
2.360000 78.363 -5.8541
2.400000 78.697 -6.7322
2.430000 78.941 -7.3861
2.470000 79.261 -8.2515
2.500000 79.496 -8.8961
2.540000 79.804 -9.7498
2.580000 80.105 -10.5975
2.620000 80.399 -11.4393
2.650000 80.615 -12.0667
2.690000 80.895 -12.8972
2.720000 81.100 -13.5154
2.760000 81.369 -14.3327
2.800000 81.631 -15.1421
2.850000 81.953 -16.1423
2.900000 82.267 -17.1297
2.950000 82.575 -18.1044
3.000000 82.875 -19.0667
3.040000 83.109 -19.8281
3.070000 83.281 -20.3946
3.110000 83.507 -21.1446
3.150000 83.729 -21.8890
3.200000 84.002 -22.8127
3.250000 84.269 -23.7297
3.300000 84.532 -24.6399
3.350000 84.790 -25.5426
3.400000 85.043 -26.4374
3.450000 85.290 -27.3256
3.500000 85.533 -28.2092
3.550000 85.771 -29.0902
3.600000 86.005 -29.9706
3.650000 86.235 -30.8513
3.700000 86.461 -31.7318
3.750000 86.683 -32.6111
3.820000 86.987 -33.8399
3.870000 87.200 -34.7168
3.950000 87.531 -36.1223
4.000000 87.733 -37.0043
4.060000 87.969 -38.0676
4.120000 88.201 -39.1357
4.180000 88.426 -40.2066
4.250000 88.681 -41.4571
4.310000 88.893 -42.5288
4.370000 89.099 -43.6012
4.440000 89.332 -44.8557
4.500000 89.524 -45.9343
4.550000 89.680 -46.8338
4.620000 89.891 -48.0890
4.680000 90.064 -49.1574
4.750000 90.260 -50.3938
4.820000 90.446 -51.6219
4.870000 90.574 -52.4950
4.940000 90.746 -53.7087
5.000000 90.887 -54.7357
5.080000 91.067 -56.0787
5.150000 91.217 -57.2275
5.220000 91.359 -58.3543
5.300000 91.512 -59.6151
5.380000 91.658 -60.8405
5.450000 91.780 -61.8775
5.520000 91.897 -62.8795
5.600000 92.024 -63.9840
5.700000 92.176 -65.3063
5.800000 92.322 -66.5608
5.900000 92.465 -67.7438
6.000000 92.604 -68.8588
6.080000 92.715 -69.7080
6.150000 92.812 -70.4237
6.220000 92.910 -71.1159
6.300000 93.023 -71.8799
6.400000 93.167 -72.8008
6.500000 93.314 -73.6975
6.600000 93.464 -74.5831
6.700000 93.618 -75.4647
6.800000 93.776 -76.3496
6.900000 93.935 -77.2497
7.000000 94.095 -78.1742
7.100000 94.256 -79.1259
7.200000 94.415 -80.1067
7.300000 94.572 -81.1194
7.400000 94.725 -82.1658
7.500000 94.872 -83.2430
7.620000 95.041 -84.5687
7.750000 95.212 -86.0375
7.880000 95.369 -87.5303
8.000000 95.501 -88.9135
8.120000 95.619 -90.2881
8.250000 95.733 -91.7561
8.380000 95.832 -93.1848
8.500000 95.912 -94.4545
8.620000 95.982 -95.6691
8.750000 96.048 -96.9126
8.850000 96.094 -97.8118
9.000000 96.157 -99.0636
9.120000 96.204 -99.9807
9.250000 96.256 -100.8907
9.380000 96.310 -101.7200
9.500000 96.364 -102.4233
9.620000 96.423 -103.0761
9.750000 96.492 -103.7393
9.880000 96.565 -104.3733
10.000000 96.635 -104.9465
10.150000 96.727 -105.6649
10.300000 96.823 -106.4064
10.440000 96.915 -107.1337
10.600000 97.023 -108.0181
10.750000 97.124 -108.9045
10.900000 97.222 -109.8446
11.060000 97.320 -110.8986
11.200000 97.399 -111.8542
11.380000 97.487 -113.1071
11.500000 97.537 -113.9449
11.720000 97.612 -115.4536
11.800000 97.634 -115.9853
12.060000 97.691 -117.6211
12.200000 97.716 -118.4320
12.410000 97.755 -119.5514
12.500000 97.775 -119.9974
12.650000 97.812 -120.7019
12.800000 97.857 -121.3684
13.150000 97.984 -122.8529
13.200000 98.004 -123.0645
13.400000 98.088 -123.9263
13.600000 98.173 -124.8240
13.800000 98.255 -125.7610
14.000000 98.328 -126.7273
14.300000 98.417 -128.1866
14.500000 98.462 -129.1297
14.750000 98.505 -130.2376
15.000000 98.541 -131.2459
15.250000 98.575 -132.1569
15.500000 98.613 -132.9958
15.750000 98.658 -133.7989
16.000000 98.708 -134.5991
16.250000 98.760 -135.4145
16.500000 98.808 -136.2441
16.750000 98.850 -137.0715
17.000000 98.884 -137.8737
17.250000 98.913 -138.6318
17.500000 98.941 -139.3386
17.750000 98.971 -140.0005
18.000000 99.006 -140.6355
18.250000 99.047 -141.2661
18.500000 99.093 -141.9135
18.750000 99.143 -142.5928
19.000000 99.195 -143.3128
19.250000 99.245 -144.0772
19.500000 99.293 -144.8864
19.750000 99.338 -145.7393
20.000000 99.376 -146.6321
20.299999 99.411 -147.7442
20.600000 99.432 -148.8764
20.900000 99.437 -149.9926
21.200001 99.427 -151.0534
21.400000 99.415 -151.7140
21.799999 99.386 -152.9056
22.000000 99.373 -153.4420
22.400000 99.357 -154.4376
22.700001 99.352 -155.1581
23.000000 99.351 -155.8834
23.299999 99.348 -156.6157
23.600000 99.339 -157.3352
24.000000 99.316 -158.2156
24.299999 99.297 -158.7785
24.700001 99.280 -159.3877
25.000000 99.284 -159.7751
25.400000 99.315 -160.3041
25.799999 99.367 -160.9684
26.200001 99.420 -161.8295
26.500000 99.445 -162.5786
26.900000 99.452 -163.6200
27.200001 99.438 -164.3661
27.600000 99.408 -165.2630
28.000000 99.376 -166.0693
28.500000 99.339 -167.0489
29.000000 99.284 -168.0248
29.500000 99.203 -168.8530
30.000000 99.120 -169.3936
30.400000 99.080 -169.6777
30.700001 99.072 -169.8999
31.100000 99.077 -170.3168
31.500000 99.079 -170.9075
32.000000 99.045 -171.7623
32.500000 98.971 -172.4981
33.000000 98.886 -172.9555
33.500000 98.826 -173.1861
34.000000 98.805 -173.3800
34.500000 98.814 -173.7306
35.000000 98.828 -174.3344
35.500000 98.817 -175.1406
36.000000 98.766 -175.9720
36.500000 98.684 -176.6342
37.000000 98.602 -177.0516
37.500000 98.545 -177.3046
38.200001 98.508 -177.6248
38.700001 98.501 -177.8998
39.500000 98.510 -178.4283
40.000000 98.522 -178.8525
40.599998 98.525 -179.4648
41.200001 98.501 179.9073
41.799999 98.455 179.3661
42.500000 98.385 178.8515
43.099998 98.312 178.4841
43.700001 98.224 178.2154
44.400002 98.120 178.0670
45.000000 98.047 178.0262
45.500000 98.002 177.9731
46.200001 97.959 177.7646
46.799999 97.926 177.4388
47.500000 97.882 176.9606
48.200001 97.834 176.4922
48.700001 97.805 176.1839
49.400002 97.773 175.7344
50.000000 97.742 175.3022
50.799999 97.673 174.7650
51.500000 97.589 174.4793
52.200001 97.499 174.4111
53.000000 97.409 174.5284
53.799999 97.346 174.6926
54.500000 97.314 174.7061
55.200001 97.288 174.5281
56.000000 97.257 174.1122
57.000000 97.199 173.3183
58.000000 97.090 172.5812
59.000000 96.980 172.4067
60.000000 96.934 172.5834
60.799999 96.927 172.7677
61.500000 96.930 172.9561
62.200001 96.944 173.1144
63.000000 96.959 173.1484
64.000000 96.947 172.9499
65.000000 96.888 172.6627
66.000000 96.806 172.4165
67.000000 96.723 172.2032
68.000000 96.644 172.0494
69.000000 96.580 172.0234
70.000000 96.538 172.0821
71.000000 96.505 172.1470
72.000000 96.465 172.2439
73.000000 96.418 172.4011
74.000000 96.373 172.5529
75.000000 96.328 172.6353
76.199997 96.280 172.6224
77.500000 96.236 172.4543
78.800003 96.191 172.2491
80.000000 96.157 172.1787
81.199997 96.138 172.2025
82.500000 96.121 172.1921
83.800003 96.082 172.1134
85.000000 96.024 172.0545
86.199997 95.960 172.0519
87.500000 95.910 172.0648
88.500000 95.888 172.0416
90.000000 95.871 171.9381
91.199997 95.849 171.8676
92.500000 95.809 171.9573
93.800003 95.763 172.2474
95.000000 95.728 172.5570
96.199997 95.700 172.7575
97.500000 95.669 172.8343
98.800003 95.641 172.8397
100.000000 95.621 172.8497
101.500000 95.601 172.9408
103.000000 95.579 173.1000
104.400002 95.546 173.2542
106.000000 95.504 173.3661
107.500000 95.479 173.2650
109.000000 95.465 172.9547
110.599998 95.449 172.6177
112.000000 95.423 172.5781
113.800003 95.390 173.0127
115.000000 95.375 173.4172
117.199997 95.348 173.9653
118.000000 95.338 174.0806
120.599998 95.325 174.1893
122.000000 95.326 174.1359
124.099998 95.319 174.0547
125.000000 95.309 174.0404
126.500000 95.287 174.0692
128.000000 95.265 174.1721
131.500000 95.244 174.5680
132.000000 95.242 174.6318
134.000000 95.223 174.8983
136.000000 95.190 175.1695
138.000000 95.160 175.3495
140.000000 95.143 175.3485
143.000000 95.134 175.1622
145.000000 95.137 175.1202
147.500000 95.148 175.2012
150.000000 95.142 175.3037
152.500000 95.105 175.3871
155.000000 95.060 175.5088
157.500000 95.045 175.6972
160.000000 95.057 175.8068
162.500000 95.054 175.8416
165.000000 95.032 175.9343
167.500000 95.013 176.0784
170.000000 94.998 176.2289
172.500000 94.979 176.3755
175.000000 94.953 176.5281
177.500000 94.939 176.7157
180.000000 94.930 176.7696
182.500000 94.895 176.7260
185.000000 94.850 176.7425
187.500000 94.829 176.7891
190.000000 94.822 176.8222
192.500000 94.805 176.8858
195.000000 94.778 177.0034
197.500000 94.749 177.1516
200.000000 94.716 177.3615
203.000000 94.676 177.7008
206.000000 94.654 178.0706
209.000000 94.674 178.5380
212.000000 94.745 179.1109
214.000000 94.798 179.4222
218.000000 94.855 179.8237
220.000000 94.864 179.9262
224.000000 94.868 179.9662
227.000000 94.854 179.9235
230.000000 94.828 179.8716
233.000000 94.809 179.8495
236.000000 94.802 179.8603
240.000000 94.791 179.8874
243.000000 94.784 179.9141
247.000000 94.785 179.9348
250.000000 94.794 179.9409
254.000000 94.814 -179.9304
258.000000 94.816 -179.7294
262.000000 94.810 -179.5943
265.000000 94.811 -179.6033
269.000000 94.804 -179.6294
272.000000 94.793 -179.6070
276.000000 94.781 -179.6427
280.000000 94.763 -179.7115
285.000000 94.737 -179.6423
290.000000 94.726 -179.3710
295.000000 94.729 -179.0636
300.000000 94.737 -178.9430
304.000000 94.728 -178.8609
307.000000 94.713 -178.7375
311.000000 94.695 -178.5230
315.000000 94.690 -178.3157
