* Measurement data measured by REW V5.30.9
* Source: Headset (JA3 HIFI AUDIO(CX31993)), MICROPHONE (Master Volume), L, volume: 0.230
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 21, 2024 9:44:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ AK6 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.578 48.9147
1.015000 76.921 47.7494
1.030000 77.258 46.5985
1.044000 77.567 45.5344
1.060000 77.911 44.3273
1.075000 78.224 43.2018
1.090000 78.528 42.0812
1.106000 78.842 40.8978
1.120000 79.111 39.8860
1.138000 79.454 38.6265
1.150000 79.679 37.8126
1.172000 80.088 36.3704
1.180000 80.235 35.8612
1.206000 80.706 34.2570
1.220000 80.956 33.4230
1.241000 81.327 32.2065
1.250000 81.484 31.6968
1.265000 81.743 30.8614
1.280000 82.000 30.0419
1.315000 82.588 28.1830
1.320000 82.670 27.9226
1.340000 82.998 26.8919
1.360000 83.322 25.8759
1.380000 83.640 24.8715
1.400000 83.955 23.8759
1.430000 84.418 22.3929
1.450000 84.721 21.4084
1.475000 85.093 20.1871
1.500000 85.457 18.9943
1.525000 85.812 17.8370
1.550000 86.159 16.7119
1.575000 86.498 15.6146
1.600000 86.829 14.5406
1.625000 87.154 13.4857
1.650000 87.471 12.4458
1.675000 87.783 11.4169
1.700000 88.088 10.3953
1.725000 88.388 9.3776
1.750000 88.684 8.3604
1.775000 88.974 7.3406
1.800000 89.261 6.3154
1.825000 89.543 5.2832
1.850000 89.821 4.2468
1.875000 90.093 3.2128
1.900000 90.359 2.1854
1.925000 90.620 1.1665
1.950000 90.874 0.1572
1.975000 91.124 -0.8417
2.000000 91.368 -1.8299
2.030000 91.655 -3.0020
2.060000 91.936 -4.1596
2.090000 92.211 -5.3039
2.120000 92.480 -6.4365
2.140000 92.657 -7.1860
2.180000 93.005 -8.6749
2.200000 93.176 -9.4162
2.240000 93.511 -10.8972
2.270000 93.754 -12.0056
2.300000 93.991 -13.1089
2.330000 94.223 -14.2042
2.360000 94.448 -15.2895
2.400000 94.742 -16.7183
2.430000 94.956 -17.7748
2.470000 95.236 -19.1626
2.500000 95.441 -20.1875
2.540000 95.708 -21.5343
2.580000 95.969 -22.8649
2.620000 96.223 -24.1917
2.650000 96.407 -25.1853
2.690000 96.646 -26.5037
2.720000 96.820 -27.4847
2.760000 97.046 -28.7782
2.800000 97.266 -30.0514
2.850000 97.533 -31.6097
2.900000 97.792 -33.1279
2.950000 98.043 -34.6124
3.000000 98.285 -36.0842
3.040000 98.471 -37.2554
3.070000 98.607 -38.1275
3.110000 98.784 -39.2788
3.150000 98.955 -40.4130
3.200000 99.164 -41.8017
3.250000 99.366 -43.1530
3.300000 99.564 -44.4666
3.350000 99.754 -45.7555
3.400000 99.938 -47.0299
3.450000 100.115 -48.2879
3.500000 100.286 -49.5246
3.550000 100.453 -50.7355
3.600000 100.615 -51.9163
3.650000 100.773 -53.0650
3.700000 100.927 -54.1863
3.750000 101.077 -55.2886
3.820000 101.279 -56.8031
3.870000 101.418 -57.8622
3.950000 101.635 -59.5119
4.000000 101.767 -60.5125
4.060000 101.922 -61.6831
4.120000 102.073 -62.8275
4.180000 102.220 -63.9490
4.250000 102.387 -65.2294
4.310000 102.526 -66.3028
4.370000 102.663 -67.3540
4.440000 102.820 -68.5537
4.500000 102.952 -69.5622
4.550000 103.060 -70.3897
4.620000 103.207 -71.5300
4.680000 103.331 -72.4910
4.750000 103.473 -73.5946
4.820000 103.612 -74.6812
4.870000 103.709 -75.4480
4.940000 103.843 -76.5088
5.000000 103.955 -77.4063
5.080000 104.101 -78.5865
5.150000 104.225 -79.6051
5.220000 104.346 -80.6134
5.300000 104.481 -81.7537
5.380000 104.612 -82.8785
5.450000 104.724 -83.8486
5.520000 104.832 -84.8059
5.600000 104.952 -85.8886
5.700000 105.096 -87.2243
5.800000 105.234 -88.5342
5.900000 105.367 -89.8156
6.000000 105.494 -91.0744
6.080000 105.591 -92.0652
6.150000 105.674 -92.9180
6.220000 105.754 -93.7563
6.300000 105.844 -94.6981
6.400000 105.951 -95.8544
6.500000 106.054 -96.9867
6.600000 106.154 -98.0932
6.700000 106.251 -99.1756
6.800000 106.344 -100.2364
6.900000 106.434 -101.2764
7.000000 106.522 -102.2961
7.100000 106.607 -103.2973
7.200000 106.689 -104.2812
7.300000 106.769 -105.2484
7.400000 106.846 -106.2003
7.500000 106.921 -107.1380
7.620000 107.007 -108.2442
7.750000 107.097 -109.4192
7.880000 107.182 -110.5723
8.000000 107.258 -111.6155
8.120000 107.329 -112.6371
8.250000 107.403 -113.7213
8.380000 107.474 -114.7804
8.500000 107.536 -115.7342
8.620000 107.595 -116.6666
8.750000 107.656 -117.6524
8.850000 107.702 -118.3933
9.000000 107.769 -119.4778
9.120000 107.820 -120.3239
9.250000 107.874 -121.2204
9.380000 107.927 -122.0970
9.500000 107.975 -122.8910
9.620000 108.023 -123.6718
9.750000 108.072 -124.5035
9.880000 108.115 -125.3222
10.000000 108.148 -126.0675
10.150000 108.180 -126.9855
10.300000 108.206 -127.8884
10.440000 108.225 -128.7181
10.600000 108.243 -129.6499
10.750000 108.259 -130.5068
10.900000 108.272 -131.3473
11.060000 108.285 -132.2243
11.200000 108.295 -132.9750
11.380000 108.305 -133.9171
11.500000 108.311 -134.5307
11.720000 108.320 -135.6265
11.800000 108.323 -136.0159
12.060000 108.332 -137.2498
12.200000 108.335 -137.8954
12.410000 108.343 -138.8412
12.500000 108.350 -139.2388
12.650000 108.366 -139.8917
12.800000 108.385 -140.5332
13.150000 108.430 -141.9895
13.200000 108.436 -142.1933
13.400000 108.460 -142.9983
13.600000 108.483 -143.7876
13.800000 108.504 -144.5613
14.000000 108.523 -145.3190
14.300000 108.549 -146.4238
14.500000 108.565 -147.1380
14.750000 108.583 -148.0054
15.000000 108.600 -148.8462
15.250000 108.618 -149.6649
15.500000 108.635 -150.4683
15.750000 108.653 -151.2632
16.000000 108.672 -152.0555
16.250000 108.691 -152.8465
16.500000 108.708 -153.6327
16.750000 108.720 -154.4063
17.000000 108.729 -155.1565
17.250000 108.734 -155.8741
17.500000 108.738 -156.5535
17.750000 108.743 -157.1959
18.000000 108.750 -157.8094
18.250000 108.761 -158.4065
18.500000 108.775 -159.0021
18.750000 108.791 -159.6075
19.000000 108.807 -160.2287
19.250000 108.821 -160.8642
19.500000 108.832 -161.5058
19.750000 108.837 -162.1425
20.000000 108.839 -162.7628
20.299999 108.838 -163.4742
20.600000 108.835 -164.1460
20.900000 108.833 -164.7831
21.200001 108.832 -165.3966
21.400000 108.832 -165.7977
21.799999 108.833 -166.5890
22.000000 108.834 -166.9801
22.400000 108.833 -167.7503
22.700001 108.832 -168.3154
23.000000 108.831 -168.8707
23.299999 108.830 -169.4197
23.600000 108.829 -169.9659
24.000000 108.826 -170.6910
24.299999 108.821 -171.2283
24.700001 108.811 -171.9259
25.000000 108.803 -172.4296
25.400000 108.792 -173.0751
25.799999 108.781 -173.6996
26.200001 108.772 -174.3148
26.500000 108.764 -174.7730
26.900000 108.752 -175.3741
27.200001 108.741 -175.8105
27.600000 108.727 -176.3649
28.000000 108.713 -176.8912
28.500000 108.702 -177.5418
29.000000 108.693 -178.2293
29.500000 108.675 -178.9545
30.000000 108.641 -179.6467
30.400000 108.609 179.8769
30.700001 108.588 179.5680
31.100000 108.570 179.1830
31.500000 108.564 178.7643
32.000000 108.560 178.1255
32.500000 108.539 177.3984
33.000000 108.500 176.7125
33.500000 108.457 176.1478
34.000000 108.429 175.6582
34.500000 108.415 175.1494
35.000000 108.404 174.5909
35.500000 108.392 174.0166
36.000000 108.381 173.4463
36.500000 108.372 172.8626
37.000000 108.357 172.2664
37.500000 108.335 171.7031
38.200001 108.303 171.0166
38.700001 108.285 170.5380
39.500000 108.244 169.7122
40.000000 108.199 169.2521
40.599998 108.141 168.8526
41.200001 108.101 168.5367
41.799999 108.076 168.1567
42.500000 108.040 167.6046
43.099998 108.003 167.1163
43.700001 107.966 166.6282
44.400002 107.924 166.0160
45.000000 107.883 165.4747
45.500000 107.845 165.0527
46.200001 107.797 164.5230
46.799999 107.764 164.0892
47.500000 107.729 163.5762
48.200001 107.693 163.0749
48.700001 107.666 162.7343
49.400002 107.628 162.2833
50.000000 107.595 161.9219
50.799999 107.553 161.4527
51.500000 107.516 161.0092
52.200001 107.470 160.5446
53.000000 107.410 160.0551
53.799999 107.354 159.6013
54.500000 107.309 159.1929
55.200001 107.264 158.7801
56.000000 107.217 158.3116
57.000000 107.159 157.7178
58.000000 107.100 157.1509
59.000000 107.042 156.6132
60.000000 106.976 156.1201
60.799999 106.925 155.7993
61.500000 106.889 155.5112
62.200001 106.853 155.1448
63.000000 106.798 154.6740
64.000000 106.712 154.1664
65.000000 106.629 153.7227
66.000000 106.546 153.3715
67.000000 106.491 153.0927
68.000000 106.453 152.6671
69.000000 106.405 152.1794
70.000000 106.354 151.7148
71.000000 106.295 151.2397
72.000000 106.225 150.8439
73.000000 106.158 150.5328
74.000000 106.099 150.2225
75.000000 106.040 149.8785
76.199997 105.967 149.4698
77.500000 105.894 148.9877
78.800003 105.803 148.4968
80.000000 105.726 148.2183
81.199997 105.665 147.9024
82.500000 105.599 147.5443
83.800003 105.532 147.1057
85.000000 105.454 146.6890
86.199997 105.372 146.3622
87.500000 105.291 146.0182
88.500000 105.227 145.7646
90.000000 105.140 145.4862
91.199997 105.083 145.2287
92.500000 105.017 144.9182
93.800003 104.948 144.6096
95.000000 104.880 144.3254
96.199997 104.809 144.0675
97.500000 104.733 143.8012
98.800003 104.657 143.5249
100.000000 104.585 143.2937
101.500000 104.505 143.0304
103.000000 104.428 142.7301
104.400002 104.354 142.4471
106.000000 104.267 142.1638
107.500000 104.190 141.9450
109.000000 104.118 141.7155
110.599998 104.039 141.4523
112.000000 103.967 141.2374
113.800003 103.873 140.9813
115.000000 103.811 140.8151
117.199997 103.695 140.5176
118.000000 103.654 140.4122
120.599998 103.527 140.0797
122.000000 103.459 139.9088
124.099998 103.354 139.6765
125.000000 103.308 139.5867
126.500000 103.233 139.4427
128.000000 103.165 139.2988
131.500000 103.056 138.8420
132.000000 103.040 138.7342
134.000000 102.944 138.3898
136.000000 102.833 138.3999
138.000000 102.736 138.3716
140.000000 102.642 138.2305
143.000000 102.515 137.9371
145.000000 102.436 137.7783
147.500000 102.332 137.6678
150.000000 102.224 137.5612
152.500000 102.119 137.4513
155.000000 102.021 137.2951
157.500000 101.917 137.1279
160.000000 101.810 137.0141
162.500000 101.705 136.9139
165.000000 101.596 136.8303
167.500000 101.486 136.7904
170.000000 101.382 136.7597
172.500000 101.277 136.7249
175.000000 101.164 136.6884
177.500000 101.055 136.6129
180.000000 100.960 136.5232
182.500000 100.870 136.4913
185.000000 100.768 136.4802
187.500000 100.664 136.4169
190.000000 100.577 136.3771
192.500000 100.517 136.4939
195.000000 100.452 136.4263
197.500000 100.352 136.3189
200.000000 100.257 136.3116
203.000000 100.133 136.2474
206.000000 99.982 136.2691
209.000000 99.870 136.4456
212.000000 99.791 136.5681
214.000000 99.741 136.6411
218.000000 99.637 136.5517
220.000000 99.557 136.6340
224.000000 99.409 137.1661
227.000000 99.326 137.3276
230.000000 99.239 137.4689
233.000000 99.161 137.6705
236.000000 99.100 137.7911
240.000000 99.034 138.0618
243.000000 98.934 137.8963
247.000000 98.787 138.4230
250.000000 98.735 138.5033
254.000000 98.636 138.6230
258.000000 98.554 138.8349
262.000000 98.442 138.6913
265.000000 98.341 138.6436
269.000000 98.228 138.7341
272.000000 98.165 138.9106
276.000000 98.068 139.4763
280.000000 97.928 139.8605
285.000000 97.796 139.5622
290.000000 97.708 139.5931
295.000000 97.621 139.9478
300.000000 97.510 140.2094
304.000000 97.402 140.4450
307.000000 97.328 140.6898
311.000000 97.247 140.9404
315.000000 97.160 141.1159
320.000000 97.019 141.4220
325.000000 96.901 141.7191
330.000000 96.803 141.9200
