Freq[Hz]     dBSPL  Phase[Deg]
5.00000     70.317    -2.958
5.07273     70.316    -2.973
5.14651     70.316    -2.994
5.22137     70.315    -3.021
5.29732     70.314    -3.052
5.37437     70.313    -3.086
5.45254     70.312    -3.121
5.53185     70.311    -3.157
5.61231     70.310    -3.193
5.69394     70.309    -3.229
5.77676     70.308    -3.267
5.86079     70.307    -3.304
5.94604     70.306    -3.342
6.03252     70.305    -3.381
6.12027     70.304    -3.421
6.20929     70.303    -3.461
6.29961     70.302    -3.501
6.39124     70.301    -3.543
6.48420     70.300    -3.584
6.57851     70.299    -3.627
6.67420     70.298    -3.670
6.77128     70.297    -3.714
6.86977     70.296    -3.758
6.96969     70.296    -3.803
7.07107     70.295    -3.849
7.17392     70.294    -3.895
7.27827     70.293    -3.943
7.38413     70.292    -3.990
7.49154     70.291    -4.039
7.60050     70.290    -4.088
7.71105     70.289    -4.138
7.82321     70.288    -4.189
7.93701     70.287    -4.241
8.05245     70.286    -4.293
8.16958     70.285    -4.347
8.28841     70.284    -4.401
8.40896     70.283    -4.455
8.53128     70.282    -4.511
8.65537     70.281    -4.568
8.78126     70.280    -4.625
8.90899     70.279    -4.683
9.03857     70.278    -4.743
9.17004     70.277    -4.803
9.30342     70.276    -4.864
9.43874     70.275    -4.926
9.57603     70.274    -4.989
9.71532     70.273    -5.053
9.85663     70.272    -5.118
10.0000     70.271    -5.184
10.1455     70.270    -5.251
10.2930     70.269    -5.319
10.4427     70.268    -5.388
10.5946     70.267    -5.458
10.7487     70.266    -5.529
10.9051     70.266    -5.602
11.0637     70.265    -5.675
11.2246     70.264    -5.750
11.3879     70.263    -5.826
11.5535     70.262    -5.903
11.7216     70.261    -5.982
11.8921     70.260    -6.062
12.0650     70.259    -6.143
12.2405     70.258    -6.225
12.4186     70.257    -6.309
12.5992     70.256    -6.394
12.7825     70.255    -6.480
12.9684     70.254    -6.568
13.1570     70.253    -6.657
13.3484     70.252    -6.748
13.5426     70.251    -6.840
13.7395     70.250    -6.934
13.9394     70.249    -7.030
14.1421     70.248    -7.127
14.3478     70.247    -7.225
14.5565     70.246    -7.326
14.7683     70.245    -7.428
14.9831     70.244    -7.532
15.2010     70.243    -7.637
15.4221     70.242    -7.745
15.6464     70.241    -7.854
15.8740     70.240    -7.966
16.1049     70.239    -8.079
16.3392     70.238    -8.194
16.5768     70.237    -8.311
16.8179     70.236    -8.431
17.0626     70.235    -8.552
17.3107     70.235    -8.676
17.5625     70.234    -8.801
17.8180     70.233    -8.929
18.0771     70.232    -9.059
18.3401     70.231    -9.191
18.6068     70.230    -9.325
18.8775     70.229    -9.461
19.1521     70.228    -9.598
19.4306     70.227    -9.736
19.7133     70.226    -9.873
20.0000     70.227   -10.010
20.2909     70.228   -10.150
20.5860     70.232   -10.302
20.8855     70.235   -10.468
21.1893     70.238   -10.640
21.4975     70.242   -10.819
21.8102     70.248   -11.021
22.1274     70.250   -11.245
22.4492     70.248   -11.471
22.7758     70.247   -11.701
23.1071     70.240   -11.931
23.4432     70.230   -12.136
