* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 29, 2024 1:31:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sonic Memory SM1 Silver L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 96.656 76.2385
20.600000 96.689 75.6462
20.900000 96.755 74.5973
21.200001 96.822 73.6152
21.400000 96.871 72.9767
21.799999 96.985 71.6624
22.000000 97.047 70.9737
22.400000 97.171 69.5820
22.700001 97.253 68.5678
23.000000 97.322 67.5971
23.299999 97.380 66.6660
23.600000 97.434 65.7597
24.000000 97.508 64.5638
24.299999 97.569 63.6649
24.700001 97.655 62.4693
25.000000 97.719 61.5877
25.400000 97.798 60.4473
25.799999 97.867 59.3489
26.200001 97.930 58.2777
26.500000 97.976 57.4799
26.900000 98.036 56.4137
27.200001 98.081 55.6119
27.600000 98.139 54.5478
28.000000 98.192 53.5039
28.500000 98.253 52.2472
29.000000 98.308 51.0496
29.500000 98.360 49.8972
30.000000 98.410 48.7676
30.400000 98.450 47.8698
30.700001 98.480 47.1983
31.100000 98.519 46.3077
31.500000 98.556 45.4282
32.000000 98.597 44.3546
32.500000 98.633 43.3173
33.000000 98.666 42.3119
33.500000 98.697 41.3243
34.000000 98.726 40.3452
34.500000 98.753 39.3836
35.000000 98.777 38.4580
35.500000 98.797 37.5752
36.000000 98.816 36.7171
36.500000 98.833 35.8577
37.000000 98.851 34.9890
37.500000 98.868 34.1270
38.200001 98.887 32.9623
38.700001 98.896 32.1580
39.500000 98.909 30.9052
40.000000 98.917 30.1557
40.599998 98.925 29.2886
41.200001 98.932 28.4250
41.799999 98.938 27.5605
42.500000 98.945 26.5970
43.099998 98.946 25.8023
43.700001 98.946 24.9794
44.400002 98.948 24.0246
45.000000 98.948 23.3284
45.500000 98.940 22.8333
46.200001 98.917 22.0918
46.799999 98.900 21.3011
47.500000 98.897 20.3297
48.200001 98.900 19.4922
48.700001 98.898 18.9655
49.400002 98.888 18.2310
50.000000 98.877 17.5884
50.799999 98.861 16.7686
51.500000 98.849 16.0763
52.200001 98.841 15.3597
53.000000 98.829 14.5316
53.799999 98.806 13.7582
54.500000 98.782 13.1225
55.200001 98.758 12.5110
56.000000 98.732 11.8393
57.000000 98.715 10.9494
58.000000 98.705 10.0430
59.000000 98.663 9.3248
60.000000 98.610 8.6366
60.799999 98.579 8.0291
61.500000 98.553 7.5076
62.200001 98.528 7.0055
63.000000 98.500 6.4406
64.000000 98.465 5.7576
65.000000 98.427 5.1102
66.000000 98.388 4.4775
67.000000 98.349 3.8470
68.000000 98.310 3.2382
69.000000 98.270 2.6632
70.000000 98.232 2.0970
71.000000 98.191 1.5282
72.000000 98.146 0.9899
73.000000 98.104 0.4810
74.000000 98.066 -0.0222
75.000000 98.030 -0.5164
76.199997 97.984 -1.1010
77.500000 97.929 -1.7120
78.800003 97.875 -2.2938
80.000000 97.828 -2.8102
81.199997 97.780 -3.3003
82.500000 97.729 -3.8244
83.800003 97.677 -4.3312
85.000000 97.631 -4.7857
86.199997 97.585 -5.2229
87.500000 97.540 -5.7114
88.500000 97.525 -6.1505
90.000000 97.508 -6.7889
91.199997 97.424 -7.0531
92.500000 97.322 -7.3013
93.800003 97.252 -7.6140
95.000000 97.197 -7.9354
96.199997 97.143 -8.2689
97.500000 97.088 -8.6088
98.800003 97.036 -8.9186
100.000000 96.990 -9.2120
101.500000 96.927 -9.6142
103.000000 96.858 -10.0028
104.400002 96.795 -10.3362
106.000000 96.726 -10.7089
107.500000 96.669 -10.9841
109.000000 96.619 -11.1911
110.599998 96.565 -11.4350
112.000000 96.512 -11.6854
113.800003 96.443 -12.0060
115.000000 96.398 -12.1993
117.199997 96.316 -12.5259
118.000000 96.286 -12.6398
120.599998 96.188 -12.9928
122.000000 96.137 -13.1771
124.099998 96.065 -13.4267
125.000000 96.033 -13.5287
126.500000 95.981 -13.7034
128.000000 95.931 -13.8854
131.500000 95.816 -14.2347
132.000000 95.799 -14.2744
134.000000 95.734 -14.4422
136.000000 95.672 -14.6091
138.000000 95.610 -14.7669
140.000000 95.548 -14.9023
143.000000 95.456 -15.1023
145.000000 95.394 -15.2202
147.500000 95.320 -15.3456
150.000000 95.247 -15.4631
152.500000 95.174 -15.5835
155.000000 95.102 -15.6734
157.500000 95.031 -15.7553
160.000000 94.956 -15.8137
162.500000 94.876 -15.8548
165.000000 94.796 -15.8898
167.500000 94.716 -15.9252
170.000000 94.637 -15.9532
172.500000 94.559 -15.9577
175.000000 94.484 -15.9595
177.500000 94.408 -15.9707
180.000000 94.332 -15.9713
182.500000 94.256 -15.9469
185.000000 94.180 -15.9138
187.500000 94.106 -15.8847
190.000000 94.029 -15.8624
192.500000 93.948 -15.8224
195.000000 93.862 -15.7530
197.500000 93.774 -15.6674
200.000000 93.682 -15.5668
203.000000 93.567 -15.3825
206.000000 93.440 -15.0411
209.000000 93.300 -14.3502
212.000000 93.189 -13.0604
214.000000 93.185 -11.9162
218.000000 93.420 -10.2314
220.000000 93.577 -10.2419
224.000000 93.730 -11.3860
227.000000 93.713 -12.2351
230.000000 93.650 -12.7600
233.000000 93.578 -13.0359
236.000000 93.508 -13.1603
240.000000 93.419 -13.1913
243.000000 93.357 -13.1617
247.000000 93.281 -13.0861
250.000000 93.226 -12.9983
254.000000 93.156 -12.8426
258.000000 93.086 -12.6703
262.000000 93.018 -12.4854
265.000000 92.969 -12.3398
269.000000 92.908 -12.1354
272.000000 92.863 -11.9722
276.000000 92.805 -11.7518
280.000000 92.751 -11.5309
285.000000 92.688 -11.2509
290.000000 92.627 -10.9753
295.000000 92.567 -10.7046
300.000000 92.507 -10.4337
304.000000 92.460 -10.2176
307.000000 92.426 -10.0542
311.000000 92.380 -9.8255
315.000000 92.335 -9.5836
320.000000 92.281 -9.2790
325.000000 92.228 -8.9700
330.000000 92.176 -8.6509
335.000000 92.126 -8.3332
340.000000 92.079 -8.0123
345.000000 92.031 -7.6888
350.000000 91.987 -7.3502
355.000000 91.943 -7.0004
360.000000 91.902 -6.6470
365.000000 91.863 -6.2779
370.000000 91.828 -5.8958
375.000000 91.796 -5.5209
382.000000 91.759 -5.0344
387.000000 91.736 -4.7131
395.000000 91.699 -4.2357
400.000000 91.673 -3.9517
406.000000 91.640 -3.6110
412.000000 91.605 -3.2652
418.000000 91.570 -2.9077
425.000000 91.531 -2.4768
431.000000 91.498 -2.1036
437.000000 91.467 -1.7322
444.000000 91.433 -1.2962
450.000000 91.403 -0.9125
455.000000 91.379 -0.5929
462.000000 91.346 -0.1543
468.000000 91.321 0.2178
475.000000 91.292 0.6541
482.000000 91.264 1.0948
487.000000 91.245 1.4113
494.000000 91.219 1.8563
500.000000 91.197 2.2368
508.000000 91.169 2.7420
515.000000 91.145 3.1837
522.000000 91.123 3.6257
530.000000 91.100 4.1291
538.000000 91.077 4.6379
545.000000 91.059 5.0902
552.000000 91.042 5.5418
560.000000 91.021 6.0589
570.000000 90.997 6.7054
580.000000 90.976 7.3522
590.000000 90.956 8.0027
600.000000 90.938 8.6671
608.000000 90.925 9.2053
615.000000 90.915 9.6753
622.000000 90.906 10.1433
630.000000 90.899 10.6785
640.000000 90.893 11.3543
650.000000 90.890 12.0222
660.000000 90.888 12.6737
670.000000 90.887 13.3151
680.000000 90.888 13.9537
690.000000 90.888 14.5943
700.000000 90.888 15.2343
710.000000 90.891 15.8834
720.000000 90.895 16.5436
730.000000 90.901 17.2067
740.000000 90.909 17.8733
750.000000 90.919 18.5436
762.000000 90.935 19.3500
775.000000 90.956 20.2173
788.000000 90.980 21.0887
800.000000 91.004 21.9005
812.000000 91.027 22.7132
825.000000 91.053 23.5867
838.000000 91.084 24.4506
850.000000 91.118 25.2385
862.000000 91.156 26.0228
875.000000 91.201 26.8688
885.000000 91.239 27.5129
900.000000 91.301 28.4564
912.000000 91.356 29.1906
925.000000 91.420 29.9683
938.000000 91.489 30.7211
950.000000 91.555 31.3916
962.000000 91.625 32.0434
975.000000 91.703 32.7182
988.000000 91.784 33.3576
1000.000000 91.861 33.9180
1015.000000 91.956 34.5760
1030.000000 92.051 35.1852
1044.000000 92.140 35.7157
1060.000000 92.243 36.2762
1075.000000 92.341 36.7526
1090.000000 92.438 37.1845
1106.000000 92.541 37.5982
1120.000000 92.629 37.9219
1138.000000 92.739 38.2947
1150.000000 92.811 38.5168
1172.000000 92.939 38.8735
1180.000000 92.983 38.9886
1206.000000 93.123 39.3186
1220.000000 93.193 39.4721
1241.000000 93.297 39.6763
1250.000000 93.343 39.7578
1265.000000 93.420 39.8878
1280.000000 93.497 40.0075
1315.000000 93.671 40.2550
1320.000000 93.694 40.2895
1340.000000 93.786 40.4208
1360.000000 93.876 40.5371
1380.000000 93.963 40.6335
1400.000000 94.047 40.7023
1430.000000 94.158 40.7531
1450.000000 94.215 40.7935
1475.000000 94.274 40.9350
1500.000000 94.333 41.1995
1525.000000 94.401 41.5236
1550.000000 94.478 41.8491
1575.000000 94.559 42.1623
1600.000000 94.642 42.4630
1625.000000 94.727 42.7524
1650.000000 94.813 43.0378
1675.000000 94.900 43.3236
1700.000000 94.988 43.6031
1725.000000 95.075 43.8797
1750.000000 95.164 44.1595
1775.000000 95.253 44.4422
1800.000000 95.343 44.7238
1825.000000 95.434 44.9998
1850.000000 95.527 45.2735
1875.000000 95.621 45.5441
1900.000000 95.718 45.8067
1925.000000 95.817 46.0611
1950.000000 95.918 46.3050
1975.000000 96.022 46.5366
2000.000000 96.129 46.7507
2030.000000 96.262 46.9783
2060.000000 96.397 47.1697
2090.000000 96.535 47.3172
2120.000000 96.672 47.4165
2140.000000 96.762 47.4579
2180.000000 96.940 47.4859
2200.000000 97.027 47.4746
2240.000000 97.194 47.4173
2270.000000 97.315 47.3523
2300.000000 97.432 47.2723
2330.000000 97.545 47.1820
2360.000000 97.656 47.0856
2400.000000 97.801 46.9502
2430.000000 97.907 46.8439
2470.000000 98.048 46.6914
2500.000000 98.154 46.5657
2540.000000 98.297 46.3831
2580.000000 98.439 46.1825
2620.000000 98.581 45.9618
2650.000000 98.687 45.7831
2690.000000 98.826 45.5268
2720.000000 98.929 45.3174
2760.000000 99.065 45.0135
2800.000000 99.199 44.6825
2850.000000 99.363 44.2303
2900.000000 99.522 43.7376
2950.000000 99.678 43.2036
3000.000000 99.828 42.6285
3040.000000 99.944 42.1413
3070.000000 100.029 41.7603
3110.000000 100.138 41.2309
3150.000000 100.243 40.6787
3200.000000 100.367 39.9616
3250.000000 100.485 39.2136
3300.000000 100.596 38.4334
3350.000000 100.701 37.6225
3400.000000 100.799 36.7828
3450.000000 100.890 35.9157
3500.000000 100.974 35.0224
3550.000000 101.050 34.1057
3600.000000 101.120 33.1686
3650.000000 101.183 32.2111
3700.000000 101.237 31.2323
3750.000000 101.284 30.2344
3820.000000 101.337 28.8108
3870.000000 101.365 27.7773
3950.000000 101.391 26.1010
4000.000000 101.394 25.0446
4060.000000 101.382 23.7689
4120.000000 101.355 22.4888
4180.000000 101.315 21.2114
4250.000000 101.251 19.7323
4310.000000 101.181 18.4826
4370.000000 101.098 17.2544
4440.000000 100.986 15.8570
4500.000000 100.875 14.6999
4550.000000 100.774 13.7692
4620.000000 100.618 12.5235
4680.000000 100.471 11.5191
4750.000000 100.287 10.4321
4820.000000 100.089 9.4424
4870.000000 99.941 8.8012
4940.000000 99.723 8.0010
5000.000000 99.527 7.4122
5080.000000 99.251 6.7816
5150.000000 98.998 6.4036
5220.000000 98.745 6.2429
5300.000000 98.480 6.3253
5380.000000 98.263 6.4404
5450.000000 98.087 6.3938
5520.000000 97.897 6.2669
5600.000000 97.657 6.1921
5700.000000 97.341 6.3759
5800.000000 97.035 6.8593
5900.000000 96.751 7.5782
6000.000000 96.495 8.4786
6080.000000 96.314 9.2966
6150.000000 96.173 10.0641
6220.000000 96.049 10.8669
