* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 15, 2024 10:12:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SM2 B Ext Deep R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 97.237 -102.4121
20.600000 97.309 -103.3550
20.900000 97.381 -104.4128
21.200001 97.451 -105.4988
21.400000 97.500 -106.2244
21.799999 97.608 -107.6620
22.000000 97.666 -108.3744
22.400000 97.786 -109.8015
22.700001 97.875 -110.8815
23.000000 97.958 -111.9572
23.299999 98.034 -112.9964
23.600000 98.102 -113.9621
24.000000 98.184 -115.1055
24.299999 98.241 -115.8840
24.700001 98.310 -116.9346
25.000000 98.358 -117.8215
25.400000 98.419 -119.1973
25.799999 98.481 -120.7119
26.200001 98.548 -122.1490
26.500000 98.601 -123.0449
26.900000 98.676 -123.9331
27.200001 98.731 -124.4223
27.600000 98.796 -125.0129
28.000000 98.851 -125.7282
28.500000 98.904 -126.9346
29.000000 98.950 -128.3604
29.500000 98.997 -129.7383
30.000000 99.050 -130.9229
30.400000 99.092 -131.7613
30.700001 99.123 -132.3717
31.100000 99.160 -133.2053
31.500000 99.191 -134.0759
32.000000 99.221 -135.1767
32.500000 99.249 -136.2170
33.000000 99.284 -137.1626
33.500000 99.333 -138.0579
34.000000 99.392 -138.9712
34.500000 99.443 -139.9235
35.000000 99.473 -140.8853
35.500000 99.481 -141.8339
36.000000 99.483 -142.7769
36.500000 99.491 -143.7101
37.000000 99.502 -144.5906
37.500000 99.509 -145.3853
38.200001 99.515 -146.4302
38.700001 99.529 -147.2154
39.500000 99.562 -148.4933
40.000000 99.570 -149.2289
40.599998 99.566 -150.0809
41.200001 99.566 -150.9545
41.799999 99.575 -151.7902
42.500000 99.579 -152.7154
43.099998 99.582 -153.6821
43.700001 99.605 -154.8528
44.400002 99.660 -156.0235
45.000000 99.704 -156.5821
45.500000 99.719 -156.9164
46.200001 99.691 -157.6417
46.799999 99.640 -158.5158
47.500000 99.591 -159.4548
48.200001 99.560 -160.1709
48.700001 99.538 -160.6211
49.400002 99.516 -161.1869
50.000000 99.520 -161.6041
50.799999 99.537 -162.2395
51.500000 99.521 -162.9847
52.200001 99.489 -163.7764
53.000000 99.469 -164.5813
53.799999 99.445 -165.3447
54.500000 99.418 -166.0263
55.200001 99.403 -166.6821
56.000000 99.390 -167.3933
57.000000 99.363 -168.2885
58.000000 99.348 -169.1385
59.000000 99.317 -169.8966
60.000000 99.268 -170.6254
60.799999 99.245 -171.1903
61.500000 99.227 -171.6925
62.200001 99.205 -172.2305
63.000000 99.176 -172.8595
64.000000 99.143 -173.5605
65.000000 99.101 -174.1893
66.000000 99.056 -174.8036
67.000000 99.020 -175.3910
68.000000 98.993 -176.0178
69.000000 98.960 -176.6653
70.000000 98.919 -177.2223
71.000000 98.878 -177.7048
72.000000 98.832 -178.2030
73.000000 98.784 -178.7567
74.000000 98.742 -179.3215
75.000000 98.705 -179.8016
76.199997 98.658 179.6898
77.500000 98.613 179.0757
78.800003 98.566 178.4659
80.000000 98.518 177.9425
81.199997 98.466 177.4364
82.500000 98.417 176.9566
83.800003 98.365 176.5002
85.000000 98.316 176.0370
86.199997 98.271 175.5991
87.500000 98.219 175.1550
88.500000 98.178 174.8154
90.000000 98.118 174.2794
91.199997 98.069 173.8901
92.500000 98.019 173.5034
93.800003 97.970 173.1292
95.000000 97.922 172.7942
96.199997 97.874 172.4811
97.500000 97.825 172.1401
98.800003 97.772 171.7931
100.000000 97.721 171.4915
101.500000 97.662 171.1575
103.000000 97.608 170.8398
104.400002 97.556 170.5280
106.000000 97.497 170.1575
107.500000 97.443 169.8610
109.000000 97.390 169.5880
110.599998 97.332 169.2886
112.000000 97.276 169.0204
113.800003 97.204 168.6968
115.000000 97.158 168.4998
117.199997 97.059 168.1244
118.000000 97.012 167.9695
120.599998 96.903 167.4911
122.000000 96.890 167.3518
124.099998 96.836 167.2700
125.000000 96.809 167.1895
126.500000 96.763 167.0024
128.000000 96.718 166.8345
131.500000 96.615 166.4572
132.000000 96.600 166.4018
134.000000 96.541 166.2149
136.000000 96.479 166.0647
138.000000 96.418 165.9195
140.000000 96.359 165.7649
143.000000 96.275 165.5539
145.000000 96.219 165.4395
147.500000 96.149 165.3084
150.000000 96.079 165.1824
152.500000 96.012 165.0684
155.000000 95.948 164.9707
157.500000 95.883 164.8702
160.000000 95.813 164.7913
162.500000 95.742 164.7173
165.000000 95.670 164.6572
167.500000 95.597 164.6180
170.000000 95.526 164.5829
172.500000 95.455 164.5687
175.000000 95.386 164.5604
177.500000 95.319 164.5482
180.000000 95.252 164.5363
182.500000 95.185 164.5343
185.000000 95.120 164.5381
187.500000 95.056 164.5508
190.000000 94.994 164.5791
192.500000 94.932 164.6102
195.000000 94.872 164.6326
197.500000 94.813 164.6685
200.000000 94.758 164.7171
203.000000 94.697 164.7837
206.000000 94.641 164.8636
209.000000 94.587 164.9177
212.000000 94.534 164.9872
214.000000 94.500 165.0570
218.000000 94.433 165.1999
220.000000 94.400 165.2643
224.000000 94.336 165.3872
227.000000 94.289 165.4854
230.000000 94.242 165.5950
233.000000 94.197 165.7180
236.000000 94.155 165.8495
240.000000 94.098 165.9964
243.000000 94.052 166.1115
247.000000 93.994 166.2845
250.000000 93.951 166.4174
254.000000 93.892 166.6050
258.000000 93.830 166.7999
262.000000 93.769 167.0036
265.000000 93.723 167.1696
269.000000 93.665 167.3901
272.000000 93.625 167.5513
276.000000 93.577 167.7587
280.000000 93.535 167.9575
285.000000 93.479 168.2296
290.000000 93.424 168.5121
295.000000 93.372 168.7972
300.000000 93.319 169.0710
304.000000 93.278 169.2758
307.000000 93.248 169.4200
311.000000 93.209 169.6093
315.000000 93.173 169.8088
320.000000 93.129 170.0614
325.000000 93.082 170.3387
330.000000 93.035 170.6264
335.000000 92.989 170.9010
340.000000 92.944 171.1750
345.000000 92.902 171.4661
350.000000 92.865 171.7561
355.000000 92.827 172.0276
360.000000 92.788 172.3121
365.000000 92.750 172.6061
370.000000 92.714 172.9003
375.000000 92.679 173.1941
382.000000 92.632 173.6165
387.000000 92.598 173.9287
395.000000 92.547 174.4036
400.000000 92.518 174.7025
406.000000 92.487 175.0443
412.000000 92.455 175.3884
418.000000 92.422 175.7494
425.000000 92.385 176.1764
431.000000 92.353 176.5218
437.000000 92.323 176.8538
444.000000 92.292 177.2463
450.000000 92.265 177.5938
455.000000 92.241 177.8802
462.000000 92.210 178.2871
468.000000 92.184 178.6481
475.000000 92.155 179.0621
482.000000 92.127 179.4668
487.000000 92.108 179.7621
494.000000 92.082 -179.8159
500.000000 92.061 -179.4600
508.000000 92.035 -178.9863
515.000000 92.013 -178.5691
522.000000 91.992 -178.1517
530.000000 91.968 -177.6709
538.000000 91.946 -177.1889
545.000000 91.927 -176.7681
552.000000 91.910 -176.3580
560.000000 91.892 -175.8824
570.000000 91.873 -175.2744
580.000000 91.853 -174.6731
590.000000 91.833 -174.0831
600.000000 91.815 -173.4860
608.000000 91.802 -173.0054
615.000000 91.791 -172.5722
622.000000 91.784 -172.1478
630.000000 91.775 -171.6838
640.000000 91.761 -171.0574
650.000000 91.751 -170.4242
660.000000 91.744 -169.8041
670.000000 91.737 -169.1947
680.000000 91.734 -168.5721
690.000000 91.734 -167.9304
700.000000 91.734 -167.2754
710.000000 91.737 -166.6269
720.000000 91.742 -165.9798
730.000000 91.749 -165.3251
740.000000 91.756 -164.6644
750.000000 91.765 -164.0086
762.000000 91.782 -163.2240
775.000000 91.804 -162.3705
788.000000 91.831 -161.5040
800.000000 91.859 -160.7078
812.000000 91.885 -159.9178
825.000000 91.917 -159.0577
838.000000 91.953 -158.1971
850.000000 91.992 -157.4141
862.000000 92.036 -156.6363
875.000000 92.088 -155.8147
885.000000 92.133 -155.1924
900.000000 92.205 -154.2778
912.000000 92.267 -153.5634
925.000000 92.339 -152.8154
938.000000 92.417 -152.1006
950.000000 92.493 -151.4642
962.000000 92.573 -150.8556
975.000000 92.663 -150.2239
988.000000 92.755 -149.6239
1000.000000 92.841 -149.1087
1015.000000 92.947 -148.5175
1030.000000 93.053 -147.9808
1044.000000 93.154 -147.5289
1060.000000 93.270 -147.0631
1075.000000 93.380 -146.6805
1090.000000 93.488 -146.3501
1106.000000 93.602 -146.0265
1120.000000 93.705 -145.7686
1138.000000 93.841 -145.5224
1150.000000 93.931 -145.4076
1172.000000 94.096 -145.2902
1180.000000 94.157 -145.2835
1206.000000 94.363 -145.4978
1220.000000 94.472 -145.9103
1241.000000 94.548 -147.1808
1250.000000 94.504 -147.7737
1265.000000 94.348 -147.9353
1280.000000 94.253 -146.8474
1315.000000 94.485 -144.8428
1320.000000 94.528 -144.7451
1340.000000 94.681 -144.5526
1360.000000 94.809 -144.4985
1380.000000 94.920 -144.4848
1400.000000 95.019 -144.4801
1430.000000 95.154 -144.4827
1450.000000 95.238 -144.4839
1475.000000 95.338 -144.4794
1500.000000 95.432 -144.4661
1525.000000 95.521 -144.4524
1550.000000 95.609 -144.4260
1575.000000 95.695 -144.3860
1600.000000 95.779 -144.3435
1625.000000 95.864 -144.2938
1650.000000 95.950 -144.2381
1675.000000 96.035 -144.1801
1700.000000 96.120 -144.1183
1725.000000 96.205 -144.0555
1750.000000 96.290 -143.9901
1775.000000 96.375 -143.9265
1800.000000 96.461 -143.8645
1825.000000 96.547 -143.8038
1850.000000 96.633 -143.7446
1875.000000 96.720 -143.6852
1900.000000 96.807 -143.6315
1925.000000 96.894 -143.5840
1950.000000 96.984 -143.5419
1975.000000 97.074 -143.5050
2000.000000 97.165 -143.4715
2030.000000 97.277 -143.4395
2060.000000 97.392 -143.4223
2090.000000 97.509 -143.4211
2120.000000 97.627 -143.4327
2140.000000 97.707 -143.4483
2180.000000 97.868 -143.5003
2200.000000 97.949 -143.5369
2240.000000 98.113 -143.6299
2270.000000 98.237 -143.7223
2300.000000 98.363 -143.8354
2330.000000 98.491 -143.9687
2360.000000 98.620 -144.1234
2400.000000 98.794 -144.3645
2430.000000 98.926 -144.5727
2470.000000 99.104 -144.8904
2500.000000 99.240 -145.1615
2540.000000 99.426 -145.5678
2580.000000 99.616 -146.0315
2620.000000 99.807 -146.5528
2650.000000 99.952 -146.9810
2690.000000 100.145 -147.6082
2720.000000 100.290 -148.1243
2760.000000 100.484 -148.8754
2800.000000 100.678 -149.7031
2850.000000 100.919 -150.8537
2900.000000 101.159 -152.1461
2950.000000 101.395 -153.5835
3000.000000 101.625 -155.1793
3040.000000 101.802 -156.5767
3070.000000 101.929 -157.6972
3110.000000 102.090 -159.2860
3150.000000 102.240 -160.9821
3200.000000 102.407 -163.2530
3250.000000 102.551 -165.6859
3300.000000 102.666 -168.2726
3350.000000 102.748 -170.9934
3400.000000 102.795 -173.8240
3450.000000 102.802 -176.7381
3500.000000 102.767 -179.6999
3550.000000 102.690 177.3251
3600.000000 102.569 174.3768
3650.000000 102.405 171.4959
3700.000000 102.200 168.7190
3750.000000 101.958 166.0803
3820.000000 101.566 162.6673
3870.000000 101.252 160.4529
3950.000000 100.702 157.3299
4000.000000 100.334 155.6440
4060.000000 99.874 153.8906
4120.000000 99.402 152.4244
4180.000000 98.924 151.2275
4250.000000 98.367 150.1452
4310.000000 97.892 149.4615
4370.000000 97.420 148.9757
4440.000000 96.877 148.6475
4500.000000 96.418 148.5609
4550.000000 96.041 148.6175
4620.000000 95.522 148.8820
4680.000000 95.087 149.2772
4750.000000 94.597 149.9184
4820.000000 94.125 150.7338
4870.000000 93.798 151.4082
4940.000000 93.356 152.4590
5000.000000 92.991 153.4461
5080.000000 92.517 154.8734
5150.000000 92.116 156.2059
5220.000000 91.727 157.6169
5300.000000 91.298 159.3150
5380.000000 90.887 161.1002
5450.000000 90.542 162.7272
5520.000000 90.206 164.4163
5600.000000 89.833 166.4188
