* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 15, 2024 10:39:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SM2 Stock Deep L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 96.305 -104.6209
20.600000 96.363 -105.6116
20.900000 96.437 -106.6278
21.200001 96.526 -107.6061
21.400000 96.590 -108.2488
21.799999 96.716 -109.5400
22.000000 96.772 -110.1938
22.400000 96.862 -111.5119
22.700001 96.915 -112.4983
23.000000 96.964 -113.4762
23.299999 97.019 -114.4460
23.600000 97.084 -115.4109
24.000000 97.181 -116.6858
24.299999 97.253 -117.6188
24.700001 97.333 -118.7990
25.000000 97.380 -119.6211
25.400000 97.435 -120.6415
25.799999 97.495 -121.6199
26.200001 97.567 -122.6084
26.500000 97.625 -123.3639
26.900000 97.697 -124.3606
27.200001 97.740 -125.0711
27.600000 97.781 -125.9541
28.000000 97.815 -126.8070
28.500000 97.861 -127.9684
29.000000 97.918 -129.3321
29.500000 97.970 -130.7962
30.000000 98.008 -132.1277
30.400000 98.032 -132.9992
30.700001 98.054 -133.5540
31.100000 98.090 -134.2393
31.500000 98.132 -134.9568
32.000000 98.179 -135.9733
32.500000 98.210 -137.0671
33.000000 98.235 -138.1049
33.500000 98.264 -139.0166
34.000000 98.298 -139.8588
34.500000 98.325 -140.7414
35.000000 98.343 -141.7021
35.500000 98.359 -142.6652
36.000000 98.377 -143.5307
36.500000 98.391 -144.2882
37.000000 98.396 -145.0194
37.500000 98.400 -145.7988
38.200001 98.431 -146.9446
38.700001 98.462 -147.7346
39.500000 98.479 -148.9642
40.000000 98.468 -149.7533
40.599998 98.467 -150.6807
41.200001 98.490 -151.5026
41.799999 98.510 -152.2253
42.500000 98.503 -153.0981
43.099998 98.491 -153.9438
43.700001 98.495 -154.7644
44.400002 98.503 -155.5355
45.000000 98.496 -156.2034
45.500000 98.483 -156.9651
46.200001 98.458 -158.2883
46.799999 98.429 -159.2313
47.500000 98.407 -159.7434
48.200001 98.415 -159.8994
48.700001 98.421 -160.0498
49.400002 98.409 -160.4970
50.000000 98.402 -161.1740
50.799999 98.420 -162.3405
51.500000 98.408 -163.1561
52.200001 98.355 -163.6550
53.000000 98.314 -164.3163
53.799999 98.310 -165.1772
54.500000 98.308 -165.8255
55.200001 98.291 -166.3902
56.000000 98.250 -166.9839
57.000000 98.228 -167.6472
58.000000 98.237 -168.6376
59.000000 98.185 -169.5077
60.000000 98.151 -170.0901
60.799999 98.114 -170.7253
61.500000 98.053 -171.1869
62.200001 98.015 -171.4524
63.000000 98.023 -171.8156
64.000000 98.022 -172.6071
65.000000 97.973 -173.3206
66.000000 97.935 -173.7957
67.000000 97.908 -174.3094
68.000000 97.865 -174.8756
69.000000 97.825 -175.4453
70.000000 97.797 -176.0648
71.000000 97.756 -176.6525
72.000000 97.708 -177.1625
73.000000 97.666 -177.6795
74.000000 97.625 -178.1363
75.000000 97.588 -178.4921
76.199997 97.538 -178.9472
77.500000 97.484 -179.4923
78.800003 97.456 179.9095
80.000000 97.427 179.3976
81.199997 97.376 178.9231
82.500000 97.313 178.4219
83.800003 97.250 178.0662
85.000000 97.201 177.7795
86.199997 97.154 177.4348
87.500000 97.103 177.0052
88.500000 97.070 176.6932
90.000000 97.006 176.2871
91.199997 96.945 175.9723
92.500000 96.897 175.5250
93.800003 96.859 175.0849
95.000000 96.815 174.7758
96.199997 96.774 174.4157
97.500000 96.736 174.1002
98.800003 96.684 173.9803
100.000000 96.630 173.8110
101.500000 96.571 173.4508
103.000000 96.527 173.0974
104.400002 96.482 172.8712
106.000000 96.427 172.5680
107.500000 96.383 172.2589
109.000000 96.338 171.9770
110.599998 96.282 171.7452
112.000000 96.225 171.5486
113.800003 96.157 171.2812
115.000000 96.112 171.1259
117.199997 96.025 170.8702
118.000000 96.003 170.8655
120.599998 95.951 170.8906
122.000000 95.915 170.6089
124.099998 95.835 170.2930
125.000000 95.798 170.2121
126.500000 95.745 170.0482
128.000000 95.698 169.8373
131.500000 95.591 169.5219
132.000000 95.579 169.4924
134.000000 95.529 169.3862
136.000000 95.473 169.2326
138.000000 95.419 169.0744
140.000000 95.370 169.0045
143.000000 95.286 168.9781
145.000000 95.226 168.8684
147.500000 95.164 168.7529
150.000000 95.109 168.7109
152.500000 95.049 168.6474
155.000000 94.985 168.5635
157.500000 94.931 168.5656
160.000000 94.878 168.5823
162.500000 94.815 168.5318
165.000000 94.743 168.4768
167.500000 94.675 168.4969
170.000000 94.620 168.5491
172.500000 94.562 168.5498
175.000000 94.489 168.5438
177.500000 94.427 168.6091
180.000000 94.365 168.6464
182.500000 94.296 168.6869
185.000000 94.240 168.7032
187.500000 94.182 168.7456
190.000000 94.122 168.8341
192.500000 94.068 168.9007
195.000000 94.018 168.9716
197.500000 93.966 169.0286
200.000000 93.914 169.1025
203.000000 93.863 169.2347
206.000000 93.810 169.2946
209.000000 93.751 169.2833
212.000000 93.725 169.5235
214.000000 93.714 169.8707
218.000000 93.645 170.1666
220.000000 93.614 170.1626
224.000000 93.559 169.9879
227.000000 93.470 170.0068
230.000000 93.368 170.2234
233.000000 93.303 170.5577
236.000000 93.280 170.7433
240.000000 93.267 170.7478
243.000000 93.259 170.7858
247.000000 93.258 171.0324
250.000000 93.249 171.2939
254.000000 93.209 171.6504
258.000000 93.149 171.9990
262.000000 93.081 172.1501
265.000000 93.051 172.2841
269.000000 93.006 172.5452
272.000000 92.971 172.6867
276.000000 92.930 172.8569
280.000000 92.892 173.0718
285.000000 92.834 173.4589
290.000000 92.773 173.6284
295.000000 92.730 174.1367
300.000000 92.718 174.2197
304.000000 92.651 174.3259
307.000000 92.598 174.6155
311.000000 92.553 175.0737
315.000000 92.526 175.3931
320.000000 92.508 175.6332
325.000000 92.495 175.8337
330.000000 92.483 176.2686
335.000000 92.402 176.8214
340.000000 92.318 177.2045
345.000000 92.287 177.7140
350.000000 92.259 177.9716
355.000000 92.239 178.0556
360.000000 92.237 178.2074
365.000000 92.225 178.5571
370.000000 92.199 178.9796
375.000000 92.168 179.2984
382.000000 92.134 179.8688
387.000000 92.126 -179.8667
395.000000 92.066 -179.5516
400.000000 92.028 -179.1579
406.000000 91.997 -178.6817
412.000000 91.979 -178.2405
418.000000 91.968 -177.8532
425.000000 91.948 -177.3673
431.000000 91.925 -176.9463
437.000000 91.905 -176.5491
444.000000 91.888 -176.0594
450.000000 91.875 -175.7002
455.000000 91.855 -175.4043
462.000000 91.829 -174.9531
468.000000 91.822 -174.5760
475.000000 91.814 -174.1359
482.000000 91.796 -173.6342
487.000000 91.778 -173.2672
494.000000 91.753 -172.8008
500.000000 91.737 -172.4294
508.000000 91.722 -171.9201
515.000000 91.709 -171.4410
522.000000 91.697 -170.9673
530.000000 91.684 -170.4497
538.000000 91.674 -169.9171
545.000000 91.666 -169.4457
552.000000 91.659 -168.9719
560.000000 91.650 -168.4315
570.000000 91.640 -167.7875
580.000000 91.635 -167.1042
590.000000 91.632 -166.4150
600.000000 91.628 -165.7256
608.000000 91.625 -165.1924
615.000000 91.623 -164.7206
622.000000 91.624 -164.2438
630.000000 91.625 -163.6954
640.000000 91.629 -162.9898
650.000000 91.634 -162.2894
660.000000 91.640 -161.5925
670.000000 91.648 -160.8896
680.000000 91.659 -160.1765
690.000000 91.671 -159.4684
700.000000 91.687 -158.7619
710.000000 91.705 -158.0539
720.000000 91.724 -157.3466
730.000000 91.743 -156.6078
740.000000 91.769 -155.8659
750.000000 91.796 -155.1519
762.000000 91.829 -154.2787
775.000000 91.872 -153.3322
788.000000 91.919 -152.3870
800.000000 91.964 -151.5068
812.000000 92.008 -150.6335
825.000000 92.059 -149.6878
838.000000 92.116 -148.7546
850.000000 92.173 -147.9042
862.000000 92.235 -147.0636
875.000000 92.309 -146.1653
885.000000 92.370 -145.4872
900.000000 92.465 -144.4982
912.000000 92.546 -143.7273
925.000000 92.639 -142.9165
938.000000 92.738 -142.1366
950.000000 92.832 -141.4460
962.000000 92.930 -140.7809
975.000000 93.039 -140.0939
988.000000 93.151 -139.4460
1000.000000 93.254 -138.8831
1015.000000 93.383 -138.2355
1030.000000 93.513 -137.6299
1044.000000 93.638 -137.1199
1060.000000 93.785 -136.6181
1075.000000 93.925 -136.2555
1090.000000 94.050 -136.0743
1106.000000 94.144 -135.9053
1120.000000 94.217 -135.5168
1138.000000 94.344 -134.9272
1150.000000 94.440 -134.6259
1172.000000 94.617 -134.2203
1180.000000 94.678 -134.1019
1206.000000 94.869 -133.7876
1220.000000 94.967 -133.6522
1241.000000 95.112 -133.4749
1250.000000 95.174 -133.4038
1265.000000 95.279 -133.2952
1280.000000 95.383 -133.1967
1315.000000 95.619 -132.9988
1320.000000 95.652 -132.9733
1340.000000 95.781 -132.8748
1360.000000 95.906 -132.7759
1380.000000 96.028 -132.6777
1400.000000 96.148 -132.5832
1430.000000 96.325 -132.4421
1450.000000 96.440 -132.3473
1475.000000 96.584 -132.2284
1500.000000 96.725 -132.1142
1525.000000 96.864 -132.0018
1550.000000 97.003 -131.8901
1575.000000 97.144 -131.7833
1600.000000 97.286 -131.6807
1625.000000 97.430 -131.5846
1650.000000 97.576 -131.4971
1675.000000 97.723 -131.4216
1700.000000 97.872 -131.3607
1725.000000 98.022 -131.3171
1750.000000 98.173 -131.2915
1775.000000 98.325 -131.2796
1800.000000 98.478 -131.2858
1825.000000 98.632 -131.3083
1850.000000 98.789 -131.3533
1875.000000 98.947 -131.4275
1900.000000 99.106 -131.5241
1925.000000 99.265 -131.6513
1950.000000 99.424 -131.8105
1975.000000 99.585 -132.0007
2000.000000 99.747 -132.2238
2030.000000 99.944 -132.5349
2060.000000 100.142 -132.8979
2090.000000 100.340 -133.3119
2120.000000 100.537 -133.7787
2140.000000 100.667 -134.1204
2180.000000 100.924 -134.8789
2200.000000 101.051 -135.2978
2240.000000 101.302 -136.2134
2270.000000 101.487 -136.9673
2300.000000 101.666 -137.7800
2330.000000 101.841 -138.6528
2360.000000 102.011 -139.5846
2400.000000 102.227 -140.9142
2430.000000 102.381 -141.9747
2470.000000 102.574 -143.4670
2500.000000 102.711 -144.6394
2540.000000 102.880 -146.2688
2580.000000 103.032 -147.9652
2620.000000 103.165 -149.7157
2650.000000 103.253 -151.0541
2690.000000 103.351 -152.8610
2720.000000 103.411 -154.2263
2760.000000 103.474 -156.0493
2800.000000 103.518 -157.8629
2850.000000 103.547 -160.0974
2900.000000 103.548 -162.2781
2950.000000 103.523 -164.3898
3000.000000 103.477 -166.4174
3040.000000 103.426 -167.9706
3070.000000 103.380 -169.0950
3110.000000 103.310 -170.5372
3150.000000 103.230 -171.9124
3200.000000 103.118 -173.5369
3250.000000 102.997 -175.0586
3300.000000 102.868 -176.4784
3350.000000 102.734 -177.8063
3400.000000 102.597 -179.0473
3450.000000 102.458 179.7921
3500.000000 102.318 178.7021
3550.000000 102.179 177.6712
3600.000000 102.039 176.6945
3650.000000 101.900 175.7631
3700.000000 101.762 174.8672
3750.000000 101.625 174.0020
3820.000000 101.431 172.8326
3870.000000 101.292 172.0205
3950.000000 101.067 170.7531
4000.000000 100.923 169.9741
4060.000000 100.743 169.0477
4120.000000 100.557 168.1262
4180.000000 100.365 167.2108
4250.000000 100.131 166.1525
4310.000000 99.924 165.2569
4370.000000 99.707 164.3785
4440.000000 99.442 163.3859
4500.000000 99.204 162.5737
4550.000000 98.999 161.9280
4620.000000 98.702 161.0761
4680.000000 98.439 160.4002
4750.000000 98.121 159.6699
4820.000000 97.790 159.0030
4870.000000 97.545 158.5718
4940.000000 97.190 158.0449
5000.000000 96.871 157.6783
5080.000000 96.424 157.3380
5150.000000 96.017 157.2026
5220.000000 95.601 157.2367
5300.000000 95.118 157.5013
5380.000000 94.635 158.0106
5450.000000 94.219 158.6426
5520.000000 93.810 159.4244
