* Measurement data measured by REW V5.30.9
* Source: Headset (JA3 HIFI AUDIO(CX31993)), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Feb 24, 2024 11:43:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hola R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 63.824 -14.6525
1.015000 64.148 -13.9340
1.030000 64.469 -13.2645
1.044000 64.767 -12.6829
1.060000 65.103 -12.0684
1.075000 65.415 -11.5400
1.090000 65.724 -11.0575
1.106000 66.051 -10.5922
1.120000 66.335 -10.2230
1.138000 66.700 -9.7912
1.150000 66.943 -9.5259
1.172000 67.388 -9.0790
1.180000 67.550 -8.9278
1.206000 68.074 -8.4720
1.220000 68.354 -8.2465
1.241000 68.774 -7.9302
1.250000 68.952 -7.8018
1.265000 69.249 -7.5962
1.280000 69.544 -7.3999
1.315000 70.224 -6.9716
1.320000 70.320 -6.9132
1.340000 70.701 -6.6856
1.360000 71.077 -6.4660
1.380000 71.448 -6.2535
1.400000 71.813 -6.0490
1.430000 72.348 -5.7741
1.450000 72.696 -5.6426
1.475000 73.122 -5.5906
1.500000 73.539 -5.6591
1.525000 73.946 -5.7862
1.550000 74.344 -5.9367
1.575000 74.735 -6.1032
1.600000 75.117 -6.2877
1.625000 75.492 -6.4941
1.650000 75.860 -6.7262
1.675000 76.221 -6.9870
1.700000 76.576 -7.2793
1.725000 76.924 -7.6050
1.750000 77.267 -7.9655
1.775000 77.604 -8.3612
1.800000 77.936 -8.7908
1.825000 78.262 -9.2492
1.850000 78.582 -9.7274
1.875000 78.895 -10.2161
1.900000 79.202 -10.7096
1.925000 79.503 -11.2066
1.950000 79.797 -11.7075
1.975000 80.085 -12.2138
2.000000 80.367 -12.7268
2.030000 80.699 -13.3534
2.060000 81.023 -13.9944
2.090000 81.340 -14.6521
2.120000 81.652 -15.3285
2.140000 81.856 -15.7905
2.180000 82.257 -16.7411
2.200000 82.453 -17.2283
2.240000 82.837 -18.2196
2.270000 83.116 -18.9724
2.300000 83.389 -19.7297
2.330000 83.655 -20.4900
2.360000 83.915 -21.2526
2.400000 84.252 -22.2727
2.430000 84.498 -23.0404
2.470000 84.819 -24.0686
2.500000 85.053 -24.8443
2.540000 85.358 -25.8866
2.580000 85.655 -26.9402
2.620000 85.943 -28.0054
2.650000 86.152 -28.8101
2.690000 86.423 -29.8871
2.720000 86.621 -30.6952
2.760000 86.877 -31.7698
2.800000 87.125 -32.8383
2.850000 87.425 -34.1626
2.900000 87.714 -35.4754
2.950000 87.993 -36.7829
3.000000 88.260 -38.0928
3.040000 88.466 -39.1428
3.070000 88.615 -39.9292
3.110000 88.808 -40.9728
3.150000 88.996 -42.0067
3.200000 89.221 -43.2802
3.250000 89.439 -44.5296
3.300000 89.648 -45.7576
3.350000 89.849 -46.9719
3.400000 90.040 -48.1778
3.450000 90.224 -49.3735
3.500000 90.399 -50.5532
3.550000 90.568 -51.7105
3.600000 90.731 -52.8406
3.650000 90.889 -53.9424
3.700000 91.040 -55.0198
3.750000 91.186 -56.0779
3.820000 91.379 -57.5305
3.870000 91.512 -58.5454
3.950000 91.715 -60.1218
4.000000 91.838 -61.0741
4.060000 91.982 -62.1838
4.120000 92.120 -63.2616
4.180000 92.254 -64.3119
4.250000 92.406 -65.5056
4.310000 92.533 -66.5029
4.370000 92.659 -67.4762
4.440000 92.803 -68.5819
4.500000 92.924 -69.5058
4.550000 93.024 -70.2616
4.620000 93.163 -71.3032
4.680000 93.280 -72.1850
4.750000 93.416 -73.2045
4.820000 93.551 -74.2150
4.870000 93.647 -74.9317
4.940000 93.781 -75.9301
5.000000 93.894 -76.7847
5.080000 94.042 -77.9281
5.150000 94.170 -78.9360
5.220000 94.296 -79.9513
5.300000 94.437 -81.1196
5.380000 94.574 -82.2959
5.450000 94.689 -83.3325
5.520000 94.801 -84.3775
5.600000 94.924 -85.5827
5.700000 95.069 -87.0994
5.800000 95.204 -88.6164
5.900000 95.328 -90.1285
6.000000 95.441 -91.6351
6.080000 95.524 -92.8300
6.150000 95.591 -93.8613
6.220000 95.653 -94.8751
6.300000 95.718 -96.0117
6.400000 95.790 -97.3978
6.500000 95.853 -98.7371
6.600000 95.910 -100.0193
6.700000 95.961 -101.2410
6.800000 96.006 -102.4031
6.900000 96.049 -103.5040
7.000000 96.091 -104.5417
7.100000 96.132 -105.5183
7.200000 96.175 -106.4397
7.300000 96.219 -107.3127
7.400000 96.267 -108.1421
7.500000 96.319 -108.9338
7.620000 96.387 -109.8473
7.750000 96.467 -110.8082
7.880000 96.553 -111.7510
8.000000 96.637 -112.6162
8.120000 96.724 -113.4861
8.250000 96.821 -114.4375
8.380000 96.917 -115.3995
8.500000 97.005 -116.2971
8.620000 97.091 -117.2014
8.750000 97.181 -118.1831
8.850000 97.248 -118.9362
9.000000 97.343 -120.0577
9.120000 97.416 -120.9428
9.250000 97.491 -121.8854
9.380000 97.563 -122.8098
9.500000 97.627 -123.6463
9.620000 97.688 -124.4671
9.750000 97.751 -125.3402
9.880000 97.807 -126.1992
10.000000 97.853 -126.9816
10.150000 97.901 -127.9470
10.300000 97.941 -128.8998
10.440000 97.970 -129.7765
10.600000 97.996 -130.7589
10.750000 98.014 -131.6547
10.900000 98.025 -132.5182
11.060000 98.030 -133.3941
11.200000 98.031 -134.1159
11.380000 98.028 -134.9765
11.500000 98.025 -135.5070
11.720000 98.022 -136.3980
11.800000 98.023 -136.6997
12.060000 98.034 -137.6288
12.200000 98.047 -138.1165
12.410000 98.078 -138.8637
12.500000 98.096 -139.1972
12.650000 98.129 -139.7771
12.800000 98.164 -140.3901
13.150000 98.233 -141.9325
13.200000 98.240 -142.1609
13.400000 98.260 -143.0764
13.600000 98.265 -143.9692
13.800000 98.259 -144.8091
14.000000 98.246 -145.5753
14.300000 98.225 -146.5786
14.500000 98.218 -147.1704
14.750000 98.221 -147.8721
15.000000 98.237 -148.5871
15.250000 98.259 -149.3568
15.500000 98.280 -150.1868
15.750000 98.293 -151.0461
16.000000 98.296 -151.8809
16.250000 98.294 -152.6390
16.500000 98.296 -153.2944
16.750000 98.313 -153.8636
17.000000 98.353 -154.4060
17.250000 98.416 -155.0037
17.500000 98.493 -155.7310
17.750000 98.572 -156.6252
18.000000 98.637 -157.6728
18.250000 98.674 -158.8132
18.500000 98.679 -159.9568
18.750000 98.653 -161.0093
19.000000 98.606 -161.8965
19.250000 98.550 -162.5826
19.500000 98.499 -163.0802
19.750000 98.464 -163.4408
20.000000 98.446 -163.7349
20.299999 98.443 -164.0897
20.600000 98.448 -164.4994
20.900000 98.447 -164.9561
21.200001 98.433 -165.4077
21.400000 98.418 -165.6770
21.799999 98.382 -166.0988
22.000000 98.367 -166.2560
22.400000 98.351 -166.5228
22.700001 98.351 -166.7418
23.000000 98.357 -167.0179
23.299999 98.363 -167.3628
23.600000 98.366 -167.7695
24.000000 98.360 -168.3805
24.299999 98.349 -168.8706
24.700001 98.326 -169.5425
25.000000 98.304 -170.0450
25.400000 98.272 -170.6911
25.799999 98.241 -171.2964
26.200001 98.219 -171.8700
26.500000 98.210 -172.2970
26.900000 98.207 -172.8884
27.200001 98.210 -173.3581
27.600000 98.215 -174.0160
28.000000 98.218 -174.6924
28.500000 98.216 -175.5267
29.000000 98.205 -176.3053
29.500000 98.183 -176.9757
30.000000 98.159 -177.4896
30.400000 98.146 -177.7902
30.700001 98.146 -177.9840
31.100000 98.160 -178.2759
31.500000 98.181 -178.6937
32.000000 98.186 -179.4411
32.500000 98.134 179.7219
33.000000 98.025 179.1222
33.500000 97.911 178.9521
34.000000 97.853 179.0123
34.500000 97.855 178.8751
35.000000 97.859 178.3552
35.500000 97.819 177.6865
36.000000 97.753 177.1925
36.500000 97.714 176.8917
37.000000 97.718 176.5244
37.500000 97.731 175.9367
38.200001 97.714 175.0164
38.700001 97.703 174.4623
39.500000 97.711 173.4259
40.000000 97.680 172.6377
40.599998 97.584 171.9684
41.200001 97.496 171.8299
41.799999 97.476 171.8244
42.500000 97.472 171.4550
43.099998 97.419 171.0791
43.700001 97.350 171.0003
44.400002 97.324 171.0887
45.000000 97.339 170.9316
45.500000 97.347 170.5739
46.200001 97.324 169.8882
46.799999 97.275 169.2738
47.500000 97.194 168.6578
48.200001 97.114 168.1940
48.700001 97.068 167.8950
49.400002 97.014 167.4154
50.000000 96.963 166.9507
50.799999 96.875 166.4205
51.500000 96.795 166.1994
52.200001 96.742 166.2260
53.000000 96.739 166.3250
53.799999 96.776 166.2080
54.500000 96.803 165.8891
55.200001 96.806 165.4711
56.000000 96.776 165.0331
57.000000 96.717 164.6743
58.000000 96.664 164.2818
59.000000 96.578 163.7242
60.000000 96.455 163.3288
60.799999 96.370 163.1838
61.500000 96.321 163.0510
62.200001 96.284 162.8253
63.000000 96.241 162.4783
64.000000 96.176 162.0936
65.000000 96.116 161.8579
66.000000 96.071 161.6592
67.000000 96.021 161.4258
68.000000 95.963 161.2123
69.000000 95.902 160.9650
70.000000 95.823 160.6765
71.000000 95.733 160.5137
72.000000 95.666 160.4641
73.000000 95.624 160.3634
74.000000 95.590 160.1770
75.000000 95.552 159.9840
76.199997 95.504 159.8385
77.500000 95.462 159.7410
78.800003 95.420 159.4729
80.000000 95.339 159.0884
81.199997 95.215 158.8829
82.500000 95.087 158.9492
83.800003 95.002 159.1046
85.000000 94.964 159.1158
86.199997 94.946 158.8866
87.500000 94.919 158.4442
88.500000 94.885 158.0824
90.000000 94.811 157.6818
91.199997 94.745 157.5809
92.500000 94.685 157.6494
93.800003 94.639 157.7778
95.000000 94.604 157.8666
96.199997 94.567 157.8812
97.500000 94.513 157.8760
98.800003 94.453 157.8871
100.000000 94.395 157.8643
101.500000 94.316 157.7260
103.000000 94.229 157.4780
104.400002 94.151 157.2261
106.000000 94.087 156.9871
107.500000 94.061 156.8478
109.000000 94.061 156.7502
110.599998 94.064 156.6570
112.000000 94.051 156.4696
113.800003 93.967 156.1744
115.000000 93.886 156.1671
117.199997 93.745 156.3539
118.000000 93.690 156.4059
120.599998 93.446 156.6236
122.000000 93.312 156.9570
124.099998 93.231 157.3839
125.000000 93.244 157.3797
126.500000 93.297 157.1743
128.000000 93.360 156.9320
131.500000 93.385 156.3368
132.000000 93.365 156.2492
134.000000 93.225 155.8988
136.000000 93.030 155.7171
138.000000 92.828 155.9829
140.000000 92.675 156.8440
143.000000 92.607 158.2779
145.000000 92.630 158.4462
147.500000 92.691 158.2859
150.000000 92.762 158.3336
152.500000 92.751 158.4525
155.000000 92.615 158.3264
157.500000 92.499 158.0663
160.000000 92.498 157.7198
162.500000 92.509 157.4716
165.000000 92.431 157.5417
167.500000 92.295 157.8631
170.000000 92.181 158.1676
172.500000 92.109 158.3731
175.000000 92.058 158.5670
177.500000 92.017 158.6699
180.000000 91.981 158.5875
182.500000 91.934 158.4149
185.000000 91.848 158.5405
187.500000 91.765 159.0580
190.000000 91.749 159.3160
192.500000 91.764 159.1497
195.000000 91.705 159.1984
197.500000 91.527 159.5913
200.000000 91.271 159.4391
203.000000 90.978 158.0322
206.000000 90.836 157.1101
209.000000 90.886 158.0122
212.000000 91.029 159.9042
214.000000 91.123 161.1791
218.000000 91.233 163.1336
220.000000 91.245 163.6648
224.000000 91.203 163.6805
227.000000 91.154 163.2585
230.000000 91.141 163.0274
233.000000 91.166 163.1384
236.000000 91.193 163.5136
240.000000 91.174 164.0795
243.000000 91.124 164.3665
247.000000 91.087 164.5471
250.000000 91.095 164.7303
254.000000 91.093 165.1902
258.000000 91.070 165.6103
262.000000 91.044 165.9829
265.000000 91.009 166.2798
269.000000 90.952 166.5557
272.000000 90.918 166.5918
276.000000 90.874 166.5512
280.000000 90.825 166.5927
285.000000 90.774 166.8436
290.000000 90.754 167.0910
295.000000 90.721 167.5226
300.000000 90.663 168.0785
304.000000 90.608 168.3533
307.000000 90.566 168.5130
311.000000 90.516 168.7167
