* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.910. Timing signal peak level -10.7 dBFS, measurement signal peak level -10.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 9, 2023 7:54:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0034 ms (1.2 mm, 0.05 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: tia Trio R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 82.987 24.2996
20.299999 83.026 23.5736
20.600000 83.038 22.8813
20.900000 83.033 22.3406
21.200001 83.035 21.9940
21.400000 83.048 21.8197
21.799999 83.113 21.4364
22.000000 83.158 21.1466
22.400000 83.243 20.2715
22.700001 83.278 19.4258
23.000000 83.274 18.5785
23.299999 83.238 17.8914
23.600000 83.192 17.4435
24.000000 83.151 17.2009
24.299999 83.157 17.1398
24.700001 83.214 16.9650
25.000000 83.274 16.6383
25.400000 83.344 15.9282
25.799999 83.379 15.0603
26.200001 83.378 14.2329
26.500000 83.365 13.7054
26.900000 83.348 13.1240
27.200001 83.340 12.7416
27.600000 83.336 12.2554
28.000000 83.338 11.7769
28.500000 83.349 11.1886
29.000000 83.375 10.5580
29.500000 83.406 9.7878
30.000000 83.420 8.8713
30.400000 83.407 8.1337
30.700001 83.386 7.6449
31.100000 83.353 7.1237
31.500000 83.329 6.7250
32.000000 83.320 6.2775
32.500000 83.322 5.7779
33.000000 83.319 5.2510
33.500000 83.312 4.7906
34.000000 83.316 4.4057
34.500000 83.339 3.9810
35.000000 83.368 3.4117
35.500000 83.378 2.7211
36.000000 83.362 2.0452
36.500000 83.331 1.4955
37.000000 83.306 1.0666
37.500000 83.295 0.6642
38.200001 83.288 0.0142
38.700001 83.276 -0.4897
39.500000 83.251 -1.2411
40.000000 83.238 -1.6895
40.599998 83.223 -2.2462
41.200001 83.202 -2.7914
41.799999 83.179 -3.2729
42.500000 83.166 -3.7979
43.099998 83.161 -4.3111
43.700001 83.149 -4.8845
44.400002 83.119 -5.5305
45.000000 83.088 -6.0131
45.500000 83.066 -6.3801
46.200001 83.041 -6.8824
46.799999 83.025 -7.3325
47.500000 83.007 -7.8948
48.200001 82.984 -8.4600
48.700001 82.966 -8.8356
49.400002 82.946 -9.3298
50.000000 82.931 -9.7589
50.799999 82.908 -10.3284
51.500000 82.885 -10.7828
52.200001 82.866 -11.2183
53.000000 82.842 -11.7253
53.799999 82.816 -12.2089
54.500000 82.796 -12.6300
55.200001 82.776 -13.0963
56.000000 82.745 -13.6566
57.000000 82.697 -14.3152
58.000000 82.643 -14.9109
59.000000 82.593 -15.3894
60.000000 82.559 -15.8307
60.799999 82.537 -16.2218
61.500000 82.517 -16.5847
62.200001 82.494 -16.9747
63.000000 82.457 -17.4302
64.000000 82.400 -17.9104
65.000000 82.352 -18.3036
66.000000 82.314 -18.7177
67.000000 82.275 -19.1920
68.000000 82.223 -19.6589
69.000000 82.170 -20.0436
70.000000 82.128 -20.4460
71.000000 82.082 -20.9611
72.000000 82.016 -21.4904
73.000000 81.944 -21.9086
74.000000 81.889 -22.2302
75.000000 81.857 -22.6123
76.199997 81.815 -23.1826
77.500000 81.764 -23.7095
78.800003 81.717 -24.2191
80.000000 81.664 -24.6771
81.199997 81.603 -25.0767
82.500000 81.543 -25.4836
83.800003 81.486 -25.9609
85.000000 81.430 -26.4049
86.199997 81.372 -26.8275
87.500000 81.305 -27.1926
88.500000 81.258 -27.4054
90.000000 81.198 -27.7434
91.199997 81.149 -28.0507
92.500000 81.103 -28.4255
93.800003 81.057 -28.8873
95.000000 81.007 -29.3065
96.199997 80.950 -29.6449
97.500000 80.886 -29.8807
98.800003 80.830 -30.0516
100.000000 80.780 -30.2419
101.500000 80.716 -30.5736
103.000000 80.647 -30.9952
104.400002 80.584 -31.3809
106.000000 80.520 -31.7664
107.500000 80.461 -32.0566
109.000000 80.400 -32.2844
110.599998 80.330 -32.5736
112.000000 80.256 -32.8412
113.800003 80.171 -33.1283
115.000000 80.129 -33.3246
117.199997 80.067 -33.7665
118.000000 80.043 -33.9532
120.599998 79.924 -34.5626
122.000000 79.858 -34.7256
124.099998 79.780 -35.0155
125.000000 79.744 -35.1311
126.500000 79.681 -35.2455
128.000000 79.622 -35.3022
131.500000 79.529 -35.6293
132.000000 79.517 -35.7405
134.000000 79.450 -36.2021
136.000000 79.364 -36.4659
138.000000 79.285 -36.6044
140.000000 79.211 -36.7957
143.000000 79.113 -37.0936
145.000000 79.058 -37.2462
147.500000 78.991 -37.4533
150.000000 78.905 -37.7266
152.500000 78.827 -37.9971
155.000000 78.759 -38.2217
157.500000 78.693 -38.3846
160.000000 78.611 -38.6127
162.500000 78.518 -38.7834
165.000000 78.440 -38.9113
167.500000 78.369 -39.0204
170.000000 78.298 -39.1237
172.500000 78.230 -39.2433
175.000000 78.164 -39.3803
177.500000 78.091 -39.5187
180.000000 78.011 -39.6438
182.500000 77.934 -39.7246
185.000000 77.870 -39.7900
187.500000 77.806 -39.8725
190.000000 77.734 -39.9836
192.500000 77.663 -40.0831
195.000000 77.601 -40.1430
197.500000 77.542 -40.1793
200.000000 77.484 -40.2396
203.000000 77.423 -40.3488
206.000000 77.369 -40.4212
209.000000 77.307 -40.4624
212.000000 77.236 -40.5197
214.000000 77.192 -40.5605
218.000000 77.106 -40.5998
220.000000 77.062 -40.5969
224.000000 76.976 -40.6021
227.000000 76.914 -40.6158
230.000000 76.856 -40.6248
233.000000 76.803 -40.6295
236.000000 76.754 -40.6274
240.000000 76.685 -40.6621
243.000000 76.632 -40.7081
247.000000 76.563 -40.7241
250.000000 76.512 -40.6880
254.000000 76.449 -40.6611
258.000000 76.388 -40.6318
262.000000 76.329 -40.5415
265.000000 76.285 -40.5013
269.000000 76.233 -40.4917
272.000000 76.199 -40.4751
276.000000 76.149 -40.4541
280.000000 76.104 -40.3962
285.000000 76.051 -40.3062
290.000000 75.992 -40.2269
295.000000 75.936 -40.1481
300.000000 75.886 -40.1354
304.000000 75.859 -40.0865
307.000000 75.839 -40.0452
311.000000 75.808 -40.0358
315.000000 75.779 -40.0079
320.000000 75.741 -39.8879
325.000000 75.708 -39.7458
330.000000 75.676 -39.5775
335.000000 75.644 -39.4377
340.000000 75.621 -39.4088
345.000000 75.603 -39.3969
350.000000 75.584 -39.3245
355.000000 75.560 -39.2465
360.000000 75.532 -39.1355
365.000000 75.507 -39.0182
370.000000 75.488 -38.9558
375.000000 75.475 -38.9205
382.000000 75.455 -38.8256
387.000000 75.438 -38.7493
395.000000 75.424 -38.6636
400.000000 75.421 -38.6229
406.000000 75.420 -38.5798
412.000000 75.418 -38.5334
418.000000 75.420 -38.4795
425.000000 75.424 -38.4114
431.000000 75.423 -38.3794
437.000000 75.422 -38.3768
444.000000 75.427 -38.3889
450.000000 75.439 -38.3394
455.000000 75.453 -38.2677
462.000000 75.476 -38.2825
468.000000 75.493 -38.3750
475.000000 75.510 -38.4361
482.000000 75.533 -38.4460
487.000000 75.551 -38.4594
494.000000 75.576 -38.5312
500.000000 75.602 -38.6609
508.000000 75.641 -38.8450
515.000000 75.684 -38.9469
522.000000 75.724 -39.0468
530.000000 75.760 -39.2024
538.000000 75.800 -39.4288
545.000000 75.837 -39.6638
552.000000 75.873 -39.8918
560.000000 75.921 -40.2058
570.000000 75.976 -40.5942
580.000000 76.026 -40.9265
590.000000 76.085 -41.2439
600.000000 76.157 -41.6840
608.000000 76.218 -42.1146
615.000000 76.266 -42.5515
622.000000 76.304 -43.0471
630.000000 76.340 -43.6207
640.000000 76.374 -44.3212
650.000000 76.394 -45.0574
660.000000 76.411 -45.7828
670.000000 76.422 -46.4567
680.000000 76.428 -47.1179
690.000000 76.434 -47.7499
700.000000 76.440 -48.4157
710.000000 76.444 -49.1804
720.000000 76.443 -49.9943
730.000000 76.426 -50.7532
740.000000 76.395 -51.4446
750.000000 76.355 -52.1055
762.000000 76.301 -52.8895
775.000000 76.241 -53.7144
788.000000 76.168 -54.4609
800.000000 76.092 -55.0721
812.000000 76.007 -55.5952
825.000000 75.909 -56.0378
838.000000 75.813 -56.4034
850.000000 75.726 -56.6949
862.000000 75.642 -56.8937
875.000000 75.550 -56.9978
885.000000 75.481 -57.0193
900.000000 75.382 -56.9768
912.000000 75.309 -56.8776
925.000000 75.238 -56.7063
938.000000 75.172 -56.4651
950.000000 75.122 -56.1973
962.000000 75.080 -55.9010
975.000000 75.043 -55.5442
988.000000 75.017 -55.1640
1000.000000 75.000 -54.8160
1015.000000 74.991 -54.3564
1030.000000 74.996 -53.8643
1044.000000 75.010 -53.4148
1060.000000 75.041 -52.9334
1075.000000 75.083 -52.5153
1090.000000 75.137 -52.0987
1106.000000 75.213 -51.6602
1120.000000 75.292 -51.3382
1138.000000 75.406 -50.9753
1150.000000 75.484 -50.7333
1172.000000 75.629 -50.3413
1180.000000 75.685 -50.2251
1206.000000 75.874 -49.9156
1220.000000 75.977 -49.7677
1241.000000 76.135 -49.5721
1250.000000 76.204 -49.5137
1265.000000 76.322 -49.4414
1280.000000 76.441 -49.3740
1315.000000 76.722 -49.2529
1320.000000 76.763 -49.2477
1340.000000 76.922 -49.2540
1360.000000 77.058 -49.2564
1380.000000 77.189 -49.2518
1400.000000 77.341 -49.2870
1430.000000 77.591 -49.3876
1450.000000 77.761 -49.4764
1475.000000 77.971 -49.5927
1500.000000 78.182 -49.7363
1525.000000 78.392 -49.9153
1550.000000 78.600 -50.1180
1575.000000 78.807 -50.3463
1600.000000 79.022 -50.6213
1625.000000 79.239 -50.9341
1650.000000 79.463 -51.2831
1675.000000 79.696 -51.7085
1700.000000 79.933 -52.1787
1725.000000 80.164 -52.6993
1750.000000 80.387 -53.2668
1775.000000 80.610 -53.8993
1800.000000 80.835 -54.6211
1825.000000 81.061 -55.4144
1850.000000 81.285 -56.2846
1875.000000 81.502 -57.2269
1900.000000 81.712 -58.2347
1925.000000 81.912 -59.3214
1950.000000 82.099 -60.4590
1975.000000 82.276 -61.6459
2000.000000 82.446 -62.8994
2030.000000 82.637 -64.4496
2060.000000 82.810 -66.0322
2090.000000 82.960 -67.6273
2120.000000 83.089 -69.2017
2140.000000 83.168 -70.2429
2180.000000 83.315 -72.3074
2200.000000 83.382 -73.3200
2240.000000 83.499 -75.3092
2270.000000 83.578 -76.8080
2300.000000 83.655 -78.3557
2330.000000 83.722 -79.9436
2360.000000 83.772 -81.5563
2400.000000 83.809 -83.7156
2430.000000 83.817 -85.3055
2470.000000 83.799 -87.3470
2500.000000 83.766 -88.7953
2540.000000 83.702 -90.6044
2580.000000 83.628 -92.3010
2620.000000 83.553 -93.8899
2650.000000 83.494 -95.0125
2690.000000 83.406 -96.4214
2720.000000 83.332 -97.4113
2760.000000 83.223 -98.6526
2800.000000 83.111 -99.8201
2850.000000 82.968 -101.1707
2900.000000 82.819 -102.4099
2950.000000 82.664 -103.5358
3000.000000 82.515 -104.5915
3040.000000 82.398 -105.3763
3070.000000 82.309 -105.9258
3110.000000 82.190 -106.6181
3150.000000 82.071 -107.2589
3200.000000 81.914 -107.9681
3250.000000 81.750 -108.5757
3300.000000 81.598 -109.1108
3350.000000 81.462 -109.5806
3400.000000 81.332 -109.9713
3450.000000 81.201 -110.2920
3500.000000 81.070 -110.5392
3550.000000 80.948 -110.7485
3600.000000 80.835 -110.9293
3650.000000 80.726 -111.0822
3700.000000 80.623 -111.2420
3750.000000 80.523 -111.4172
3820.000000 80.374 -111.6832
3870.000000 80.255 -111.8669
3950.000000 80.041 -112.0372
4000.000000 79.898 -111.9982
4060.000000 79.717 -111.7541
4120.000000 79.538 -111.3087
4180.000000 79.369 -110.6818
4250.000000 79.198 -109.7066
4310.000000 79.084 -108.6384
4370.000000 79.007 -107.3367
4440.000000 78.996 -105.6559
4500.000000 79.076 -104.3096
4550.000000 79.203 -103.4209
4620.000000 79.448 -102.7284
4680.000000 79.695 -102.7313
