* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -18.4 dBFS, measurement signal peak level -14.7 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -11.6 dBFS using an acoustic timing reference
* Dated: Sep 9, 2024 8:58:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0689 ms (-24 mm, -0.93 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.5 ppm
* Measurement: Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 81.561, -40.3148
1.015000, 81.992, -41.3957
1.030000, 82.413, -42.4765
1.044000, 82.795, -43.4893
1.060000, 83.218, -44.6555
1.075000, 83.599, -45.7605
1.090000, 83.964, -46.8769
1.106000, 84.339, -48.0649
1.120000, 84.657, -49.0732
1.138000, 85.057, -50.3060
1.150000, 85.318, -51.0875
1.172000, 85.785, -52.4449
1.180000, 85.951, -52.9190
1.206000, 86.477, -54.3788
1.220000, 86.753, -55.1185
1.241000, 87.154, -56.1746
1.250000, 87.322, -56.6097
1.265000, 87.597, -57.3140
1.280000, 87.865, -57.9951
1.315000, 88.465, -59.5111
1.320000, 88.548, -59.7208
1.340000, 88.871, -60.5464
1.360000, 89.183, -61.3540
1.380000, 89.484, -62.1870
1.400000, 89.773, -63.0276
1.430000, 90.184, -64.2852
1.450000, 90.444, -65.1262
1.475000, 90.750, -66.1727
1.500000, 91.028, -67.1827
1.525000, 91.278, -68.1414
1.550000, 91.502, -69.0505
1.575000, 91.704, -69.9312
1.600000, 91.885, -70.8024
1.625000, 92.051, -71.6386
1.650000, 92.203, -72.4456
1.675000, 92.345, -73.2287
1.700000, 92.480, -73.9934
1.725000, 92.611, -74.7448
1.750000, 92.741, -75.4875
1.775000, 92.873, -76.2403
1.800000, 93.011, -77.0207
1.825000, 93.156, -77.8028
1.850000, 93.306, -78.5820
1.875000, 93.455, -79.3472
1.900000, 93.600, -80.0931
1.925000, 93.742, -80.8190
1.950000, 93.882, -81.5244
1.975000, 94.018, -82.2214
2.000000, 94.151, -82.9216
2.030000, 94.308, -83.7391
2.060000, 94.462, -84.5362
2.090000, 94.612, -85.3166
2.120000, 94.760, -86.0839
2.140000, 94.857, -86.5903
2.180000, 95.047, -87.6154
2.200000, 95.141, -88.1443
2.240000, 95.324, -89.1946
2.270000, 95.458, -89.9708
2.300000, 95.589, -90.7337
2.330000, 95.716, -91.4816
2.360000, 95.840, -92.2140
2.400000, 96.002, -93.2038
2.430000, 96.120, -93.9335
2.470000, 96.274, -94.8844
2.500000, 96.387, -95.5830
2.540000, 96.535, -96.4986
2.580000, 96.680, -97.4171
2.620000, 96.820, -98.3596
2.650000, 96.923, -99.0602
2.690000, 97.056, -99.9823
2.720000, 97.154, -100.6625
2.760000, 97.280, -101.5500
2.800000, 97.403, -102.4519
2.850000, 97.552, -103.5528
2.900000, 97.696, -104.6196
2.950000, 97.835, -105.6613
