* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.910. Timing signal peak level -9.7 dBFS, measurement signal peak level -8.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 16, 2023 1:05:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0710 ms (-24 mm, -0.96 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: 7Hz Timeless S2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 93.111 -134.7723
20.299999 93.196 -135.0900
20.600000 93.284 -135.5003
20.900000 93.365 -136.0062
21.200001 93.433 -136.5763
21.400000 93.469 -136.9614
21.799999 93.525 -137.6947
22.000000 93.548 -138.0252
22.400000 93.595 -138.6101
22.700001 93.637 -139.0180
23.000000 93.687 -139.4501
23.299999 93.740 -139.9424
23.600000 93.790 -140.5011
24.000000 93.845 -141.3179
24.299999 93.876 -141.9311
24.700001 93.904 -142.6808
25.000000 93.925 -143.1691
25.400000 93.961 -143.7386
25.799999 94.010 -144.2781
26.200001 94.070 -144.8479
26.500000 94.117 -145.3052
26.900000 94.176 -145.9371
27.200001 94.218 -146.4078
27.600000 94.271 -147.0163
28.000000 94.322 -147.6081
28.500000 94.378 -148.3391
29.000000 94.420 -149.0279
29.500000 94.448 -149.5962
30.000000 94.480 -150.0173
30.400000 94.518 -150.3163
30.700001 94.553 -150.5745
31.100000 94.599 -151.0135
31.500000 94.632 -151.5461
32.000000 94.642 -152.2123
32.500000 94.630 -152.6968
33.000000 94.632 -152.9594
33.500000 94.672 -153.1772
34.000000 94.744 -153.6019
34.500000 94.808 -154.3172
35.000000 94.834 -155.1679
35.500000 94.820 -155.8831
36.000000 94.800 -156.3142
36.500000 94.805 -156.5350
37.000000 94.845 -156.7475
37.500000 94.901 -157.0747
38.200001 94.979 -157.6640
38.700001 95.036 -158.1118
39.500000 95.135 -159.0736
40.000000 95.169 -159.9008
40.599998 95.149 -160.8808
41.200001 95.088 -161.4860
41.799999 95.048 -161.7171
42.500000 95.061 -161.9588
43.099998 95.086 -162.3709
43.700001 95.097 -162.8404
44.400002 95.105 -163.3058
45.000000 95.125 -163.6952
45.500000 95.145 -164.0709
46.200001 95.166 -164.6394
46.799999 95.179 -165.1071
47.500000 95.195 -165.6284
48.200001 95.210 -166.1460
48.700001 95.218 -166.5035
49.400002 95.228 -166.9693
50.000000 95.240 -167.3534
50.799999 95.255 -167.8961
51.500000 95.260 -168.3994
52.200001 95.255 -168.8760
53.000000 95.246 -169.3535
53.799999 95.239 -169.7950
54.500000 95.235 -170.1729
55.200001 95.233 -170.5407
56.000000 95.239 -170.9883
57.000000 95.241 -171.6437
58.000000 95.227 -172.2566
59.000000 95.222 -172.7940
60.000000 95.220 -173.3842
60.799999 95.213 -173.8261
61.500000 95.211 -174.2002
62.200001 95.207 -174.6071
63.000000 95.191 -175.0442
64.000000 95.169 -175.4419
65.000000 95.166 -175.8269
66.000000 95.158 -176.2715
67.000000 95.143 -176.6898
68.000000 95.126 -177.0858
69.000000 95.110 -177.4850
70.000000 95.092 -177.9052
71.000000 95.070 -178.3304
72.000000 95.049 -178.7506
73.000000 95.028 -179.1854
74.000000 95.005 -179.6044
75.000000 94.984 -179.9705
76.199997 94.969 179.6205
77.500000 94.953 179.1610
78.800003 94.928 178.7179
80.000000 94.896 178.3609
81.199997 94.867 178.0496
82.500000 94.842 177.6500
83.800003 94.810 177.2058
85.000000 94.780 176.8206
86.199997 94.754 176.4637
87.500000 94.726 176.1084
88.500000 94.707 175.8579
90.000000 94.677 175.4688
91.199997 94.647 175.1428
92.500000 94.615 174.8193
93.800003 94.592 174.4866
95.000000 94.569 174.1435
96.199997 94.540 173.8569
97.500000 94.509 173.5861
98.800003 94.467 173.3306
100.000000 94.427 173.1558
101.500000 94.391 172.8620
103.000000 94.350 172.4330
104.400002 94.307 172.0785
106.000000 94.272 171.7909
107.500000 94.246 171.5132
109.000000 94.205 171.2618
110.599998 94.158 171.0478
112.000000 94.120 170.8244
113.800003 94.078 170.4651
115.000000 94.043 170.1527
117.199997 93.960 169.7583
118.000000 93.934 169.6806
120.599998 93.896 169.4377
122.000000 93.883 169.1548
124.099998 93.822 168.8241
125.000000 93.789 168.7617
126.500000 93.731 168.7256
128.000000 93.686 168.7951
131.500000 93.700 168.7081
132.000000 93.698 168.6115
134.000000 93.632 168.3754
136.000000 93.542 168.4207
138.000000 93.469 168.1783
140.000000 93.406 167.6783
143.000000 93.367 167.1494
145.000000 93.349 166.9979
147.500000 93.283 166.8525
150.000000 93.202 166.8419
152.500000 93.170 166.7873
155.000000 93.130 166.6690
157.500000 93.073 166.5143
160.000000 92.999 166.2438
162.500000 92.928 166.0557
165.000000 92.876 166.0161
167.500000 92.826 166.0719
170.000000 92.761 166.1095
172.500000 92.677 166.0141
175.000000 92.593 165.8058
177.500000 92.543 165.6072
180.000000 92.526 165.4673
182.500000 92.499 165.4573
185.000000 92.447 165.5865
187.500000 92.382 165.6734
190.000000 92.322 165.6469
192.500000 92.276 165.5931
195.000000 92.234 165.5714
197.500000 92.181 165.6230
200.000000 92.132 165.7519
203.000000 92.094 165.8795
206.000000 92.055 165.8895
209.000000 91.996 165.8797
212.000000 91.929 165.8535
214.000000 91.886 165.8290
218.000000 91.796 165.8069
220.000000 91.749 165.9107
224.000000 91.685 166.2327
227.000000 91.645 166.3607
230.000000 91.601 166.3491
233.000000 91.555 166.3098
236.000000 91.509 166.3725
240.000000 91.437 166.5718
243.000000 91.380 166.7188
247.000000 91.312 166.8654
250.000000 91.266 166.9578
254.000000 91.208 167.1309
258.000000 91.151 167.3293
262.000000 91.096 167.4874
265.000000 91.052 167.6253
269.000000 90.993 167.8381
272.000000 90.952 167.9840
276.000000 90.905 168.1656
280.000000 90.860 168.3650
285.000000 90.800 168.6548
290.000000 90.743 168.9756
295.000000 90.691 169.2624
300.000000 90.637 169.5408
304.000000 90.582 169.8171
307.000000 90.545 170.0790
311.000000 90.505 170.4511
315.000000 90.479 170.6653
320.000000 90.458 170.8542
325.000000 90.404 171.2535
330.000000 90.342 171.6131
335.000000 90.295 171.8551
340.000000 90.254 172.1067
345.000000 90.209 172.3863
350.000000 90.171 172.6821
355.000000 90.139 173.0510
360.000000 90.098 173.4418
365.000000 90.050 173.7784
370.000000 90.008 174.0854
375.000000 89.971 174.4243
382.000000 89.918 174.9520
387.000000 89.878 175.3130
395.000000 89.820 175.8609
400.000000 89.788 176.2134
406.000000 89.748 176.6499
412.000000 89.709 177.0957
418.000000 89.672 177.5170
425.000000 89.634 178.0219
431.000000 89.609 178.4774
437.000000 89.580 178.9129
444.000000 89.538 179.4163
450.000000 89.502 179.8545
455.000000 89.475 -179.7717
462.000000 89.442 -179.2295
468.000000 89.416 -178.7590
475.000000 89.382 -178.2226
482.000000 89.348 -177.7219
487.000000 89.330 -177.3681
494.000000 89.308 -176.8441
500.000000 89.288 -176.3989
508.000000 89.259 -175.8293
515.000000 89.241 -175.3083
522.000000 89.224 -174.7826
530.000000 89.205 -174.1900
538.000000 89.189 -173.5842
545.000000 89.178 -173.0534
552.000000 89.166 -172.5292
560.000000 89.151 -171.9276
570.000000 89.137 -171.1628
580.000000 89.127 -170.4047
590.000000 89.115 -169.6791
600.000000 89.104 -168.8797
608.000000 89.096 -168.2369
615.000000 89.090 -167.7031
622.000000 89.084 -167.1832
630.000000 89.077 -166.5819
640.000000 89.070 -165.7943
650.000000 89.067 -165.0000
660.000000 89.071 -164.2435
670.000000 89.077 -163.5220
680.000000 89.081 -162.7651
690.000000 89.087 -161.9712
700.000000 89.091 -161.1435
710.000000 89.098 -160.3824
720.000000 89.120 -159.6494
730.000000 89.138 -158.8463
740.000000 89.154 -158.0680
750.000000 89.174 -157.2894
762.000000 89.204 -156.3388
775.000000 89.242 -155.3436
788.000000 89.282 -154.3707
800.000000 89.317 -153.4267
812.000000 89.352 -152.4678
825.000000 89.399 -151.5006
838.000000 89.461 -150.5829
850.000000 89.522 -149.7037
862.000000 89.580 -148.7923
875.000000 89.643 -147.8445
885.000000 89.695 -147.1480
900.000000 89.781 -146.1141
912.000000 89.852 -145.2922
925.000000 89.932 -144.4359
938.000000 90.016 -143.6142
950.000000 90.095 -142.8757
962.000000 90.174 -142.1470
975.000000 90.261 -141.3875
988.000000 90.350 -140.6718
1000.000000 90.435 -140.0364
1015.000000 90.542 -139.2731
1030.000000 90.648 -138.5406
1044.000000 90.748 -137.8873
1060.000000 90.862 -137.1920
1075.000000 90.973 -136.5788
1090.000000 91.089 -135.9949
1106.000000 91.219 -135.4025
1120.000000 91.332 -134.8985
1138.000000 91.471 -134.2812
1150.000000 91.563 -133.9095
1172.000000 91.737 -133.2573
1180.000000 91.799 -133.0161
1206.000000 91.996 -132.2574
1220.000000 92.101 -131.8666
1241.000000 92.259 -131.2773
1250.000000 92.327 -131.0329
1265.000000 92.442 -130.6392
1280.000000 92.558 -130.2482
1315.000000 92.820 -129.3307
1320.000000 92.855 -129.1971
1340.000000 92.992 -128.6562
1360.000000 93.111 -128.1184
1380.000000 93.230 -127.5841
1400.000000 93.366 -127.0382
1430.000000 93.581 -126.2172
1450.000000 93.726 -125.6601
1475.000000 93.911 -124.9355
1500.000000 94.109 -124.2411
1525.000000 94.313 -123.5449
1550.000000 94.518 -122.8288
1575.000000 94.735 -122.1549
1600.000000 94.968 -121.5283
1625.000000 95.216 -120.9559
1650.000000 95.478 -120.4966
1675.000000 95.750 -120.1768
1700.000000 96.025 -120.0092
1725.000000 96.298 -120.0057
1750.000000 96.563 -120.1510
1775.000000 96.818 -120.4287
1800.000000 97.059 -120.8018
1825.000000 97.282 -121.2181
1850.000000 97.494 -121.6763
1875.000000 97.699 -122.1688
1900.000000 97.898 -122.6725
1925.000000 98.091 -123.1947
1950.000000 98.279 -123.7415
1975.000000 98.463 -124.3139
2000.000000 98.642 -124.9240
2030.000000 98.856 -125.7147
2060.000000 99.068 -126.5840
2090.000000 99.273 -127.5356
2120.000000 99.467 -128.5575
2140.000000 99.590 -129.2847
2180.000000 99.823 -130.8526
2200.000000 99.930 -131.6853
2240.000000 100.123 -133.4431
2270.000000 100.247 -134.8252
2300.000000 100.353 -136.2586
2330.000000 100.440 -137.7355
2360.000000 100.508 -139.2351
2400.000000 100.568 -141.2556
2430.000000 100.594 -142.7771
2470.000000 100.599 -144.7772
2500.000000 100.579 -146.2403
2540.000000 100.524 -148.1351
2580.000000 100.444 -149.9591
2620.000000 100.342 -151.7271
2650.000000 100.247 -153.0242
2690.000000 100.090 -154.7348
2720.000000 99.942 -155.9975
2760.000000 99.688 -157.5589
2800.000000 99.357 -158.7327
2850.000000 98.875 -159.1241
2900.000000 98.454 -158.1403
2950.000000 98.216 -156.5544
3000.000000 98.126 -155.2737
3040.000000 98.094 -154.6105
3070.000000 98.076 -154.2427
3110.000000 98.059 -153.8381
3150.000000 98.060 -153.5296
3200.000000 98.089 -153.4129
3250.000000 98.121 -153.7367
3300.000000 98.121 -154.4725
3350.000000 98.065 -155.5232
3400.000000 97.936 -156.7738
3450.000000 97.713 -157.9973
3500.000000 97.387 -158.8552
3550.000000 96.983 -158.9683
3600.000000 96.556 -158.1151
3650.000000 96.183 -156.3918
3700.000000 95.911 -154.1203
3750.000000 95.750 -151.6623
3820.000000 95.676 -148.3827
3870.000000 95.693 -146.3017
3950.000000 95.790 -143.4775
4000.000000 95.875 -141.9968
4060.000000 95.993 -140.4626
4120.000000 96.121 -139.1599
4180.000000 96.254 -138.0609
4250.000000 96.410 -136.9844
4310.000000 96.542 -136.1930
4370.000000 96.676 -135.5276
4440.000000 96.839 -134.9665
4500.000000 96.985 -134.7280
4550.000000 97.109 -134.7399
4620.000000 97.271 -135.1299
4680.000000 97.376 -135.8467
4750.000000 97.415 -137.0477
4820.000000 97.324 -138.1817
4870.000000 97.203 -138.5302
4940.000000 97.078 -138.2594
