* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -22.2 dBFS, measurement signal peak level -15.2 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -11.3 dBFS using an acoustic timing reference
* Dated: Sep 9, 2024 12:03:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0709 ms (-24 mm, -0.96 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -26.7 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 80.270, -35.9883
1.015000, 80.695, -37.1122
1.030000, 81.110, -38.2344
1.044000, 81.487, -39.2844
1.060000, 81.904, -40.4919
1.075000, 82.280, -41.6344
1.090000, 82.640, -42.7875
1.106000, 83.010, -44.0141
1.120000, 83.324, -45.0559
1.138000, 83.720, -46.3315
1.150000, 83.978, -47.1410
1.172000, 84.442, -48.5488
1.180000, 84.607, -49.0407
1.206000, 85.131, -50.5567
1.220000, 85.405, -51.3253
1.241000, 85.805, -52.4231
1.250000, 85.973, -52.8754
1.265000, 86.248, -53.6076
1.280000, 86.516, -54.3155
1.315000, 87.117, -55.8901
1.320000, 87.200, -56.1078
1.340000, 87.524, -56.9642
1.360000, 87.837, -57.8009
1.380000, 88.138, -58.6618
1.400000, 88.428, -59.5288
1.430000, 88.841, -60.8237
1.450000, 89.101, -61.6880
1.475000, 89.407, -62.7621
1.500000, 89.685, -63.7979
1.525000, 89.936, -64.7805
1.550000, 90.161, -65.7117
1.575000, 90.363, -66.6131
1.600000, 90.546, -67.5037
1.625000, 90.712, -68.3583
1.650000, 90.866, -69.1827
1.675000, 91.009, -69.9826
1.700000, 91.145, -70.7633
1.725000, 91.278, -71.5303
1.750000, 91.410, -72.2883
1.775000, 91.544, -73.0561
1.800000, 91.683, -73.8513
1.825000, 91.830, -74.6480
1.850000, 91.981, -75.4413
1.875000, 92.131, -76.2197
1.900000, 92.278, -76.9780
1.925000, 92.422, -77.7153
1.950000, 92.563, -78.4316
1.975000, 92.701, -79.1388
2.000000, 92.837, -79.8487
2.030000, 92.996, -80.6775
2.060000, 93.151, -81.4854
2.090000, 93.304, -82.2764
2.120000, 93.454, -83.0543
2.140000, 93.552, -83.5678
2.180000, 93.746, -84.6071
2.200000, 93.841, -85.1432
2.240000, 94.027, -86.2072
2.270000, 94.163, -86.9930
2.300000, 94.296, -87.7649
2.330000, 94.425, -88.5214
2.360000, 94.552, -89.2618
2.400000, 94.717, -90.2619
2.430000, 94.837, -90.9991
2.470000, 94.994, -91.9599
2.500000, 95.110, -92.6659
2.540000, 95.261, -93.5916
2.580000, 95.408, -94.5204
2.620000, 95.552, -95.4731
2.650000, 95.656, -96.1810
2.690000, 95.792, -97.1125
2.720000, 95.892, -97.7993
2.760000, 96.021, -98.6955
2.800000, 96.146, -99.6057
2.850000, 96.299, -100.7167
2.900000, 96.446, -101.7934
2.950000, 96.588, -102.8450
3.000000, 96.725, -103.9151
3.040000, 96.830, -104.7742
3.070000, 96.907, -105.4115
3.110000, 97.007, -106.2480
3.150000, 97.103, -107.0666
3.200000, 97.220, -108.0904
3.250000, 97.332, -109.0938
3.300000, 97.441, -110.0657
3.350000, 97.545, -111.0208
3.400000, 97.644, -111.9934
3.450000, 97.739, -112.9632
3.500000, 97.830, -113.9120
3.550000, 97.918, -114.8329
3.600000, 98.002, -115.7478
3.650000, 98.083, -116.6410
3.700000, 98.161, -117.5107
3.750000, 98.236, -118.3696
3.820000, 98.335, -119.5800
3.870000, 98.402, -120.4289
3.950000, 98.503, -121.7345
4.000000, 98.564, -122.5361
4.060000, 98.633, -123.4767
4.120000, 98.699, -124.3963
4.180000, 98.761, -125.3041
4.250000, 98.829, -126.3614
4.310000, 98.884, -127.2328
4.370000, 98.937, -128.0718
4.440000, 98.996, -129.0398
4.500000, 99.043, -129.8484
4.550000, 99.081, -130.5074
4.620000, 99.131, -131.4275
4.680000, 99.172, -132.1933
4.750000, 99.217, -133.0494
4.820000, 99.261, -133.8933
4.870000, 99.291, -134.4849
4.940000, 99.331, -135.2915
5.000000, 99.364, -135.9758
5.080000, 99.406, -136.8664
