* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -22.7 dBFS, measurement signal peak level -14.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 23, 2024 4:18:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0689 ms (-24 mm, -0.93 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: AFUL Explorer S2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 82.240, -39.8012
1.015000, 82.551, -40.8804
1.030000, 82.858, -41.9560
1.044000, 83.142, -42.9601
1.060000, 83.462, -44.1111
1.075000, 83.757, -45.1967
1.090000, 84.048, -46.2890
1.106000, 84.355, -47.4509
1.120000, 84.625, -48.4432
1.138000, 84.974, -49.6683
1.150000, 85.209, -50.4519
1.172000, 85.642, -51.8275
1.180000, 85.800, -52.3133
1.206000, 86.313, -53.8188
1.220000, 86.589, -54.5861
1.241000, 86.998, -55.6854
1.250000, 87.173, -56.1389
1.265000, 87.460, -56.8735
1.280000, 87.744, -57.5835
1.315000, 88.388, -59.1585
1.320000, 88.477, -59.3754
1.340000, 88.828, -60.2265
1.360000, 89.165, -61.0535
1.380000, 89.488, -61.9003
1.400000, 89.794, -62.7481
1.430000, 90.219, -64.0033
1.450000, 90.477, -64.8339
1.475000, 90.768, -65.8600
1.500000, 91.024, -66.8473
1.525000, 91.245, -67.7836
1.550000, 91.437, -68.6696
1.575000, 91.603, -69.5306
1.600000, 91.747, -70.3880
1.625000, 91.872, -71.2076
1.650000, 91.982, -71.9942
1.675000, 92.082, -72.7529
1.700000, 92.175, -73.4886
1.725000, 92.265, -74.2060
1.750000, 92.357, -74.9096
1.775000, 92.453, -75.6208
1.800000, 92.557, -76.3597
1.825000, 92.672, -77.0948
1.850000, 92.796, -77.8229
1.875000, 92.920, -78.5346
1.900000, 93.043, -79.2259
1.925000, 93.164, -79.8960
1.950000, 93.284, -80.5447
1.975000, 93.402, -81.1895
2.000000, 93.519, -81.8476
2.030000, 93.656, -82.6125
2.060000, 93.792, -83.3550
2.090000, 93.925, -84.0784
2.120000, 94.056, -84.7861
2.140000, 94.142, -85.2510
2.180000, 94.311, -86.1898
2.200000, 94.394, -86.6742
2.240000, 94.558, -87.6310
2.270000, 94.677, -88.3342
2.300000, 94.794, -89.0225
2.330000, 94.909, -89.6947
2.360000, 95.022, -90.3509
2.400000, 95.170, -91.2487
2.430000, 95.278, -91.9107
2.470000, 95.419, -92.7710
2.500000, 95.523, -93.4013
2.540000, 95.660, -94.2250
2.580000, 95.794, -95.0528
2.620000, 95.924, -95.9077
2.650000, 96.020, -96.5398
2.690000, 96.145, -97.3689
2.720000, 96.237, -97.9786
2.760000, 96.356, -98.7725
2.800000, 96.473, -99.5856
2.850000, 96.615, -100.5790
2.900000, 96.753, -101.5419
2.950000, 96.886, -102.4816
3.000000, 97.015, -103.4405
3.040000, 97.115, -104.2099
3.070000, 97.188, -104.7795
3.110000, 97.283, -105.5265
3.150000, 97.375, -106.2577
3.200000, 97.487, -107.1782
3.250000, 97.596, -108.0854
3.300000, 97.703, -108.9678
3.350000, 97.806, -109.8349
3.400000, 97.905, -110.7264
3.450000, 98.001, -111.6188
3.500000, 98.094, -112.4931
3.550000, 98.184, -113.3446
3.600000, 98.271, -114.1976
3.650000, 98.355, -115.0374
3.700000, 98.436, -115.8603
3.750000, 98.513, -116.6754
3.820000, 98.617, -117.8364
3.870000, 98.688, -118.6562
3.950000, 98.796, -119.9267
4.000000, 98.860, -120.7133
4.060000, 98.935, -121.6449
4.120000, 99.007, -122.5638
4.180000, 99.075, -123.4782
4.250000, 99.150, -124.5552
4.310000, 99.212, -125.4496
4.370000, 99.270, -126.3185
4.440000, 99.334, -127.3363
4.500000, 99.385, -128.1967
4.550000, 99.425, -128.9038
4.620000, 99.477, -129.9001
4.680000, 99.520, -130.7343
4.750000, 99.566, -131.6717
4.820000, 99.610, -132.6021
4.870000, 99.639, -133.2599
4.940000, 99.677, -134.1628
5.000000, 99.707, -134.9308
5.080000, 99.743, -135.9294
5.150000, 99.773, -136.7652
5.220000, 99.799, -137.5975
5.300000, 99.825, -138.5306
5.380000, 99.849, -139.4329
5.450000, 99.867, -140.2086
5.520000, 99.884, -140.9500
5.600000, 99.902, -141.7755
5.700000, 99.921, -142.7828
5.800000, 99.938, -143.7461
5.900000, 99.954, -144.6733
6.000000, 99.968, -145.5596
6.080000, 99.979, -146.2542
6.150000, 99.988, -146.8368
6.220000, 99.997, -147.4134
6.300000, 100.008, -148.0502
6.400000, 100.021, -148.8195
6.500000, 100.035, -149.5727
6.600000, 100.050, -150.3018
6.700000, 100.065, -151.0188
6.800000, 100.081, -151.7157
6.900000, 100.097, -152.4048
7.000000, 100.113, -153.0792
7.100000, 100.130, -153.7485
7.200000, 100.147, -154.4059
7.300000, 100.162, -155.0594
7.400000, 100.177, -155.7040
7.500000, 100.190, -156.3501
7.620000, 100.205, -157.1101
7.750000, 100.218, -157.9129
7.880000, 100.228, -158.7043
8.000000, 100.234, -159.4101
8.120000, 100.239, -160.0948
8.250000, 100.241, -160.8129
8.380000, 100.242, -161.5004
8.500000, 100.242, -162.1100
8.620000, 100.240, -162.6924
8.750000, 100.239, -163.2962
8.850000, 100.238, -163.7425
9.000000, 100.238, -164.3787
9.120000, 100.239, -164.8712
9.250000, 100.242, -165.3928
9.380000, 100.246, -165.8994
9.500000, 100.250, -166.3642
9.620000, 100.256, -166.8228
9.750000, 100.262, -167.3158
9.880000, 100.260, -167.8119
10.000000, 100.248, -168.2652
10.150000, 100.223, -168.8636
10.300000, 100.188, -169.4460
10.440000, 100.148, -169.9747
10.600000, 100.098, -170.5560
10.750000, 100.049, -171.0743
10.900000, 100.001, -171.5661
11.060000, 99.950, -172.0844
11.200000, 99.906, -172.5490
11.380000, 99.851, -173.1105
11.500000, 99.813, -173.4633
