* Measurement data measured by REW V5.31.1
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -22.3 dBFS, measurement signal peak level -15.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 16, 2024 8:19:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0708 ms (-24 mm, -0.96 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: AFUL Explorer W1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 81.911, -45.5880
1.015000, 82.240, -46.4336
1.030000, 82.565, -47.2829
1.044000, 82.865, -48.0818
1.060000, 83.202, -49.0048
1.075000, 83.512, -49.8819
1.090000, 83.817, -50.7703
1.106000, 84.139, -51.7178
1.120000, 84.419, -52.5235
1.138000, 84.780, -53.5107
1.150000, 85.021, -54.1382
1.172000, 85.463, -55.2345
1.180000, 85.622, -55.6216
1.206000, 86.139, -56.8181
1.220000, 86.415, -57.4272
1.241000, 86.823, -58.3005
1.250000, 86.996, -58.6615
1.265000, 87.281, -59.2473
1.280000, 87.561, -59.8156
1.315000, 88.195, -61.0862
1.320000, 88.282, -61.2626
1.340000, 88.626, -61.9582
1.360000, 88.956, -62.6402
1.380000, 89.272, -63.3520
1.400000, 89.572, -64.0740
1.430000, 89.990, -65.1562
1.450000, 90.245, -65.8808
1.475000, 90.533, -66.7823
1.500000, 90.787, -67.6500
1.525000, 91.006, -68.4704
1.550000, 91.195, -69.2455
1.575000, 91.358, -70.0010
1.600000, 91.499, -70.7592
1.625000, 91.621, -71.4860
1.650000, 91.729, -72.1866
1.675000, 91.826, -72.8660
1.700000, 91.916, -73.5293
1.725000, 92.003, -74.1810
1.750000, 92.092, -74.8254
1.775000, 92.186, -75.4839
1.800000, 92.288, -76.1764
1.825000, 92.402, -76.8706
1.850000, 92.524, -77.5617
1.875000, 92.648, -78.2383
1.900000, 92.770, -78.8960
1.925000, 92.891, -79.5340
1.950000, 93.010, -80.1525
1.975000, 93.128, -80.7693
2.000000, 93.245, -81.4018
2.030000, 93.382, -82.1394
2.060000, 93.518, -82.8587
2.090000, 93.652, -83.5631
2.120000, 93.783, -84.2564
2.140000, 93.869, -84.7144
2.180000, 94.040, -85.6456
2.200000, 94.123, -86.1292
2.240000, 94.287, -87.0882
2.270000, 94.408, -87.7951
2.300000, 94.526, -88.4885
2.330000, 94.642, -89.1673
2.360000, 94.756, -89.8313
2.400000, 94.905, -90.7418
2.430000, 95.015, -91.4149
2.470000, 95.158, -92.2926
2.500000, 95.263, -92.9381
2.540000, 95.401, -93.7852
2.580000, 95.536, -94.6406
2.620000, 95.668, -95.5270
2.650000, 95.764, -96.1849
2.690000, 95.890, -97.0500
2.720000, 95.982, -97.6877
2.760000, 96.103, -98.5194
2.800000, 96.220, -99.3704
2.850000, 96.362, -100.4110
2.900000, 96.500, -101.4210
2.950000, 96.632, -102.4088
3.000000, 96.760, -103.4200
3.040000, 96.858, -104.2338
3.070000, 96.930, -104.8373
3.110000, 97.023, -105.6297
3.150000, 97.114, -106.4053
3.200000, 97.223, -107.3787
