* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -21.5 dBFS, measurement signal peak level -15.1 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -11.3 dBFS using an acoustic timing reference
* Dated: Sep 9, 2024 12:18:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0682 ms (-23 mm, -0.92 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -26.1 ppm
* Measurement: white L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 80.459, -36.5027
1.015000, 80.898, -37.5868
1.030000, 81.325, -38.6710
1.044000, 81.713, -39.6873
1.060000, 82.141, -40.8582
1.075000, 82.526, -41.9682
1.090000, 82.894, -43.0903
1.106000, 83.270, -44.2857
1.120000, 83.589, -45.3016
1.138000, 83.990, -46.5458
1.150000, 84.251, -47.3358
1.172000, 84.718, -48.7101
1.180000, 84.884, -49.1906
1.206000, 85.409, -50.6721
1.220000, 85.684, -51.4238
1.241000, 86.084, -52.4981
1.250000, 86.251, -52.9409
1.265000, 86.525, -53.6582
1.280000, 86.791, -54.3521
1.315000, 87.387, -55.8972
1.320000, 87.469, -56.1110
1.340000, 87.791, -56.9527
1.360000, 88.101, -57.7758
1.380000, 88.399, -58.6241
1.400000, 88.686, -59.4793
1.430000, 89.095, -60.7582
1.450000, 89.354, -61.6128
1.475000, 89.658, -62.6760
1.500000, 89.936, -63.7025
1.525000, 90.185, -64.6776
1.550000, 90.408, -65.6028
1.575000, 90.608, -66.4994
1.600000, 90.789, -67.3862
1.625000, 90.954, -68.2378
1.650000, 91.106, -69.0599
1.675000, 91.247, -69.8580
1.700000, 91.381, -70.6375
1.725000, 91.512, -71.4035
1.750000, 91.642, -72.1608
1.775000, 91.774, -72.9282
1.800000, 91.911, -73.7231
1.825000, 92.056, -74.5198
1.850000, 92.206, -75.3136
1.875000, 92.354, -76.0931
1.900000, 92.500, -76.8533
1.925000, 92.642, -77.5931
1.950000, 92.782, -78.3122
1.975000, 92.918, -79.0226
2.000000, 93.052, -79.7359
2.030000, 93.209, -80.5689
2.060000, 93.363, -81.3812
2.090000, 93.514, -82.1765
2.120000, 93.662, -82.9586
2.140000, 93.759, -83.4748
2.180000, 93.950, -84.5195
2.200000, 94.044, -85.0582
2.240000, 94.228, -86.1280
2.270000, 94.363, -86.9186
2.300000, 94.494, -87.6956
2.330000, 94.622, -88.4575
2.360000, 94.747, -89.2035
2.400000, 94.909, -90.2110
2.430000, 95.028, -90.9537
2.470000, 95.184, -91.9216
2.500000, 95.297, -92.6327
2.540000, 95.446, -93.5649
2.580000, 95.592, -94.4999
2.620000, 95.734, -95.4590
2.650000, 95.837, -96.1720
2.690000, 95.971, -97.1105
2.720000, 96.069, -97.8026
2.760000, 96.197, -98.7058
2.800000, 96.320, -99.6229
2.850000, 96.470, -100.7422
2.900000, 96.616, -101.8267
2.950000, 96.756, -102.8858
3.000000, 96.891, -103.9632
3.040000, 96.995, -104.8284
3.070000, 97.070, -105.4702
3.110000, 97.168, -106.3129
3.150000, 97.263, -107.1375
3.200000, 97.378, -108.1687
3.250000, 97.489, -109.1790
3.300000, 97.596, -110.1576
3.350000, 97.698, -111.1192
3.400000, 97.796, -112.0983
3.450000, 97.889, -113.0745
3.500000, 97.978, -114.0298
3.550000, 98.064, -114.9570
3.600000, 98.147, -115.8782
3.650000, 98.227, -116.7774
3.700000, 98.303, -117.6529
3.750000, 98.377, -118.5175
3.820000, 98.474, -119.7361
3.870000, 98.539, -120.5908
3.950000, 98.639, -121.9055
4.000000, 98.698, -122.7127
4.060000, 98.766, -123.6600
4.120000, 98.830, -124.5863
4.180000, 98.891, -125.5008
4.250000, 98.957, -126.5659
4.310000, 99.011, -127.4441
4.370000, 99.063, -128.2898
4.440000, 99.120, -129.2657
4.500000, 99.166, -130.0811
4.550000, 99.203, -130.7459
4.620000, 99.252, -131.6741
4.680000, 99.291, -132.4467
4.750000, 99.336, -133.3108
4.820000, 99.378, -134.1626
4.870000, 99.407, -134.7601
4.940000, 99.446, -135.5747
5.000000, 99.477, -136.2659
5.080000, 99.518, -137.1655
5.150000, 99.552, -137.9199
5.220000, 99.584, -138.6699
5.300000, 99.620, -139.5085
5.380000, 99.653, -140.3214
5.450000, 99.681, -141.0279
5.520000, 99.707, -141.7090
5.600000, 99.735, -142.4738
5.700000, 99.768, -143.4149
5.800000, 99.798, -144.3240
5.900000, 99.826, -145.2113
6.000000, 99.853, -146.0715
6.080000, 99.873, -146.7495
6.150000, 99.889, -147.3217
6.220000, 99.905, -147.8929
6.300000, 99.921, -148.5294
6.400000, 99.939, -149.3062
6.500000, 99.955, -150.0689
6.600000, 99.970, -150.8058
6.700000, 99.985, -151.5324
6.800000, 99.998, -152.2375
6.900000, 100.010, -152.9293
7.000000, 100.019, -153.5958
7.100000, 100.027, -154.2490
7.200000, 100.033, -154.8815
7.300000, 100.038, -155.5007
7.400000, 100.044, -156.0980
7.500000, 100.050, -156.6824
7.620000, 100.056, -157.3623
7.750000, 100.062, -158.0750
7.880000, 100.066, -158.7741
8.000000, 100.069, -159.3973
8.120000, 100.072, -160.0094
8.250000, 100.075, -160.6577
8.380000, 100.078, -161.2867
8.500000, 100.079, -161.8565
8.620000, 100.079, -162.4116
8.750000, 100.078, -162.9973
8.850000, 100.077, -163.4389
9.000000, 100.075, -164.0802
9.120000, 100.074, -164.5823
9.250000, 100.072, -165.1137
9.380000, 100.070, -165.6288
9.500000, 100.067, -166.1007
9.620000, 100.065, -166.5598
9.750000, 100.062, -167.0478
9.880000, 100.051, -167.5247
10.000000, 100.032, -167.9487
10.150000, 99.999, -168.4946
10.300000, 99.959, -169.0163
10.440000, 99.917, -169.4823
10.600000, 99.866, -169.9917
10.750000, 99.820, -170.4480
10.900000, 99.776, -170.8844
11.060000, 99.731, -171.3601
11.200000, 99.694, -171.8048
11.380000, 99.646, -172.3521
11.500000, 99.613, -172.7019
11.720000, 99.554, -173.3122
11.800000, 99.533, -173.5241
12.060000, 99.470, -174.1987
12.200000, 99.441, -174.5774
12.410000, 99.400, -175.1192
12.500000, 99.383, -175.3422
12.650000, 99.354, -175.7025
12.800000, 99.325, -176.0493
13.150000, 99.260, -176.8605
13.200000, 99.251, -176.9807
13.400000, 99.219, -177.4498
13.600000, 99.187, -177.9001
13.800000, 99.157, -178.3319
14.000000, 99.127, -178.7491
14.300000, 99.082, -179.4076
14.500000, 99.052, -179.8242
14.750000, 99.013, 179.6835
15.000000, 98.977, 179.2191
15.250000, 98.948, 178.7307
15.500000, 98.922, 178.2639
15.750000, 98.897, 177.8176
16.000000, 98.871, 177.3873
16.250000, 98.847, 176.9263
16.500000, 98.822, 176.4791
16.750000, 98.797, 176.0482
17.000000, 98.773, 175.6309
17.250000, 98.751, 175.1984
17.500000, 98.728, 174.7817
17.750000, 98.706, 174.3847
18.000000, 98.683, 174.0026
18.250000, 98.661, 173.6053
18.500000, 98.640, 173.2198
18.750000, 98.619, 172.8481
19.000000, 98.599, 172.4887
19.250000, 98.581, 172.1120
19.500000, 98.563, 171.7466
19.750000, 98.545, 171.3930
20.000000, 98.528, 171.0507
20.299999, 98.506, 170.6213
20.600000, 98.485, 170.2081
20.900000, 98.463, 169.8111
21.200001, 98.441, 169.4105
21.400000, 98.426, 169.1454
21.799999, 98.395, 168.6348
22.000000, 98.380, 168.3867
22.400000, 98.350, 167.8757
22.700001, 98.327, 167.5029
23.000000, 98.304, 167.1379
23.299999, 98.280, 166.7676
23.600000, 98.256, 166.4072
24.000000, 98.225, 165.9448
24.299999, 98.202, 165.5934
24.700001, 98.173, 165.1389
25.000000, 98.152, 164.8078
25.400000, 98.123, 164.3586
25.799999, 98.093, 163.9240
26.200001, 98.063, 163.4918
26.500000, 98.041, 163.1682
26.900000, 98.012, 162.7516
27.200001, 97.991, 162.4407
27.600000, 97.963, 162.0300
28.000000, 97.935, 161.6271
28.500000, 97.900, 161.1102
29.000000, 97.863, 160.6134
29.500000, 97.825, 160.1364
30.000000, 97.787, 159.6767
30.400000, 97.756, 159.2990
30.700001, 97.732, 159.0211
31.100000, 97.701, 158.6567
31.500000, 97.670, 158.2945
32.000000, 97.631, 157.8547
32.500000, 97.592, 157.4162
33.000000, 97.553, 156.9838
33.500000, 97.514, 156.5359
34.000000, 97.475, 156.1006
34.500000, 97.437, 155.6856
35.000000, 97.401, 155.2856
35.500000, 97.366, 154.8829
36.000000, 97.331, 154.4847
36.500000, 97.296, 154.0867
37.000000, 97.260, 153.6973
37.500000, 97.223, 153.3064
38.200001, 97.171, 152.7767
38.700001, 97.133, 152.4081
39.500000, 97.073, 151.8360
40.000000, 97.037, 151.4883
40.599998, 96.993, 151.0545
41.200001, 96.948, 150.6300
41.799999, 96.903, 150.2163
42.500000, 96.850, 149.7445
43.099998, 96.808, 149.3481
43.700001, 96.768, 148.9648
44.400002, 96.721, 148.5067
45.000000, 96.680, 148.1141
45.500000, 96.646, 147.8065
46.200001, 96.599, 147.3810
46.799999, 96.559, 147.0039
47.500000, 96.511, 146.5762
48.200001, 96.463, 146.1607
48.700001, 96.428, 145.8707
49.400002, 96.380, 145.4682
50.000000, 96.340, 145.1226
50.799999, 96.285, 144.6613
51.500000, 96.235, 144.2560
52.200001, 96.187, 143.8672
53.000000, 96.134, 143.4568
53.799999, 96.082, 143.0274
54.500000, 96.036, 142.6601
55.200001, 95.988, 142.3071
56.000000, 95.933, 141.9377
57.000000, 95.869, 141.5197
58.000000, 95.799, 141.0802
59.000000, 95.735, 140.7427
60.000000, 95.687, 140.2997
60.799999, 95.633, 139.7925
61.500000, 95.574, 139.4176
62.200001, 95.516, 139.1064
63.000000, 95.456, 138.7545
64.000000, 95.388, 138.3668
