* Measurement data measured by REW V5.31.1
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -21.3 dBFS, measurement signal peak level -15.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 16, 2024 8:27:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0687 ms (-24 mm, -0.93 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: AFUL Explorer white R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 83.847, -48.3411
1.015000, 84.167, -49.2612
1.030000, 84.483, -50.1828
1.044000, 84.775, -51.0471
1.060000, 85.102, -52.0431
1.075000, 85.404, -52.9873
1.090000, 85.701, -53.9420
1.106000, 86.013, -54.9608
1.120000, 86.286, -55.8306
1.138000, 86.639, -56.9030
1.150000, 86.874, -57.5880
1.172000, 87.306, -58.7903
1.180000, 87.463, -59.2157
1.206000, 87.971, -60.5344
1.220000, 88.243, -61.2073
1.241000, 88.645, -62.1732
1.250000, 88.816, -62.5725
1.265000, 89.097, -63.2205
1.280000, 89.375, -63.8486
1.315000, 90.001, -65.2497
1.320000, 90.088, -65.4437
1.340000, 90.428, -66.2074
1.360000, 90.754, -66.9539
1.380000, 91.067, -67.7266
1.400000, 91.363, -68.5065
1.430000, 91.774, -69.6705
1.450000, 92.024, -70.4471
1.475000, 92.307, -71.4129
1.500000, 92.554, -72.3475
1.525000, 92.767, -73.2379
1.550000, 92.950, -74.0841
1.575000, 93.106, -74.9107
1.600000, 93.241, -75.7385
1.625000, 93.357, -76.5328
1.650000, 93.459, -77.2981
1.675000, 93.550, -78.0389
1.700000, 93.634, -78.7601
1.725000, 93.715, -79.4661
1.750000, 93.797, -80.1612
1.775000, 93.885, -80.8669
1.800000, 93.981, -81.6033
1.825000, 94.088, -82.3389
1.850000, 94.203, -83.0711
1.875000, 94.320, -83.7911
1.900000, 94.435, -84.4942
1.925000, 94.549, -85.1791
1.950000, 94.661, -85.8447
1.975000, 94.772, -86.5084
2.000000, 94.881, -87.1867
2.030000, 95.010, -87.9773
2.060000, 95.137, -88.7464
2.090000, 95.261, -89.4972
2.120000, 95.384, -90.2330
2.140000, 95.464, -90.7170
2.180000, 95.622, -91.6948
2.200000, 95.699, -92.1998
2.240000, 95.851, -93.2024
2.270000, 95.962, -93.9443
2.300000, 96.071, -94.6741
2.330000, 96.178, -95.3897
2.360000, 96.282, -96.0901
2.400000, 96.418, -97.0472
2.430000, 96.518, -97.7529
2.470000, 96.648, -98.6701
2.500000, 96.744, -99.3415
2.540000, 96.868, -100.2179
2.580000, 96.990, -101.0979
2.620000, 97.108, -102.0088
2.650000, 97.195, -102.6860
2.690000, 97.308, -103.5775
2.720000, 97.390, -104.2348
2.760000, 97.497, -105.0916
2.800000, 97.601, -105.9654
2.850000, 97.726, -107.0298
2.900000, 97.848, -108.0567
2.950000, 97.964, -109.0550
3.000000, 98.075, -110.0748
3.040000, 98.161, -110.8953
3.070000, 98.223, -111.5037
3.110000, 98.303, -112.3019
3.150000, 98.381, -113.0821
3.200000, 98.475, -114.0584
3.250000, 98.565, -115.0134
3.300000, 98.652, -115.9348
3.350000, 98.736, -116.8371
3.400000, 98.816, -117.7636
3.450000, 98.892, -118.6901
3.500000, 98.965, -119.5955
3.550000, 99.035, -120.4730
3.600000, 99.102, -121.3447
3.650000, 99.166, -122.1944
3.700000, 99.227, -123.0197
3.750000, 99.285, -123.8329
3.820000, 99.360, -124.9861
3.870000, 99.411, -125.7959
3.950000, 99.488, -127.0403
4.000000, 99.534, -127.8025
4.060000, 99.587, -128.6953
4.120000, 99.637, -129.5665
4.180000, 99.684, -130.4264
4.250000, 99.736, -131.4333
4.310000, 99.778, -132.2630
4.370000, 99.818, -133.0628
4.440000, 99.862, -133.9922
4.500000, 99.897, -134.7684
4.550000, 99.924, -135.4008
4.620000, 99.961, -136.2892
4.680000, 99.990, -137.0306
4.750000, 100.024, -137.8607
4.820000, 100.056, -138.6819
4.870000, 100.077, -139.2585
4.940000, 100.106, -140.0452
5.000000, 100.130, -140.7145
5.080000, 100.160, -141.5879
5.150000, 100.185, -142.3217
5.220000, 100.208, -143.0551
5.300000, 100.232, -143.8773
5.380000, 100.255, -144.6751
5.450000, 100.273, -145.3684
5.520000, 100.291, -146.0373
5.600000, 100.310, -146.7896
5.700000, 100.332, -147.7171
5.800000, 100.352, -148.6145
5.900000, 100.370, -149.4926
6.000000, 100.386, -150.3467
6.080000, 100.397, -151.0245
6.150000, 100.406, -151.5966
6.220000, 100.414, -152.1657
6.300000, 100.422, -152.7991
6.400000, 100.431, -153.5719
6.500000, 100.438, -154.3309
6.600000, 100.444, -155.0618
6.700000, 100.448, -155.7771
6.800000, 100.452, -156.4696
6.900000, 100.454, -157.1469
7.000000, 100.456, -157.7980
7.100000, 100.458, -158.4333
7.200000, 100.459, -159.0479
7.300000, 100.460, -159.6496
7.400000, 100.461, -160.2319
7.500000, 100.461, -160.8058
7.620000, 100.462, -161.4723
7.750000, 100.462, -162.1701
7.880000, 100.462, -162.8515
8.000000, 100.463, -163.4588
8.120000, 100.463, -164.0543
8.250000, 100.463, -164.6852
8.380000, 100.463, -165.2988
8.500000, 100.462, -165.8564
8.620000, 100.461, -166.4011
8.750000, 100.459, -166.9775
8.850000, 100.457, -167.4120
9.000000, 100.454, -168.0445
9.120000, 100.450, -168.5392
9.250000, 100.446, -169.0645
9.380000, 100.442, -169.5748
9.500000, 100.437, -170.0373
9.620000, 100.432, -170.4847
9.750000, 100.425, -170.9560
9.880000, 100.412, -171.4185
10.000000, 100.390, -171.8291
10.150000, 100.352, -172.3602
10.300000, 100.307, -172.8650
10.440000, 100.260, -173.3131
10.600000, 100.205, -173.7995
10.750000, 100.155, -174.2321
10.900000, 100.106, -174.6433
11.060000, 100.058, -175.0870
11.200000, 100.017, -175.4968
11.380000, 99.966, -176.0011
11.500000, 99.931, -176.3240
11.720000, 99.868, -176.8893
11.800000, 99.846, -177.0866
12.060000, 99.779, -177.7226
12.200000, 99.746, -178.0894
12.410000, 99.701, -178.6160
12.500000, 99.681, -178.8329
12.650000, 99.647, -179.1829
12.800000, 99.613, -179.5187
13.150000, 99.536, 179.6982
13.200000, 99.526, 179.5820
13.400000, 99.486, 179.1315
13.600000, 99.448, 178.7024
13.800000, 99.411, 178.2935
14.000000, 99.376, 177.8980
14.300000, 99.325, 177.2561
14.500000, 99.292, 176.8457
14.750000, 99.249, 176.3561
15.000000, 99.209, 175.8892
15.250000, 99.176, 175.3904
15.500000, 99.145, 174.9128
15.750000, 99.114, 174.4576
16.000000, 99.084, 174.0213
16.250000, 99.054, 173.5569
16.500000, 99.026, 173.1086
16.750000, 98.997, 172.6774
17.000000, 98.970, 172.2605
17.250000, 98.944, 171.8313
17.500000, 98.919, 171.4178
17.750000, 98.894, 171.0235
18.000000, 98.869, 170.6445
18.250000, 98.845, 170.2583
18.500000, 98.822, 169.8833
18.750000, 98.799, 169.5204
19.000000, 98.778, 169.1673
19.250000, 98.758, 168.7983
19.500000, 98.738, 168.4386
19.750000, 98.718, 168.0894
20.000000, 98.697, 167.7513
20.299999, 98.672, 167.3304
20.600000, 98.646, 166.9263
20.900000, 98.619, 166.5385
21.200001, 98.592, 166.1465
21.400000, 98.574, 165.8864
21.799999, 98.536, 165.3845
22.000000, 98.517, 165.1406
22.400000, 98.479, 164.6367
22.700001, 98.450, 164.2731
23.000000, 98.421, 163.9200
23.299999, 98.393, 163.5574
23.600000, 98.365, 163.2029
24.000000, 98.329, 162.7422
24.299999, 98.303, 162.3863
24.700001, 98.269, 161.9220
25.000000, 98.243, 161.5845
25.400000, 98.208, 161.1287
25.799999, 98.173, 160.6926
26.200001, 98.140, 160.2630
26.500000, 98.115, 159.9412
26.900000, 98.083, 159.5217
27.200001, 98.058, 159.2088
27.600000, 98.025, 158.8024
28.000000, 97.993, 158.4156
28.500000, 97.954, 157.9343
29.000000, 97.918, 157.4514
29.500000, 97.879, 156.9464
30.000000, 97.835, 156.4550
30.400000, 97.797, 156.0785
30.700001, 97.769, 155.8144
31.100000, 97.734, 155.4697
31.500000, 97.702, 155.1051
32.000000, 97.660, 154.6309
32.500000, 97.612, 154.1491
33.000000, 97.559, 153.7176
33.500000, 97.511, 153.3306
34.000000, 97.472, 152.9590
34.500000, 97.441, 152.5498
35.000000, 97.407, 152.1060
35.500000, 97.368, 151.6531
36.000000, 97.325, 151.2279
36.500000, 97.281, 150.8310
37.000000, 97.238, 150.4553
37.500000, 97.196, 150.0867
38.200001, 97.138, 149.5960
38.700001, 97.098, 149.2541
39.500000, 97.038, 148.6888
40.000000, 96.999, 148.3207
40.599998, 96.949, 147.8781
41.200001, 96.897, 147.4628
41.799999, 96.848, 147.0562
42.500000, 96.791, 146.5637
43.099998, 96.738, 146.1579
43.700001, 96.685, 145.8116
44.400002, 96.635, 145.4588
45.000000, 96.603, 145.1140
45.500000, 96.576, 144.7667
46.200001, 96.528, 144.2448
46.799999, 96.478, 143.8254
47.500000, 96.421, 143.3798
48.200001, 96.366, 142.9515
48.700001, 96.326, 142.6555
49.400002, 96.272, 142.2676
50.000000, 96.230, 141.9485
50.799999, 96.177, 141.5056
51.500000, 96.131, 141.1052
52.200001, 96.082, 140.7133
53.000000, 96.026, 140.2971
53.799999, 95.973, 139.8989
54.500000, 95.930, 139.5296
55.200001, 95.881, 139.1337
56.000000, 95.817, 138.7165
57.000000, 95.743, 138.2550
58.000000, 95.669, 137.7462
59.000000, 95.585, 137.2856
60.000000, 95.513, 136.8851
60.799999, 95.460, 136.5283
61.500000, 95.412, 136.1996
62.200001, 95.363, 135.8802
63.000000, 95.308, 135.5246
64.000000, 95.240, 135.0877
65.000000, 95.172, 134.6592
66.000000, 95.105, 134.2520
67.000000, 95.040, 133.8515
68.000000, 94.975, 133.4493
69.000000, 94.909, 133.0580
70.000000, 94.842, 132.6747
71.000000, 94.775, 132.2988
72.000000, 94.709, 131.9347
73.000000, 94.644, 131.5893
74.000000, 94.582, 131.2407
75.000000, 94.519, 130.8879
