* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.880. Timing signal peak level -16.0 dBFS, measurement signal peak level -15.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 11, 2023 4:26:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0643 ms (-22 mm, -0.87 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: AFUL MagicOne R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 78.090 92.2236
1.015000 78.356 92.1121
1.030000 78.617 91.9942
1.044000 78.855 91.8784
1.060000 79.121 91.7393
1.075000 79.363 91.6021
1.090000 79.596 91.4583
1.106000 79.837 91.2968
1.120000 80.044 91.1434
1.138000 80.309 90.9293
1.150000 80.484 90.7768
1.172000 80.802 90.4790
1.180000 80.916 90.3654
1.206000 81.283 89.9791
1.220000 81.477 89.7617
1.241000 81.764 89.4255
1.250000 81.886 89.2784
1.265000 82.085 89.0299
1.280000 82.282 88.7782
1.315000 82.727 88.1843
1.320000 82.789 88.0993
1.340000 83.033 87.7604
1.360000 83.270 87.4250
1.380000 83.499 87.0958
1.400000 83.721 86.7751
1.430000 84.038 86.3156
1.450000 84.238 86.0272
1.475000 84.476 85.6899
1.500000 84.698 85.3697
1.525000 84.903 85.0622
1.550000 85.094 84.7656
1.575000 85.272 84.4781
1.600000 85.439 84.1976
1.625000 85.595 83.9224
1.650000 85.742 83.6504
1.675000 85.881 83.3798
1.700000 86.014 83.1087
1.725000 86.142 82.8352
1.750000 86.267 82.5574
1.775000 86.389 82.2733
1.800000 86.511 81.9811
1.825000 86.633 81.6788
1.850000 86.753 81.3662
1.875000 86.866 81.0465
1.900000 86.972 80.7208
1.925000 87.072 80.3900
1.950000 87.166 80.0550
1.975000 87.256 79.7168
2.000000 87.342 79.3763
2.030000 87.441 78.9660
2.060000 87.538 78.5554
2.090000 87.634 78.1460
2.120000 87.729 77.7396
2.140000 87.794 77.4711
2.180000 87.927 76.9419
2.200000 87.996 76.6822
2.240000 88.137 76.1681
2.270000 88.243 75.7853
2.300000 88.349 75.4047
2.330000 88.454 75.0264
2.360000 88.559 74.6501
2.400000 88.698 74.1513
2.430000 88.800 73.7794
2.470000 88.933 73.2862
2.500000 89.031 72.9182
2.540000 89.156 72.4297
2.580000 89.277 71.9435
2.620000 89.392 71.4598
2.650000 89.476 71.0988
2.690000 89.584 70.6198
2.720000 89.664 70.2626
2.760000 89.766 69.7890
2.800000 89.867 69.3187
2.850000 89.989 68.7360
2.900000 90.109 68.1592
2.950000 90.226 67.5883
3.000000 90.341 67.0208
3.040000 90.430 66.5696
3.070000 90.495 66.2334
3.110000 90.581 65.7886
3.150000 90.664 65.3485
3.200000 90.766 64.8063
3.250000 90.866 64.2744
3.300000 90.964 63.7542
3.350000 91.059 63.2472
3.400000 91.152 62.7523
3.450000 91.243 62.2677
3.500000 91.330 61.7910
3.550000 91.416 61.3205
3.600000 91.500 60.8540
3.650000 91.582 60.3895
3.700000 91.661 59.9261
3.750000 91.739 59.4658
3.820000 91.843 58.8280
3.870000 91.915 58.3784
3.950000 92.028 57.6712
4.000000 92.096 57.2380
4.060000 92.178 56.7286
4.120000 92.257 56.2317
4.180000 92.335 55.7451
4.250000 92.423 55.1871
4.310000 92.496 54.7143
4.370000 92.568 54.2439
4.440000 92.648 53.6961
4.500000 92.715 53.2294
4.550000 92.769 52.8432
4.620000 92.842 52.3080
4.680000 92.903 51.8552
4.750000 92.973 51.3350
4.820000 93.041 50.8240
4.870000 93.088 50.4640
4.940000 93.152 49.9667
5.000000 93.205 49.5466
5.080000 93.273 48.9953
5.150000 93.331 48.5207
5.220000 93.387 48.0531
5.300000 93.447 47.5277
5.380000 93.506 47.0128
5.450000 93.555 46.5717
5.520000 93.603 46.1400
5.600000 93.656 45.6581
5.700000 93.719 45.0717
5.800000 93.780 44.5022
5.900000 93.839 43.9488
6.000000 93.896 43.4138
6.080000 93.940 42.9973
6.150000 93.978 42.6395
6.220000 94.015 42.2867
6.300000 94.057 41.8903
6.400000 94.108 41.4067
6.500000 94.157 40.9330
6.600000 94.206 40.4660
6.700000 94.254 40.0072
6.800000 94.301 39.5564
6.900000 94.348 39.1102
7.000000 94.393 38.6653
7.100000 94.437 38.2232
7.200000 94.480 37.7843
7.300000 94.521 37.3483
7.400000 94.561 36.9144
7.500000 94.600 36.4823
7.620000 94.643 35.9697
7.750000 94.688 35.4252
7.880000 94.729 34.8892
8.000000 94.764 34.4069
8.120000 94.797 33.9417
8.250000 94.831 33.4542
8.380000 94.862 32.9865
8.500000 94.891 32.5754
8.620000 94.918 32.1835
8.750000 94.947 31.7774
8.850000 94.970 31.4772
9.000000 95.005 31.0495
9.120000 95.034 30.7188
9.250000 95.068 30.3678
9.380000 95.104 30.0273
9.500000 95.137 29.7130
9.620000 95.168 29.3938
9.750000 95.201 29.0463
9.880000 95.227 28.6952
10.000000 95.244 28.3643
10.150000 95.256 27.9461
10.300000 95.260 27.5387
10.440000 95.255 27.1669
10.600000 95.244 26.7585
10.750000 95.234 26.3992
10.900000 95.222 26.0593
11.060000 95.211 25.7163
11.200000 95.204 25.4332
11.380000 95.197 25.0892
11.500000 95.194 24.8749
11.720000 95.192 24.4961
11.800000 95.194 24.3584
12.060000 95.204 23.9097
12.200000 95.213 23.6499
12.410000 95.226 23.2430
12.500000 95.230 23.0663
12.650000 95.235 22.7641
12.800000 95.236 22.4680
13.150000 95.226 21.8340
13.200000 95.223 21.7544
13.400000 95.213 21.4666
13.600000 95.204 21.2251
13.800000 95.199 21.0352
14.000000 95.199 20.8596
14.300000 95.210 20.5989
14.500000 95.222 20.3889
14.750000 95.235 20.0757
15.000000 95.244 19.7077
15.250000 95.242 19.3175
15.500000 95.230 18.9642
15.750000 95.211 18.6774
16.000000 95.191 18.4900
16.250000 95.181 18.3560
16.500000 95.184 18.2342
16.750000 95.203 18.0535
17.000000 95.226 17.7572
17.250000 95.245 17.3487
17.500000 95.250 16.8402
17.750000 95.233 16.3332
18.000000 95.198 15.8905
18.250000 95.151 15.5822
18.500000 95.112 15.4342
18.750000 95.089 15.3913
19.000000 95.093 15.4007
19.250000 95.124 15.3289
19.500000 95.169 15.1257
19.750000 95.217 14.7573
20.000000 95.250 14.2545
20.299999 95.264 13.5999
20.600000 95.250 13.0177
20.900000 95.223 12.6150
21.200001 95.204 12.4088
21.400000 95.207 12.3208
21.799999 95.242 12.1063
22.000000 95.268 11.9156
22.400000 95.305 11.3235
22.700001 95.300 10.8096
23.000000 95.261 10.4227
23.299999 95.204 10.3096
23.600000 95.159 10.5017
24.000000 95.159 11.0955
24.299999 95.223 11.5383
24.700001 95.372 11.7589
25.000000 95.493 11.4979
25.400000 95.609 10.6288
25.799999 95.630 9.5166
26.200001 95.556 8.6554
26.500000 95.471 8.4004
26.900000 95.376 8.6267
27.200001 95.361 9.0454
27.600000 95.432 9.5246
28.000000 95.569 9.4534
28.500000 95.711 8.3963
29.000000 95.711 6.8750
29.500000 95.579 5.8188
30.000000 95.431 5.6822
30.400000 95.379 5.9814
30.700001 95.388 6.1936
31.100000 95.436 6.2295
31.500000 95.483 5.9691
32.000000 95.504 5.4812
32.500000 95.496 5.1168
33.000000 95.492 4.9224
33.500000 95.506 4.7472
34.000000 95.525 4.4968
34.500000 95.536 4.2113
35.000000 95.540 3.9486
35.500000 95.541 3.7130
36.000000 95.541 3.4857
36.500000 95.538 3.2669
37.000000 95.534 3.0635
37.500000 95.530 2.8692
38.200001 95.526 2.6013
38.700001 95.523 2.4172
39.500000 95.527 2.1080
40.000000 95.530 1.8747
40.599998 95.530 1.5626
41.200001 95.522 1.2634
41.799999 95.512 0.9991
42.500000 95.502 0.7213
43.099998 95.495 0.5064
43.700001 95.492 0.3133
44.400002 95.495 0.0902
45.000000 95.498 -0.1175
45.500000 95.501 -0.2971
46.200001 95.502 -0.5432
46.799999 95.502 -0.7366
47.500000 95.502 -0.9331
48.200001 95.503 -1.1251
48.700001 95.500 -1.2713
49.400002 95.487 -1.4536
50.000000 95.476 -1.5813
50.799999 95.462 -1.8175
51.500000 95.434 -2.0845
52.200001 95.403 -2.3196
53.000000 95.375 -2.7475
53.799999 95.292 -3.3554
54.500000 95.174 -3.4169
55.200001 95.129 -2.9207
56.000000 95.219 -2.6540
57.000000 95.320 -3.3759
58.000000 95.325 -4.0144
59.000000 95.335 -4.3192
60.000000 95.349 -4.5571
60.799999 95.357 -4.7423
61.500000 95.352 -4.9162
62.200001 95.337 -5.0499
63.000000 95.322 -5.1735
64.000000 95.305 -5.3957
65.000000 95.283 -5.6543
66.000000 95.264 -5.8921
67.000000 95.253 -6.1258
68.000000 95.245 -6.3676
69.000000 95.232 -6.5904
70.000000 95.216 -6.7751
71.000000 95.196 -6.9362
72.000000 95.176 -7.0953
73.000000 95.155 -7.2844
74.000000 95.131 -7.4926
75.000000 95.108 -7.6848
76.199997 95.087 -7.9098
77.500000 95.067 -8.1550
78.800003 95.044 -8.3769
80.000000 95.020 -8.5530
81.199997 94.995 -8.7158
82.500000 94.968 -8.9046
83.800003 94.941 -9.0994
85.000000 94.918 -9.2738
86.199997 94.897 -9.4434
87.500000 94.874 -9.6180
88.500000 94.856 -9.7438
90.000000 94.825 -9.9151
91.199997 94.803 -10.0339
92.500000 94.785 -10.1961
93.800003 94.764 -10.4032
95.000000 94.740 -10.5826
96.199997 94.715 -10.7285
97.500000 94.688 -10.8682
98.800003 94.662 -11.0041
100.000000 94.635 -11.1290
101.500000 94.602 -11.2790
103.000000 94.570 -11.4318
104.400002 94.542 -11.5756
106.000000 94.511 -11.7343
107.500000 94.481 -11.8621
109.000000 94.451 -11.9768
110.599998 94.420 -12.1025
112.000000 94.391 -12.2116
113.800003 94.353 -12.3544
115.000000 94.326 -12.4430
117.199997 94.276 -12.5768
118.000000 94.259 -12.6281
120.599998 94.204 -12.8171
122.000000 94.177 -12.9062
124.099998 94.150 -13.0111
125.000000 94.143 -13.0629
126.500000 94.126 -13.1644
128.000000 94.099 -13.2497
131.500000 94.020 -13.3720
132.000000 94.008 -13.3967
134.000000 93.960 -13.5038
136.000000 93.921 -13.5935
138.000000 93.900 -13.7127
140.000000 93.875 -13.8825
143.000000 93.830 -13.9915
145.000000 93.805 -14.0546
147.500000 93.768 -14.1281
150.000000 93.730 -14.1134
152.500000 93.698 -14.1277
155.000000 93.660 -14.2152
157.500000 93.616 -14.3129
160.000000 93.578 -14.4007
162.500000 93.544 -14.4787
165.000000 93.507 -14.5074
167.500000 93.469 -14.5103
170.000000 93.429 -14.5551
172.500000 93.387 -14.6377
175.000000 93.346 -14.7056
177.500000 93.303 -14.7044
180.000000 93.258 -14.6746
182.500000 93.213 -14.7099
185.000000 93.169 -14.8112
187.500000 93.126 -14.9003
190.000000 93.084 -14.9389
192.500000 93.043 -14.9645
195.000000 93.002 -15.0015
197.500000 92.962 -15.0472
200.000000 92.920 -15.0974
203.000000 92.868 -15.1745
206.000000 92.816 -15.2384
209.000000 92.767 -15.2636
212.000000 92.717 -15.2988
214.000000 92.681 -15.3302
218.000000 92.607 -15.3838
220.000000 92.569 -15.4078
224.000000 92.489 -15.4602
227.000000 92.426 -15.4739
230.000000 92.362 -15.4507
233.000000 92.296 -15.4297
236.000000 92.228 -15.4212
240.000000 92.136 -15.3607
243.000000 92.067 -15.2703
247.000000 91.971 -15.1132
250.000000 91.901 -14.9654
254.000000 91.812 -14.7320
258.000000 91.722 -14.4464
262.000000 91.633 -14.1251
265.000000 91.572 -13.8670
269.000000 91.497 -13.4834
272.000000 91.446 -13.1884
276.000000 91.383 -12.8038
280.000000 91.327 -12.4031
285.000000 91.261 -11.8792
290.000000 91.202 -11.3396
295.000000 91.152 -10.8218
300.000000 91.106 -10.3277
304.000000 91.073 -9.9366
307.000000 91.052 -9.6463
311.000000 91.028 -9.2674
315.000000 91.006 -8.9075
