* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -17.9 dBFS, measurement signal peak level -15.4 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2023 10:36:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1189 ms (-41 mm, -1.61 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: Black Deep L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 77.116 96.1118
1.015000 77.429 94.2301
1.030000 77.736 92.4693
1.044000 78.017 90.9433
1.060000 78.330 89.3483
1.075000 78.614 88.0071
1.090000 78.887 86.8246
1.106000 79.167 85.7543
1.120000 79.411 85.0109
1.138000 79.723 84.3095
1.150000 79.930 83.9888
1.172000 80.308 83.6766
1.180000 80.444 83.6440
1.206000 80.884 83.7976
1.220000 81.118 84.0245
1.241000 81.465 84.5201
1.250000 81.612 84.7804
1.265000 81.855 85.2659
1.280000 82.094 85.8026
1.315000 82.637 87.1674
1.320000 82.713 87.3668
1.340000 83.010 88.1530
1.360000 83.300 88.8931
1.380000 83.580 89.5507
1.400000 83.850 90.0894
1.430000 84.235 90.5941
1.450000 84.478 90.6754
1.475000 84.764 90.4447
1.500000 85.029 89.9805
1.525000 85.276 89.3445
1.550000 85.505 88.5633
1.575000 85.718 87.6632
1.600000 85.917 86.6708
1.625000 86.104 85.6124
1.650000 86.279 84.5145
1.675000 86.445 83.4037
1.700000 86.602 82.3063
1.725000 86.754 81.2488
1.750000 86.900 80.2577
1.775000 87.043 79.3594
1.800000 87.184 78.5804
1.825000 87.325 77.9472
1.850000 87.463 77.4644
1.875000 87.592 77.0864
1.900000 87.712 76.7984
1.925000 87.823 76.5873
1.950000 87.927 76.4402
1.975000 88.026 76.3442
2.000000 88.119 76.2863
2.030000 88.226 76.2488
2.060000 88.329 76.2250
2.090000 88.430 76.1926
2.120000 88.530 76.1291
2.140000 88.598 76.0584
2.180000 88.738 75.8192
2.200000 88.811 75.6377
2.240000 88.959 75.2007
2.270000 89.069 74.8332
2.300000 89.178 74.4372
2.330000 89.286 74.0179
2.360000 89.393 73.5804
2.400000 89.533 72.9776
2.430000 89.637 72.5176
2.470000 89.772 71.9035
2.500000 89.871 71.4490
2.540000 90.000 70.8608
2.580000 90.126 70.2993
2.620000 90.247 69.7321
2.650000 90.336 69.3006
2.690000 90.452 68.7221
2.720000 90.536 68.2894
2.760000 90.647 67.7190
2.800000 90.754 67.1620
2.850000 90.885 66.4943
2.900000 91.013 65.8698
2.950000 91.137 65.3026
3.000000 91.257 64.8094
3.040000 91.350 64.4566
3.070000 91.418 64.2087
3.110000 91.507 63.8909
3.150000 91.593 63.5768
3.200000 91.699 63.1715
3.250000 91.802 62.7304
3.300000 91.903 62.2306
3.350000 92.001 61.6577
3.400000 92.097 61.0286
3.450000 92.189 60.3674
3.500000 92.279 59.6978
3.550000 92.367 59.0437
3.600000 92.452 58.4291
3.650000 92.536 57.8779
3.700000 92.618 57.4080
3.750000 92.697 57.0070
3.820000 92.804 56.5224
3.870000 92.877 56.2038
3.950000 92.992 55.6857
4.000000 93.062 55.3251
4.060000 93.143 54.8259
4.120000 93.222 54.2678
4.180000 93.299 53.6765
4.250000 93.386 52.9767
4.310000 93.457 52.3961
4.370000 93.528 51.8587
4.440000 93.607 51.3109
4.500000 93.673 50.8952
4.550000 93.726 50.5742
4.620000 93.798 50.1455
4.680000 93.859 49.7800
4.750000 93.929 49.3338
4.820000 93.997 48.8553
4.870000 94.046 48.5040
4.940000 94.112 48.0067
5.000000 94.167 47.5824
5.080000 94.239 47.0313
5.150000 94.299 46.5729
5.220000 94.358 46.1337
5.300000 94.423 45.6483
5.380000 94.485 45.1762
5.450000 94.538 44.7702
5.520000 94.589 44.3679
5.600000 94.645 43.9150
5.700000 94.712 43.3614
5.800000 94.776 42.8228
5.900000 94.838 42.3000
6.000000 94.899 41.7933
6.080000 94.946 41.3989
6.150000 94.986 41.0614
6.220000 95.026 40.7308
6.300000 95.070 40.3637
6.400000 95.125 39.9210
6.500000 95.178 39.4881
6.600000 95.229 39.0561
6.700000 95.278 38.6207
6.800000 95.326 38.1879
6.900000 95.372 37.7649
7.000000 95.416 37.3586
7.100000 95.459 36.9693
7.200000 95.501 36.5912
7.300000 95.542 36.2183
7.400000 95.582 35.8471
7.500000 95.621 35.4806
7.620000 95.666 35.0479
7.750000 95.713 34.5888
7.880000 95.759 34.1405
8.000000 95.800 33.7336
8.120000 95.838 33.3303
8.250000 95.878 32.8973
8.380000 95.916 32.4735
8.500000 95.948 32.0942
8.620000 95.979 31.7244
8.750000 96.010 31.3365
8.850000 96.034 31.0490
9.000000 96.068 30.6352
9.120000 96.095 30.3152
9.250000 96.125 29.9779
9.380000 96.156 29.6516
9.500000 96.183 29.3548
9.620000 96.208 29.0601
9.750000 96.233 28.7450
9.880000 96.253 28.4305
10.000000 96.263 28.1374
10.150000 96.269 27.7712
10.300000 96.267 27.4149
10.440000 96.258 27.0922
10.600000 96.245 26.7314
10.750000 96.233 26.4010
10.900000 96.221 26.0767
11.060000 96.209 25.7287
11.200000 96.201 25.4219
11.380000 96.190 25.0344
11.500000 96.181 24.7817
11.720000 96.167 24.3318
11.800000 96.162 24.1744
12.060000 96.149 23.6804
12.200000 96.144 23.4204
12.410000 96.139 23.0402
12.500000 96.137 22.8820
12.650000 96.134 22.6248
12.800000 96.131 22.3743
13.150000 96.127 21.8132
13.200000 96.127 21.7347
13.400000 96.129 21.4247
13.600000 96.132 21.1198
13.800000 96.136 20.8197
14.000000 96.141 20.5217
14.300000 96.149 20.0786
14.500000 96.153 19.7887
14.750000 96.158 19.4345
15.000000 96.164 19.0895
15.250000 96.173 18.7488
15.500000 96.184 18.4160
15.750000 96.194 18.0927
16.000000 96.204 17.7804
16.250000 96.212 17.4767
16.500000 96.220 17.1815
16.750000 96.228 16.8957
17.000000 96.237 16.6212
17.250000 96.248 16.3573
17.500000 96.259 16.1038
17.750000 96.271 15.8535
18.000000 96.283 15.6015
18.250000 96.295 15.3418
18.500000 96.307 15.0741
18.750000 96.319 14.8014
19.000000 96.330 14.5265
19.250000 96.340 14.2532
19.500000 96.348 13.9867
19.750000 96.355 13.7308
20.000000 96.361 13.4912
20.299999 96.368 13.2245
20.600000 96.376 12.9772
20.900000 96.386 12.7426
21.200001 96.397 12.5115
21.400000 96.404 12.3557
21.799999 96.419 12.0375
22.000000 96.426 11.8746
22.400000 96.437 11.5439
22.700001 96.442 11.2972
23.000000 96.446 11.0583
23.299999 96.449 10.8321
23.600000 96.451 10.6207
24.000000 96.456 10.3606
24.299999 96.462 10.1744
24.700001 96.474 9.9219
25.000000 96.484 9.7180
25.400000 96.498 9.4210
25.799999 96.507 9.1073
26.200001 96.512 8.8025
26.500000 96.515 8.5919
26.900000 96.518 8.3359
27.200001 96.523 8.1521
27.600000 96.531 7.9000
28.000000 96.539 7.6335
28.500000 96.544 7.3110
29.000000 96.550 7.0466
29.500000 96.569 6.8150
30.000000 96.598 6.5095
30.400000 96.617 6.1672
30.700001 96.621 5.8713
31.100000 96.610 5.4952
31.500000 96.588 5.2119
32.000000 96.561 5.0294
32.500000 96.553 4.9509
33.000000 96.563 4.8298
33.500000 96.575 4.6118
34.000000 96.578 4.3505
34.500000 96.575 4.1148
35.000000 96.574 3.9109
35.500000 96.577 3.7035
36.000000 96.579 3.4796
36.500000 96.578 3.2576
37.000000 96.575 3.0481
37.500000 96.574 2.8400
38.200001 96.572 2.5380
38.700001 96.570 2.3226
39.500000 96.566 1.9913
40.000000 96.565 1.7864
40.599998 96.563 1.5397
41.200001 96.561 1.2980
41.799999 96.558 1.0646
42.500000 96.555 0.7985
43.099998 96.553 0.5758
43.700001 96.550 0.3645
44.400002 96.547 0.1304
45.000000 96.545 -0.0697
45.500000 96.543 -0.2384
46.200001 96.539 -0.4720
46.799999 96.535 -0.6692
47.500000 96.530 -0.9014
48.200001 96.524 -1.1326
48.700001 96.520 -1.2932
49.400002 96.513 -1.5132
50.000000 96.508 -1.6996
50.799999 96.503 -1.9471
51.500000 96.498 -2.1624
52.200001 96.492 -2.3720
53.000000 96.486 -2.6028
53.799999 96.478 -2.8234
54.500000 96.469 -3.0056
55.200001 96.460 -3.1808
56.000000 96.450 -3.3774
57.000000 96.437 -3.6253
58.000000 96.418 -3.8872
59.000000 96.393 -4.0915
60.000000 96.383 -4.2552
60.799999 96.385 -4.4762
61.500000 96.380 -4.7137
62.200001 96.367 -4.9288
63.000000 96.350 -5.1310
64.000000 96.332 -5.3538
65.000000 96.318 -5.5724
66.000000 96.304 -5.7969
67.000000 96.288 -6.0191
68.000000 96.273 -6.2307
69.000000 96.258 -6.4514
70.000000 96.238 -6.6905
71.000000 96.212 -6.8862
72.000000 96.192 -7.0355
73.000000 96.177 -7.1890
74.000000 96.161 -7.3495
75.000000 96.144 -7.5187
76.199997 96.120 -7.7313
77.500000 96.092 -7.9483
78.800003 96.067 -8.1660
80.000000 96.043 -8.3641
81.199997 96.019 -8.5447
82.500000 95.993 -8.7267
83.800003 95.968 -8.9102
85.000000 95.945 -9.0828
86.199997 95.921 -9.2614
87.500000 95.895 -9.4438
88.500000 95.876 -9.5750
90.000000 95.848 -9.7632
91.199997 95.825 -9.9030
92.500000 95.801 -10.0493
93.800003 95.778 -10.1962
95.000000 95.755 -10.3330
96.199997 95.730 -10.4631
97.500000 95.702 -10.5829
98.800003 95.676 -10.6809
100.000000 95.653 -10.7807
101.500000 95.623 -10.9417
103.000000 95.589 -11.1014
104.400002 95.557 -11.2346
106.000000 95.522 -11.3736
107.500000 95.491 -11.4947
109.000000 95.461 -11.6138
110.599998 95.428 -11.7273
112.000000 95.399 -11.8138
113.800003 95.362 -11.9242
115.000000 95.337 -12.0067
117.199997 95.289 -12.1631
118.000000 95.272 -12.2140
120.599998 95.224 -12.3704
122.000000 95.202 -12.4678
124.099998 95.166 -12.6091
125.000000 95.150 -12.6660
126.500000 95.121 -12.7532
128.000000 95.093 -12.8307
131.500000 95.034 -13.0013
132.000000 95.026 -13.0262
134.000000 94.995 -13.1227
136.000000 94.964 -13.2114
138.000000 94.932 -13.2959
140.000000 94.899 -13.3966
143.000000 94.853 -13.5447
145.000000 94.820 -13.6377
147.500000 94.777 -13.7366
150.000000 94.737 -13.8157
152.500000 94.699 -13.8945
155.000000 94.658 -13.9822
157.500000 94.616 -14.0767
160.000000 94.573 -14.1750
162.500000 94.530 -14.2559
165.000000 94.487 -14.3226
167.500000 94.442 -14.3893
170.000000 94.393 -14.4497
172.500000 94.343 -14.5093
175.000000 94.293 -14.5720
177.500000 94.243 -14.6218
180.000000 94.192 -14.6731
182.500000 94.139 -14.7270
185.000000 94.084 -14.7742
187.500000 94.030 -14.8174
190.000000 93.976 -14.8506
192.500000 93.923 -14.8740
195.000000 93.870 -14.8937
197.500000 93.817 -14.9042
200.000000 93.763 -14.9050
203.000000 93.699 -14.8974
206.000000 93.630 -14.8837
209.000000 93.560 -14.8632
212.000000 93.492 -14.8009
214.000000 93.447 -14.7335
218.000000 93.354 -14.5906
220.000000 93.308 -14.5156
224.000000 93.217 -14.3383
227.000000 93.149 -14.1830
230.000000 93.082 -14.0014
233.000000 93.019 -13.7892
236.000000 92.959 -13.5656
240.000000 92.881 -13.2633
243.000000 92.824 -13.0071
247.000000 92.753 -12.6429
250.000000 92.703 -12.3721
254.000000 92.640 -11.9995
258.000000 92.581 -11.6215
262.000000 92.526 -11.2512
265.000000 92.487 -10.9763
269.000000 92.439 -10.6058
272.000000 92.407 -10.3253
276.000000 92.367 -9.9552
280.000000 92.330 -9.5989
285.000000 92.286 -9.1665
290.000000 92.246 -8.7311
295.000000 92.209 -8.2991
300.000000 92.172 -7.8546
304.000000 92.140 -7.5244
307.000000 92.118 -7.3041
311.000000 92.094 -7.0140
315.000000 92.073 -6.7111
320.000000 92.046 -6.3347
