* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -12.5 dBFS, measurement signal peak level -12.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 24, 2023 3:36:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0579 ms (-20 mm, -0.78 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 45.3 ppm
* Measurement: Audeze iSine 20 S2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 54.162 -112.9292
1.015000 54.541 -114.4768
1.030000 54.915 -115.9572
1.044000 55.259 -117.2726
1.060000 55.647 -118.6912
1.075000 56.005 -119.9324
1.090000 56.357 -121.0817
1.106000 56.727 -122.1973
1.120000 57.044 -123.0687
1.138000 57.443 -124.0527
1.150000 57.703 -124.6301
1.172000 58.170 -125.5410
1.180000 58.337 -125.8290
1.206000 58.866 -126.6263
1.220000 59.144 -126.9786
1.241000 59.553 -127.4245
1.250000 59.725 -127.5902
1.265000 60.009 -127.8389
1.280000 60.288 -128.0607
1.315000 60.923 -128.5202
1.320000 61.012 -128.5837
1.340000 61.364 -128.8447
1.360000 61.711 -129.1316
1.380000 62.054 -129.4642
1.400000 62.392 -129.8620
1.430000 62.893 -130.6243
1.450000 63.223 -131.2715
1.475000 63.633 -132.2621
1.500000 64.033 -133.3873
1.525000 64.422 -134.6137
1.550000 64.802 -135.9251
1.575000 65.173 -137.3052
1.600000 65.534 -138.7379
1.625000 65.888 -140.2068
1.650000 66.234 -141.6958
1.675000 66.573 -143.1887
1.700000 66.906 -144.6691
1.725000 67.233 -146.1208
1.750000 67.555 -147.5277
1.775000 67.873 -148.8735
1.800000 68.186 -150.1419
1.825000 68.496 -151.3168
1.850000 68.802 -152.3954
1.875000 69.101 -153.4061
1.900000 69.394 -154.3578
1.925000 69.680 -155.2585
1.950000 69.961 -156.1158
1.975000 70.236 -156.9377
2.000000 70.505 -157.7320
2.030000 70.822 -158.6597
2.060000 71.133 -159.5724
2.090000 71.437 -160.4836
2.120000 71.737 -161.4069
2.140000 71.933 -162.0358
2.180000 72.321 -163.3436
2.200000 72.512 -164.0305
2.240000 72.887 -165.4398
2.270000 73.160 -166.5130
2.300000 73.427 -167.5966
2.330000 73.688 -168.6877
2.360000 73.943 -169.7829
2.400000 74.276 -171.2447
2.430000 74.519 -172.3379
2.470000 74.838 -173.7857
2.500000 75.072 -174.8602
2.540000 75.378 -176.2717
2.580000 75.679 -177.6551
2.620000 75.971 -179.0284
2.650000 76.185 179.9465
2.690000 76.462 178.5889
2.720000 76.666 177.5791
2.760000 76.930 176.2463
2.800000 77.189 174.9320
2.850000 77.503 173.3195
2.900000 77.809 171.7463
2.950000 78.107 170.2198
3.000000 78.395 168.7512
3.040000 78.619 167.6117
3.070000 78.782 166.7733
3.110000 78.995 165.6714
3.150000 79.202 164.5813
3.200000 79.455 163.2249
3.250000 79.700 161.8625
3.300000 79.939 160.4809
3.350000 80.171 159.0700
3.400000 80.394 157.6398
3.450000 80.610 156.2053
3.500000 80.819 154.7818
3.550000 81.021 153.3845
3.600000 81.218 152.0287
3.650000 81.410 150.7294
3.700000 81.597 149.4973
3.750000 81.777 148.3228
3.820000 82.018 146.7534
3.870000 82.184 145.6706
3.950000 82.441 143.9728
4.000000 82.596 142.9159
4.060000 82.778 141.6354
4.120000 82.953 140.3495
4.180000 83.121 139.0723
4.250000 83.311 137.6113
4.310000 83.469 136.3991
4.370000 83.625 135.2381
4.440000 83.802 133.9636
4.500000 83.950 132.9354
4.550000 84.070 132.1143
4.620000 84.235 131.0051
4.680000 84.374 130.0783
4.750000 84.535 129.0077
4.820000 84.695 127.9454
4.870000 84.808 127.2026
4.940000 84.964 126.1833
5.000000 85.097 125.3271
5.080000 85.274 124.2076
5.150000 85.428 123.2471
5.220000 85.583 122.3166
5.300000 85.759 121.2821
5.380000 85.934 120.2617
5.450000 86.086 119.3666
5.520000 86.238 118.4590
5.600000 86.410 117.4213
5.700000 86.624 116.1229
5.800000 86.834 114.8118
5.900000 87.037 113.4765
6.000000 87.235 112.1166
6.080000 87.390 111.0171
6.150000 87.521 110.0507
6.220000 87.647 109.0836
6.300000 87.786 107.9739
6.400000 87.951 106.5764
6.500000 88.106 105.1808
6.600000 88.252 103.8016
6.700000 88.386 102.4291
6.800000 88.510 101.0656
6.900000 88.625 99.7336
7.000000 88.732 98.4522
7.100000 88.829 97.2111
7.200000 88.918 96.0106
7.300000 89.002 94.8561
7.400000 89.082 93.7523
7.500000 89.157 92.6972
7.620000 89.242 91.4873
7.750000 89.333 90.2389
7.880000 89.422 89.0665
8.000000 89.503 88.0260
8.120000 89.583 87.0023
8.250000 89.671 85.9261
8.380000 89.757 84.8680
8.500000 89.832 83.8911
8.620000 89.904 82.9185
8.750000 89.976 81.8812
8.850000 90.025 81.0975
9.000000 90.090 79.9341
9.120000 90.135 79.0462
9.250000 90.176 78.1473
9.380000 90.209 77.3018
9.500000 90.236 76.5929
9.620000 90.260 75.9708
9.750000 90.282 75.3823
9.880000 90.304 74.8650
10.000000 90.326 74.4599
10.150000 90.354 74.0359
10.300000 90.395 73.6137
10.440000 90.445 73.2394
10.600000 90.514 72.7607
10.750000 90.593 72.1982
10.900000 90.683 71.5455
11.060000 90.772 70.7098
11.200000 90.849 69.8536
11.380000 90.928 68.6610
11.500000 90.966 67.8004
11.720000 91.005 66.2008
11.800000 91.008 65.6465
12.060000 90.986 63.9495
12.200000 90.962 63.2050
12.410000 90.916 62.2948
12.500000 90.902 61.9889
12.650000 90.882 61.6078
12.800000 90.875 61.3088
13.150000 90.943 60.7787
13.200000 90.961 60.6830
13.400000 91.055 60.2490
13.600000 91.162 59.6386
13.800000 91.276 58.7997
14.000000 91.372 57.8019
14.300000 91.470 56.0812
14.500000 91.494 54.9342
14.750000 91.493 53.6631
15.000000 91.469 52.6449
15.250000 91.452 51.9328
15.500000 91.459 51.4074
15.750000 91.499 50.9772
16.000000 91.571 50.4660
16.250000 91.650 49.7860
16.500000 91.723 48.9331
16.750000 91.771 47.9424
17.000000 91.785 46.9731
17.250000 91.770 46.1133
17.500000 91.735 45.4747
17.750000 91.705 45.0819
18.000000 91.691 44.8741
18.250000 91.708 44.7797
18.500000 91.758 44.6270
18.750000 91.828 44.3436
19.000000 91.908 43.8637
19.250000 91.974 43.1953
19.500000 92.020 42.4157
19.750000 92.038 41.5883
20.000000 92.031 40.8315
20.299999 92.003 40.0811
20.600000 91.973 39.5222
20.900000 91.957 39.1066
21.200001 91.964 38.7232
21.400000 91.978 38.4221
21.799999 92.012 37.6696
22.000000 92.024 37.2245
22.400000 92.023 36.2894
22.700001 92.001 35.6631
23.000000 91.972 35.1872
23.299999 91.950 34.8658
23.600000 91.946 34.6521
24.000000 91.973 34.4238
24.299999 92.014 34.2155
24.700001 92.083 33.8422
25.000000 92.139 33.4897
25.400000 92.212 32.9247
25.799999 92.275 32.2343
26.200001 92.308 31.4417
26.500000 92.302 30.8686
26.900000 92.255 30.3179
27.200001 92.209 30.1821
27.600000 92.173 30.3755
28.000000 92.209 30.7130
28.500000 92.336 30.6649
29.000000 92.430 29.7590
29.500000 92.387 28.5742
30.000000 92.238 28.0965
30.400000 92.147 28.4097
30.700001 92.143 28.8195
31.100000 92.220 29.1026
31.500000 92.333 28.7673
32.000000 92.411 27.5986
32.500000 92.369 26.3270
33.000000 92.268 25.6089
33.500000 92.198 25.4326
34.000000 92.200 25.3634
34.500000 92.240 25.0830
35.000000 92.275 24.6151
35.500000 92.286 24.1627
36.000000 92.285 23.8870
36.500000 92.295 23.8104
37.000000 92.334 23.8107
37.500000 92.397 23.7100
38.200001 92.474 23.2523
38.700001 92.493 22.8268
39.500000 92.474 22.3569
40.000000 92.457 22.2087
40.599998 92.443 22.0818
41.200001 92.436 21.9545
41.799999 92.434 21.7915
42.500000 92.435 21.5151
43.099998 92.432 21.2368
43.700001 92.430 20.9584
44.400002 92.428 20.6131
45.000000 92.423 20.3221
45.500000 92.420 20.1365
46.200001 92.437 19.9295
46.799999 92.471 19.6493
47.500000 92.503 19.1017
48.200001 92.492 18.4965
48.700001 92.461 18.1978
49.400002 92.414 18.0948
50.000000 92.403 18.2134
50.799999 92.438 18.3248
51.500000 92.478 18.2226
52.200001 92.503 18.0456
53.000000 92.517 17.8702
53.799999 92.524 17.7102
54.500000 92.524 17.5875
55.200001 92.524 17.4721
56.000000 92.524 17.3162
57.000000 92.524 17.0834
58.000000 92.522 16.8120
59.000000 92.523 16.5939
60.000000 92.542 16.3778
60.799999 92.556 16.1784
61.500000 92.566 16.0544
62.200001 92.581 15.9527
63.000000 92.595 15.7925
64.000000 92.592 15.5995
65.000000 92.579 15.5292
66.000000 92.576 15.5002
67.000000 92.585 15.3949
68.000000 92.593 15.1805
69.000000 92.585 14.9375
70.000000 92.569 14.8400
71.000000 92.567 14.8854
72.000000 92.580 14.9870
73.000000 92.610 15.0182
74.000000 92.627 14.8656
75.000000 92.614 14.7463
76.199997 92.619 14.7004
77.500000 92.647 14.2733
78.800003 92.615 13.7540
80.000000 92.601 13.6608
81.199997 92.624 13.4855
82.500000 92.619 13.3323
83.800003 92.614 13.5135
85.000000 92.645 13.7000
86.199997 92.675 13.6545
87.500000 92.694 13.4982
88.500000 92.707 13.1913
90.000000 92.652 12.5901
91.199997 92.571 12.7448
92.500000 92.597 13.4955
93.800003 92.745 13.7808
95.000000 92.845 13.3608
96.199997 92.850 12.9026
97.500000 92.805 12.7490
98.800003 92.769 12.7777
100.000000 92.736 12.6636
101.500000 92.681 12.5930
103.000000 92.675 12.6553
104.400002 92.725 12.5205
106.000000 92.759 12.1688
107.500000 92.771 12.0417
109.000000 92.772 12.0278
110.599998 92.766 12.0994
112.000000 92.763 12.1092
113.800003 92.753 12.0402
115.000000 92.753 11.9951
117.199997 92.762 11.8780
118.000000 92.763 11.8628
120.599998 92.769 12.0530
122.000000 92.791 12.1575
124.099998 92.805 12.0555
125.000000 92.798 11.9851
126.500000 92.780 11.9261
128.000000 92.772 11.9327
131.500000 92.807 11.8993
132.000000 92.813 11.8795
134.000000 92.823 11.8447
136.000000 92.830 11.9651
138.000000 92.843 12.0092
140.000000 92.834 11.9349
143.000000 92.804 11.9615
145.000000 92.811 12.2891
147.500000 92.913 12.7237
150.000000 92.966 12.4877
152.500000 92.936 12.2925
155.000000 92.923 12.1472
157.500000 92.938 12.0117
160.000000 92.953 12.0059
162.500000 92.959 12.0948
165.000000 92.970 12.1167
167.500000 92.996 12.1348
170.000000 93.027 12.2017
172.500000 93.052 12.2870
175.000000 93.055 12.2302
177.500000 93.036 12.2765
180.000000 93.040 12.4386
182.500000 93.055 12.4323
185.000000 93.067 12.3749
187.500000 93.078 12.3993
190.000000 93.071 12.5936
192.500000 93.051 12.8448
195.000000 93.042 13.0168
197.500000 93.073 12.9676
200.000000 93.105 12.7540
203.000000 93.133 12.7260
206.000000 93.157 12.8655
209.000000 93.159 12.9930
212.000000 93.165 12.9064
214.000000 93.182 12.7801
218.000000 93.240 12.7061
220.000000 93.256 12.8481
224.000000 93.272 13.2476
227.000000 93.275 13.3229
230.000000 93.277 13.3253
233.000000 93.293 13.4048
236.000000 93.313 13.5469
240.000000 93.329 13.7496
243.000000 93.343 13.8232
247.000000 93.384 13.8719
250.000000 93.413 13.8732
254.000000 93.417 14.0676
258.000000 93.422 14.2465
262.000000 93.432 14.2119
265.000000 93.453 14.2336
269.000000 93.481 14.3642
272.000000 93.494 14.4850
276.000000 93.515 14.5687
280.000000 93.547 14.6322
285.000000 93.602 14.7443
290.000000 93.644 14.9305
295.000000 93.670 15.0699
300.000000 93.687 15.0707
304.000000 93.710 15.1818
307.000000 93.726 15.2645
311.000000 93.752 15.3434
315.000000 93.782 15.4307
320.000000 93.821 15.6077
325.000000 93.861 15.8262
330.000000 93.889 15.9567
335.000000 93.924 15.9945
