* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -16.3 dBFS, measurement signal peak level -11.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 24, 2023 3:37:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0577 ms (-20 mm, -0.78 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 45.6 ppm
* Measurement: Audeze iSine 20 S2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.929 -146.4821
1.015000 62.097 -146.6379
1.030000 62.263 -146.8017
1.044000 62.417 -146.9618
1.060000 62.591 -147.1535
1.075000 62.752 -147.3418
1.090000 62.911 -147.5382
1.106000 63.078 -147.7580
1.120000 63.222 -147.9636
1.138000 63.406 -148.2466
1.150000 63.526 -148.4460
1.172000 63.745 -148.8321
1.180000 63.824 -148.9786
1.206000 64.077 -149.4745
1.220000 64.212 -149.7528
1.241000 64.412 -150.1828
1.250000 64.497 -150.3711
1.265000 64.639 -150.6895
1.280000 64.779 -151.0127
1.315000 65.105 -151.7798
1.320000 65.151 -151.8903
1.340000 65.336 -152.3332
1.360000 65.521 -152.7756
1.380000 65.705 -153.2152
1.400000 65.890 -153.6496
1.430000 66.168 -154.2860
1.450000 66.354 -154.6967
1.475000 66.588 -155.1917
1.500000 66.823 -155.6733
1.525000 67.057 -156.1456
1.550000 67.291 -156.6110
1.575000 67.525 -157.0718
1.600000 67.759 -157.5302
1.625000 67.992 -157.9886
1.650000 68.224 -158.4493
1.675000 68.455 -158.9146
1.700000 68.685 -159.3868
1.725000 68.915 -159.8681
1.750000 69.143 -160.3610
1.775000 69.369 -160.8677
1.800000 69.594 -161.3905
1.825000 69.818 -161.9318
1.850000 70.040 -162.4919
1.875000 70.261 -163.0668
1.900000 70.481 -163.6554
1.925000 70.700 -164.2563
1.950000 70.919 -164.8686
1.975000 71.136 -165.4911
2.000000 71.352 -166.1226
2.030000 71.609 -166.8907
2.060000 71.864 -167.6682
2.090000 72.117 -168.4533
2.120000 72.368 -169.2438
2.140000 72.533 -169.7729
2.180000 72.861 -170.8335
2.200000 73.023 -171.3639
2.240000 73.345 -172.4330
2.270000 73.583 -173.2443
2.300000 73.820 -174.0630
2.330000 74.054 -174.8886
2.360000 74.286 -175.7204
2.400000 74.592 -176.8383
2.430000 74.818 -177.6824
2.470000 75.115 -178.8145
2.500000 75.335 -179.6677
2.540000 75.623 179.1903
2.580000 75.906 178.0436
2.620000 76.184 176.8853
2.650000 76.389 176.0091
2.690000 76.658 174.8328
2.720000 76.857 173.9460
2.760000 77.117 172.7592
2.800000 77.373 171.5697
2.850000 77.685 170.0827
2.900000 77.990 168.6000
2.950000 78.287 167.1241
3.000000 78.575 165.6404
3.040000 78.800 164.4486
3.070000 78.965 163.5541
3.110000 79.181 162.3631
3.150000 79.393 161.1770
3.200000 79.651 159.7062
3.250000 79.901 158.2545
3.300000 80.146 156.8281
3.350000 80.383 155.4213
3.400000 80.612 154.0281
3.450000 80.834 152.6501
3.500000 81.049 151.2888
3.550000 81.258 149.9458
3.600000 81.462 148.6228
3.650000 81.661 147.3212
3.700000 81.854 146.0399
3.750000 82.041 144.7743
3.820000 82.292 143.0330
3.870000 82.466 141.8145
3.950000 82.734 139.9156
4.000000 82.898 138.7646
4.060000 83.090 137.4234
4.120000 83.276 136.1254
4.180000 83.455 134.8666
4.250000 83.659 133.4419
4.310000 83.829 132.2539
4.370000 83.996 131.0921
4.440000 84.189 129.7693
4.500000 84.351 128.6716
4.550000 84.483 127.7799
4.620000 84.664 126.5617
4.680000 84.817 125.5411
4.750000 84.993 124.3718
4.820000 85.168 123.2284
4.870000 85.291 122.4335
4.940000 85.462 121.3447
5.000000 85.605 120.4279
5.080000 85.794 119.2194
5.150000 85.955 118.1667
5.220000 86.115 117.1257
5.300000 86.294 115.9521
5.380000 86.469 114.7923
5.450000 86.617 113.7863
5.520000 86.762 112.7859
5.600000 86.922 111.6488
5.700000 87.115 110.2420
5.800000 87.299 108.8592
5.900000 87.473 107.5064
6.000000 87.637 106.1749
6.080000 87.762 105.1302
6.150000 87.866 104.2367
6.220000 87.967 103.3670
6.300000 88.078 102.4013
6.400000 88.208 101.2310
6.500000 88.331 100.1055
6.600000 88.451 99.0292
6.700000 88.566 98.0086
6.800000 88.676 97.0376
6.900000 88.785 96.1036
7.000000 88.894 95.1976
7.100000 89.001 94.3333
7.200000 89.108 93.4975
7.300000 89.215 92.6698
7.400000 89.322 91.8421
7.500000 89.429 91.0270
7.620000 89.555 90.0485
7.750000 89.686 88.9655
7.880000 89.813 87.8618
8.000000 89.924 86.8352
8.120000 90.025 85.8052
8.250000 90.125 84.6751
8.380000 90.215 83.5626
8.500000 90.287 82.5728
8.620000 90.349 81.6052
8.750000 90.409 80.6068
8.850000 90.452 79.8904
9.000000 90.507 78.8892
9.120000 90.551 78.1437
9.250000 90.603 77.3952
9.380000 90.657 76.7097
9.500000 90.709 76.0943
9.620000 90.766 75.4828
9.750000 90.831 74.8368
9.880000 90.892 74.1644
10.000000 90.943 73.5021
10.150000 91.002 72.6359
10.300000 91.046 71.7212
10.440000 91.075 70.8078
10.600000 91.095 69.7523
10.750000 91.099 68.7788
10.900000 91.091 67.8261
11.060000 91.074 66.9249
11.200000 91.049 66.2248
11.380000 91.023 65.4708
11.500000 91.008 65.0842
11.720000 91.004 64.5184
11.800000 91.016 64.3437
12.060000 91.095 63.8429
12.200000 91.165 63.4878
12.410000 91.302 62.8326
12.500000 91.361 62.4580
12.650000 91.469 61.7139
12.800000 91.570 60.8455
13.150000 91.744 58.3594
13.200000 91.759 57.9899
13.400000 91.796 56.4545
13.600000 91.799 55.0201
13.800000 91.767 53.7527
14.000000 91.721 52.7343
14.300000 91.646 51.6828
14.500000 91.617 51.2597
14.750000 91.616 50.8556
15.000000 91.657 50.4910
15.250000 91.726 49.9834
15.500000 91.798 49.3322
15.750000 91.858 48.5596
16.000000 91.893 47.7692
16.250000 91.910 47.0726
16.500000 91.916 46.5041
16.750000 91.927 46.0879
17.000000 91.955 45.7336
17.250000 91.997 45.3816
17.500000 92.051 44.9514
17.750000 92.100 44.4174
18.000000 92.137 43.8152
18.250000 92.155 43.1884
18.500000 92.157 42.6339
18.750000 92.151 42.1753
19.000000 92.148 41.8326
19.250000 92.158 41.5554
19.500000 92.182 41.2763
19.750000 92.220 40.9438
20.000000 92.260 40.4986
20.299999 92.297 39.8436
20.600000 92.314 39.1200
20.900000 92.306 38.4295
21.200001 92.283 37.8714
21.400000 92.268 37.5912
21.799999 92.254 37.1934
22.000000 92.260 37.0284
22.400000 92.298 36.6399
22.700001 92.339 36.2316
23.000000 92.375 35.7173
23.299999 92.398 35.1530
23.600000 92.408 34.6020
24.000000 92.408 33.9716
24.299999 92.408 33.5988
24.700001 92.419 33.1948
25.000000 92.437 32.9035
25.400000 92.469 32.4647
25.799999 92.496 31.9546
26.200001 92.507 31.4329
26.500000 92.505 31.0889
26.900000 92.498 30.7388
27.200001 92.496 30.5546
27.600000 92.508 30.3642
28.000000 92.533 30.1546
28.500000 92.573 29.7892
29.000000 92.605 29.3443
29.500000 92.628 28.9105
30.000000 92.657 28.4958
30.400000 92.687 28.1094
30.700001 92.708 27.7528
31.100000 92.725 27.1916
31.500000 92.719 26.5959
32.000000 92.679 25.9633
32.500000 92.622 25.6013
33.000000 92.579 25.5231
33.500000 92.575 25.5974
34.000000 92.613 25.6193
34.500000 92.674 25.4202
35.000000 92.723 24.9765
35.500000 92.736 24.4513
36.000000 92.720 24.0758
36.500000 92.708 23.9236
37.000000 92.726 23.8161
37.500000 92.761 23.5273
38.200001 92.770 22.8680
38.700001 92.741 22.5195
39.500000 92.721 22.3031
40.000000 92.736 22.0774
40.599998 92.736 21.6339
41.200001 92.704 21.3296
41.799999 92.689 21.2861
42.500000 92.728 21.1642
43.099998 92.762 20.7625
43.700001 92.760 20.3163
44.400002 92.736 20.0457
45.000000 92.736 19.9896
45.500000 92.757 19.9343
46.200001 92.804 19.7113
46.799999 92.840 19.3492
47.500000 92.852 18.8370
48.200001 92.829 18.4697
48.700001 92.809 18.3911
49.400002 92.810 18.4725
50.000000 92.848 18.5078
50.799999 92.912 18.2024
51.500000 92.923 17.6910
52.200001 92.881 17.3239
53.000000 92.824 17.2842
53.799999 92.802 17.3824
54.500000 92.795 17.4003
55.200001 92.790 17.4136
56.000000 92.803 17.4631
57.000000 92.855 17.3475
58.000000 92.901 16.9784
59.000000 92.920 16.6091
60.000000 92.915 16.4664
60.799999 92.933 16.5900
61.500000 92.978 16.5807
62.200001 93.007 16.2440
63.000000 92.962 15.7260
64.000000 92.813 15.5648
65.000000 92.690 16.1069
66.000000 92.691 16.6055
67.000000 92.732 16.3011
68.000000 92.731 15.7529
69.000000 92.756 15.2090
70.000000 92.779 14.4789
71.000000 92.780 14.0057
72.000000 92.824 13.9182
73.000000 92.918 13.7015
74.000000 92.955 13.2422
75.000000 92.928 13.3320
76.199997 92.989 13.8655
77.500000 93.052 13.5900
78.800003 92.976 13.4778
80.000000 92.944 14.0415
81.199997 93.034 14.1455
82.500000 93.058 13.2188
83.800003 92.942 12.7529
85.000000 92.880 13.1381
86.199997 92.919 13.5922
87.500000 92.998 13.7071
88.500000 93.044 13.5641
90.000000 93.058 13.1281
91.199997 93.026 12.7542
92.500000 92.982 12.5728
93.800003 92.991 12.5172
95.000000 93.018 12.4747
96.199997 93.050 12.6130
97.500000 93.062 12.9423
98.800003 93.025 13.5361
100.000000 92.986 14.2212
101.500000 92.955 14.1875
103.000000 92.835 13.1013
104.400002 92.730 11.5938
106.000000 92.682 9.9276
107.500000 92.712 8.3866
109.000000 92.651 8.2704
110.599998 92.751 10.3489
112.000000 93.009 11.9189
113.800003 93.198 12.4020
115.000000 93.213 12.6030
117.199997 93.233 12.3854
118.000000 93.204 12.0973
120.599998 93.097 11.9155
122.000000 93.068 11.8803
124.099998 93.039 11.9805
125.000000 93.043 12.0142
126.500000 93.078 11.9435
128.000000 93.118 11.6253
131.500000 93.107 11.3148
132.000000 93.104 11.4112
134.000000 93.142 11.8605
136.000000 93.201 11.7917
138.000000 93.205 11.4594
140.000000 93.181 11.2394
143.000000 93.138 11.1059
145.000000 93.105 11.1316
147.500000 93.085 11.2856
150.000000 93.096 11.3243
152.500000 93.131 11.1895
155.000000 93.195 10.9976
157.500000 93.262 11.1763
160.000000 93.304 11.5866
162.500000 93.302 11.7927
165.000000 93.316 11.8378
167.500000 93.371 11.9583
170.000000 93.376 12.2612
172.500000 93.320 12.5571
175.000000 93.283 12.5115
177.500000 93.292 12.2753
180.000000 93.311 12.2129
182.500000 93.337 12.2392
185.000000 93.376 12.2157
187.500000 93.414 12.2689
190.000000 93.419 12.3004
192.500000 93.390 12.2008
195.000000 93.381 12.1154
197.500000 93.396 12.2130
200.000000 93.405 12.5201
203.000000 93.404 12.7386
206.000000 93.413 12.6771
209.000000 93.418 12.7758
212.000000 93.458 12.9619
214.000000 93.497 12.8513
218.000000 93.523 12.7139
220.000000 93.518 12.9733
224.000000 93.517 13.5053
227.000000 93.533 13.5962
230.000000 93.573 13.5990
233.000000 93.612 13.5425
236.000000 93.628 13.4880
240.000000 93.623 13.5582
243.000000 93.616 13.7100
247.000000 93.628 13.7747
250.000000 93.645 13.6935
254.000000 93.674 13.5555
258.000000 93.698 13.7098
262.000000 93.706 14.0081
265.000000 93.711 14.1499
269.000000 93.740 14.2861
272.000000 93.759 14.4178
276.000000 93.784 14.4886
280.000000 93.799 14.4446
285.000000 93.814 14.2975
290.000000 93.865 14.5706
295.000000 93.901 15.0235
300.000000 93.933 14.8854
304.000000 93.992 14.8923
307.000000 94.023 14.9644
311.000000 94.047 15.1733
315.000000 94.069 15.4165
320.000000 94.093 15.5608
325.000000 94.111 15.8083
330.000000 94.152 16.5326
335.000000 94.237 16.7366
