* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -16.0 dBFS, measurement signal peak level -14.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2023 7:59:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1393 ms (-48 mm, -1.88 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -17.2 ppm
* Measurement: Balanced R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 59.768 116.6969
1.015000 60.110 114.5670
1.030000 60.448 112.5100
1.044000 60.759 110.6631
1.060000 61.110 108.6476
1.075000 61.433 106.8588
1.090000 61.750 105.1760
1.106000 62.082 103.5053
1.120000 62.368 102.1418
1.138000 62.733 100.5122
1.150000 62.973 99.4978
1.172000 63.409 97.7745
1.180000 63.566 97.1883
1.206000 64.071 95.4155
1.220000 64.339 94.5356
1.241000 64.736 93.2991
1.250000 64.905 92.7957
1.265000 65.184 91.9868
1.280000 65.460 91.2095
1.315000 66.095 89.4808
1.320000 66.184 89.2398
1.340000 66.539 88.2811
1.360000 66.891 87.3184
1.380000 67.238 86.3355
1.400000 67.580 85.3165
1.430000 68.087 83.6850
1.450000 68.421 82.5053
1.475000 68.832 80.9082
1.500000 69.236 79.2431
1.525000 69.631 77.5367
1.550000 70.020 75.7981
1.575000 70.401 74.0364
1.600000 70.775 72.2607
1.625000 71.143 70.4798
1.650000 71.505 68.7031
1.675000 71.861 66.9393
1.700000 72.211 65.1977
1.725000 72.556 63.4872
1.750000 72.896 61.8170
1.775000 73.232 60.1960
1.800000 73.563 58.6334
1.825000 73.891 57.1381
1.850000 74.214 55.7144
1.875000 74.531 54.3524
1.900000 74.842 53.0451
1.925000 75.147 51.7860
1.950000 75.448 50.5687
1.975000 75.742 49.3866
2.000000 76.033 48.2332
2.030000 76.375 46.8779
2.060000 76.710 45.5433
2.090000 77.040 44.2183
2.120000 77.365 42.8915
2.140000 77.579 42.0005
2.180000 78.000 40.1880
2.200000 78.208 39.2599
2.240000 78.616 37.3903
2.270000 78.914 35.9887
2.300000 79.207 34.5891
2.330000 79.493 33.1925
2.360000 79.775 31.8002
2.400000 80.142 29.9524
2.430000 80.411 28.5745
2.470000 80.764 26.7504
2.500000 81.023 25.3934
2.540000 81.364 23.6015
2.580000 81.698 21.8306
2.620000 82.023 20.0724
2.650000 82.261 18.7617
2.690000 82.572 17.0262
2.720000 82.800 15.7347
2.760000 83.097 14.0278
2.800000 83.388 12.3396
2.850000 83.742 10.2587
2.900000 84.088 8.2139
2.950000 84.424 6.2100
3.000000 84.751 4.2581
3.040000 85.004 2.7292
3.070000 85.190 1.5978
3.110000 85.432 0.1050
3.150000 85.668 -1.3752
3.200000 85.956 -3.2164
3.250000 86.237 -5.0582
3.300000 86.510 -6.9119
3.350000 86.775 -8.7833
3.400000 87.032 -10.6643
3.450000 87.280 -12.5439
3.500000 87.520 -14.4110
3.550000 87.753 -16.2549
3.600000 87.980 -18.0646
3.650000 88.200 -19.8292
3.700000 88.415 -21.5407
3.750000 88.622 -23.2054
3.820000 88.900 -25.4739
3.870000 89.091 -27.0621
3.950000 89.385 -29.5715
4.000000 89.562 -31.1337
4.060000 89.769 -33.0148
4.120000 89.967 -34.8967
4.180000 90.156 -36.7686
4.250000 90.368 -38.9259
4.310000 90.543 -40.7407
4.370000 90.713 -42.5129
4.440000 90.903 -44.5162
4.500000 91.059 -46.1832
4.550000 91.184 -47.5430
4.620000 91.353 -49.4103
4.680000 91.492 -50.9850
4.750000 91.650 -52.8025
4.820000 91.801 -54.6028
4.870000 91.905 -55.8727
4.940000 92.045 -57.6262
5.000000 92.160 -59.1049
5.080000 92.308 -61.0385
5.150000 92.434 -62.6921
5.220000 92.554 -64.3071
5.300000 92.685 -66.1102
5.380000 92.811 -67.8747
5.450000 92.916 -69.3927
5.520000 93.019 -70.8907
5.600000 93.131 -72.5713
5.700000 93.264 -74.6263
5.800000 93.390 -76.6375
5.900000 93.510 -78.6111
6.000000 93.623 -80.5438
6.080000 93.708 -82.0605
6.150000 93.779 -83.3669
6.220000 93.848 -84.6547
6.300000 93.922 -86.1024
6.400000 94.009 -87.8757
6.500000 94.090 -89.6118
6.600000 94.165 -91.3143
6.700000 94.235 -92.9857
6.800000 94.298 -94.6230
6.900000 94.356 -96.2225
7.000000 94.409 -97.7808
7.100000 94.456 -99.2986
7.200000 94.498 -100.7775
7.300000 94.537 -102.2190
7.400000 94.572 -103.6237
7.500000 94.602 -104.9906
7.620000 94.634 -106.5820
7.750000 94.664 -108.2462
7.880000 94.690 -109.8451
8.000000 94.711 -111.2710
8.120000 94.729 -112.6554
8.250000 94.746 -114.1032
8.380000 94.761 -115.5059
8.500000 94.773 -116.7669
8.620000 94.783 -117.9917
8.750000 94.792 -119.2844
8.850000 94.797 -120.2584
9.000000 94.802 -121.6828
9.120000 94.804 -122.7925
9.250000 94.804 -123.9670
9.380000 94.802 -125.1120
9.500000 94.796 -126.1397
9.620000 94.786 -127.1385
9.750000 94.770 -128.1888
9.880000 94.746 -129.2028
10.000000 94.714 -130.1050
10.150000 94.664 -131.1887
10.300000 94.607 -132.2223
10.440000 94.547 -133.1398
10.600000 94.475 -134.1396
10.750000 94.412 -135.0326
10.900000 94.349 -135.8839
11.060000 94.286 -136.7587
11.200000 94.233 -137.4933
11.380000 94.167 -138.4087
11.500000 94.124 -139.0028
11.720000 94.049 -140.0602
11.800000 94.023 -140.4365
12.060000 93.941 -141.6262
12.200000 93.898 -142.2447
12.410000 93.835 -143.1418
12.500000 93.808 -143.5125
12.650000 93.763 -144.1132
12.800000 93.718 -144.6905
13.150000 93.612 -145.9424
13.200000 93.598 -146.1112
13.400000 93.542 -146.7599
13.600000 93.489 -147.3739
13.800000 93.440 -147.9550
14.000000 93.393 -148.5090
14.300000 93.325 -149.2919
14.500000 93.282 -149.7844
14.750000 93.231 -150.3671
15.000000 93.184 -150.9143
15.250000 93.143 -151.4272
15.500000 93.107 -151.9111
15.750000 93.075 -152.3696
16.000000 93.046 -152.8100
16.250000 93.020 -153.2367
16.500000 92.997 -153.6522
16.750000 92.976 -154.0585
17.000000 92.958 -154.4559
17.250000 92.942 -154.8448
17.500000 92.928 -155.2256
17.750000 92.915 -155.5995
18.000000 92.902 -155.9654
18.250000 92.890 -156.3226
18.500000 92.877 -156.6653
18.750000 92.865 -156.9890
19.000000 92.854 -157.2899
19.250000 92.846 -157.5655
19.500000 92.843 -157.8223
19.750000 92.844 -158.0658
20.000000 92.850 -158.3112
20.299999 92.861 -158.6234
20.600000 92.875 -158.9645
20.900000 92.888 -159.3348
21.200001 92.896 -159.7198
21.400000 92.899 -159.9710
21.799999 92.899 -160.4396
22.000000 92.898 -160.6506
22.400000 92.901 -161.0283
22.700001 92.908 -161.2923
23.000000 92.919 -161.5637
23.299999 92.933 -161.8563
23.600000 92.946 -162.1713
24.000000 92.960 -162.6135
24.299999 92.967 -162.9443
24.700001 92.974 -163.3655
25.000000 92.977 -163.6630
25.400000 92.983 -164.0427
25.799999 92.991 -164.4180
26.200001 92.998 -164.7988
26.500000 93.003 -165.0886
26.900000 93.009 -165.4768
27.200001 93.013 -165.7653
27.600000 93.017 -166.1411
28.000000 93.021 -166.5028
28.500000 93.030 -166.9394
29.000000 93.044 -167.3875
29.500000 93.061 -167.8856
30.000000 93.071 -168.4385
30.400000 93.068 -168.8814
30.700001 93.061 -169.1851
31.100000 93.049 -169.5278
31.500000 93.041 -169.8054
32.000000 93.045 -170.1202
32.500000 93.059 -170.4758
33.000000 93.072 -170.8948
33.500000 93.077 -171.3350
34.000000 93.078 -171.7513
34.500000 93.080 -172.1406
35.000000 93.082 -172.5217
35.500000 93.084 -172.9034
36.000000 93.083 -173.2786
36.500000 93.081 -173.6434
37.000000 93.079 -174.0027
37.500000 93.076 -174.3590
38.200001 93.070 -174.8469
38.700001 93.067 -175.1880
39.500000 93.064 -175.7356
40.000000 93.062 -176.0786
40.599998 93.060 -176.4875
41.200001 93.058 -176.8993
41.799999 93.056 -177.3160
42.500000 93.050 -177.7913
43.099998 93.046 -178.1777
43.700001 93.043 -178.5544
44.400002 93.039 -178.9954
45.000000 93.034 -179.3696
45.500000 93.029 -179.6705
46.200001 93.022 179.9221
46.799999 93.018 179.5728
47.500000 93.011 179.1649
48.200001 93.002 178.7814
48.700001 92.997 178.5264
49.400002 92.994 178.1671
50.000000 92.991 177.8373
50.799999 92.981 177.3930
51.500000 92.969 177.0319
52.200001 92.956 176.6863
53.000000 92.942 176.2935
53.799999 92.929 175.8908
54.500000 92.916 175.5095
55.200001 92.898 175.1202
56.000000 92.875 174.7162
57.000000 92.857 174.2506
58.000000 92.854 173.7709
59.000000 92.862 173.1644
60.000000 92.839 172.4467
60.799999 92.801 172.0389
61.500000 92.778 171.8007
62.200001 92.767 171.5356
63.000000 92.750 171.1714
64.000000 92.720 170.7369
65.000000 92.690 170.3092
66.000000 92.659 169.8558
67.000000 92.628 169.3892
68.000000 92.596 168.9012
69.000000 92.562 168.4229
70.000000 92.530 167.9772
71.000000 92.503 167.5268
72.000000 92.475 167.0560
73.000000 92.442 166.5911
74.000000 92.405 166.1288
75.000000 92.363 165.6814
76.199997 92.311 165.1763
77.500000 92.256 164.6213
78.800003 92.198 164.0637
80.000000 92.145 163.5509
81.199997 92.090 163.0312
82.500000 92.026 162.4858
83.800003 91.960 161.9583
85.000000 91.896 161.4860
86.199997 91.833 161.0333
87.500000 91.766 160.5405
88.500000 91.713 160.1561
90.000000 91.631 159.5878
91.199997 91.563 159.1459
92.500000 91.483 158.6838
93.800003 91.397 158.2521
95.000000 91.311 157.8990
96.199997 91.228 157.5802
97.500000 91.142 157.1855
98.800003 91.051 156.7560
100.000000 90.965 156.3629
101.500000 90.855 155.8979
103.000000 90.745 155.4926
104.400002 90.643 155.1725
106.000000 90.525 154.8574
107.500000 90.414 154.5660
109.000000 90.295 154.2463
110.599998 90.153 153.9123
112.000000 90.020 153.6868
113.800003 89.857 153.4780
115.000000 89.752 153.3620
117.199997 89.569 153.1877
118.000000 89.503 153.1355
120.599998 89.272 153.0291
122.000000 89.140 153.1077
124.099998 88.951 153.2847
125.000000 88.873 153.3550
126.500000 88.742 153.4687
128.000000 88.612 153.5989
131.500000 88.314 154.0250
132.000000 88.272 154.1049
134.000000 88.105 154.4675
136.000000 87.941 154.8842
138.000000 87.782 155.3772
140.000000 87.627 155.9358
143.000000 87.401 156.8694
145.000000 87.257 157.5524
147.500000 87.086 158.4572
150.000000 86.918 159.3878
152.500000 86.760 160.3900
155.000000 86.630 161.4291
157.500000 86.512 162.5115
160.000000 86.391 163.7037
162.500000 86.280 164.8950
165.000000 86.182 165.9875
167.500000 86.100 167.1006
170.000000 86.030 168.2468
172.500000 85.963 169.4067
175.000000 85.913 170.5142
177.500000 85.882 171.5690
180.000000 85.860 172.6635
182.500000 85.843 173.8065
185.000000 85.835 174.8928
187.500000 85.832 175.9147
190.000000 85.837 176.9279
192.500000 85.849 177.8999
195.000000 85.865 178.7694
197.500000 85.887 179.5842
200.000000 85.918 -179.5994
203.000000 85.959 -178.6703
206.000000 85.999 -177.8152
209.000000 86.045 -177.0051
212.000000 86.097 -176.2463
214.000000 86.132 -175.7554
218.000000 86.202 -174.8010
220.000000 86.234 -174.3721
224.000000 86.301 -173.6089
227.000000 86.359 -173.0908
230.000000 86.410 -172.5848
233.000000 86.452 -172.0804
236.000000 86.492 -171.6301
240.000000 86.552 -171.0876
243.000000 86.602 -170.7222
247.000000 86.667 -170.2784
250.000000 86.711 -169.9463
254.000000 86.765 -169.5083
258.000000 86.816 -169.0858
262.000000 86.865 -168.6953
265.000000 86.902 -168.4374
269.000000 86.950 -168.1283
272.000000 86.981 -167.9178
276.000000 87.019 -167.6451
280.000000 87.057 -167.3094
285.000000 87.105 -166.8762
290.000000 87.152 -166.4827
