* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -16.4 dBFS, measurement signal peak level -15.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: May 9, 2024 12:59:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0686 ms (-24 mm, -0.93 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: UC R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 69.140, 3.2504
1.015000, 69.560, 1.0460
1.030000, 69.974, -0.9759
1.044000, 70.351, -2.7346
1.060000, 70.769, -4.6274
1.075000, 71.145, -6.3153
1.090000, 71.503, -7.9391
1.106000, 71.873, -9.6066
1.120000, 72.199, -10.9986
1.138000, 72.631, -12.6855
1.150000, 72.926, -13.7466
1.172000, 73.480, -15.5727
1.180000, 73.684, -16.2051
1.206000, 74.359, -18.1295
1.220000, 74.726, -19.0891
1.241000, 75.278, -20.4379
1.250000, 75.515, -20.9852
1.265000, 75.907, -21.8598
1.280000, 76.296, -22.6909
1.315000, 77.184, -24.4825
1.320000, 77.308, -24.7235
1.340000, 77.793, -25.6551
1.360000, 78.259, -26.5389
1.380000, 78.703, -27.4210
1.400000, 79.121, -28.2840
1.430000, 79.694, -29.5278
1.450000, 80.034, -30.3306
1.475000, 80.408, -31.3067
1.500000, 80.729, -32.2430
1.525000, 81.002, -33.1340
1.550000, 81.233, -33.9809
1.575000, 81.427, -34.8078
1.600000, 81.589, -35.6352
1.625000, 81.724, -36.4274
1.650000, 81.839, -37.1883
1.675000, 81.938, -37.9217
1.700000, 82.026, -38.6314
1.725000, 82.110, -39.3211
1.750000, 82.195, -39.9942
1.775000, 82.286, -40.6713
1.800000, 82.388, -41.3719
1.825000, 82.504, -42.0644
1.850000, 82.630, -42.7488
1.875000, 82.756, -43.4202
1.900000, 82.879, -44.0760
1.925000, 82.998, -44.7147
1.950000, 83.114, -45.3354
1.975000, 83.227, -45.9550
2.000000, 83.337, -46.5896
2.030000, 83.466, -47.3275
2.060000, 83.592, -48.0427
2.090000, 83.716, -48.7370
2.120000, 83.838, -49.4125
2.140000, 83.918, -49.8534
2.180000, 84.079, -50.7370
2.200000, 84.158, -51.1898
2.240000, 84.315, -52.0781
2.270000, 84.430, -52.7276
2.300000, 84.542, -53.3615
2.330000, 84.652, -53.9792
2.360000, 84.760, -54.5811
2.400000, 84.902, -55.4069
2.430000, 85.007, -56.0150
2.470000, 85.144, -56.8031
2.500000, 85.246, -57.3784
2.540000, 85.381, -58.1263
2.580000, 85.515, -58.8732
2.620000, 85.647, -59.6392
2.650000, 85.744, -60.2003
2.690000, 85.873, -60.9307
2.720000, 85.968, -61.4650
2.760000, 86.092, -62.1581
2.800000, 86.215, -62.8713
2.850000, 86.367, -63.7426
2.900000, 86.516, -64.5869
2.950000, 86.662, -65.4078
3.000000, 86.806, -66.2396
3.040000, 86.919, -66.9010
3.070000, 87.003, -67.3873
3.110000, 87.113, -68.0221
3.150000, 87.221, -68.6414
3.200000, 87.355, -69.4250
3.250000, 87.487, -70.2006
3.300000, 87.617, -70.9561
3.350000, 87.745, -71.6943
3.400000, 87.871, -72.4507
3.450000, 87.995, -73.2037
3.500000, 88.117, -73.9375
3.550000, 88.237, -74.6500
3.600000, 88.355, -75.3679
3.650000, 88.470, -76.0771
3.700000, 88.583, -76.7707
3.750000, 88.694, -77.4527
3.820000, 88.846, -78.4213
3.870000, 88.951, -79.1019
3.950000, 89.117, -80.1515
4.000000, 89.218, -80.8033
4.060000, 89.337, -81.5745
4.120000, 89.454, -82.3285
4.180000, 89.568, -83.0731
4.250000, 89.698, -83.9489
4.310000, 89.808, -84.6716
4.370000, 89.914, -85.3711
4.440000, 90.036, -86.1910
4.500000, 90.137, -86.8759
4.550000, 90.220, -87.4330
4.620000, 90.334, -88.2180
4.680000, 90.430, -88.8737
4.750000, 90.540, -89.6084
4.820000, 90.648, -90.3372
4.870000, 90.725, -90.8478
4.940000, 90.830, -91.5425
5.000000, 90.919, -92.1348
5.080000, 91.036, -92.9104
5.150000, 91.137, -93.5634
5.220000, 91.237, -94.2173
5.300000, 91.349, -94.9495
5.380000, 91.460, -95.6619
5.450000, 91.555, -96.2876
5.520000, 91.650, -96.8963
5.600000, 91.757, -97.5852
5.700000, 91.889, -98.4405
