* Measurement data measured by REW V5.31.3
* Source: JM-1 Target Filtered
* Format: 
* Dated: Oct 3, 2024 7:46:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: Measurement imported from C:\Users\Ralph Ivan Danque\Documents\Graph Tool\data_fossy\JM-1 Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  LS Q     Fc   105.0 Hz  Gain   6.60 dB Q  0.710 PK       Fc    2800 Hz  Gain  -1.80 dB  Q  1.000 HS Q     Fc    2500 Hz  Gain  -3.00 dB Q  0.420 PK       Fc   65.00 Hz  Gain  -2.00 dB  Q  0.700 PK       Fc   85.00 Hz  Gain  -0.50 dB  Q  2.000 PK       Fc    1600 Hz  Gain   1.30 dB  Q  2.000 HS Q     Fc    3000 Hz  Gain  -1.00 dB Q   1.00
* Measurement: EQ JM-1 Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB)
20.299999, 11.599
20.600000, 11.602
20.900000, 11.606
21.200001, 11.611
21.400000, 11.614
21.799999, 11.618
22.000000, 11.620
22.400000, 11.622
22.700001, 11.622
23.000000, 11.621
23.299999, 11.619
23.600000, 11.616
24.000000, 11.611
24.299999, 11.606
24.700001, 11.599
25.000000, 11.592
25.400000, 11.583
25.799999, 11.572
26.200001, 11.561
26.500000, 11.552
26.900000, 11.539
27.200001, 11.528
27.600000, 11.513
28.000000, 11.497
28.500000, 11.477
29.000000, 11.455
29.500000, 11.433
30.000000, 11.410
30.400000, 11.390
30.700001, 11.376
31.100000, 11.355
31.500000, 11.334
32.000000, 11.308
32.500000, 11.281
33.000000, 11.253
33.500000, 11.226
34.000000, 11.197
34.500000, 11.168
35.000000, 11.139
35.500000, 11.110
36.000000, 11.080
36.500000, 11.050
37.000000, 11.021
37.500000, 10.991
38.200001, 10.949
38.700001, 10.919
39.500000, 10.871
40.000000, 10.841
40.599998, 10.806
41.200001, 10.771
41.799999, 10.736
42.500000, 10.694
43.099998, 10.660
43.700001, 10.626
44.400002, 10.585
45.000000, 10.551
45.500000, 10.523
46.200001, 10.484
46.799999, 10.451
47.500000, 10.412
48.200001, 10.373
48.700001, 10.346
49.400002, 10.309
50.000000, 10.276
50.799999, 10.234
51.500000, 10.197
52.200001, 10.159
53.000000, 10.117
53.799999, 10.076
54.500000, 10.039
55.200001, 10.002
56.000000, 9.961
57.000000, 9.909
58.000000, 9.857
59.000000, 9.805
60.000000, 9.752
60.799999, 9.710
61.500000, 9.674
62.200001, 9.637
63.000000, 9.594
64.000000, 9.540
65.000000, 9.486
66.000000, 9.432
67.000000, 9.377
68.000000, 9.321
69.000000, 9.264
70.000000, 9.207
71.000000, 9.150
72.000000, 9.092
73.000000, 9.034
74.000000, 8.976
75.000000, 8.917
76.199997, 8.848
77.500000, 8.775
78.800003, 8.703
80.000000, 8.639
81.199997, 8.577
82.500000, 8.512
83.800003, 8.452
85.000000, 8.398
86.199997, 8.348
87.500000, 8.296
88.500000, 8.258
90.000000, 8.204
91.199997, 8.162
92.500000, 8.118
93.800003, 8.076
95.000000, 8.037
96.199997, 7.998
97.500000, 7.956
98.800003, 7.914
100.000000, 7.874
