* Measurement data measured by REW V5.20.13
* Source: Microphone (High Definition Audio Device), MICROPHONE (Master Volume), L, volume: 0.000. Timing signal peak level -8.4 dBFS, measurement signal peak level -6.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 13, 2022 3:18:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0506 ms (-17 mm, -0.68 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -5.7 ppm
* Measurement: Buds Pro ANC R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.958 -69.5406
1.015000 73.988 -70.9774
1.030000 74.018 -72.4019
1.044000 74.045 -73.7177
1.060000 74.076 -75.2018
1.075000 74.104 -76.5710
1.090000 74.131 -77.9157
1.106000 74.159 -79.3213
1.120000 74.183 -80.5351
1.138000 74.214 -82.0784
1.150000 74.234 -83.0974
1.172000 74.271 -84.9478
1.180000 74.284 -85.6157
1.206000 74.327 -87.7713
1.220000 74.350 -88.9243
1.241000 74.384 -90.6469
1.250000 74.398 -91.3834
1.265000 74.422 -92.6097
1.280000 74.445 -93.8356
1.315000 74.498 -96.7028
1.320000 74.506 -97.1139
1.340000 74.535 -98.7641
1.360000 74.564 -100.4261
1.380000 74.593 -102.1031
1.400000 74.621 -103.7986
1.430000 74.661 -106.3835
1.450000 74.688 -108.1394
1.475000 74.720 -110.3760
1.500000 74.752 -112.6550
1.525000 74.785 -114.9705
1.550000 74.818 -117.3177
1.575000 74.851 -119.6913
1.600000 74.883 -122.0865
1.625000 74.914 -124.4983
1.650000 74.943 -126.9215
1.675000 74.971 -129.3512
1.700000 74.996 -131.7824
1.725000 75.019 -134.2100
1.750000 75.040 -136.6291
1.775000 75.057 -139.0346
1.800000 75.070 -141.4215
1.825000 75.080 -143.7848
1.850000 75.087 -146.1246
1.875000 75.092 -148.4516
1.900000 75.097 -150.7681
1.925000 75.100 -153.0756
1.950000 75.100 -155.3759
1.975000 75.099 -157.6706
2.000000 75.094 -159.9615
2.030000 75.083 -162.7077
2.060000 75.068 -165.4538
2.090000 75.045 -168.2024
2.120000 75.016 -170.9567
2.140000 74.992 -172.7975
2.180000 74.933 -176.4937
2.200000 74.897 -178.3507
2.240000 74.821 177.9477
2.270000 74.760 175.1862
2.300000 74.695 172.4305
2.330000 74.624 169.6746
2.360000 74.546 166.9123
2.400000 74.428 163.2090
2.430000 74.327 160.4085
2.470000 74.174 156.6323
2.500000 74.044 153.7605
2.540000 73.847 149.8672
2.580000 73.621 145.9219
2.620000 73.374 142.1749
2.650000 73.175 139.4704
2.690000 72.893 135.9066
2.720000 72.667 133.1979
2.760000 72.345 129.4395
2.800000 71.998 125.4002
2.850000 71.529 119.7681
2.900000 71.016 113.2633
2.950000 70.441 105.6664
3.000000 69.679 97.0615
3.040000 68.967 89.5727
3.070000 68.404 83.6557
3.110000 67.653 75.4296
3.150000 66.944 66.8918
3.200000 66.191 55.9028
3.250000 65.672 44.7072
3.300000 65.479 33.4556
3.350000 65.636 21.5309
3.400000 66.070 8.7238
3.450000 66.715 -4.5284
3.500000 67.501 -17.7889
3.550000 68.360 -30.6208
3.600000 69.225 -42.5870
3.650000 70.028 -53.2507
3.700000 70.770 -62.4325
3.750000 71.568 -70.5997
3.820000 72.741 -80.6075
3.870000 73.584 -86.9111
3.950000 74.869 -95.8871
4.000000 75.592 -101.0029
4.060000 76.344 -106.7045
4.120000 77.007 -111.3845
4.180000 77.601 -115.2338
4.250000 78.221 -119.0935
4.310000 78.705 -122.2196
4.370000 79.158 -125.5087
4.440000 79.654 -129.7966
4.500000 80.030 -133.5588
4.550000 80.313 -136.6843
4.620000 80.670 -140.9728
4.680000 80.945 -144.4998
4.750000 81.239 -148.3535
4.820000 81.503 -151.8871
4.870000 81.667 -154.2576
4.940000 81.866 -157.3868
5.000000 82.012 -159.9150
5.080000 82.181 -163.1005
5.150000 82.311 -165.7454
5.220000 82.412 -168.2459
5.300000 82.497 -170.9077
5.380000 82.558 -173.3491
5.450000 82.602 -175.2951
5.520000 82.642 -177.0557
5.600000 82.669 -178.8414
5.700000 82.682 179.2527
5.800000 82.695 177.6924
5.900000 82.731 176.4777
6.000000 82.774 175.6982
6.080000 82.816 175.3036
6.150000 82.866 175.0480
6.220000 82.933 174.8127
6.300000 83.033 174.5932
6.400000 83.186 174.4708
6.500000 83.364 174.4130
6.600000 83.560 174.3077
6.700000 83.782 174.1712
6.800000 84.026 174.0280
6.900000 84.278 173.8253
7.000000 84.527 173.5130
7.100000 84.781 173.0903
7.200000 85.036 172.5974
7.300000 85.286 172.0750
7.400000 85.526 171.5375
7.500000 85.760 170.9589
7.620000 86.033 170.2530
7.750000 86.320 169.5267
7.880000 86.597 168.8222
8.000000 86.847 168.1973
8.120000 87.098 167.6111
8.250000 87.366 167.0193
8.380000 87.634 166.4523
8.500000 87.884 165.9398
8.620000 88.134 165.4461
8.750000 88.405 164.9130
8.850000 88.613 164.4924
9.000000 88.925 163.8526
9.120000 89.173 163.3361
9.250000 89.440 162.7711
9.380000 89.706 162.2001
9.500000 89.948 161.6766
9.620000 90.184 161.1607
9.750000 90.436 160.6070
9.880000 90.681 160.0630
10.000000 90.899 159.5741
10.150000 91.164 158.9753
10.300000 91.427 158.3751
10.440000 91.670 157.8188
10.600000 91.948 157.1678
10.750000 92.215 156.5300
10.900000 92.485 155.8669
11.060000 92.776 155.1108
11.200000 93.033 154.4102
11.380000 93.363 153.4485
11.500000 93.583 152.7667
11.720000 93.984 151.4371
11.800000 94.130 150.9280
12.060000 94.600 149.1816
12.200000 94.850 148.1873
12.410000 95.220 146.6268
12.500000 95.375 145.9365
12.650000 95.630 144.7546
12.800000 95.880 143.5410
13.150000 96.439 140.6007
13.200000 96.517 140.1709
13.400000 96.822 138.4270
13.600000 97.119 136.6523
13.800000 97.407 134.8505
14.000000 97.687 133.0214
14.300000 98.090 130.2256
14.500000 98.346 128.3231
14.750000 98.653 125.9019
15.000000 98.943 123.4354
15.250000 99.216 120.9365
15.500000 99.468 118.4288
15.750000 99.699 115.9301
16.000000 99.908 113.4675
16.250000 100.099 111.0580
16.500000 100.275 108.7068
16.750000 100.440 106.4158
17.000000 100.596 104.1713
17.250000 100.745 101.9634
17.500000 100.885 99.7790
17.750000 101.016 97.6082
18.000000 101.136 95.4506
18.250000 101.245 93.3071
18.500000 101.341 91.1866
18.750000 101.427 89.0958
19.000000 101.501 87.0407
19.250000 101.567 85.0282
19.500000 101.623 83.0605
19.750000 101.672 81.1395
20.000000 101.712 79.2674
20.299999 101.752 77.0878
20.600000 101.784 74.9833
20.900000 101.809 72.9545
21.200001 101.829 70.9990
21.400000 101.840 69.7314
21.799999 101.858 67.2725
22.000000 101.864 66.0763
22.400000 101.869 63.7457
22.700001 101.865 62.0553
23.000000 101.854 60.4252
23.299999 101.836 58.8666
23.600000 101.811 57.3883
24.000000 101.772 55.5507
24.299999 101.739 54.2717
24.700001 101.694 52.6898
25.000000 101.660 51.5843
25.400000 101.618 50.1982
25.799999 101.578 48.8840
26.200001 101.541 47.6121
26.500000 101.513 46.6747
26.900000 101.474 45.4476
27.200001 101.442 44.5546
27.600000 101.400 43.4182
28.000000 101.362 42.3530
28.500000 101.330 41.0957
29.000000 101.321 39.8508
29.500000 101.330 38.5641
30.000000 101.349 37.2341
30.400000 101.369 36.1558
30.700001 101.388 35.3418
31.100000 101.416 34.2417
31.500000 101.445 33.1174
32.000000 101.476 31.6887
32.500000 101.494 30.2768
33.000000 101.498 28.9235
33.500000 101.493 27.6263
34.000000 101.476 26.3566
34.500000 101.444 25.1084
35.000000 101.393 23.9103
35.500000 101.328 22.7894
36.000000 101.258 21.7300
36.500000 101.186 20.6866
37.000000 101.114 19.6246
37.500000 101.038 18.5469
38.200001 100.929 17.0588
38.700001 100.855 16.0302
39.500000 100.749 14.4538
40.000000 100.690 13.5297
40.599998 100.626 12.5036
41.200001 100.570 11.5675
41.799999 100.516 10.7117
42.500000 100.450 9.8254
43.099998 100.389 9.1689
43.700001 100.326 8.5731
44.400002 100.246 7.8893
45.000000 100.168 7.2910
45.500000 100.097 6.7909
46.200001 99.995 6.0868
46.799999 99.911 5.4589
47.500000 99.818 4.6885
48.200001 99.734 3.9106
48.700001 99.679 3.3745
49.400002 99.615 2.6649
50.000000 99.570 2.0847
50.799999 99.513 1.3391
51.500000 99.452 0.7621
52.200001 99.379 0.3391
53.000000 99.300 0.0201
53.799999 99.230 -0.3104
54.500000 99.162 -0.6807
55.200001 99.086 -1.0816
56.000000 99.002 -1.5905
57.000000 98.899 -2.3197
58.000000 98.811 -3.0174
59.000000 98.741 -3.8079
60.000000 98.638 -4.4552
60.799999 98.565 -4.6226
61.500000 98.529 -4.7063
62.200001 98.497 -4.8801
63.000000 98.446 -5.1227
64.000000 98.367 -5.4086
65.000000 98.283 -5.7310
66.000000 98.199 -6.0853
67.000000 98.120 -6.4645
68.000000 98.049 -6.8422
69.000000 97.984 -7.1902
70.000000 97.920 -7.4780
71.000000 97.857 -7.7073
72.000000 97.790 -7.8938
73.000000 97.720 -8.0399
74.000000 97.653 -8.1848
75.000000 97.588 -8.3719
76.199997 97.512 -8.6390
77.500000 97.435 -8.9217
78.800003 97.367 -9.1761
80.000000 97.305 -9.3793
81.199997 97.241 -9.5237
82.500000 97.171 -9.6201
83.800003 97.102 -9.7334
85.000000 97.036 -9.8583
86.199997 96.971 -9.9846
87.500000 96.908 -10.1240
88.500000 96.864 -10.2294
90.000000 96.802 -10.3436
91.199997 96.756 -10.3954
92.500000 96.705 -10.4220
93.800003 96.653 -10.4445
95.000000 96.602 -10.4792
96.199997 96.551 -10.5340
97.500000 96.498 -10.6060
98.800003 96.449 -10.6649
100.000000 96.409 -10.7037
101.500000 96.362 -10.7182
103.000000 96.314 -10.7078
104.400002 96.268 -10.6889
106.000000 96.215 -10.6674
107.500000 96.167 -10.6505
109.000000 96.122 -10.6266
110.599998 96.077 -10.5990
112.000000 96.039 -10.5682
113.800003 95.992 -10.5203
115.000000 95.963 -10.4852
117.199997 95.911 -10.4056
118.000000 95.892 -10.3601
120.599998 95.844 -10.2526
122.000000 95.813 -10.2615
124.099998 95.764 -10.2238
125.000000 95.746 -10.2004
126.500000 95.720 -10.1577
128.000000 95.696 -10.1030
131.500000 95.648 -9.9975
132.000000 95.641 -9.9852
134.000000 95.615 -9.9184
136.000000 95.594 -9.8136
138.000000 95.576 -9.6834
140.000000 95.560 -9.5679
143.000000 95.543 -9.4347
145.000000 95.538 -9.3979
147.500000 95.527 -9.3507
150.000000 95.516 -9.2557
152.500000 95.508 -9.1836
155.000000 95.499 -9.1479
157.500000 95.490 -9.1052
160.000000 95.486 -9.0345
162.500000 95.484 -8.9568
165.000000 95.484 -8.9032
167.500000 95.480 -8.8889
170.000000 95.475 -8.8841
172.500000 95.470 -8.8578
175.000000 95.464 -8.8217
177.500000 95.460 -8.8161
180.000000 95.459 -8.8671
182.500000 95.461 -8.9156
185.000000 95.464 -8.9488
187.500000 95.461 -8.9832
190.000000 95.460 -9.0267
192.500000 95.462 -9.0762
195.000000 95.465 -9.1101
197.500000 95.467 -9.1456
200.000000 95.466 -9.2186
203.000000 95.466 -9.3475
206.000000 95.469 -9.4667
209.000000 95.473 -9.5732
212.000000 95.474 -9.7157
214.000000 95.474 -9.8270
218.000000 95.474 -10.0219
220.000000 95.474 -10.1111
224.000000 95.470 -10.3239
227.000000 95.465 -10.5150
230.000000 95.462 -10.7070
233.000000 95.460 -10.8787
236.000000 95.457 -11.0289
240.000000 95.448 -11.2385
243.000000 95.439 -11.4331
247.000000 95.425 -11.6984
250.000000 95.412 -11.8831
254.000000 95.396 -12.1409
258.000000 95.382 -12.4252
262.000000 95.365 -12.7107
265.000000 95.351 -12.9380
269.000000 95.327 -13.2605
272.000000 95.307 -13.4958
276.000000 95.280 -13.7858
280.000000 95.250 -14.0618
285.000000 95.211 -14.4167
290.000000 95.172 -14.7689
