* Measurement data measured by REW V5.20.13
* Source: Microphone (High Definition Audio Device), MICROPHONE (Master Volume), L, volume: 0.000. Timing signal peak level -15.6 dBFS, measurement signal peak level -15.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 13, 2022 3:07:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0472 ms (-16 mm, -0.64 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -6.8 ppm
* Measurement: Buds Pro L Dec 13
* Smoothing: 1/24 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
0.366211, 67.291, -13.3152
0.732422, 67.223, -25.5707
1.098633, 67.242, -46.9938
1.464844, 67.806, -68.5781
1.831055, 69.251, -92.0825
2.197266, 71.443, -110.6717
2.563477, 73.984, -124.8240
2.929688, 76.593, -135.8871
3.295898, 79.101, -145.4682
3.662109, 81.389, -154.8467
4.028320, 83.389, -163.9902
4.394531, 85.084, -173.0253
4.760742, 86.497, 178.4596
5.126953, 87.675, 170.5637
5.493164, 88.678, 163.4203
5.859375, 89.560, 156.9504
6.225586, 90.359, 150.9977
6.591797, 91.092, 145.4030
6.958008, 91.759, 140.0524
7.324219, 92.360, 134.9366
7.690430, 92.897, 130.0844
8.056641, 93.378, 125.5384
8.422852, 93.817, 121.3029
8.789062, 94.224, 117.3486
9.155273, 94.604, 113.6280
9.521484, 94.964, 110.0988
9.887695, 95.277, 106.7367
10.253906, 95.513, 103.5324
10.620117, 95.690, 100.4862
10.986328, 95.846, 97.6011
11.352539, 95.986, 94.8819
11.718750, 96.112, 92.3279
12.084961, 96.235, 89.9268
12.451172, 96.360, 87.6497
12.817383, 96.481, 85.4576
13.183594, 96.594, 83.3173
13.549805, 96.700, 81.2172
13.916016, 96.796, 79.1715
14.282227, 96.878, 77.2083
