* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -15.6 dBFS, measurement signal peak level -15.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 15, 2024 3:04:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0707 ms (-24 mm, -0.95 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: CCA Trio UUUU L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.419 -18.2187
1.015000 76.732 -20.4247
1.030000 77.039 -22.5641
1.044000 77.321 -24.4920
1.060000 77.635 -26.6035
1.075000 77.921 -28.4840
1.090000 78.197 -30.2585
1.106000 78.480 -32.0318
1.120000 78.728 -33.5236
1.138000 79.048 -35.3746
1.150000 79.262 -36.5680
1.172000 79.654 -38.6746
1.180000 79.797 -39.4154
1.206000 80.260 -41.7339
1.220000 80.508 -42.9282
1.241000 80.878 -44.6521
1.250000 81.036 -45.3671
1.265000 81.296 -46.5282
1.280000 81.554 -47.6527
1.315000 82.144 -50.1431
1.320000 82.227 -50.4845
1.340000 82.553 -51.8167
1.360000 82.871 -53.0983
1.380000 83.180 -54.3331
1.400000 83.479 -55.5251
1.430000 83.908 -57.2413
1.450000 84.179 -58.3432
1.475000 84.499 -59.6708
1.500000 84.799 -60.8729
1.525000 85.082 -61.9446
1.550000 85.348 -62.9010
1.575000 85.599 -63.7570
1.600000 85.837 -64.5277
1.625000 86.063 -65.2279
1.650000 86.278 -65.8727
1.675000 86.485 -66.4770
1.700000 86.684 -67.0558
1.725000 86.877 -67.6242
1.750000 87.065 -68.1970
1.775000 87.250 -68.7892
1.800000 87.434 -69.4159
1.825000 87.618 -70.0920
1.850000 87.800 -70.8117
1.875000 87.973 -71.5325
1.900000 88.139 -72.2515
1.925000 88.298 -72.9675
1.950000 88.451 -73.6796
1.975000 88.598 -74.3866
2.000000 88.740 -75.0877
2.030000 88.905 -75.9195
2.060000 89.066 -76.7393
2.090000 89.223 -77.5454
2.120000 89.378 -78.3360
2.140000 89.480 -78.8535
2.180000 89.686 -79.8633
2.200000 89.790 -80.3546
2.240000 89.995 -81.3045
2.270000 90.146 -81.9902
2.300000 90.295 -82.6564
2.330000 90.440 -83.3060
2.360000 90.583 -83.9420
2.400000 90.769 -84.7740
2.430000 90.905 -85.3898
2.470000 91.081 -86.2057
2.500000 91.210 -86.8176
2.540000 91.378 -87.6391
2.580000 91.539 -88.4718
2.620000 91.695 -89.3053
2.650000 91.808 -89.9286
2.690000 91.953 -90.7563
2.720000 92.059 -91.3740
2.760000 92.195 -92.1930
2.800000 92.327 -93.0058
2.850000 92.487 -94.0115
2.900000 92.641 -95.0042
2.950000 92.791 -95.9828
3.000000 92.934 -96.9530
3.040000 93.043 -97.7228
3.070000 93.123 -98.2956
3.110000 93.225 -99.0523
3.150000 93.325 -99.7999
3.200000 93.444 -100.7197
3.250000 93.559 -101.6209
3.300000 93.671 -102.5013
3.350000 93.777 -103.3593
3.400000 93.879 -104.1964
3.450000 93.975 -105.0154
3.500000 94.067 -105.8187
3.550000 94.155 -106.6089
3.600000 94.240 -107.3886
3.650000 94.323 -108.1603
3.700000 94.402 -108.9260
3.750000 94.477 -109.6844
3.820000 94.576 -110.7296
3.870000 94.643 -111.4614
3.950000 94.745 -112.6006
4.000000 94.808 -113.2892
4.060000 94.881 -114.0878
4.120000 94.950 -114.8538
4.180000 95.017 -115.5929
4.250000 95.092 -116.4297
4.310000 95.154 -117.1325
4.370000 95.216 -117.8287
4.440000 95.286 -118.6365
4.500000 95.344 -119.3170
4.550000 95.391 -119.8757
4.620000 95.456 -120.6463
4.680000 95.510 -121.2971
4.750000 95.573 -122.0462
4.820000 95.635 -122.7817
4.870000 95.679 -123.2964
4.940000 95.740 -124.0064
5.000000 95.791 -124.6092
5.080000 95.858 -125.4111
5.150000 95.915 -126.1170
5.220000 95.970 -126.8232
5.300000 96.033 -127.6283
5.380000 96.093 -128.4313
5.450000 96.143 -129.1322
5.520000 96.191 -129.8318
5.600000 96.244 -130.6317
5.700000 96.306 -131.6291
5.800000 96.363 -132.6185
5.900000 96.415 -133.5958
6.000000 96.461 -134.5680
6.080000 96.494 -135.3376
6.150000 96.521 -136.0004
6.220000 96.545 -136.6495
6.300000 96.569 -137.3771
6.400000 96.594 -138.2699
6.500000 96.614 -139.1340
6.600000 96.632 -139.9585
6.700000 96.646 -140.7433
6.800000 96.656 -141.4920
6.900000 96.664 -142.2027
7.000000 96.673 -142.8735
7.100000 96.680 -143.5021
7.200000 96.687 -144.0934
7.300000 96.695 -144.6531
7.400000 96.705 -145.1811
7.500000 96.717 -145.6729
7.620000 96.733 -146.2307
7.750000 96.755 -146.8129
7.880000 96.781 -147.3617
8.000000 96.808 -147.8524
8.120000 96.837 -148.3421
8.250000 96.872 -148.8640
8.380000 96.908 -149.3832
8.500000 96.941 -149.8672
8.620000 96.975 -150.3538
8.750000 97.010 -150.8791
8.850000 97.035 -151.2803
9.000000 97.070 -151.8817
9.120000 97.096 -152.3524
9.250000 97.122 -152.8456
9.380000 97.146 -153.3248
9.500000 97.165 -153.7498
9.620000 97.180 -154.1551
9.750000 97.193 -154.5741
9.880000 97.199 -154.9719
10.000000 97.197 -155.3196
10.150000 97.187 -155.7287
10.300000 97.171 -156.1110
10.440000 97.150 -156.4405
10.600000 97.124 -156.7968
10.750000 97.102 -157.1180
10.900000 97.081 -157.4266
11.060000 97.059 -157.7577
11.200000 97.042 -158.0490
11.380000 97.020 -158.4157
11.500000 97.003 -158.6545
11.720000 96.974 -159.0764
11.800000 96.963 -159.2223
12.060000 96.931 -159.6737
12.200000 96.916 -159.9057
12.410000 96.897 -160.2409
12.500000 96.890 -160.3829
12.650000 96.880 -160.6140
12.800000 96.870 -160.8497
13.150000 96.853 -161.4418
13.200000 96.851 -161.5341
13.400000 96.843 -161.9255
13.600000 96.833 -162.3464
13.800000 96.819 -162.7985
14.000000 96.799 -163.2593
14.300000 96.754 -163.9460
14.500000 96.713 -164.3640
14.750000 96.659 -164.8111
15.000000 96.604 -165.1628
15.250000 96.559 -165.4221
15.500000 96.528 -165.6216
15.750000 96.512 -165.7884
16.000000 96.512 -165.9727
16.250000 96.521 -166.2162
16.500000 96.537 -166.5323
16.750000 96.554 -166.9295
17.000000 96.565 -167.3799
17.250000 96.570 -167.8606
17.500000 96.567 -168.3414
17.750000 96.555 -168.7890
18.000000 96.539 -169.1928
18.250000 96.520 -169.5423
18.500000 96.501 -169.8372
18.750000 96.485 -170.0813
19.000000 96.473 -170.2779
19.250000 96.466 -170.4338
19.500000 96.466 -170.5570
19.750000 96.474 -170.6561
20.000000 96.491 -170.7533
20.299999 96.523 -170.9059
20.600000 96.564 -171.1371
20.900000 96.607 -171.4780
21.200001 96.640 -171.9332
21.400000 96.652 -172.2774
21.799999 96.648 -172.9839
22.000000 96.633 -173.3003
22.400000 96.584 -173.7724
22.700001 96.546 -173.9615
23.000000 96.519 -174.0355
23.299999 96.509 -174.0613
23.600000 96.516 -174.1002
24.000000 96.542 -174.2436
24.299999 96.567 -174.4366
24.700001 96.599 -174.7870
25.000000 96.618 -175.0968
25.400000 96.636 -175.5535
25.799999 96.644 -176.0422
26.200001 96.637 -176.5154
26.500000 96.625 -176.8118
26.900000 96.607 -177.0823
27.200001 96.604 -177.2016
27.600000 96.625 -177.3348
28.000000 96.670 -177.5889
28.500000 96.726 -178.2115
29.000000 96.739 -179.0316
29.500000 96.701 -179.7233
30.000000 96.654 179.8923
30.400000 96.634 179.7128
30.700001 96.632 179.5658
31.100000 96.632 179.2979
31.500000 96.624 178.9880
32.000000 96.602 178.6846
32.500000 96.591 178.5361
33.000000 96.611 178.3901
33.500000 96.651 178.0561
34.000000 96.679 177.5181
34.500000 96.678 176.9412
35.000000 96.658 176.4758
35.500000 96.640 176.1444
36.000000 96.633 175.8681
36.500000 96.636 175.5735
37.000000 96.640 175.2382
37.500000 96.640 174.8806
38.200001 96.635 174.3961
38.700001 96.632 174.0747
39.500000 96.639 173.5191
40.000000 96.643 173.0854
40.599998 96.633 172.5010
41.200001 96.601 171.9740
41.799999 96.565 171.5938
42.500000 96.542 171.2649
43.099998 96.538 170.9465
43.700001 96.534 170.5729
44.400002 96.521 170.1593
45.000000 96.514 169.8564
45.500000 96.514 169.5975
46.200001 96.518 169.1649
46.799999 96.514 168.7443
47.500000 96.497 168.2731
48.200001 96.477 167.8541
48.700001 96.463 167.5642
49.400002 96.441 167.1418
50.000000 96.414 166.7914
50.799999 96.376 166.3967
51.500000 96.349 166.0640
52.200001 96.321 165.6776
53.000000 96.278 165.2469
53.799999 96.243 164.8779
54.500000 96.228 164.4863
55.200001 96.214 163.9578
56.000000 96.182 163.2735
57.000000 96.126 162.5078
58.000000 96.078 161.9285
59.000000 96.056 161.4736
60.000000 96.046 161.0095
60.799999 96.017 160.7620
61.500000 96.001 160.8475
62.200001 96.043 160.9982
63.000000 96.127 160.6216
64.000000 96.111 159.4338
65.000000 95.961 158.7218
66.000000 95.835 158.4545
67.000000 95.736 158.0109
68.000000 95.627 157.4690
69.000000 95.526 157.0217
70.000000 95.466 156.6244
71.000000 95.437 156.0841
72.000000 95.398 155.5052
73.000000 95.348 155.0986
74.000000 95.297 154.8679
75.000000 95.250 154.7476
76.199997 95.194 154.5685
77.500000 95.117 154.2173
78.800003 95.024 153.6292
80.000000 94.906 152.9599
81.199997 94.785 152.4755
82.500000 94.692 152.0482
83.800003 94.610 151.6490
85.000000 94.545 151.4036
86.199997 94.482 151.0110
87.500000 94.374 150.5296
88.500000 94.289 150.2132
90.000000 94.192 149.6859
91.199997 94.153 149.1818
92.500000 94.124 148.5418
93.800003 94.080 147.9671
95.000000 93.984 147.6266
96.199997 93.857 147.7649
97.500000 93.739 147.9459
98.800003 93.596 147.8714
100.000000 93.450 147.7911
101.500000 93.315 147.7707
103.000000 93.263 147.5794
104.400002 93.218 147.1609
106.000000 93.106 146.8235
107.500000 92.970 146.8042
109.000000 92.837 146.7917
110.599998 92.689 146.7362
112.000000 92.593 146.8482
113.800003 92.519 146.6060
115.000000 92.427 146.2560
117.199997 92.195 146.0359
118.000000 92.127 146.0543
120.599998 91.959 146.0373
122.000000 91.875 146.3373
124.099998 91.775 147.0784
125.000000 91.728 147.3959
126.500000 91.665 147.6376
128.000000 91.566 147.2544
131.500000 91.271 146.7121
132.000000 91.244 146.7070
134.000000 91.144 146.8029
136.000000 91.010 147.0495
138.000000 90.854 147.4618
140.000000 90.711 147.8070
143.000000 90.536 148.2267
145.000000 90.447 148.3763
147.500000 90.349 148.7515
150.000000 90.289 149.2056
152.500000 90.158 149.6864
155.000000 89.995 150.1837
157.500000 89.821 150.6181
160.000000 89.703 151.2617
162.500000 89.619 151.8869
165.000000 89.528 152.4422
167.500000 89.424 152.9469
170.000000 89.326 153.5268
172.500000 89.227 154.1715
175.000000 89.120 154.8278
177.500000 89.018 155.4615
180.000000 88.934 156.1027
182.500000 88.860 156.7764
185.000000 88.773 157.4386
187.500000 88.672 158.0989
190.000000 88.600 158.7819
192.500000 88.568 159.3954
195.000000 88.533 160.0239
197.500000 88.486 160.7673
200.000000 88.434 161.5362
203.000000 88.384 162.3640
206.000000 88.345 163.0188
209.000000 88.308 163.7294
212.000000 88.286 164.5171
214.000000 88.273 165.0423
218.000000 88.243 166.0826
220.000000 88.223 166.5418
224.000000 88.180 167.3516
227.000000 88.165 167.9580
230.000000 88.159 168.6076
233.000000 88.155 169.2412
236.000000 88.156 169.8362
240.000000 88.163 170.5826
243.000000 88.160 171.1149
247.000000 88.155 171.8342
250.000000 88.154 172.4103
254.000000 88.150 173.2222
258.000000 88.141 174.0140
262.000000 88.148 174.6384
265.000000 88.170 174.9895
269.000000 88.204 175.4189
272.000000 88.224 175.7975
276.000000 88.246 176.3759
280.000000 88.259 176.8845
285.000000 88.265 177.4598
