* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.670. Timing signal peak level -34.5 dBFS, measurement signal peak level -33.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 10, 2023 9:40:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0517 ms (-18 mm, -0.7 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 120.9 ppm
* Measurement: CrinZero R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.822 163.0429
1.015000 66.786 164.6546
1.030000 66.746 166.3025
1.044000 66.708 167.8745
1.060000 66.663 169.7128
1.075000 66.618 171.4784
1.090000 66.573 173.2863
1.106000 66.522 175.2636
1.120000 66.462 177.0375
1.138000 66.362 179.3763
1.150000 66.283 -179.0297
1.172000 66.116 -176.0391
1.180000 66.049 -174.9307
1.206000 65.817 -171.2562
1.220000 65.685 -169.2346
1.241000 65.482 -166.1501
1.250000 65.394 -164.8102
1.265000 65.249 -162.5547
1.280000 65.108 -160.2731
1.315000 64.802 -154.8588
1.320000 64.763 -154.0761
1.340000 64.618 -150.9251
1.360000 64.499 -147.7454
1.380000 64.409 -144.5418
1.400000 64.356 -141.3191
1.430000 64.354 -136.4595
1.450000 64.412 -133.2097
1.475000 64.561 -129.1195
1.500000 64.796 -124.7998
1.525000 65.108 -120.2484
1.550000 65.486 -115.5194
1.575000 65.920 -110.6669
1.600000 66.399 -105.7448
1.625000 66.914 -100.8073
1.650000 67.454 -95.9084
1.675000 68.008 -91.1020
1.700000 68.566 -86.4423
1.725000 69.117 -81.9832
1.750000 69.652 -77.7788
1.775000 70.159 -73.8832
1.800000 70.629 -70.3503
1.825000 71.051 -67.2342
1.850000 71.429 -64.5469
1.875000 71.793 -62.2002
1.900000 72.145 -60.1620
1.925000 72.487 -58.4041
1.950000 72.817 -56.8982
1.975000 73.137 -55.6159
2.000000 73.448 -54.5289
2.030000 73.808 -53.4424
2.060000 74.157 -52.5473
2.090000 74.493 -51.7947
2.120000 74.820 -51.1355
2.140000 75.032 -50.7239
2.180000 75.445 -49.9019
2.200000 75.646 -49.5246
2.240000 76.030 -49.5436
2.270000 76.300 -49.5767
2.300000 76.558 -49.6222
2.330000 76.803 -49.6766
2.360000 77.039 -49.7366
2.400000 77.338 -49.8196
2.430000 77.555 -49.8798
2.470000 77.834 -49.9507
2.500000 78.039 -49.9927
2.540000 78.309 -50.0272
2.580000 78.576 -50.0623
2.620000 78.833 -50.1145
2.650000 79.018 -50.1428
2.690000 79.256 -50.1759
2.720000 79.429 -50.2039
2.760000 79.652 -50.2556
2.800000 79.867 -50.3348
2.850000 80.128 -50.4913
2.900000 80.382 -50.7342
2.950000 80.631 -51.0884
3.000000 80.869 -51.5685
3.040000 81.053 -52.0255
3.070000 81.186 -52.4000
3.110000 81.360 -52.9286
3.150000 81.528 -53.4754
3.200000 81.733 -54.1597
3.250000 81.932 -54.8149
3.300000 82.127 -55.4090
3.350000 82.317 -55.9494
3.400000 82.499 -56.4633
3.450000 82.676 -56.9612
3.500000 82.846 -57.4533
3.550000 83.012 -57.9503
3.600000 83.174 -58.4625
3.650000 83.333 -59.0004
3.700000 83.488 -59.5720
3.750000 83.638 -60.1718
3.820000 83.840 -61.0420
3.870000 83.980 -61.6731
3.950000 84.197 -62.6747
4.000000 84.329 -63.2814
4.060000 84.485 -63.9789
4.120000 84.635 -64.6555
4.180000 84.780 -65.3175
4.250000 84.945 -66.0768
4.310000 85.082 -66.7213
4.370000 85.217 -67.3642
4.440000 85.371 -68.1157
4.500000 85.499 -68.7576
4.550000 85.604 -69.2898
4.620000 85.747 -70.0288
4.680000 85.867 -70.6553
4.750000 86.005 -71.3760
4.820000 86.140 -72.0855
4.870000 86.235 -72.5866
4.940000 86.364 -73.2800
5.000000 86.474 -73.8667
5.080000 86.616 -74.6375
5.150000 86.738 -75.3009
5.220000 86.858 -75.9529
5.300000 86.992 -76.6851
5.380000 87.122 -77.4057
5.450000 87.234 -78.0285
5.520000 87.344 -78.6457
5.600000 87.466 -79.3446
5.700000 87.615 -80.2051
5.800000 87.760 -81.0464
5.900000 87.902 -81.8639
6.000000 88.039 -82.6579
6.080000 88.146 -83.2781
6.150000 88.238 -83.8113
6.220000 88.328 -84.3364
6.300000 88.429 -84.9280
6.400000 88.553 -85.6529
6.500000 88.673 -86.3584
6.600000 88.791 -87.0405
6.700000 88.906 -87.6974
6.800000 89.019 -88.3317
6.900000 89.130 -88.9466
7.000000 89.240 -89.5446
7.100000 89.348 -90.1236
7.200000 89.455 -90.6847
7.300000 89.561 -91.2302
7.400000 89.667 -91.7599
7.500000 89.772 -92.2721
7.620000 89.896 -92.8700
7.750000 90.031 -93.5045
7.880000 90.165 -94.1210
8.000000 90.287 -94.6798
8.120000 90.410 -95.2345
8.250000 90.541 -95.8272
8.380000 90.672 -96.4159
8.500000 90.790 -96.9597
8.620000 90.908 -97.5020
8.750000 91.032 -98.0889
8.850000 91.126 -98.5410
9.000000 91.263 -99.2203
9.120000 91.371 -99.7610
9.250000 91.485 -100.3412
9.380000 91.597 -100.9170
9.500000 91.696 -101.4444
9.620000 91.791 -101.9682
9.750000 91.889 -102.5316
9.880000 91.978 -103.0880
10.000000 92.051 -103.5966
10.150000 92.131 -104.2236
10.300000 92.202 -104.8264
10.440000 92.259 -105.3655
10.600000 92.319 -105.9590
10.750000 92.375 -106.4927
10.900000 92.429 -107.0074
11.060000 92.487 -107.5521
11.200000 92.539 -108.0244
11.380000 92.604 -108.6205
11.500000 92.647 -109.0098
11.720000 92.726 -109.7104
11.800000 92.755 -109.9612
12.060000 92.850 -110.7649
12.200000 92.902 -111.1990
12.410000 92.980 -111.8471
12.500000 93.012 -112.1197
12.650000 93.064 -112.5693
12.800000 93.115 -113.0075
13.150000 93.229 -113.9722
13.200000 93.246 -114.1035
13.400000 93.314 -114.6103
13.600000 93.385 -115.0991
13.800000 93.461 -115.5700
14.000000 93.541 -116.0518
14.300000 93.667 -116.8102
14.500000 93.752 -117.3611
14.750000 93.854 -118.0972
15.000000 93.949 -118.8795
15.250000 94.032 -119.6763
15.500000 94.105 -120.4325
15.750000 94.169 -121.1183
16.000000 94.230 -121.6968
16.250000 94.298 -122.1948
16.500000 94.375 -122.6427
16.750000 94.468 -123.0944
17.000000 94.570 -123.6146
17.250000 94.675 -124.2175
17.500000 94.773 -124.9164
17.750000 94.854 -125.6536
18.000000 94.919 -126.3795
18.250000 94.967 -127.0384
18.500000 95.010 -127.5777
18.750000 95.057 -128.0145
19.000000 95.116 -128.3662
19.250000 95.192 -128.7181
19.500000 95.278 -129.1215
19.750000 95.370 -129.6133
20.000000 95.453 -130.2034
20.299999 95.535 -130.9701
20.600000 95.594 -131.7147
20.900000 95.637 -132.3481
21.200001 95.679 -132.8298
21.400000 95.716 -133.0970
21.799999 95.811 -133.6189
22.000000 95.867 -133.9303
22.400000 95.979 -134.7275
22.700001 96.044 -135.4312
23.000000 96.087 -136.1164
23.299999 96.116 -136.6859
23.600000 96.146 -137.1141
24.000000 96.210 -137.5339
24.299999 96.283 -137.8662
24.700001 96.399 -138.4907
25.000000 96.479 -139.1197
25.400000 96.558 -140.0716
25.799999 96.603 -140.9569
26.200001 96.638 -141.6600
26.500000 96.673 -142.1015
26.900000 96.735 -142.6918
27.200001 96.786 -143.2056
27.600000 96.842 -143.9905
28.000000 96.872 -144.7757
28.500000 96.887 -145.5507
29.000000 96.919 -146.0738
29.500000 96.986 -146.5724
30.000000 97.065 -147.2563
30.400000 97.112 -147.8998
30.700001 97.134 -148.3603
31.100000 97.156 -148.8576
31.500000 97.190 -149.2194
32.000000 97.268 -149.6281
32.500000 97.377 -150.2153
33.000000 97.482 -151.0758
33.500000 97.557 -152.0952
34.000000 97.598 -153.0840
34.500000 97.624 -153.9418
35.000000 97.647 -154.6855
35.500000 97.671 -155.3703
36.000000 97.694 -156.0181
36.500000 97.713 -156.6177
37.000000 97.733 -157.1645
37.500000 97.759 -157.6809
38.200001 97.804 -158.4274
38.700001 97.839 -159.0168
39.500000 97.884 -160.0455
40.000000 97.904 -160.6940
40.599998 97.926 -161.4439
41.200001 97.950 -162.1796
41.799999 97.973 -162.9212
42.500000 97.997 -163.7610
43.099998 98.017 -164.4202
43.700001 98.043 -165.0471
44.400002 98.075 -165.7941
45.000000 98.093 -166.4386
45.500000 98.100 -166.9374
46.200001 98.107 -167.5533
46.799999 98.119 -168.0530
47.500000 98.137 -168.7031
48.200001 98.144 -169.4434
48.700001 98.138 -169.9766
49.400002 98.123 -170.6603
50.000000 98.119 -171.2101
50.799999 98.126 -171.9978
51.500000 98.131 -172.7352
52.200001 98.135 -173.4346
53.000000 98.147 -174.1793
53.799999 98.159 -174.8803
54.500000 98.171 -175.3817
55.200001 98.202 -175.8157
56.000000 98.254 -176.4923
57.000000 98.257 -177.6790
58.000000 98.162 -178.4812
59.000000 98.112 -178.6601
60.000000 98.155 -179.2790
60.799999 98.150 179.7090
61.500000 98.095 178.8858
62.200001 98.037 178.2882
63.000000 97.999 177.6787
64.000000 97.970 176.8397
65.000000 97.944 176.0251
66.000000 97.922 175.2452
67.000000 97.899 174.5260
68.000000 97.879 173.8493
69.000000 97.853 173.1427
70.000000 97.813 172.4658
71.000000 97.772 171.8386
72.000000 97.731 171.1948
73.000000 97.687 170.5559
74.000000 97.645 169.9267
75.000000 97.603 169.2997
76.199997 97.554 168.5726
77.500000 97.497 167.7885
78.800003 97.435 167.0518
80.000000 97.379 166.3829
81.199997 97.321 165.7044
82.500000 97.256 164.9982
83.800003 97.192 164.3263
85.000000 97.137 163.7224
86.199997 97.081 163.1205
87.500000 97.012 162.4971
88.500000 96.959 162.0569
90.000000 96.883 161.3624
91.199997 96.816 160.7865
92.500000 96.744 160.2059
93.800003 96.679 159.6055
95.000000 96.612 159.0182
96.199997 96.535 158.4716
97.500000 96.449 157.9420
98.800003 96.365 157.4245
100.000000 96.284 156.9566
101.500000 96.183 156.4342
103.000000 96.087 155.9469
104.400002 96.000 155.5076
106.000000 95.901 154.9863
107.500000 95.806 154.4712
109.000000 95.706 153.9572
110.599998 95.597 153.4732
112.000000 95.496 153.1209
113.800003 95.367 152.7437
115.000000 95.276 152.4348
117.199997 95.095 151.7348
118.000000 95.026 151.4345
120.599998 94.810 150.7913
122.000000 94.742 150.6404
124.099998 94.645 150.3939
125.000000 94.593 150.3129
126.500000 94.489 150.1782
128.000000 94.370 150.0167
131.500000 94.099 149.5289
132.000000 94.063 149.4583
134.000000 93.924 149.2405
136.000000 93.787 149.1048
138.000000 93.648 148.9948
140.000000 93.508 148.9076
143.000000 93.314 148.8356
145.000000 93.187 148.8253
147.500000 93.015 148.9144
150.000000 92.842 149.0810
152.500000 92.675 149.2134
155.000000 92.523 149.3436
157.500000 92.377 149.5214
160.000000 92.205 149.8215
162.500000 92.039 150.2505
165.000000 91.901 150.5906
167.500000 91.760 151.0058
170.000000 91.604 151.5061
172.500000 91.448 151.9943
175.000000 91.331 152.5943
177.500000 91.259 153.4185
180.000000 91.189 154.0811
182.500000 91.045 154.3975
185.000000 90.888 154.8301
187.500000 90.783 155.3689
190.000000 90.686 155.9590
192.500000 90.588 156.5842
195.000000 90.500 157.1739
197.500000 90.426 157.8507
200.000000 90.367 158.5858
203.000000 90.292 159.3463
206.000000 90.209 160.0652
209.000000 90.140 160.8377
212.000000 90.093 161.6459
214.000000 90.068 162.1604
218.000000 90.006 163.1231
220.000000 89.973 163.5590
224.000000 89.918 164.3150
227.000000 89.895 164.8711
230.000000 89.886 165.3778
233.000000 89.882 165.9428
236.000000 89.882 166.7730
240.000000 89.872 168.0463
243.000000 89.846 168.6237
247.000000 89.811 169.0641
250.000000 89.808 169.3904
254.000000 89.817 169.8985
258.000000 89.823 170.5240
262.000000 89.809 171.1271
265.000000 89.795 171.5083
269.000000 89.791 172.0066
272.000000 89.792 172.3873
