* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 13, 2023 8:53:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EDX L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.752 -25.3571
0.732422 70.090 -37.2589
1.098633 78.226 -39.7343
1.464844 84.216 -46.7200
1.831055 86.819 -52.2857
2.197266 89.127 -59.6869
2.563477 91.076 -67.3129
2.929688 92.671 -75.1924
3.295898 93.928 -83.0678
3.662109 94.898 -90.2414
4.028320 95.639 -96.8545
4.394531 96.215 -102.4862
4.760742 96.690 -107.3929
5.126953 97.116 -111.5905
5.493164 97.517 -115.4037
5.859375 97.894 -119.0474
6.225586 98.228 -122.6409
6.591797 98.503 -126.1800
6.958008 98.708 -129.5401
7.324219 98.851 -132.5941
7.690430 98.954 -135.2292
8.056641 99.043 -137.4647
8.422852 99.142 -139.4185
8.789062 99.256 -141.2650
9.155273 99.372 -143.1458
9.521484 99.469 -145.0871
9.887695 99.530 -147.0017
10.253906 99.487 -148.7915
10.620117 99.391 -150.2879
10.986328 99.308 -151.4697
11.352539 99.260 -152.6083
11.718750 99.228 -153.6982
12.084961 99.213 -154.8472
12.451172 99.208 -156.1144
12.817383 99.182 -157.3158
13.183594 99.147 -158.4480
13.549805 99.121 -159.5056
13.916016 99.100 -160.4710
14.282227 99.084 -161.4631
14.648438 99.062 -162.4248
15.014648 99.033 -163.3055
15.380859 99.020 -164.1660
15.747070 99.007 -164.9471
16.113281 98.996 -165.7107
16.479492 98.983 -166.4932
16.845703 98.959 -167.2025
17.211914 98.939 -167.8143
17.578125 98.930 -168.3177
17.944336 98.942 -168.7806
18.310547 98.972 -169.3812
18.676758 98.999 -170.1558
19.042969 99.000 -171.0345
19.409180 98.972 -171.8802
19.775391 98.927 -172.5052
20.141602 98.895 -172.9182
20.507812 98.897 -173.2867
20.874023 98.925 -173.7916
21.240234 98.952 -174.5435
21.606445 98.949 -175.4368
21.972656 98.911 -176.2669
22.338867 98.859 -176.9270
22.705078 98.818 -177.4117
23.071289 98.799 -177.8712
23.437500 98.788 -178.4466
23.803711 98.761 -179.0854
24.169922 98.713 -179.6374
24.536133 98.661 -179.9556
24.902344 98.636 179.9509
25.268555 98.661 179.8455
25.634766 98.716 179.4844
26.000977 98.758 178.7974
26.367188 98.750 177.9393
26.733398 98.687 177.2371
27.099609 98.602 176.9204
27.465820 98.545 176.9696
27.832031 98.544 177.1318
28.198242 98.589 177.0810
28.564453 98.636 176.6859
28.930664 98.645 176.0758
29.296875 98.608 175.4940
29.663086 98.545 175.1494
30.029297 98.491 175.0568
30.395508 98.466 175.0439
30.761719 98.466 174.9301
31.127930 98.467 174.6360
31.494141 98.449 174.2318
31.860352 98.409 173.8613
32.226562 98.363 173.5986
32.592773 98.325 173.4206
32.958984 98.301 173.2383
33.325195 98.284 172.9726
33.691406 98.259 172.6421
34.057617 98.229 172.3176
34.423828 98.196 172.0531
34.790039 98.171 171.8499
35.156250 98.162 171.6362
35.522461 98.162 171.3405
35.888672 98.159 170.9553
36.254883 98.144 170.5301
36.621094 98.119 170.1439
36.987305 98.093 169.8376
37.353516 98.076 169.5781
37.719727 98.068 169.3083
38.085938 98.064 168.9801
38.452148 98.052 168.6004
38.818359 98.027 168.2354
39.184570 97.994 167.9481
39.550781 97.962 167.7634
39.916992 97.941 167.6505
40.283203 97.933 167.5377
40.649414 97.933 167.3727
41.015625 97.933 167.1434
41.381836 97.924 166.8718
41.748047 97.907 166.6069
42.114258 97.884 166.3783
42.480469 97.860 166.1894
42.846680 97.840 166.0283
43.212891 97.824 165.8705
43.579102 97.810 165.7002
43.945312 97.795 165.5126
44.311523 97.780 165.3069
44.677734 97.761 165.0957
45.043945 97.741 164.8893
45.410156 97.722 164.6880
45.776367 97.704 164.4872
46.142578 97.689 164.2673
46.508789 97.675 164.0110
46.875000 97.656 163.7217
47.241211 97.628 163.4236
47.607422 97.593 163.1610
47.973633 97.554 162.9715
48.339844 97.519 162.8587
48.706055 97.494 162.7965
49.072266 97.481 162.7341
49.438477 97.478 162.6246
49.804688 97.476 162.4539
50.170898 97.470 162.2347
50.537109 97.456 161.9998
50.903320 97.436 161.7833
51.269531 97.411 161.6017
51.635742 97.385 161.4589
52.001953 97.361 161.3467
52.368164 97.340 161.2514
52.734375 97.321 161.1687
53.100586 97.306 161.0933
53.466797 97.296 161.0139
53.833008 97.291 160.9098
54.199219 97.289 160.7488
54.565430 97.286 160.5102
54.931641 97.274 160.2057
55.297852 97.248 159.8826
55.664062 97.208 159.6096
56.030273 97.165 159.4319
56.396484 97.128 159.3369
56.762695 97.106 159.2614
57.128906 97.093 159.1324
57.495117 97.078 158.9286
57.861328 97.053 158.7018
58.227539 97.018 158.5350
58.593750 96.985 158.4762
58.959961 96.968 158.4871
59.326172 96.972 158.4581
59.692383 96.986 158.2936
60.058594 96.991 157.9839
60.424805 96.971 157.6173
60.791016 96.928 157.3240
61.157227 96.877 157.1854
61.523438 96.834 157.1846
61.889648 96.810 157.2278
62.255859 96.800 157.2160
62.622070 96.791 157.1157
62.988281 96.774 156.9640
63.354492 96.746 156.8207
63.720703 96.714 156.7226
64.086914 96.683 156.6625
64.453125 96.657 156.6146
64.819336 96.633 156.5676
65.185547 96.612 156.5256
65.551758 96.596 156.4879
65.917969 96.587 156.4286
66.284180 96.583 156.3066
66.650391 96.575 156.1080
67.016602 96.555 155.8718
67.382812 96.523 155.6741
67.749023 96.486 155.5778
68.115234 96.459 155.5774
68.481445 96.450 155.5966
68.847656 96.455 155.5447
69.213867 96.460 155.3849
69.580078 96.455 155.1628
69.946289 96.435 154.9669
70.312500 96.412 154.8550
70.678711 96.396 154.8079
71.044922 96.394 154.7411
71.411133 96.396 154.5758
71.777344 96.388 154.3084
72.143555 96.358 154.0177
72.509766 96.309 153.8131
72.875977 96.254 153.7598
73.242188 96.211 153.8292
73.608398 96.187 153.9208
73.974609 96.177 153.9335
74.340820 96.167 153.8330
74.707031 96.144 153.6688
75.073242 96.107 153.5269
75.439453 96.063 153.4667
75.805664 96.026 153.4856
76.171875 96.001 153.5262
76.538086 95.987 153.5254
76.904297 95.976 153.4575
77.270508 95.961 153.3409
77.636719 95.941 153.2148
78.002930 95.918 153.1052
78.369141 95.898 153.0095
78.735352 95.881 152.9094
79.101562 95.866 152.7886
79.467773 95.849 152.6453
79.833984 95.828 152.4911
80.200195 95.803 152.3416
80.566406 95.774 152.2154
80.932617 95.741 152.1342
81.298828 95.708 152.1157
81.665039 95.683 152.1573
82.031250 95.670 152.2206
82.397461 95.670 152.2412
82.763672 95.674 152.1688
83.129883 95.672 152.0066
83.496094 95.654 151.8176
83.862305 95.625 151.6833
84.228516 95.594 151.6402
84.594727 95.574 151.6472
84.960938 95.567 151.6161
85.327148 95.563 151.4866
85.693359 95.545 151.2832
86.059570 95.511 151.0997
86.425781 95.467 151.0227
86.791992 95.430 151.0597
87.158203 95.411 151.1276
87.524414 95.405 151.1259
87.890625 95.397 151.0253
88.256836 95.375 150.8906
88.623047 95.343 150.8212
88.989258 95.313 150.8581
89.355469 95.301 150.9414
89.721680 95.305 150.9606
90.087891 95.313 150.8499
90.454102 95.307 150.6451
90.820312 95.283 150.4502
91.186523 95.250 150.3478
91.552734 95.223 150.3332
91.918945 95.210 150.3254
92.285156 95.203 150.2440
92.651367 95.189 150.0836
93.017578 95.160 149.9159
93.383789 95.119 149.8273
93.750000 95.079 149.8504
94.116211 95.051 149.9418
94.482422 95.038 150.0236
94.848633 95.034 150.0426
95.214844 95.029 149.9946
95.581055 95.019 149.9049
95.947266 95.005 149.7968
96.313477 94.984 149.6817
96.679688 94.956 149.5753
97.045898 94.923 149.5080
97.412109 94.888 149.5085
97.778320 94.861 149.5735
98.144531 94.846 149.6517
98.510742 94.843 149.6741
98.876953 94.841 149.6077
99.243164 94.830 149.4828
99.609375 94.807 149.3699
99.975586 94.779 149.3217
100.341797 94.757 149.3306
100.708008 94.745 149.3398
101.074219 94.739 149.2959
101.440430 94.729 149.1947
101.806641 94.711 149.0802
102.172852 94.688 148.9985
102.539062 94.667 148.9550
102.905273 94.651 148.9122
103.271484 94.637 148.8312
103.637695 94.617 148.7168
104.003906 94.588 148.6201
104.370117 94.552 148.5969
104.736328 94.522 148.6594
105.102539 94.506 148.7582
105.468750 94.502 148.8169
105.834961 94.504 148.7879
106.201172 94.498 148.6817
106.567383 94.480 148.5545
106.933594 94.451 148.4691
107.299805 94.419 148.4592
107.666016 94.391 148.5183
108.032227 94.375 148.6082
108.398438 94.369 148.6775
108.764648 94.372 148.6794
109.130859 94.373 148.5902
109.497070 94.365 148.4235
109.863281 94.342 148.2326
110.229492 94.304 148.0896
110.595703 94.260 148.0471
110.961914 94.222 148.1031
111.328125 94.198 148.1985
111.694336 94.187 148.2555
112.060547 94.180 148.2313
112.426758 94.167 148.1425
112.792969 94.143 148.0469
113.159180 94.113 147.9969
113.525391 94.083 148.0077
113.891602 94.060 148.0589
114.257812 94.044 148.1212
114.624023 94.034 148.1772
114.990234 94.031 148.2166
115.356445 94.035 148.2180
115.722656 94.043 148.1494
116.088867 94.047 147.9912
116.455078 94.037 147.7684
116.821289 94.009 147.5549
117.187500 93.967 147.4365
117.553711 93.925 147.4567
117.919922 93.896 147.5820
118.286133 93.888 147.7194
118.652344 93.894 147.7761
119.018555 93.902 147.7165
119.384766 93.900 147.5725
119.750977 93.884 147.4130
120.117188 93.857 147.2964
120.483398 93.827 147.2469
120.849609 93.799 147.2559
121.215820 93.776 147.2991
121.582031 93.760 147.3507
121.948242 93.750 147.3857
122.314453 93.743 147.3817
122.680664 93.736 147.3264
123.046875 93.722 147.2271
123.413086 93.699 147.1127
123.779297 93.666 147.0226
124.145508 93.627 146.9869
124.511719 93.588 147.0123
124.877930 93.553 147.0836
125.244141 93.522 147.1775
125.610352 93.495 147.2774
125.976562 93.471 147.3794
126.342773 93.450 147.4885
126.708984 93.432 147.6106
127.075195 93.420 147.7447
127.441406 93.415 147.8779
127.807617 93.419 147.9869
128.173828 93.430 148.0439
128.540039 93.443 148.0292
128.906250 93.452 147.9443
129.272461 93.453 147.8154
129.638672 93.444 147.6836
130.004883 93.427 147.5851
130.371094 93.407 147.5358
130.737305 93.388 147.5291
131.103516 93.371 147.5485
131.469727 93.356 147.5821
131.835938 93.343 147.6254
132.202148 93.332 147.6720
132.568359 93.324 147.7068
132.934570 93.317 147.7118
133.300781 93.306 147.6822
133.666992 93.288 147.6382
134.033203 93.263 147.6148
134.399414 93.235 147.6357
134.765625 93.211 147.6915
135.131836 93.193 147.7442
135.498047 93.178 147.7601
135.864258 93.160 147.7428
136.230469 93.137 147.7351
136.596680 93.113 147.7823
136.962891 93.099 147.8843
137.329102 93.103 147.9782
137.695312 93.123 147.9749
138.061523 93.144 147.8257
138.427734 93.152 147.5636
138.793945 93.139 147.2876
139.160156 93.110 147.0986
139.526367 93.080 147.0369
139.892578 93.059 147.0629
140.258789 93.049 147.0998
140.625000 93.042 147.0998
140.991211 93.029 147.0831
141.357422 93.004 147.1159
141.723633 92.976 147.2542
142.089844 92.955 147.4958
142.456055 92.948 147.7817
142.822266 92.954 148.0395
143.188477 92.965 148.2288
143.554688 92.974 148.3521
143.920898 92.979 148.4269
144.287109 92.982 148.4524
144.653320 92.981 148.4014
145.019531 92.971 148.2448
145.385742 92.941 147.9863
145.751953 92.881 147.6837
146.118164 92.789 147.4408
146.484375 92.670 147.3787
146.850586 92.541 147.5967
147.216797 92.427 148.1272
147.583008 92.359 148.8986
147.949219 92.353 149.7308
148.315430 92.410 150.3896
148.681641 92.507 150.6882
149.047852 92.609 150.5735
149.414062 92.684 150.1421
149.780273 92.718 149.5823
150.146484 92.718 149.0760
150.512695 92.703 148.7112
150.878906 92.694 148.4503
151.245117 92.694 148.1832
151.611328 92.690 147.8334
