* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), no input selected, L, volume: no control. Timing signal peak level -22.3 dBFS, measurement signal peak level -9.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -36.7 dBFS using an acoustic timing reference
* Dated: Nov 17, 2024 10:18:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0635 ms (-22 mm, -0.86 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -25.3 ppm
* Measurement: IMP R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 88.099, -45.6363
1.015000, 88.365, -46.2675
1.030000, 88.627, -46.8989
1.044000, 88.866, -47.4895
1.060000, 89.134, -48.1673
1.075000, 89.379, -48.8061
1.090000, 89.617, -49.4472
1.106000, 89.864, -50.1214
1.120000, 90.078, -50.6827
1.138000, 90.352, -51.3542
1.150000, 90.534, -51.7723
1.172000, 90.865, -52.4894
1.180000, 90.984, -52.7393
1.206000, 91.369, -53.5042
1.220000, 91.574, -53.8905
1.241000, 91.876, -54.4433
1.250000, 92.005, -54.6721
1.265000, 92.216, -55.0445
1.280000, 92.424, -55.4078
1.315000, 92.896, -56.2318
1.320000, 92.962, -56.3478
1.340000, 93.221, -56.8099
1.360000, 93.471, -57.2701
1.380000, 93.714, -57.7697
1.400000, 93.947, -58.2881
1.430000, 94.279, -59.0785
1.450000, 94.488, -59.6148
1.475000, 94.732, -60.2818
1.500000, 94.956, -60.9069
1.525000, 95.159, -61.4779
1.550000, 95.345, -62.0020
1.575000, 95.515, -62.5054
1.600000, 95.672, -63.0100
1.625000, 95.818, -63.4928
1.650000, 95.956, -63.9609
1.675000, 96.087, -64.4203
1.700000, 96.214, -64.8766
1.725000, 96.340, -65.3345
1.750000, 96.466, -65.7981
1.775000, 96.595, -66.2850
1.800000, 96.730, -66.8115
1.825000, 96.871, -67.3485
1.850000, 97.017, -67.8831
1.875000, 97.165, -68.3961
1.900000, 97.311, -68.8835
1.925000, 97.458, -69.3484
1.950000, 97.603, -69.7944
1.975000, 97.748, -70.2364
2.000000, 97.891, -70.6885
2.030000, 98.062, -71.2203
2.060000, 98.231, -71.7469
2.090000, 98.399, -72.2734
2.120000, 98.565, -72.8047
2.140000, 98.674, -73.1637
2.180000, 98.890, -73.9164
2.200000, 98.997, -74.3170
2.240000, 99.207, -75.1080
2.270000, 99.363, -75.6817
2.300000, 99.517, -76.2387
2.330000, 99.670, -76.7812
2.360000, 99.820, -77.3124
2.400000, 100.018, -78.0455
2.430000, 100.164, -78.5946
2.470000, 100.356, -79.3241
2.500000, 100.498, -79.8730
2.540000, 100.685, -80.6118
2.580000, 100.868, -81.3724
2.620000, 101.049, -82.1576
2.650000, 101.182, -82.7368
2.690000, 101.356, -83.4960
2.720000, 101.485, -84.0558
2.760000, 101.654, -84.7896
2.800000, 101.820, -85.5493
2.850000, 102.022, -86.4947
2.900000, 102.220, -87.4354
2.950000, 102.412, -88.3769
3.000000, 102.599, -89.3437
3.040000, 102.745, -90.1205
3.070000, 102.852, -90.6971
3.110000, 102.992, -91.4566
3.150000, 103.129, -92.2048
3.200000, 103.296, -93.1537
3.250000, 103.458, -94.1009
3.300000, 103.616, -95.0370
3.350000, 103.769, -95.9690
3.400000, 103.916, -96.9233
3.450000, 104.059, -97.8788
3.500000, 104.197, -98.8187
3.550000, 104.331, -99.7384
