* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.910. Timing signal peak level -13.1 dBFS, measurement signal peak level -11.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 16, 2023 3:04:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1139 ms (-39 mm, -1.54 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Flipears Aether R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.349 -179.7430
20.299999 97.348 179.8771
20.600000 97.346 179.5005
20.900000 97.342 179.1302
21.200001 97.337 178.7687
21.400000 97.333 178.5336
21.799999 97.325 178.0773
22.000000 97.321 177.8553
22.400000 97.313 177.4210
22.700001 97.308 177.1009
23.000000 97.303 176.7826
23.299999 97.298 176.4643
23.600000 97.293 176.1468
24.000000 97.287 175.7278
24.299999 97.283 175.4194
24.700001 97.277 175.0151
25.000000 97.274 174.7129
25.400000 97.270 174.3043
25.799999 97.265 173.8845
26.200001 97.257 173.4581
26.500000 97.248 173.1425
26.900000 97.234 172.7401
27.200001 97.223 172.4576
27.600000 97.210 172.1065
28.000000 97.199 171.7737
28.500000 97.191 171.3597
29.000000 97.184 170.9266
29.500000 97.177 170.4719
30.000000 97.167 170.0069
30.400000 97.156 169.6362
30.700001 97.146 169.3618
31.100000 97.132 169.0021
31.500000 97.117 168.6500
32.000000 97.099 168.2197
32.500000 97.082 167.7976
33.000000 97.065 167.3784
33.500000 97.049 166.9566
34.000000 97.033 166.5322
34.500000 97.018 166.1118
35.000000 97.002 165.7029
35.500000 96.987 165.3073
36.000000 96.972 164.9205
36.500000 96.958 164.5385
37.000000 96.943 164.1616
37.500000 96.929 163.7896
38.200001 96.909 163.2689
38.700001 96.892 162.8942
39.500000 96.861 162.3111
40.000000 96.842 161.9642
40.599998 96.821 161.5487
41.200001 96.800 161.1118
41.799999 96.775 160.6637
42.500000 96.742 160.1664
43.099998 96.717 159.7690
43.700001 96.697 159.3717
44.400002 96.674 158.8857
45.000000 96.653 158.4574
45.500000 96.634 158.1052
46.200001 96.605 157.6309
46.799999 96.581 157.2448
47.500000 96.555 156.8132
48.200001 96.530 156.3942
48.700001 96.512 156.0992
49.400002 96.489 155.6868
50.000000 96.468 155.3286
50.799999 96.438 154.8479
51.500000 96.409 154.4370
52.200001 96.379 154.0375
53.000000 96.344 153.5860
53.799999 96.309 153.1374
54.500000 96.277 152.7468
55.200001 96.245 152.3571
56.000000 96.208 151.9169
57.000000 96.163 151.3800
58.000000 96.118 150.8470
59.000000 96.073 150.3125
60.000000 96.026 149.7899
60.799999 95.988 149.3851
61.500000 95.956 149.0355
62.200001 95.923 148.6878
63.000000 95.886 148.2950
64.000000 95.839 147.8107
65.000000 95.794 147.3245
66.000000 95.748 146.8373
67.000000 95.700 146.3644
68.000000 95.651 145.9119
69.000000 95.603 145.4732
70.000000 95.557 145.0377
71.000000 95.509 144.5999
72.000000 95.459 144.1700
73.000000 95.409 143.7485
74.000000 95.359 143.3269
75.000000 95.309 142.9111
76.199997 95.248 142.4258
77.500000 95.183 141.9123
78.800003 95.120 141.4088
80.000000 95.062 140.9504
81.199997 95.003 140.4949
82.500000 94.939 140.0085
83.800003 94.874 139.5351
85.000000 94.814 139.1115
86.199997 94.756 138.6965
87.500000 94.696 138.2496
88.500000 94.649 137.9091
90.000000 94.579 137.4096
91.199997 94.523 137.0182
92.500000 94.461 136.6017
93.800003 94.398 136.1975
95.000000 94.341 135.8340
96.199997 94.284 135.4753
97.500000 94.222 135.0893
98.800003 94.161 134.7040
100.000000 94.105 134.3512
101.500000 94.032 133.9211
103.000000 93.960 133.5045
104.400002 93.892 133.1255
106.000000 93.816 132.7022
107.500000 93.745 132.3137
109.000000 93.675 131.9343
110.599998 93.600 131.5371
112.000000 93.535 131.1925
113.800003 93.450 130.7519
115.000000 93.394 130.4607
117.199997 93.292 129.9388
118.000000 93.255 129.7543
120.599998 93.140 129.1815
122.000000 93.080 128.8857
124.099998 92.991 128.4513
125.000000 92.953 128.2682
126.500000 92.888 127.9680
128.000000 92.825 127.6747
131.500000 92.681 126.9800
132.000000 92.660 126.8808
134.000000 92.581 126.4934
136.000000 92.504 126.1267
138.000000 92.429 125.7798
140.000000 92.354 125.4417
143.000000 92.240 124.9421
145.000000 92.166 124.6151
147.500000 92.077 124.2019
150.000000 91.984 123.7941
152.500000 91.895 123.4362
155.000000 91.806 123.0944
157.500000 91.722 122.7499
160.000000 91.630 122.3517
162.500000 91.533 122.0600
165.000000 91.455 121.7737
167.500000 91.372 121.3812
170.000000 91.276 121.0490
172.500000 91.185 120.8136
175.000000 91.104 120.5992
177.500000 91.027 120.3339
180.000000 90.945 120.0323
182.500000 90.862 119.7355
185.000000 90.781 119.4738
187.500000 90.700 119.2978
190.000000 90.615 119.1616
192.500000 90.523 118.9343
195.000000 90.438 118.5743
197.500000 90.379 118.1856
200.000000 90.332 117.9032
203.000000 90.252 117.7665
206.000000 90.150 117.6085
209.000000 90.047 117.2910
212.000000 89.959 117.0195
214.000000 89.909 116.8925
218.000000 89.810 116.6498
220.000000 89.754 116.5190
224.000000 89.632 116.2227
227.000000 89.546 115.9547
230.000000 89.475 115.7025
233.000000 89.407 115.5237
236.000000 89.331 115.3873
240.000000 89.226 115.1719
243.000000 89.152 114.9971
247.000000 89.054 114.7850
250.000000 88.983 114.6247
254.000000 88.890 114.4202
258.000000 88.798 114.2437
262.000000 88.710 114.0720
265.000000 88.646 113.9401
269.000000 88.563 113.7682
272.000000 88.503 113.6401
276.000000 88.426 113.4698
280.000000 88.352 113.3155
285.000000 88.260 113.1430
290.000000 88.169 112.9896
295.000000 88.080 112.8452
300.000000 87.994 112.7021
304.000000 87.929 112.5851
307.000000 87.882 112.4969
311.000000 87.821 112.3852
315.000000 87.761 112.2878
320.000000 87.686 112.1841
325.000000 87.614 112.0893
330.000000 87.543 111.9962
335.000000 87.474 111.8998
340.000000 87.407 111.8077
345.000000 87.343 111.7239
350.000000 87.278 111.6601
355.000000 87.213 111.6017
360.000000 87.148 111.5460
365.000000 87.087 111.5019
370.000000 87.028 111.4621
375.000000 86.973 111.4205
382.000000 86.900 111.3627
387.000000 86.846 111.3371
395.000000 86.761 111.3101
400.000000 86.711 111.3026
406.000000 86.651 111.2922
412.000000 86.594 111.2629
418.000000 86.545 111.2406
425.000000 86.486 111.2671
431.000000 86.432 111.2958
437.000000 86.383 111.3317
444.000000 86.332 111.3701
450.000000 86.291 111.3888
455.000000 86.258 111.4182
462.000000 86.213 111.4868
468.000000 86.177 111.5543
475.000000 86.137 111.6196
482.000000 86.099 111.6717
487.000000 86.074 111.7279
494.000000 86.043 111.8464
500.000000 86.019 111.9660
508.000000 85.988 112.1009
515.000000 85.966 112.2020
522.000000 85.947 112.3286
530.000000 85.929 112.4996
538.000000 85.912 112.6640
545.000000 85.901 112.8030
552.000000 85.892 112.9524
560.000000 85.883 113.1399
570.000000 85.878 113.3831
580.000000 85.879 113.6097
590.000000 85.881 113.8668
600.000000 85.891 114.1439
608.000000 85.900 114.3599
615.000000 85.908 114.5527
622.000000 85.916 114.7536
630.000000 85.927 114.9919
640.000000 85.946 115.3003
650.000000 85.970 115.6095
660.000000 86.000 115.9188
670.000000 86.035 116.2358
680.000000 86.075 116.5645
690.000000 86.118 116.8927
700.000000 86.164 117.2212
710.000000 86.213 117.5634
720.000000 86.268 117.9200
730.000000 86.331 118.2753
740.000000 86.400 118.5946
750.000000 86.470 118.9094
762.000000 86.555 119.3196
775.000000 86.652 119.7689
788.000000 86.756 120.2050
800.000000 86.862 120.5938
812.000000 86.974 120.9713
825.000000 87.101 121.3747
838.000000 87.236 121.7627
850.000000 87.368 122.0997
862.000000 87.504 122.4179
875.000000 87.657 122.7438
885.000000 87.779 122.9714
900.000000 87.969 123.2738
912.000000 88.128 123.4820
925.000000 88.305 123.6677
938.000000 88.487 123.8095
950.000000 88.660 123.9000
962.000000 88.834 123.9478
975.000000 89.024 123.9501
988.000000 89.215 123.9077
1000.000000 89.396 123.8298
1015.000000 89.626 123.6528
1030.000000 89.858 123.3932
1044.000000 90.073 123.1066
1060.000000 90.315 122.7161
1075.000000 90.538 122.2664
1090.000000 90.763 121.7397
1106.000000 91.008 121.1129
1120.000000 91.222 120.5184
1138.000000 91.492 119.6806
1150.000000 91.667 119.0768
1172.000000 91.978 117.8908
1180.000000 92.088 117.4379
1206.000000 92.431 115.8966
1220.000000 92.610 115.0214
1241.000000 92.870 113.6616
1250.000000 92.978 113.0602
1265.000000 93.152 112.0371
1280.000000 93.319 110.9973
1315.000000 93.672 108.5110
1320.000000 93.718 108.1513
1340.000000 93.886 106.7104
1360.000000 94.024 105.2649
1380.000000 94.147 103.8160
1400.000000 94.271 102.3672
1430.000000 94.439 100.2196
1450.000000 94.535 98.8171
1475.000000 94.637 97.1017
1500.000000 94.719 95.4391
1525.000000 94.781 93.8422
1550.000000 94.823 92.3183
1575.000000 94.851 90.8718
1600.000000 94.867 89.5052
1625.000000 94.873 88.2217
1650.000000 94.871 87.0163
1675.000000 94.860 85.8883
1700.000000 94.842 84.8377
1725.000000 94.817 83.8660
1750.000000 94.788 82.9679
1775.000000 94.756 82.1405
1800.000000 94.721 81.3841
1825.000000 94.686 80.6957
1850.000000 94.649 80.0713
1875.000000 94.612 79.5067
1900.000000 94.575 79.0007
1925.000000 94.539 78.5513
1950.000000 94.504 78.1601
1975.000000 94.471 77.8350
2000.000000 94.442 77.5771
2030.000000 94.421 77.3494
2060.000000 94.421 77.1689
2090.000000 94.442 76.9312
2120.000000 94.472 76.5579
2140.000000 94.489 76.2437
2180.000000 94.504 75.5664
2200.000000 94.503 75.2431
2240.000000 94.492 74.6663
2270.000000 94.482 74.3029
2300.000000 94.477 73.9943
2330.000000 94.482 73.7200
2360.000000 94.500 73.4274
2400.000000 94.538 72.9204
2430.000000 94.568 72.4417
2470.000000 94.599 71.7110
2500.000000 94.614 71.1269
2540.000000 94.624 70.3267
2580.000000 94.627 69.5175
2620.000000 94.628 68.7110
2650.000000 94.633 68.0976
2690.000000 94.648 67.2202
2720.000000 94.662 66.4811
2760.000000 94.676 65.3690
2800.000000 94.678 64.1208
2850.000000 94.660 62.3993
2900.000000 94.616 60.5304
2950.000000 94.543 58.5366
3000.000000 94.439 56.4540
3040.000000 94.330 54.7495
3070.000000 94.234 53.4623
3110.000000 94.088 51.7479
3150.000000 93.921 50.0508
3200.000000 93.685 47.9796
3250.000000 93.423 45.9783
3300.000000 93.141 44.0457
3350.000000 92.842 42.1693
3400.000000 92.533 40.3410
3450.000000 92.216 38.5492
3500.000000 91.896 36.7701
3550.000000 91.573 34.9681
3600.000000 91.246 33.1017
3650.000000 90.918 31.1328
3700.000000 90.589 29.0185
3750.000000 90.256 26.7122
3820.000000 89.780 23.0669
3870.000000 89.436 20.0760
3950.000000 88.876 14.4470
4000.000000 88.520 10.2930
4060.000000 88.088 4.5433
4120.000000 87.654 -2.1407
4180.000000 87.223 -9.8312
4250.000000 86.743 -20.0727
4310.000000 86.377 -29.8271
4370.000000 86.082 -40.2656
4440.000000 85.875 -52.9074
4500.000000 85.841 -63.7565
4550.000000 85.908 -72.5532
4620.000000 86.121 -84.1589
4680.000000 86.378 -93.2209
4750.000000 86.720 -102.5923
4820.000000 87.073 -110.6173
4870.000000 87.322 -115.5521
4940.000000 87.662 -121.4375
5000.000000 87.948 -125.6432
5080.000000 88.326 -130.2634
5150.000000 88.656 -133.5866
5220.000000 88.982 -136.4193
5300.000000 89.345 -139.2445
5380.000000 89.686 -141.8079
5450.000000 89.950 -143.9420
5520.000000 90.153 -145.9670
5600.000000 90.267 -147.7947
5700.000000 90.329 -148.1030
5800.000000 90.749 -146.6573
5900.000000 91.430 -147.2653
6000.000000 91.979 -149.6324
6080.000000 92.310 -152.4915
6150.000000 92.432 -155.5695
6220.000000 92.371 -158.5364
