* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.880. Timing signal peak level -16.9 dBFS, measurement signal peak level -15.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 11, 2023 4:49:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0605 ms (-21 mm, -0.82 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Hidizs MP145 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.436 -45.9231
1.015000 68.106 -44.3344
1.030000 68.746 -42.8459
1.044000 69.312 -41.5541
1.060000 69.913 -40.2019
1.075000 70.428 -39.0628
1.090000 70.890 -38.0566
1.106000 71.322 -37.5443
1.120000 71.672 -37.5677
1.138000 72.092 -37.6286
1.150000 72.354 -37.6866
1.172000 72.800 -37.8249
1.180000 72.952 -37.8844
1.206000 73.410 -38.1056
1.220000 73.636 -38.2396
1.241000 73.950 -38.4551
1.250000 74.077 -38.5515
1.265000 74.278 -38.7157
1.280000 74.468 -38.8824
1.315000 74.874 -39.2685
1.320000 74.929 -39.3221
1.340000 75.139 -39.5293
1.360000 75.341 -39.7211
1.380000 75.537 -39.8920
1.400000 75.730 -40.0368
1.430000 76.021 -40.1933
1.450000 76.219 -40.2495
1.475000 76.475 -40.2038
1.500000 76.714 -39.9728
1.525000 76.932 -39.6346
1.550000 77.130 -39.2079
1.575000 77.312 -38.7118
1.600000 77.480 -38.1651
1.625000 77.635 -37.5869
1.650000 77.781 -36.9960
1.675000 77.919 -36.4115
1.700000 78.052 -35.8522
1.725000 78.181 -35.3372
1.750000 78.311 -34.8852
1.775000 78.442 -34.5154
1.800000 78.577 -34.2466
1.825000 78.719 -34.0978
1.850000 78.865 -34.0745
1.875000 79.008 -34.1483
1.900000 79.148 -34.3073
1.925000 79.285 -34.5405
1.950000 79.419 -34.8370
1.975000 79.551 -35.1858
2.000000 79.682 -35.5762
2.030000 79.837 -36.0839
2.060000 79.990 -36.6167
2.090000 80.143 -37.1558
2.120000 80.297 -37.6821
2.140000 80.399 -38.0167
2.180000 80.606 -38.6215
2.200000 80.711 -38.8807
2.240000 80.922 -39.3611
2.270000 81.081 -39.7091
2.300000 81.241 -40.0494
2.330000 81.400 -40.3848
2.360000 81.560 -40.7177
2.400000 81.771 -41.1623
2.430000 81.928 -41.4997
2.470000 82.135 -41.9600
2.500000 82.287 -42.3162
2.540000 82.488 -42.8111
2.580000 82.683 -43.3321
2.620000 82.875 -43.8657
2.650000 83.017 -44.2726
2.690000 83.203 -44.8253
2.720000 83.341 -45.2484
2.760000 83.523 -45.8253
2.800000 83.702 -46.4182
2.850000 83.921 -47.1846
2.900000 84.137 -47.9819
2.950000 84.348 -48.8168
3.000000 84.556 -49.7151
3.040000 84.719 -50.4712
3.070000 84.839 -51.0528
3.110000 84.997 -51.8389
3.150000 85.153 -52.6270
3.200000 85.343 -53.5980
3.250000 85.530 -54.5333
3.300000 85.711 -55.4112
3.350000 85.889 -56.2260
3.400000 86.061 -56.9945
3.450000 86.230 -57.7327
3.500000 86.394 -58.4567
3.550000 86.554 -59.1826
3.600000 86.710 -59.9262
3.650000 86.863 -60.7037
3.700000 87.011 -61.5295
3.750000 87.155 -62.3991
3.820000 87.350 -63.6570
3.870000 87.485 -64.5610
3.950000 87.694 -65.9685
4.000000 87.820 -66.7967
4.060000 87.968 -67.7144
4.120000 88.111 -68.5647
4.180000 88.250 -69.3667
4.250000 88.406 -70.2631
4.310000 88.536 -71.0171
4.370000 88.663 -71.7751
4.440000 88.808 -72.6815
4.500000 88.928 -73.4678
4.550000 89.025 -74.1210
4.620000 89.159 -75.0198
4.680000 89.271 -75.7640
4.750000 89.401 -76.5866
4.820000 89.529 -77.3489
4.870000 89.619 -77.8617
4.940000 89.743 -78.5458
5.000000 89.849 -79.1100
5.080000 89.989 -79.8462
5.150000 90.111 -80.4881
5.220000 90.234 -81.1165
5.300000 90.373 -81.8151
5.380000 90.512 -82.4985
5.450000 90.634 -83.0885
5.520000 90.756 -83.6740
5.600000 90.897 -84.3276
5.700000 91.072 -85.1291
5.800000 91.247 -85.9301
5.900000 91.421 -86.7457
6.000000 91.594 -87.5653
6.080000 91.732 -88.2262
6.150000 91.850 -88.8127
6.220000 91.966 -89.4103
6.300000 92.096 -90.1106
6.400000 92.255 -91.0070
6.500000 92.409 -91.9148
6.600000 92.556 -92.8214
6.700000 92.696 -93.7303
6.800000 92.830 -94.6430
6.900000 92.957 -95.5498
7.000000 93.077 -96.4438
7.100000 93.190 -97.3354
7.200000 93.296 -98.2146
7.300000 93.397 -99.0661
7.400000 93.493 -99.8811
7.500000 93.583 -100.6680
7.620000 93.686 -101.5743
7.750000 93.794 -102.5067
7.880000 93.899 -103.3844
8.000000 93.993 -104.1578
8.120000 94.090 -104.9042
8.250000 94.194 -105.6720
8.380000 94.299 -106.4229
8.500000 94.398 -107.1191
8.620000 94.497 -107.8078
8.750000 94.604 -108.5613
8.850000 94.685 -109.1566
9.000000 94.806 -110.0680
9.120000 94.898 -110.8091
9.250000 94.994 -111.6254
9.380000 95.086 -112.4565
9.500000 95.163 -113.2203
9.620000 95.232 -113.9769
9.750000 95.298 -114.7928
9.880000 95.353 -115.5805
10.000000 95.392 -116.2756
10.150000 95.426 -117.1068
10.300000 95.454 -117.8766
10.440000 95.470 -118.5332
10.600000 95.488 -119.2325
10.750000 95.511 -119.8433
10.900000 95.537 -120.4174
11.060000 95.573 -121.0363
11.200000 95.611 -121.5777
11.380000 95.664 -122.2950
11.500000 95.700 -122.7928
11.720000 95.768 -123.7372
11.800000 95.792 -124.0922
12.060000 95.867 -125.2780
12.200000 95.903 -125.9214
12.410000 95.953 -126.8860
12.500000 95.973 -127.2855
12.650000 96.001 -127.9367
12.800000 96.028 -128.5674
13.150000 96.089 -129.9487
13.200000 96.098 -130.1414
13.400000 96.136 -130.8982
13.600000 96.174 -131.6551
13.800000 96.213 -132.4218
14.000000 96.246 -133.1958
14.300000 96.283 -134.3568
14.500000 96.295 -135.0964
14.750000 96.302 -135.9357
15.000000 96.304 -136.6619
15.250000 96.313 -137.2665
15.500000 96.335 -137.7947
15.750000 96.371 -138.2838
16.000000 96.420 -138.8068
16.250000 96.473 -139.4090
16.500000 96.523 -140.0942
16.750000 96.561 -140.8484
17.000000 96.583 -141.5953
17.250000 96.592 -142.2914
17.500000 96.591 -142.8808
17.750000 96.592 -143.3502
18.000000 96.602 -143.7297
18.250000 96.627 -144.0554
18.500000 96.668 -144.4095
18.750000 96.719 -144.8232
19.000000 96.775 -145.3247
19.250000 96.825 -145.9016
19.500000 96.866 -146.5138
19.750000 96.898 -147.1299
20.000000 96.922 -147.7034
20.299999 96.949 -148.3332
20.600000 96.979 -148.9163
20.900000 97.015 -149.4920
21.200001 97.052 -150.1009
21.400000 97.075 -150.5274
21.799999 97.108 -151.3915
22.000000 97.118 -151.8056
22.400000 97.134 -152.5532
22.700001 97.148 -153.0491
23.000000 97.171 -153.5353
23.299999 97.198 -154.0694
23.600000 97.223 -154.6765
24.000000 97.237 -155.5781
24.299999 97.227 -156.2499
24.700001 97.187 -157.0184
25.000000 97.149 -157.4426
25.400000 97.107 -157.8082
25.799999 97.090 -158.0413
26.200001 97.104 -158.2683
26.500000 97.129 -158.4905
26.900000 97.178 -158.8947
27.200001 97.221 -159.2982
27.600000 97.279 -159.9898
28.000000 97.323 -160.8516
28.500000 97.339 -162.0471
29.000000 97.306 -163.1001
29.500000 97.256 -163.7923
30.000000 97.236 -164.1697
30.400000 97.256 -164.4246
30.700001 97.285 -164.6728
31.100000 97.328 -165.1131
31.500000 97.363 -165.6376
32.000000 97.388 -166.2976
32.500000 97.398 -166.8725
33.000000 97.406 -167.3474
33.500000 97.418 -167.7554
34.000000 97.438 -168.1596
34.500000 97.462 -168.6388
35.000000 97.474 -169.2174
35.500000 97.461 -169.8135
36.000000 97.430 -170.3067
36.500000 97.401 -170.6715
37.000000 97.386 -171.0052
37.500000 97.382 -171.4068
38.200001 97.368 -172.0680
38.700001 97.352 -172.5320
39.500000 97.330 -173.2386
40.000000 97.316 -173.6687
40.599998 97.298 -174.1211
41.200001 97.290 -174.4896
41.799999 97.297 -174.8627
42.500000 97.310 -175.3890
43.099998 97.312 -175.8796
43.700001 97.308 -176.3689
44.400002 97.292 -176.9370
45.000000 97.269 -177.3919
45.500000 97.247 -177.7233
46.200001 97.225 -178.1488
46.799999 97.213 -178.5384
47.500000 97.202 -179.0342
48.200001 97.191 -179.5379
48.700001 97.183 -179.8954
49.400002 97.174 179.6155
50.000000 97.167 179.2235
50.799999 97.163 178.7101
51.500000 97.156 178.2175
52.200001 97.132 177.7390
53.000000 97.092 177.3345
53.799999 97.062 177.0389
54.500000 97.046 176.7629
55.200001 97.034 176.4483
56.000000 97.027 176.0260
57.000000 97.016 175.3286
58.000000 96.972 174.5844
59.000000 96.912 174.1336
60.000000 96.891 173.8781
60.799999 96.889 173.5224
61.500000 96.867 173.1479
62.200001 96.826 172.8708
63.000000 96.782 172.6821
64.000000 96.747 172.4502
65.000000 96.727 172.0538
66.000000 96.698 171.4056
67.000000 96.638 170.7276
68.000000 96.578 170.2531
69.000000 96.549 169.8575
70.000000 96.535 169.4135
71.000000 96.518 168.9879
72.000000 96.498 168.6336
73.000000 96.471 168.3068
74.000000 96.430 168.0294
75.000000 96.387 167.8224
76.199997 96.346 167.5276
77.500000 96.300 167.0354
78.800003 96.247 166.5850
80.000000 96.221 166.2165
81.199997 96.192 165.8226
82.500000 96.141 165.5754
83.800003 96.085 165.4772
85.000000 96.017 165.3842
86.199997 95.934 165.4034
87.500000 95.902 165.3811
88.500000 95.901 164.9122
90.000000 95.847 163.9321
91.199997 95.793 163.2899
92.500000 95.731 162.8480
93.800003 95.683 162.6932
95.000000 95.649 162.5925
96.199997 95.603 162.4412
97.500000 95.538 162.2610
98.800003 95.477 162.0260
100.000000 95.422 161.7346
101.500000 95.352 161.4607
103.000000 95.304 161.3331
104.400002 95.271 161.1992
106.000000 95.220 160.9435
107.500000 95.158 160.6927
109.000000 95.096 160.3963
110.599998 95.034 160.1279
112.000000 94.984 159.9063
113.800003 94.914 159.7066
115.000000 94.866 159.5915
117.199997 94.770 159.4240
118.000000 94.740 159.3898
120.599998 94.695 159.3962
122.000000 94.718 159.2568
124.099998 94.729 158.6511
125.000000 94.713 158.3579
126.500000 94.661 157.9395
128.000000 94.588 157.6663
131.500000 94.371 157.4868
132.000000 94.337 157.4994
134.000000 94.220 157.5629
136.000000 94.140 157.4627
138.000000 94.083 157.1773
140.000000 94.033 156.8877
143.000000 93.964 156.8406
145.000000 93.915 156.9844
147.500000 93.829 157.1269
150.000000 93.726 156.9847
152.500000 93.646 156.8200
155.000000 93.603 156.7491
157.500000 93.537 156.7663
160.000000 93.454 156.7051
162.500000 93.386 156.5791
165.000000 93.342 156.5686
167.500000 93.278 156.6733
170.000000 93.194 156.7200
172.500000 93.101 156.5981
175.000000 93.008 156.6478
177.500000 92.950 156.7373
180.000000 92.905 156.6487
182.500000 92.855 156.6195
185.000000 92.769 156.7790
187.500000 92.649 156.9775
190.000000 92.553 156.9240
192.500000 92.503 156.7063
195.000000 92.467 156.7026
197.500000 92.422 156.9001
200.000000 92.368 157.0231
203.000000 92.298 157.0718
206.000000 92.225 157.2036
209.000000 92.149 157.3864
212.000000 92.087 157.5578
214.000000 92.048 157.6311
218.000000 91.962 157.8164
220.000000 91.930 157.9360
224.000000 91.851 158.0098
227.000000 91.771 158.1419
230.000000 91.718 158.3156
233.000000 91.660 158.4488
236.000000 91.597 158.5756
240.000000 91.532 158.7201
243.000000 91.480 158.9251
247.000000 91.402 159.3140
250.000000 91.343 159.4522
254.000000 91.260 159.5784
258.000000 91.208 159.9804
262.000000 91.129 160.1416
265.000000 91.012 160.3118
269.000000 90.868 160.6581
272.000000 90.804 160.6080
276.000000 90.786 160.4376
