* Measurement data measured by REW V5.31.1
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -11.3 dBFS, measurement signal peak level -11.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: May 25, 2024 6:38:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0664 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.1 ppm
* Measurement: Hidizs MP145 S2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 68.442, -26.8592
1.015000, 68.836, -27.3896
1.030000, 69.224, -27.9360
1.044000, 69.580, -28.4613
1.060000, 69.980, -29.0805
1.075000, 70.349, -29.6791
1.090000, 70.712, -30.2923
1.106000, 71.091, -30.9431
1.120000, 71.416, -31.4790
1.138000, 71.824, -32.1056
1.150000, 72.089, -32.4875
1.172000, 72.563, -33.1291
1.180000, 72.731, -33.3496
1.206000, 73.262, -34.0147
1.220000, 73.538, -34.3465
1.241000, 73.942, -34.8184
1.250000, 74.110, -35.0132
1.265000, 74.386, -35.3305
1.280000, 74.654, -35.6408
1.315000, 75.255, -36.3510
1.320000, 75.338, -36.4520
1.340000, 75.663, -36.8574
1.360000, 75.977, -37.2662
1.380000, 76.280, -37.7198
1.400000, 76.573, -38.1975
1.430000, 76.994, -38.9363
1.450000, 77.262, -39.4440
1.475000, 77.581, -40.0786
1.500000, 77.875, -40.6684
1.525000, 78.141, -41.1997
1.550000, 78.384, -41.6817
1.575000, 78.605, -42.1421
1.600000, 78.808, -42.6041
1.625000, 78.995, -43.0458
1.650000, 79.171, -43.4747
1.675000, 79.336, -43.8973
1.700000, 79.496, -44.3193
1.725000, 79.652, -44.7455
1.750000, 79.808, -45.1800
1.775000, 79.967, -45.6403
1.800000, 80.131, -46.1423
1.825000, 80.303, -46.6566
1.850000, 80.480, -47.1689
1.875000, 80.657, -47.6591
1.900000, 80.831, -48.1229
1.925000, 81.003, -48.5635
1.950000, 81.172, -48.9846
1.975000, 81.339, -49.4013
2.000000, 81.504, -49.8277
2.030000, 81.699, -50.3280
2.060000, 81.891, -50.8224
2.090000, 82.080, -51.3159
2.120000, 82.267, -51.8132
2.140000, 82.390, -52.1487
2.180000, 82.633, -52.8527
2.200000, 82.753, -53.2278
2.240000, 82.990, -53.9658
2.270000, 83.164, -54.4986
2.300000, 83.335, -55.0135
2.330000, 83.503, -55.5130
2.360000, 83.669, -56.0000
2.400000, 83.886, -56.6723
2.430000, 84.047, -57.1742
2.470000, 84.257, -57.8380
2.500000, 84.412, -58.3353
2.540000, 84.616, -59.0014
2.580000, 84.816, -59.6848
2.620000, 85.013, -60.3887
2.650000, 85.158, -60.9049
2.690000, 85.347, -61.5778
2.720000, 85.487, -62.0715
2.760000, 85.670, -62.7154
2.800000, 85.849, -63.3832
2.850000, 86.068, -64.2101
2.900000, 86.283, -65.0274
2.950000, 86.492, -65.8390
3.000000, 86.695, -66.6679
3.040000, 86.854, -67.3299
3.070000, 86.971, -67.8186
3.110000, 87.124, -68.4592
3.150000, 87.274, -69.0872
3.200000, 87.457, -69.8844
3.250000, 87.635, -70.6785
3.300000, 87.810, -71.4585
3.350000, 87.979, -72.2277
3.400000, 88.144, -73.0118
3.450000, 88.304, -73.7923
3.500000, 88.460, -74.5553
3.550000, 88.612, -75.2982
3.600000, 88.761, -76.0470
3.650000, 88.906, -76.7878
3.700000, 89.048, -77.5144
3.750000, 89.186, -78.2317
3.820000, 89.373, -79.2448
3.870000, 89.503, -79.9563
3.950000, 89.704, -81.0555
4.000000, 89.826, -81.7402
4.060000, 89.969, -82.5519
4.120000, 90.107, -83.3477
4.180000, 90.241, -84.1341
4.250000, 90.392, -85.0549
4.310000, 90.518, -85.8167
4.370000, 90.641, -86.5553
4.440000, 90.780, -87.4173
4.500000, 90.896, -88.1401
4.550000, 90.990, -88.7302
4.620000, 91.117, -89.5578
4.680000, 91.224, -90.2491
4.750000, 91.346, -91.0255
4.820000, 91.465, -91.7967
4.870000, 91.547, -92.3393
4.940000, 91.660, -93.0802
5.000000, 91.755, -93.7108
5.080000, 91.878, -94.5339
5.150000, 91.983, -95.2257
5.220000, 92.086, -95.9163
5.300000, 92.200, -96.6897
5.380000, 92.312, -97.4400
5.450000, 92.407, -98.0942
5.520000, 92.501, -98.7251
5.600000, 92.604, -99.4343
5.700000, 92.730, -100.3081
5.800000, 92.852, -101.1537
5.900000, 92.972, -101.9822
6.000000, 93.090, -102.7864
6.080000, 93.182, -103.4220
6.150000, 93.261, -103.9602
6.220000, 93.338, -104.5011
6.300000, 93.425, -105.1070
6.400000, 93.531, -105.8502
6.500000, 93.635, -106.5860
6.600000, 93.737, -107.3055
6.700000, 93.837, -108.0239
6.800000, 93.935, -108.7290
6.900000, 94.030, -109.4290
7.000000, 94.122, -110.1133
7.100000, 94.210, -110.7940
7.200000, 94.296, -111.4617
7.300000, 94.379, -112.1221
7.400000, 94.460, -112.7671
7.500000, 94.539, -113.4059
7.620000, 94.631, -114.1556
7.750000, 94.726, -114.9457
7.880000, 94.816, -115.7252
8.000000, 94.895, -116.4217
8.120000, 94.973, -117.1027
