* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -19.0 dBFS, measurement signal peak level -14.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 23, 2024 6:57:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0626 ms (-21 mm, -0.85 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Hisenior Mega5EST R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.786 -37.7309
1.015000 76.054 -36.2272
1.030000 76.316 -34.9087
1.044000 76.556 -33.8532
1.060000 76.822 -32.8636
1.075000 77.064 -32.1553
1.090000 77.297 -31.6686
1.106000 77.537 -31.4248
1.120000 77.743 -31.5585
1.138000 78.005 -32.2007
1.150000 78.178 -32.8986
1.172000 78.491 -34.6786
1.180000 78.603 -35.4711
1.206000 78.963 -38.5057
1.220000 79.152 -40.3892
1.241000 79.432 -43.4731
1.250000 79.550 -44.8715
1.265000 79.744 -47.2798
1.280000 79.934 -49.7581
1.315000 80.364 -55.6385
1.320000 80.424 -56.4729
1.340000 80.659 -59.7501
1.360000 80.886 -62.8756
1.380000 81.107 -65.7759
1.400000 81.319 -68.3773
1.430000 81.623 -71.5579
1.450000 81.816 -73.0899
1.475000 82.043 -74.2443
1.500000 82.254 -74.7628
1.525000 82.449 -74.7721
1.550000 82.628 -74.3458
1.575000 82.794 -73.5577
1.600000 82.948 -72.4816
1.625000 83.092 -71.1911
1.650000 83.227 -69.7601
1.675000 83.354 -68.2624
1.700000 83.476 -66.7716
1.725000 83.593 -65.3616
1.750000 83.707 -64.1061
1.775000 83.820 -63.0789
1.800000 83.933 -62.3536
1.825000 84.047 -62.0042
1.850000 84.161 -62.0371
1.875000 84.267 -62.3127
1.900000 84.367 -62.7936
1.925000 84.460 -63.4484
1.950000 84.549 -64.2458
1.975000 84.633 -65.1543
2.000000 84.715 -66.1426
2.030000 84.810 -67.3898
2.060000 84.904 -68.6523
2.090000 84.998 -69.8762
2.120000 85.094 -71.0070
2.140000 85.161 -71.6825
2.180000 85.300 -72.7728
2.200000 85.374 -73.1562
2.240000 85.528 -73.7043
2.270000 85.646 -73.9839
2.300000 85.766 -74.1696
2.330000 85.887 -74.2781
2.360000 86.010 -74.3264
2.400000 86.174 -74.3263
2.430000 86.298 -74.2997
2.470000 86.463 -74.2608
2.500000 86.586 -74.2511
2.540000 86.748 -74.2961
2.580000 86.909 -74.4296
2.620000 87.068 -74.5594
2.650000 87.187 -74.6446
2.690000 87.345 -74.7525
2.720000 87.463 -74.8365
2.760000 87.621 -74.9633
2.800000 87.778 -75.1191
2.850000 87.975 -75.3750
2.900000 88.172 -75.7232
2.950000 88.370 -76.1938
3.000000 88.570 -76.8256
3.040000 88.730 -77.4221
3.070000 88.850 -77.9055
3.110000 89.010 -78.5770
3.150000 89.170 -79.2551
3.200000 89.369 -80.0722
3.250000 89.565 -80.8073
3.300000 89.758 -81.4092
3.350000 89.950 -81.8416
3.400000 90.141 -82.1417
3.450000 90.331 -82.3663
3.500000 90.519 -82.5723
3.550000 90.703 -82.8164
3.600000 90.884 -83.1555
3.650000 91.061 -83.6463
3.700000 91.233 -84.3338
3.750000 91.402 -85.1909
3.820000 91.633 -86.5786
3.870000 91.794 -87.6345
3.950000 92.042 -89.2946
4.000000 92.192 -90.2344
4.060000 92.366 -91.1916
4.120000 92.533 -92.0071
4.180000 92.695 -92.7380
4.250000 92.876 -93.5518
4.310000 93.024 -94.2744
4.370000 93.166 -95.0740
4.440000 93.323 -96.1600
4.500000 93.450 -97.2001
4.550000 93.551 -98.1118
4.620000 93.685 -99.4084
4.680000 93.794 -100.4933
4.750000 93.916 -101.6698
4.820000 94.030 -102.7233
4.870000 94.107 -103.4282
4.940000 94.208 -104.3672
5.000000 94.290 -105.1430
5.080000 94.394 -106.1620
5.150000 94.481 -107.0624
5.220000 94.562 -107.9667
5.300000 94.649 -108.9878
5.380000 94.730 -109.9804
5.450000 94.800 -110.8133
5.520000 94.869 -111.6026
5.600000 94.944 -112.4536
5.700000 95.035 -113.4562
5.800000 95.123 -114.4090
5.900000 95.214 -115.3262
6.000000 95.304 -116.1851
6.080000 95.376 -116.8445
6.150000 95.439 -117.4160
6.220000 95.501 -117.9948
6.300000 95.574 -118.6677
6.400000 95.664 -119.5095
6.500000 95.754 -120.3478
6.600000 95.840 -121.1775
6.700000 95.924 -121.9946
6.800000 96.005 -122.8035
6.900000 96.082 -123.6120
7.000000 96.152 -124.4296
7.100000 96.217 -125.2669
7.200000 96.276 -126.1009
7.300000 96.329 -126.9028
7.400000 96.376 -127.6589
7.500000 96.416 -128.3857
7.620000 96.457 -129.2068
7.750000 96.498 -130.0173
7.880000 96.532 -130.7517
8.000000 96.562 -131.3593
8.120000 96.597 -131.8902
8.250000 96.637 -132.3708
8.380000 96.684 -132.7972
8.500000 96.738 -133.1675
8.620000 96.801 -133.4946
8.750000 96.877 -133.8554
8.850000 96.942 -134.1675
9.000000 97.052 -134.6599
9.120000 97.144 -135.1059
9.250000 97.245 -135.6694
9.380000 97.350 -136.3027
9.500000 97.440 -136.9445
9.620000 97.518 -137.6494
9.750000 97.595 -138.4811
9.880000 97.655 -139.3345
10.000000 97.689 -140.1358
10.150000 97.709 -141.1558
10.300000 97.708 -142.1122
10.440000 97.684 -142.9537
10.600000 97.642 -143.8260
10.750000 97.598 -144.5191
10.900000 97.549 -145.1103
11.060000 97.505 -145.6434
11.200000 97.472 -146.0186
11.380000 97.444 -146.4408
11.500000 97.435 -146.6847
11.720000 97.438 -147.1166
11.800000 97.446 -147.2916
12.060000 97.492 -147.9158
12.200000 97.523 -148.3324
12.410000 97.576 -149.0485
12.500000 97.595 -149.3823
12.650000 97.625 -149.9833
12.800000 97.650 -150.6086
13.150000 97.681 -152.0947
13.200000 97.684 -152.3011
13.400000 97.688 -153.1097
13.600000 97.689 -153.8760
13.800000 97.689 -154.5898
14.000000 97.691 -155.2727
14.300000 97.698 -156.2520
14.500000 97.704 -156.8961
14.750000 97.713 -157.6963
15.000000 97.721 -158.4909
15.250000 97.728 -159.2666
15.500000 97.734 -159.9990
15.750000 97.740 -160.6779
16.000000 97.749 -161.2963
16.250000 97.763 -161.8809
16.500000 97.784 -162.4497
16.750000 97.812 -163.0301
17.000000 97.843 -163.6377
17.250000 97.874 -164.2700
17.500000 97.900 -164.9206
17.750000 97.921 -165.5601
18.000000 97.936 -166.1743
18.250000 97.949 -166.7474
18.500000 97.963 -167.2786
18.750000 97.980 -167.7832
19.000000 98.003 -168.2759
19.250000 98.031 -168.7885
19.500000 98.060 -169.3320
19.750000 98.089 -169.9142
20.000000 98.112 -170.5298
20.299999 98.130 -171.2881
20.600000 98.137 -172.0385
20.900000 98.134 -172.7512
21.200001 98.126 -173.4067
21.400000 98.120 -173.8121
21.799999 98.110 -174.5651
22.000000 98.107 -174.9249
22.400000 98.108 -175.6396
22.700001 98.112 -176.1864
23.000000 98.118 -176.7490
23.299999 98.124 -177.3265
23.600000 98.129 -177.9144
24.000000 98.135 -178.7061
24.299999 98.138 -179.3008
24.700001 98.142 179.9071
25.000000 98.143 179.3133
25.400000 98.142 178.5230
25.799999 98.135 177.7448
26.200001 98.123 177.0028
26.500000 98.112 176.4886
26.900000 98.097 175.8736
27.200001 98.091 175.4600
27.600000 98.093 174.9410
28.000000 98.107 174.4029
28.500000 98.131 173.6348
29.000000 98.146 172.7624
29.500000 98.143 171.8673
30.000000 98.125 171.0397
30.400000 98.107 170.4415
30.700001 98.095 170.0177
31.100000 98.082 169.4615
31.500000 98.070 168.9004
32.000000 98.053 168.1936
32.500000 98.034 167.5011
33.000000 98.014 166.8333
33.500000 97.996 166.1803
34.000000 97.981 165.5297
34.500000 97.968 164.8805
35.000000 97.956 164.2319
35.500000 97.946 163.5692
36.000000 97.934 162.8758
36.500000 97.914 162.1645
37.000000 97.885 161.4836
37.500000 97.853 160.8716
38.200001 97.819 160.0911
38.700001 97.802 159.5125
39.500000 97.771 158.5191
40.000000 97.747 157.9118
40.599998 97.720 157.2102
41.200001 97.696 156.4959
41.799999 97.669 155.7798
42.500000 97.637 155.0042
43.099998 97.622 154.3535
43.700001 97.610 153.6358
44.400002 97.582 152.7562
45.000000 97.546 152.0755
45.500000 97.518 151.5679
46.200001 97.487 150.8644
46.799999 97.458 150.2424
47.500000 97.417 149.5668
48.200001 97.384 148.9567
48.700001 97.368 148.5073
49.400002 97.346 147.8049
50.000000 97.320 147.1666
50.799999 97.277 146.3482
51.500000 97.241 145.6495
52.200001 97.203 144.9146
53.000000 97.146 144.0878
53.799999 97.083 143.3894
54.500000 97.041 142.8431
55.200001 97.009 142.2581
56.000000 96.970 141.5265
57.000000 96.909 140.6375
58.000000 96.852 139.8350
59.000000 96.806 138.9663
60.000000 96.742 138.0335
60.799999 96.682 137.3892
61.500000 96.637 136.8786
62.200001 96.598 136.3454
63.000000 96.551 135.7086
64.000000 96.488 134.9510
65.000000 96.433 134.2002
66.000000 96.377 133.3747
67.000000 96.309 132.5625
68.000000 96.242 131.8101
69.000000 96.179 131.0701
70.000000 96.119 130.3369
71.000000 96.060 129.5998
72.000000 95.996 128.8977
73.000000 95.935 128.2510
74.000000 95.876 127.5980
75.000000 95.811 126.9397
76.199997 95.727 126.1947
77.500000 95.637 125.3977
78.800003 95.549 124.5754
80.000000 95.464 123.7873
81.199997 95.376 123.0599
82.500000 95.294 122.3307
83.800003 95.219 121.5783
85.000000 95.148 120.8707
86.199997 95.075 120.1752
87.500000 94.994 119.4439
88.500000 94.932 118.8869
90.000000 94.839 118.0814
91.199997 94.769 117.4674
92.500000 94.695 116.8000
93.800003 94.616 116.1348
95.000000 94.537 115.5589
96.199997 94.455 115.0273
97.500000 94.373 114.4656
98.800003 94.295 113.8457
100.000000 94.219 113.2628
101.500000 94.126 112.5826
103.000000 94.037 111.9373
104.400002 93.953 111.3482
106.000000 93.851 110.6797
107.500000 93.753 110.0642
109.000000 93.663 109.4401
110.599998 93.572 108.7520
112.000000 93.491 108.1954
113.800003 93.386 107.5805
115.000000 93.314 107.2058
117.199997 93.182 106.4869
118.000000 93.132 106.1900
120.599998 92.975 105.2924
122.000000 92.909 104.8285
124.099998 92.808 104.1371
125.000000 92.763 103.8525
126.500000 92.683 103.3799
128.000000 92.601 102.9314
131.500000 92.424 101.8468
132.000000 92.397 101.7014
134.000000 92.293 101.2033
136.000000 92.198 100.7724
138.000000 92.106 100.3305
140.000000 92.015 99.8734
143.000000 91.881 99.1923
145.000000 91.795 98.7461
147.500000 91.692 98.1509
150.000000 91.593 97.6136
152.500000 91.515 97.1173
155.000000 91.415 96.1943
157.500000 91.242 95.3893
160.000000 91.133 95.0586
162.500000 91.089 94.9374
165.000000 91.033 94.8725
167.500000 90.934 94.6646
170.000000 90.836 94.2385
172.500000 90.761 93.7364
175.000000 90.684 93.3715
177.500000 90.597 93.1185
180.000000 90.513 92.8237
182.500000 90.435 92.4898
185.000000 90.354 92.1783
187.500000 90.274 91.8712
190.000000 90.204 91.5520
192.500000 90.149 91.2805
195.000000 90.098 91.0269
197.500000 90.039 90.7727
200.000000 89.976 90.5090
203.000000 89.902 90.2141
206.000000 89.836 89.9744
209.000000 89.782 89.6983
212.000000 89.729 89.3708
214.000000 89.695 89.1582
218.000000 89.632 88.7876
220.000000 89.601 88.6300
224.000000 89.535 88.3186
227.000000 89.483 88.0857
230.000000 89.440 87.8326
233.000000 89.402 87.5220
236.000000 89.362 87.2233
240.000000 89.310 86.9714
243.000000 89.267 86.8095
247.000000 89.212 86.4953
250.000000 89.191 86.2252
254.000000 89.180 85.9104
258.000000 89.162 85.6661
262.000000 89.132 85.4470
265.000000 89.111 85.2377
269.000000 89.090 84.9249
272.000000 89.077 84.6842
276.000000 89.067 84.3790
280.000000 89.060 84.1188
285.000000 89.031 83.8096
290.000000 89.010 83.4571
