* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.880. Timing signal peak level -18.4 dBFS, measurement signal peak level -16.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 11, 2023 5:53:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0702 ms (-24 mm, -0.95 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Hyla CE-5 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 81.065 -98.1952
1.015000 81.643 -97.9819
1.030000 82.195 -97.7942
1.044000 82.683 -97.6436
1.060000 83.205 -97.5022
1.075000 83.654 -97.4010
1.090000 84.059 -97.3318
1.106000 84.441 -97.2967
1.120000 84.752 -97.3083
1.138000 85.125 -97.3795
1.150000 85.358 -97.4596
1.172000 85.754 -97.6677
1.180000 85.890 -97.7613
1.206000 86.297 -98.1232
1.220000 86.498 -98.3502
1.241000 86.778 -98.7252
1.250000 86.890 -98.8966
1.265000 87.068 -99.1938
1.280000 87.236 -99.5025
1.315000 87.593 -100.2484
1.320000 87.641 -100.3560
1.340000 87.824 -100.7841
1.360000 87.998 -101.2025
1.380000 88.166 -101.6029
1.400000 88.330 -101.9773
1.430000 88.572 -102.4727
1.450000 88.736 -102.7470
1.475000 88.945 -103.0167
1.500000 89.136 -103.2339
1.525000 89.305 -103.4121
1.550000 89.454 -103.5577
1.575000 89.587 -103.6769
1.600000 89.704 -103.7760
1.625000 89.809 -103.8613
1.650000 89.904 -103.9390
1.675000 89.990 -104.0155
1.700000 90.071 -104.0970
1.725000 90.148 -104.1898
1.750000 90.224 -104.3002
1.775000 90.301 -104.4344
1.800000 90.382 -104.5988
1.825000 90.468 -104.7996
1.850000 90.558 -105.0381
1.875000 90.644 -105.3040
1.900000 90.725 -105.5935
1.925000 90.802 -105.9035
1.950000 90.876 -106.2307
1.975000 90.948 -106.5718
2.000000 91.017 -106.9237
2.030000 91.098 -107.3555
2.060000 91.177 -107.7926
2.090000 91.256 -108.2292
2.120000 91.336 -108.6597
2.140000 91.390 -108.9407
2.180000 91.500 -109.4805
2.200000 91.558 -109.7361
2.240000 91.675 -110.2329
2.270000 91.764 -110.5990
2.300000 91.854 -110.9605
2.330000 91.944 -111.3182
2.360000 92.034 -111.6730
2.400000 92.153 -112.1429
2.430000 92.242 -112.4940
2.470000 92.357 -112.9619
2.500000 92.442 -113.3137
2.540000 92.551 -113.7856
2.580000 92.655 -114.2618
2.620000 92.755 -114.7387
2.650000 92.828 -115.0962
2.690000 92.923 -115.5728
2.720000 92.992 -115.9303
2.760000 93.083 -116.4074
2.800000 93.171 -116.8851
2.850000 93.279 -117.4835
2.900000 93.385 -118.0836
2.950000 93.489 -118.6871
3.000000 93.591 -119.3017
3.040000 93.670 -119.7992
3.070000 93.728 -120.1737
3.110000 93.805 -120.6723
3.150000 93.879 -121.1673
3.200000 93.971 -121.7762
3.250000 94.060 -122.3686
3.300000 94.147 -122.9383
3.350000 94.232 -123.4825
3.400000 94.315 -124.0055
3.450000 94.395 -124.5132
3.500000 94.473 -125.0111
3.550000 94.549 -125.5048
3.600000 94.623 -126.0000
3.650000 94.696 -126.5022
3.700000 94.767 -127.0155
3.750000 94.835 -127.5362
3.820000 94.929 -128.2697
3.870000 94.993 -128.7911
3.950000 95.094 -129.6092
4.000000 95.155 -130.1040
4.060000 95.228 -130.6745
4.120000 95.299 -131.2207
4.180000 95.369 -131.7494
4.250000 95.448 -132.3528
4.310000 95.514 -132.8659
4.370000 95.579 -133.3824
4.440000 95.652 -133.9953
4.500000 95.713 -134.5245
4.550000 95.762 -134.9657
4.620000 95.830 -135.5800
4.680000 95.886 -136.1002
4.750000 95.950 -136.6956
4.820000 96.013 -137.2762
4.870000 96.056 -137.6838
4.940000 96.116 -138.2462
5.000000 96.165 -138.7221
5.080000 96.229 -139.3503
5.150000 96.283 -139.8963
5.220000 96.334 -140.4394
5.300000 96.390 -141.0542
5.380000 96.444 -141.6598
5.450000 96.489 -142.1796
5.520000 96.533 -142.6883
5.600000 96.580 -143.2588
5.700000 96.636 -143.9553
5.800000 96.690 -144.6309
5.900000 96.740 -145.2833
6.000000 96.788 -145.9129
6.080000 96.824 -146.4010
6.150000 96.854 -146.8171
6.220000 96.884 -147.2233
6.300000 96.918 -147.6750
6.400000 96.958 -148.2207
6.500000 96.997 -148.7463
6.600000 97.036 -149.2532
6.700000 97.074 -149.7378
6.800000 97.112 -150.2022
6.900000 97.151 -150.6540
7.000000 97.189 -151.0993
7.100000 97.229 -151.5328
7.200000 97.269 -151.9576
7.300000 97.308 -152.3790
7.400000 97.348 -152.7991
7.500000 97.389 -153.2146
7.620000 97.437 -153.7121
7.750000 97.487 -154.2566
7.880000 97.537 -154.8055
8.000000 97.581 -155.3139
8.120000 97.622 -155.8238
8.250000 97.665 -156.3795
8.380000 97.704 -156.9327
8.500000 97.737 -157.4377
8.620000 97.767 -157.9398
8.750000 97.797 -158.4743
8.850000 97.818 -158.8751
9.000000 97.845 -159.4630
9.120000 97.865 -159.9195
9.250000 97.886 -160.3971
9.380000 97.906 -160.8582
9.500000 97.922 -161.2739
9.620000 97.936 -161.6815
9.750000 97.948 -162.1124
9.880000 97.955 -162.5380
10.000000 97.953 -162.9289
10.150000 97.943 -163.4120
10.300000 97.925 -163.8868
10.440000 97.901 -164.3224
10.600000 97.868 -164.8116
10.750000 97.838 -165.2620
10.900000 97.806 -165.7043
11.060000 97.771 -166.1679
11.200000 97.741 -166.5683
11.380000 97.703 -167.0613
11.500000 97.676 -167.3728
11.720000 97.629 -167.9138
11.800000 97.614 -168.0997
12.060000 97.570 -168.6732
12.200000 97.553 -168.9769
12.410000 97.532 -169.4277
12.500000 97.525 -169.6252
12.650000 97.515 -169.9577
12.800000 97.506 -170.2995
13.150000 97.487 -171.1489
13.200000 97.484 -171.2742
13.400000 97.472 -171.7895
13.600000 97.458 -172.3033
13.800000 97.441 -172.8091
14.000000 97.422 -173.2875
14.300000 97.390 -173.9433
14.500000 97.370 -174.3246
14.750000 97.352 -174.7533
15.000000 97.345 -175.1416
15.250000 97.354 -175.5352
15.500000 97.374 -175.9688
15.750000 97.402 -176.4630
16.000000 97.429 -177.0404
16.250000 97.449 -177.6919
16.500000 97.458 -178.3990
16.750000 97.452 -179.1272
17.000000 97.432 -179.8192
17.250000 97.399 179.5552
17.500000 97.357 179.0322
17.750000 97.316 178.6227
18.000000 97.280 178.3086
18.250000 97.255 178.0686
18.500000 97.244 177.8427
18.750000 97.246 177.5944
19.000000 97.258 177.2896
19.250000 97.272 176.9044
19.500000 97.283 176.4546
19.750000 97.286 175.9542
20.000000 97.279 175.4461
20.299999 97.257 174.8717
20.600000 97.228 174.3727
20.900000 97.199 173.9673
21.200001 97.177 173.6444
21.400000 97.170 173.4529
21.799999 97.175 173.0709
22.000000 97.186 172.8495
22.400000 97.218 172.2900
22.700001 97.243 171.7486
23.000000 97.258 171.1105
23.299999 97.255 170.4194
23.600000 97.232 169.7389
24.000000 97.171 168.9653
24.299999 97.115 168.5603
24.700001 97.046 168.2750
25.000000 97.014 168.1935
25.400000 97.005 168.1179
25.799999 97.025 167.9091
26.200001 97.050 167.4814
26.500000 97.059 167.0370
26.900000 97.046 166.3536
27.200001 97.017 165.8325
27.600000 96.955 165.1917
28.000000 96.870 164.6804
28.500000 96.750 164.3280
29.000000 96.655 164.3317
29.500000 96.629 164.4948
30.000000 96.677 164.3969
30.400000 96.734 163.9272
30.700001 96.765 163.3573
31.100000 96.772 162.4601
31.500000 96.742 161.5973
32.000000 96.680 160.7615
32.500000 96.632 160.1638
33.000000 96.609 159.6176
33.500000 96.597 159.0259
34.000000 96.582 158.4292
34.500000 96.566 157.8834
35.000000 96.553 157.3744
35.500000 96.537 156.8693
36.000000 96.513 156.3853
36.500000 96.481 155.9685
37.000000 96.450 155.6268
37.500000 96.426 155.3110
38.200001 96.400 154.7983
38.700001 96.377 154.3580
39.500000 96.321 153.6203
40.000000 96.280 153.1975
40.599998 96.236 152.7277
41.200001 96.201 152.2402
41.799999 96.166 151.7089
42.500000 96.120 151.0970
43.099998 96.084 150.6289
43.700001 96.058 150.1633
44.400002 96.028 149.5484
45.000000 95.988 149.0091
45.500000 95.948 148.6267
46.200001 95.901 148.1897
46.799999 95.876 147.7891
47.500000 95.846 147.2034
48.200001 95.800 146.6004
48.700001 95.763 146.2299
49.400002 95.720 145.7701
50.000000 95.693 145.3510
50.799999 95.654 144.7211
51.500000 95.606 144.1852
52.200001 95.552 143.7478
53.000000 95.501 143.3418
53.799999 95.466 142.8803
54.500000 95.431 142.3669
55.200001 95.381 141.8210
56.000000 95.313 141.2633
57.000000 95.236 140.6787
58.000000 95.185 140.0738
59.000000 95.138 139.3321
60.000000 95.070 138.6181
60.799999 95.016 138.1786
61.500000 94.976 137.8208
62.200001 94.933 137.4580
63.000000 94.876 137.1117
64.000000 94.817 136.7570
65.000000 94.768 136.2845
66.000000 94.708 135.7058
67.000000 94.639 135.0867
68.000000 94.563 134.4786
69.000000 94.493 133.9207
70.000000 94.438 133.3363
71.000000 94.381 132.6804
72.000000 94.310 132.1196
73.000000 94.254 131.6958
74.000000 94.205 131.2122
75.000000 94.138 130.7619
76.199997 94.060 130.3798
77.500000 93.985 129.9279
78.800003 93.908 129.4039
80.000000 93.830 128.8162
81.199997 93.745 128.2356
82.500000 93.663 127.6268
83.800003 93.585 126.9857
85.000000 93.512 126.4692
86.199997 93.450 126.0087
87.500000 93.386 125.4821
88.500000 93.331 125.0409
90.000000 93.232 124.4042
91.199997 93.144 123.9659
92.500000 93.058 123.6424
93.800003 93.000 123.3209
95.000000 92.949 122.9336
96.199997 92.890 122.5407
97.500000 92.823 122.1136
98.800003 92.751 121.6724
100.000000 92.684 121.2632
101.500000 92.600 120.7408
103.000000 92.518 120.2356
104.400002 92.437 119.7994
106.000000 92.345 119.3868
107.500000 92.262 119.0749
109.000000 92.192 118.6866
110.599998 92.103 118.1992
112.000000 92.030 117.8004
113.800003 91.933 117.1525
115.000000 91.857 116.7703
117.199997 91.751 116.2211
118.000000 91.722 115.9564
120.599998 91.587 115.1429
122.000000 91.523 114.9215
124.099998 91.450 114.5010
125.000000 91.415 114.2678
126.500000 91.350 113.8369
128.000000 91.278 113.3765
131.500000 91.103 112.3763
132.000000 91.078 112.2583
134.000000 90.985 111.9121
136.000000 90.913 111.6141
138.000000 90.839 111.2498
140.000000 90.759 110.8728
143.000000 90.650 110.2318
145.000000 90.564 109.7317
147.500000 90.470 109.1243
150.000000 90.389 108.5000
152.500000 90.300 108.0633
155.000000 90.219 107.9151
157.500000 90.135 107.4346
160.000000 90.006 106.9164
162.500000 89.918 106.5858
165.000000 89.848 106.1556
167.500000 89.760 105.7031
170.000000 89.670 105.2691
172.500000 89.565 104.9904
175.000000 89.456 104.9081
177.500000 89.379 104.8436
180.000000 89.321 104.5667
182.500000 89.261 104.1276
185.000000 89.175 103.5590
187.500000 89.088 102.9896
190.000000 89.013 102.4696
192.500000 88.942 102.1196
195.000000 88.886 101.8206
197.500000 88.827 101.4395
200.000000 88.767 101.2392
203.000000 88.687 101.0314
206.000000 88.539 100.9031
209.000000 88.399 100.8717
212.000000 88.311 100.5185
214.000000 88.274 100.0875
218.000000 88.219 99.2039
220.000000 88.191 98.8888
224.000000 88.087 98.2966
227.000000 87.965 98.1456
230.000000 87.883 98.1390
233.000000 87.823 97.9075
236.000000 87.763 97.5009
240.000000 87.704 96.9814
243.000000 87.667 96.7730
247.000000 87.589 96.4906
250.000000 87.509 96.2548
254.000000 87.412 95.9792
258.000000 87.350 95.5507
262.000000 87.284 95.1884
265.000000 87.228 95.0150
269.000000 87.170 94.6454
272.000000 87.133 94.4187
276.000000 87.068 94.3908
280.000000 86.971 94.4505
285.000000 86.856 94.3409
290.000000 86.811 94.0265
295.000000 86.726 93.5480
300.000000 86.603 92.7438
