* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -17.8 dBFS, measurement signal peak level -15.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 24, 2023 1:46:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0621 ms (-21 mm, -0.84 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Intime Sora Light 2019 CP145 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 81.705 -94.4435
1.015000 82.472 -95.1138
1.030000 83.203 -95.7530
1.044000 83.845 -96.3189
1.060000 84.526 -96.9262
1.075000 85.104 -97.4545
1.090000 85.617 -97.9400
1.106000 86.090 -98.4068
1.120000 86.469 -98.7688
1.138000 86.918 -99.1739
1.150000 87.195 -99.4091
1.172000 87.660 -99.7746
1.180000 87.816 -99.8882
1.206000 88.278 -100.1949
1.220000 88.501 -100.3251
1.241000 88.805 -100.4826
1.250000 88.926 -100.5382
1.265000 89.114 -100.6179
1.280000 89.288 -100.6844
1.315000 89.650 -100.8082
1.320000 89.698 -100.8242
1.340000 89.880 -100.8895
1.360000 90.052 -100.9627
1.380000 90.218 -101.0524
1.400000 90.381 -101.1669
1.430000 90.631 -101.4035
1.450000 90.806 -101.6167
1.475000 91.036 -101.9556
1.500000 91.250 -102.3410
1.525000 91.441 -102.7587
1.550000 91.611 -103.2037
1.575000 91.763 -103.6707
1.600000 91.898 -104.1545
1.625000 92.020 -104.6500
1.650000 92.131 -105.1520
1.675000 92.233 -105.6553
1.700000 92.328 -106.1547
1.725000 92.419 -106.6450
1.750000 92.509 -107.1211
1.775000 92.599 -107.5778
1.800000 92.692 -108.0098
1.825000 92.791 -108.4121
1.850000 92.893 -108.7833
1.875000 92.990 -109.1315
1.900000 93.081 -109.4599
1.925000 93.169 -109.7713
1.950000 93.252 -110.0686
1.975000 93.332 -110.3546
2.000000 93.409 -110.6322
2.030000 93.499 -110.9582
2.060000 93.587 -111.2810
2.090000 93.674 -111.6056
2.120000 93.760 -111.9368
2.140000 93.819 -112.1637
2.180000 93.937 -112.6388
2.200000 93.998 -112.8898
2.240000 94.122 -113.4085
2.270000 94.215 -113.8067
2.300000 94.308 -114.2113
2.330000 94.400 -114.6209
2.360000 94.492 -115.0343
2.400000 94.613 -115.5892
2.430000 94.702 -116.0063
2.470000 94.817 -116.5613
2.500000 94.902 -116.9749
2.540000 95.010 -117.5205
2.580000 95.114 -118.0578
2.620000 95.213 -118.5956
2.650000 95.285 -119.0000
2.690000 95.377 -119.5387
2.720000 95.444 -119.9414
2.760000 95.531 -120.4750
2.800000 95.616 -121.0030
2.850000 95.718 -121.6522
2.900000 95.819 -122.2856
2.950000 95.917 -122.8995
3.000000 96.012 -123.4919
3.040000 96.085 -123.9530
3.070000 96.139 -124.2930
3.110000 96.209 -124.7405
3.150000 96.277 -125.1837
3.200000 96.360 -125.7354
3.250000 96.440 -126.2891
3.300000 96.518 -126.8496
3.350000 96.593 -127.4205
3.400000 96.664 -127.9984
3.450000 96.733 -128.5777
3.500000 96.800 -129.1529
3.550000 96.864 -129.7185
3.600000 96.927 -130.2688
3.650000 96.988 -130.7985
3.700000 97.046 -131.3032
3.750000 97.103 -131.7860
3.820000 97.178 -132.4338
3.870000 97.229 -132.8830
3.950000 97.309 -133.5909
4.000000 97.357 -134.0340
4.060000 97.414 -134.5728
4.120000 97.469 -135.1147
4.180000 97.523 -135.6549
4.250000 97.583 -136.2773
4.310000 97.633 -136.7993
4.370000 97.681 -137.3061
4.440000 97.737 -137.8732
4.500000 97.782 -138.3398
4.550000 97.819 -138.7180
4.620000 97.870 -139.2362
4.680000 97.912 -139.6744
4.750000 97.961 -140.1846
4.820000 98.009 -140.6957
4.870000 98.042 -141.0582
4.940000 98.089 -141.5611
5.000000 98.128 -141.9872
5.080000 98.179 -142.5472
5.150000 98.223 -143.0283
5.220000 98.266 -143.4994
5.300000 98.314 -144.0280
5.380000 98.361 -144.5496
5.450000 98.402 -145.0031
5.520000 98.442 -145.4561
5.600000 98.486 -145.9700
5.700000 98.541 -146.6070
5.800000 98.594 -147.2402
5.900000 98.645 -147.8718
6.000000 98.695 -148.5020
6.080000 98.733 -149.0038
6.150000 98.765 -149.4405
6.220000 98.796 -149.8742
6.300000 98.830 -150.3669
6.400000 98.870 -150.9789
6.500000 98.908 -151.5845
6.600000 98.944 -152.1814
6.700000 98.977 -152.7716
6.800000 99.008 -153.3545
6.900000 99.037 -153.9251
7.000000 99.064 -154.4791
7.100000 99.089 -155.0182
7.200000 99.112 -155.5432
7.300000 99.134 -156.0540
7.400000 99.156 -156.5499
7.500000 99.176 -157.0310
7.620000 99.200 -157.5906
7.750000 99.226 -158.1765
7.880000 99.252 -158.7383
8.000000 99.276 -159.2426
8.120000 99.300 -159.7397
8.250000 99.327 -160.2660
8.380000 99.354 -160.7849
8.500000 99.379 -161.2623
8.620000 99.403 -161.7361
8.750000 99.429 -162.2453
8.850000 99.448 -162.6348
9.000000 99.474 -163.2162
9.120000 99.494 -163.6741
9.250000 99.515 -164.1598
9.380000 99.535 -164.6366
9.500000 99.551 -165.0660
9.620000 99.564 -165.4831
9.750000 99.576 -165.9225
9.880000 99.582 -166.3508
10.000000 99.581 -166.7362
10.150000 99.573 -167.2050
10.300000 99.560 -167.6648
10.440000 99.543 -168.0817
10.600000 99.522 -168.5593
10.750000 99.505 -169.0184
10.900000 99.489 -169.4868
11.060000 99.471 -170.0123
11.200000 99.456 -170.4956
11.380000 99.431 -171.1272
11.500000 99.411 -171.5553
11.720000 99.369 -172.3324
11.800000 99.351 -172.6049
12.060000 99.287 -173.4553
12.200000 99.251 -173.8742
12.410000 99.195 -174.4514
12.500000 99.172 -174.6754
12.650000 99.132 -175.0157
12.800000 99.095 -175.3267
13.150000 99.021 -175.9592
13.200000 99.012 -176.0459
13.400000 98.982 -176.3827
13.600000 98.958 -176.7252
13.800000 98.939 -177.0820
14.000000 98.922 -177.4558
14.300000 98.897 -178.0444
14.500000 98.878 -178.4403
14.750000 98.855 -178.9263
15.000000 98.833 -179.3989
15.250000 98.818 -179.8666
15.500000 98.806 179.6580
15.750000 98.797 179.1671
16.000000 98.788 178.6498
16.250000 98.774 178.1095
16.500000 98.755 177.5563
16.750000 98.730 177.0097
17.000000 98.700 176.4949
17.250000 98.668 176.0200
17.500000 98.636 175.5934
17.750000 98.606 175.2046
18.000000 98.579 174.8409
18.250000 98.557 174.4876
18.500000 98.538 174.1287
18.750000 98.520 173.7619
19.000000 98.502 173.3851
19.250000 98.484 173.0051
19.500000 98.465 172.6293
19.750000 98.444 172.2631
20.000000 98.423 171.9106
20.299999 98.398 171.4997
20.600000 98.374 171.0942
20.900000 98.351 170.6844
21.200001 98.327 170.2634
21.400000 98.309 169.9779
21.799999 98.269 169.4078
22.000000 98.245 169.1319
22.400000 98.195 168.6188
22.700001 98.157 168.2786
23.000000 98.122 167.9744
23.299999 98.093 167.6872
23.600000 98.071 167.3942
24.000000 98.048 166.9623
24.299999 98.032 166.5970
24.700001 98.005 166.0701
25.000000 97.980 165.6716
25.400000 97.940 165.1704
25.799999 97.898 164.7172
26.200001 97.859 164.2945
26.500000 97.832 163.9820
26.900000 97.795 163.5652
27.200001 97.767 163.2595
27.600000 97.728 162.8743
28.000000 97.692 162.5153
28.500000 97.652 162.0671
29.000000 97.613 161.5729
29.500000 97.565 161.0422
30.000000 97.506 160.5384
30.400000 97.454 160.1831
30.700001 97.416 159.9410
31.100000 97.367 159.6318
31.500000 97.321 159.3244
32.000000 97.263 158.9422
32.500000 97.206 158.5754
33.000000 97.152 158.2244
33.500000 97.100 157.8777
34.000000 97.053 157.5312
34.500000 97.010 157.1840
35.000000 96.971 156.8219
35.500000 96.932 156.4276
36.000000 96.887 156.0115
36.500000 96.836 155.6107
37.000000 96.781 155.2516
37.500000 96.728 154.9247
38.200001 96.653 154.4818
38.700001 96.599 154.1772
39.500000 96.510 153.7371
40.000000 96.458 153.4759
40.599998 96.396 153.1581
41.200001 96.335 152.8456
41.799999 96.275 152.5425
42.500000 96.208 152.1783
43.099998 96.151 151.8563
43.700001 96.092 151.5505
44.400002 96.026 151.2175
45.000000 95.972 150.9330
45.500000 95.925 150.6963
46.200001 95.859 150.3814
46.799999 95.804 150.1264
47.500000 95.741 149.8338
48.200001 95.677 149.5529
48.700001 95.631 149.3626
49.400002 95.569 149.0999
50.000000 95.515 148.8728
50.799999 95.441 148.5821
51.500000 95.375 148.3445
52.200001 95.311 148.1131
53.000000 95.237 147.8578
53.799999 95.163 147.6185
54.500000 95.100 147.4094
55.200001 95.038 147.1903
56.000000 94.965 146.9422
57.000000 94.874 146.6613
58.000000 94.787 146.3921
59.000000 94.701 146.1360
60.000000 94.618 145.8964
60.799999 94.551 145.6968
61.500000 94.490 145.5314
62.200001 94.428 145.3949
63.000000 94.358 145.2755
64.000000 94.279 145.1485
65.000000 94.209 144.9714
66.000000 94.134 144.7146
67.000000 94.046 144.4697
68.000000 93.956 144.3029
69.000000 93.873 144.1751
70.000000 93.797 144.0371
71.000000 93.720 143.8757
72.000000 93.641 143.7165
73.000000 93.559 143.5872
74.000000 93.479 143.4875
75.000000 93.403 143.4034
76.199997 93.316 143.2811
77.500000 93.219 143.1512
78.800003 93.126 143.0325
80.000000 93.040 142.9136
81.199997 92.954 142.8150
82.500000 92.862 142.7274
83.800003 92.772 142.6453
85.000000 92.689 142.5975
86.199997 92.611 142.5674
87.500000 92.529 142.5335
88.500000 92.466 142.5050
90.000000 92.370 142.4554
91.199997 92.292 142.4307
92.500000 92.211 142.4032
93.800003 92.133 142.3569
95.000000 92.061 142.3152
96.199997 91.990 142.2952
97.500000 91.915 142.2901
98.800003 91.839 142.2949
100.000000 91.766 142.3120
101.500000 91.676 142.3500
103.000000 91.589 142.3707
104.400002 91.509 142.3698
106.000000 91.421 142.3780
107.500000 91.340 142.4250
109.000000 91.262 142.4816
110.599998 91.175 142.5196
112.000000 91.094 142.5728
113.800003 90.999 142.6808
115.000000 90.942 142.7288
117.199997 90.829 142.8292
118.000000 90.784 142.8920
120.599998 90.636 143.1559
122.000000 90.564 143.2327
124.099998 90.469 143.3458
125.000000 90.441 143.3984
126.500000 90.397 143.5029
128.000000 90.352 143.7343
131.500000 90.272 144.0510
132.000000 90.246 143.9961
134.000000 90.111 143.9189
136.000000 90.002 144.0307
138.000000 89.925 144.1522
140.000000 89.850 144.3387
143.000000 89.730 144.6765
145.000000 89.648 144.8470
147.500000 89.556 145.0468
150.000000 89.475 145.2581
152.500000 89.392 145.5038
155.000000 89.310 145.7401
157.500000 89.229 145.9747
160.000000 89.149 146.2162
162.500000 89.069 146.4312
165.000000 88.986 146.6380
167.500000 88.907 146.9030
170.000000 88.835 147.2037
172.500000 88.761 147.4935
175.000000 88.684 147.7556
177.500000 88.610 147.9986
180.000000 88.541 148.2517
182.500000 88.472 148.5289
185.000000 88.400 148.8192
187.500000 88.329 149.0954
190.000000 88.261 149.3591
192.500000 88.195 149.6259
195.000000 88.129 149.8980
197.500000 88.067 150.1675
200.000000 88.013 150.4176
203.000000 87.949 150.7371
206.000000 87.883 151.0921
209.000000 87.819 151.4321
212.000000 87.755 151.7866
214.000000 87.715 152.0247
218.000000 87.632 152.4507
220.000000 87.591 152.6635
224.000000 87.516 153.0923
227.000000 87.458 153.4417
230.000000 87.400 153.8164
233.000000 87.345 154.1775
236.000000 87.290 154.5131
240.000000 87.218 154.9404
243.000000 87.170 155.2516
247.000000 87.109 155.6800
250.000000 87.064 156.0120
254.000000 87.007 156.4667
258.000000 86.948 156.9645
262.000000 86.889 157.4435
265.000000 86.846 157.7471
269.000000 86.792 158.1438
272.000000 86.754 158.4616
276.000000 86.706 158.8928
280.000000 86.659 159.3420
285.000000 86.604 159.9380
290.000000 86.552 160.4794
295.000000 86.502 160.9708
300.000000 86.453 161.4657
