* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.730. Timing signal peak level -18.7 dBFS, measurement signal peak level -18.1 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 7, 2023 2:47:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0582 ms (-20 mm, -0.79 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 119.8 ppm
* Measurement: KATO Steel CP145 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 81.155 104.8935
1.015000 81.206 105.0608
1.030000 81.251 105.1558
1.044000 81.287 105.1736
1.060000 81.323 105.1038
1.075000 81.350 104.9444
1.090000 81.370 104.6879
1.106000 81.383 104.3058
1.120000 81.385 103.9074
1.138000 81.375 103.3173
1.150000 81.361 102.8755
1.172000 81.321 101.9667
1.180000 81.303 101.6048
1.206000 81.229 100.3147
1.220000 81.182 99.5486
1.241000 81.104 98.3075
1.250000 81.068 97.7421
1.265000 81.006 96.7558
1.280000 80.941 95.7151
1.315000 80.785 93.0788
1.320000 80.762 92.6788
1.340000 80.673 91.0213
1.360000 80.586 89.2732
1.380000 80.504 87.4359
1.400000 80.427 85.5112
1.430000 80.329 82.4637
1.450000 80.277 80.3274
1.475000 80.227 77.5273
1.500000 80.174 74.4638
1.525000 80.116 71.1379
1.550000 80.054 67.5844
1.575000 79.993 63.8382
1.600000 79.935 59.9340
1.625000 79.883 55.9067
1.650000 79.839 51.7909
1.675000 79.807 47.6217
1.700000 79.790 43.4336
1.725000 79.790 39.2616
1.750000 79.811 35.1404
1.775000 79.855 31.1049
1.800000 79.924 27.1898
1.825000 80.023 23.4299
1.850000 80.155 19.7806
1.875000 80.322 16.0805
1.900000 80.520 12.3428
1.925000 80.744 8.5887
1.950000 80.992 4.8393
1.975000 81.259 1.1158
2.000000 81.540 -2.5606
2.030000 81.892 -6.8804
2.060000 82.254 -11.0654
2.090000 82.617 -15.0789
2.120000 82.975 -18.8845
2.140000 83.208 -21.2879
2.180000 83.650 -25.7253
2.200000 83.855 -27.7376
2.240000 84.261 -31.3455
2.270000 84.568 -33.7256
2.300000 84.876 -35.8624
2.330000 85.185 -37.7884
2.360000 85.491 -39.5359
2.400000 85.893 -41.6445
2.430000 86.189 -43.1018
2.470000 86.571 -44.9410
2.500000 86.848 -46.2846
2.540000 87.200 -48.0899
2.580000 87.530 -49.9541
2.620000 87.841 -51.6995
2.650000 88.064 -52.9118
2.690000 88.348 -54.4198
2.720000 88.552 -55.4836
2.760000 88.814 -56.8330
2.800000 89.065 -58.1271
2.850000 89.365 -59.7060
2.900000 89.654 -61.2888
2.950000 89.933 -62.9158
3.000000 90.195 -64.5304
3.040000 90.394 -65.7974
3.070000 90.536 -66.7320
3.110000 90.719 -67.9555
3.150000 90.894 -69.1512
3.200000 91.103 -70.6037
3.250000 91.305 -72.0055
3.300000 91.500 -73.3524
3.350000 91.686 -74.6302
3.400000 91.861 -75.8400
3.450000 92.027 -76.9962
3.500000 92.184 -78.1130
3.550000 92.334 -79.2045
3.600000 92.477 -80.2850
3.650000 92.616 -81.3686
3.700000 92.750 -82.4628
3.750000 92.876 -83.5551
3.820000 93.041 -85.0671
3.870000 93.152 -86.1258
3.950000 93.320 -87.7639
4.000000 93.420 -88.7423
4.060000 93.537 -89.8593
4.120000 93.647 -90.9147
4.180000 93.750 -91.9201
4.250000 93.864 -93.0462
4.310000 93.957 -93.9855
4.370000 94.048 -94.9137
4.440000 94.151 -95.9917
4.500000 94.235 -96.8986
4.550000 94.302 -97.6404
4.620000 94.393 -98.6561
4.680000 94.469 -99.5040
4.750000 94.556 -100.4650
4.820000 94.641 -101.3900
4.870000 94.700 -102.0272
4.940000 94.781 -102.8936
5.000000 94.849 -103.6190
5.080000 94.938 -104.5723
5.150000 95.015 -105.4027
5.220000 95.090 -106.2219
5.300000 95.174 -107.1421
5.380000 95.256 -108.0482
5.450000 95.326 -108.8323
5.520000 95.394 -109.6099
5.600000 95.471 -110.4876
5.700000 95.564 -111.5688
5.800000 95.654 -112.6360
5.900000 95.741 -113.6925
6.000000 95.824 -114.7370
6.080000 95.889 -115.5635
6.150000 95.943 -116.2801
6.220000 95.995 -116.9906
6.300000 96.053 -117.7968
6.400000 96.121 -118.7957
6.500000 96.186 -119.7787
6.600000 96.248 -120.7393
6.700000 96.307 -121.6768
6.800000 96.363 -122.5939
6.900000 96.416 -123.4906
7.000000 96.467 -124.3669
7.100000 96.516 -125.2233
7.200000 96.563 -126.0591
7.300000 96.609 -126.8733
7.400000 96.654 -127.6644
7.500000 96.698 -128.4323
7.620000 96.749 -129.3282
7.750000 96.804 -130.2727
7.880000 96.858 -131.1873
8.000000 96.906 -132.0085
8.120000 96.955 -132.8111
8.250000 97.007 -133.6571
8.380000 97.058 -134.4826
8.500000 97.104 -135.2298
8.620000 97.150 -135.9613
8.750000 97.198 -136.7367
8.850000 97.233 -137.3218
9.000000 97.285 -138.1811
9.120000 97.325 -138.8502
9.250000 97.368 -139.5545
9.380000 97.410 -140.2383
9.500000 97.446 -140.8537
9.620000 97.479 -141.4549
9.750000 97.513 -142.0895
9.880000 97.539 -142.7079
10.000000 97.556 -143.2663
10.150000 97.569 -143.9452
10.300000 97.575 -144.5941
10.440000 97.572 -145.1704
10.600000 97.565 -145.8020
10.750000 97.560 -146.3694
10.900000 97.554 -146.9152
11.060000 97.549 -147.4904
11.200000 97.546 -147.9878
11.380000 97.541 -148.6103
11.500000 97.537 -149.0133
11.720000 97.529 -149.7279
11.800000 97.527 -149.9789
12.060000 97.520 -150.7668
12.200000 97.517 -151.1808
12.410000 97.515 -151.7860
12.500000 97.514 -152.0382
12.650000 97.511 -152.4490
12.800000 97.508 -152.8492
13.150000 97.499 -153.7444
13.200000 97.498 -153.8691
13.400000 97.494 -154.3603
13.600000 97.491 -154.8413
13.800000 97.489 -155.3125
14.000000 97.486 -155.7786
14.300000 97.481 -156.4681
14.500000 97.475 -156.9178
14.750000 97.467 -157.4644
15.000000 97.459 -157.9924
15.250000 97.454 -158.5050
15.500000 97.450 -158.9989
15.750000 97.448 -159.4740
16.000000 97.445 -159.9328
16.250000 97.444 -160.3842
16.500000 97.444 -160.8308
16.750000 97.444 -161.2740
17.000000 97.446 -161.7119
17.250000 97.448 -162.1423
17.500000 97.450 -162.5622
17.750000 97.452 -162.9685
18.000000 97.453 -163.3620
18.250000 97.455 -163.7440
18.500000 97.457 -164.1160
18.750000 97.460 -164.4794
19.000000 97.464 -164.8355
19.250000 97.469 -165.1871
19.500000 97.473 -165.5320
19.750000 97.477 -165.8690
20.000000 97.480 -166.1953
20.299999 97.483 -166.5733
20.600000 97.486 -166.9385
20.900000 97.489 -167.2941
21.200001 97.491 -167.6445
21.400000 97.492 -167.8766
21.799999 97.491 -168.3376
22.000000 97.490 -168.5657
22.400000 97.486 -169.0140
22.700001 97.481 -169.3399
23.000000 97.476 -169.6562
23.299999 97.471 -169.9656
23.600000 97.466 -170.2701
24.000000 97.459 -170.6695
24.299999 97.454 -170.9619
24.700001 97.447 -171.3383
25.000000 97.442 -171.6091
25.400000 97.437 -171.9575
25.799999 97.435 -172.3011
26.200001 97.434 -172.6510
26.500000 97.434 -172.9190
26.900000 97.432 -173.2777
27.200001 97.429 -173.5406
27.600000 97.423 -173.8753
28.000000 97.418 -174.1915
28.500000 97.413 -174.5744
29.000000 97.408 -174.9571
29.500000 97.400 -175.3315
30.000000 97.390 -175.6777
30.400000 97.381 -175.9336
30.700001 97.375 -176.1214
31.100000 97.369 -176.3811
31.500000 97.363 -176.6592
32.000000 97.352 -177.0235
32.500000 97.337 -177.3785
33.000000 97.321 -177.7064
33.500000 97.306 -178.0159
34.000000 97.294 -178.3250
34.500000 97.283 -178.6391
35.000000 97.272 -178.9485
35.500000 97.261 -179.2438
36.000000 97.250 -179.5260
36.500000 97.241 -179.8024
37.000000 97.231 179.9222
37.500000 97.220 179.6495
38.200001 97.203 179.2799
38.700001 97.190 179.0263
39.500000 97.169 178.6321
40.000000 97.155 178.3879
40.599998 97.138 178.0970
41.200001 97.120 177.8132
41.799999 97.102 177.5367
42.500000 97.082 177.2163
43.099998 97.065 176.9464
43.700001 97.049 176.6902
44.400002 97.033 176.4029
45.000000 97.022 176.1485
45.500000 97.011 175.9269
46.200001 96.993 175.6175
46.799999 96.976 175.3693
47.500000 96.955 175.1018
48.200001 96.936 174.8442
48.700001 96.923 174.6588
49.400002 96.902 174.3974
50.000000 96.882 174.1808
50.799999 96.855 173.9135
51.500000 96.833 173.6926
52.200001 96.812 173.4721
53.000000 96.789 173.2238
53.799999 96.766 172.9935
54.500000 96.748 172.8065
55.200001 96.731 172.6246
56.000000 96.714 172.4225
57.000000 96.694 172.1708
58.000000 96.669 171.9160
59.000000 96.644 171.7277
60.000000 96.636 171.4919
60.799999 96.623 171.1766
61.500000 96.597 170.8971
62.200001 96.566 170.6786
63.000000 96.537 170.4658
64.000000 96.505 170.1919
65.000000 96.475 169.9221
66.000000 96.448 169.6545
67.000000 96.421 169.3912
68.000000 96.394 169.1365
69.000000 96.364 168.8910
70.000000 96.332 168.6600
71.000000 96.300 168.4394
72.000000 96.268 168.2224
73.000000 96.235 168.0068
74.000000 96.203 167.7883
75.000000 96.171 167.5665
76.199997 96.132 167.3058
77.500000 96.088 167.0386
78.800003 96.045 166.7872
80.000000 96.005 166.5635
81.199997 95.964 166.3487
82.500000 95.922 166.1246
83.800003 95.879 165.8978
85.000000 95.840 165.6944
86.199997 95.800 165.5045
87.500000 95.758 165.3151
88.500000 95.727 165.1746
90.000000 95.680 164.9583
91.199997 95.641 164.7894
92.500000 95.600 164.6160
93.800003 95.559 164.4435
95.000000 95.519 164.2875
96.199997 95.478 164.1411
97.500000 95.434 163.9901
98.800003 95.390 163.8432
100.000000 95.350 163.7157
101.500000 95.300 163.5651
103.000000 95.251 163.4178
104.400002 95.205 163.2876
106.000000 95.151 163.1482
107.500000 95.100 163.0267
109.000000 95.049 162.9049
110.599998 94.995 162.7758
112.000000 94.948 162.6696
113.800003 94.891 162.5410
115.000000 94.853 162.4681
117.199997 94.784 162.3820
118.000000 94.759 162.3629
120.599998 94.684 162.2658
122.000000 94.641 162.1696
124.099998 94.575 162.0377
125.000000 94.548 161.9865
126.500000 94.504 161.9070
128.000000 94.461 161.8349
131.500000 94.362 161.6925
132.000000 94.349 161.6754
134.000000 94.295 161.6146
136.000000 94.244 161.5584
138.000000 94.192 161.5060
140.000000 94.139 161.4615
143.000000 94.063 161.4014
145.000000 94.014 161.3730
147.500000 93.953 161.3416
150.000000 93.890 161.3259
152.500000 93.827 161.3199
155.000000 93.761 161.3205
157.500000 93.694 161.3370
160.000000 93.631 161.3528
162.500000 93.571 161.3715
165.000000 93.510 161.4123
167.500000 93.449 161.4623
170.000000 93.388 161.5179
172.500000 93.327 161.5781
175.000000 93.264 161.6398
177.500000 93.195 161.7067
180.000000 93.129 161.7813
182.500000 93.072 161.8513
185.000000 93.020 161.9131
187.500000 92.965 161.9892
190.000000 92.906 162.0875
192.500000 92.849 162.2003
195.000000 92.795 162.3094
197.500000 92.743 162.4187
200.000000 92.690 162.5367
203.000000 92.629 162.6907
206.000000 92.568 162.8394
209.000000 92.507 162.9885
212.000000 92.447 163.1409
214.000000 92.409 163.2406
218.000000 92.333 163.4532
220.000000 92.296 163.5637
224.000000 92.221 163.7764
227.000000 92.167 163.9357
230.000000 92.115 164.1109
233.000000 92.064 164.2971
236.000000 92.013 164.4852
240.000000 91.946 164.7523
243.000000 91.899 164.9437
247.000000 91.836 165.1824
250.000000 91.789 165.3662
254.000000 91.727 165.6195
258.000000 91.669 165.8835
262.000000 91.612 166.1549
265.000000 91.570 166.3607
269.000000 91.512 166.6378
272.000000 91.472 166.8505
276.000000 91.423 167.1336
280.000000 91.376 167.4112
285.000000 91.316 167.7631
290.000000 91.257 168.1317
