* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.730. Timing signal peak level -19.0 dBFS, measurement signal peak level -18.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 7, 2023 2:45:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0578 ms (-20 mm, -0.78 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 119.2 ppm
* Measurement: KATO Steel CP145 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 81.584 107.8013
1.015000 81.636 107.9094
1.030000 81.683 107.9488
1.044000 81.721 107.9185
1.060000 81.759 107.7985
1.075000 81.788 107.5972
1.090000 81.810 107.3042
1.106000 81.826 106.8892
1.120000 81.831 106.4665
1.138000 81.824 105.8504
1.150000 81.813 105.3944
1.172000 81.777 104.4658
1.180000 81.760 104.0985
1.206000 81.692 102.7971
1.220000 81.649 102.0287
1.241000 81.575 100.7883
1.250000 81.541 100.2247
1.265000 81.482 99.2432
1.280000 81.420 98.2091
1.315000 81.270 95.5950
1.320000 81.248 95.1988
1.340000 81.162 93.5576
1.360000 81.078 91.8274
1.380000 80.997 90.0090
1.400000 80.923 88.1036
1.430000 80.826 85.0848
1.450000 80.773 82.9666
1.475000 80.722 80.1881
1.500000 80.667 77.1536
1.525000 80.606 73.8647
1.550000 80.541 70.3545
1.575000 80.475 66.6563
1.600000 80.412 62.8032
1.625000 80.354 58.8283
1.650000 80.304 54.7649
1.675000 80.265 50.6460
1.700000 80.240 46.5049
1.725000 80.232 42.3746
1.750000 80.243 38.2884
1.775000 80.278 34.2793
1.800000 80.338 30.3807
1.825000 80.427 26.6255
1.850000 80.548 22.9690
1.875000 80.703 19.2530
1.900000 80.887 15.4913
1.925000 81.096 11.7060
1.950000 81.328 7.9188
1.975000 81.579 4.1517
2.000000 81.844 0.4265
2.030000 82.176 -3.9575
2.060000 82.518 -8.2117
2.090000 82.862 -12.2985
2.120000 83.204 -16.1799
2.140000 83.426 -18.6348
2.180000 83.850 -23.1755
2.200000 84.048 -25.2391
2.240000 84.442 -28.9582
2.270000 84.743 -31.4309
2.300000 85.046 -33.6664
2.330000 85.350 -35.6953
2.360000 85.654 -37.5485
2.400000 86.054 -39.7992
2.430000 86.348 -41.3619
2.470000 86.730 -43.3368
2.500000 87.006 -44.7765
2.540000 87.356 -46.6990
2.580000 87.684 -48.6651
2.620000 87.993 -50.5008
2.650000 88.215 -51.7747
2.690000 88.498 -53.3583
2.720000 88.702 -54.4747
2.760000 88.963 -55.8902
2.800000 89.214 -57.2471
2.850000 89.514 -58.9029
2.900000 89.802 -60.5635
2.950000 90.080 -62.2720
3.000000 90.342 -63.9677
3.040000 90.540 -65.2983
3.070000 90.682 -66.2798
3.110000 90.864 -67.5649
3.150000 91.039 -68.8212
3.200000 91.248 -70.3477
3.250000 91.449 -71.8218
3.300000 91.643 -73.2393
3.350000 91.829 -74.5862
3.400000 92.004 -75.8637
3.450000 92.169 -77.0859
3.500000 92.326 -78.2668
3.550000 92.475 -79.4203
3.600000 92.619 -80.5604
3.650000 92.757 -81.7013
3.700000 92.890 -82.8498
3.750000 93.016 -83.9932
3.820000 93.180 -85.5727
3.870000 93.290 -86.6771
3.950000 93.457 -88.3857
4.000000 93.557 -89.4072
4.060000 93.673 -90.5759
4.120000 93.781 -91.6826
4.180000 93.884 -92.7383
4.250000 93.997 -93.9206
4.310000 94.089 -94.9051
4.370000 94.179 -95.8749
4.440000 94.282 -96.9959
4.500000 94.365 -97.9354
4.550000 94.431 -98.7018
4.620000 94.521 -99.7488
4.680000 94.596 -100.6216
4.750000 94.682 -101.6104
4.820000 94.767 -102.5622
4.870000 94.826 -103.2172
4.940000 94.906 -104.1068
5.000000 94.974 -104.8503
5.080000 95.062 -105.8251
5.150000 95.139 -106.6716
5.220000 95.214 -107.5037
5.300000 95.298 -108.4354
5.380000 95.381 -109.3507
5.450000 95.451 -110.1418
5.520000 95.520 -110.9263
5.600000 95.598 -111.8106
5.700000 95.692 -112.8983
5.800000 95.784 -113.9705
5.900000 95.871 -115.0310
6.000000 95.956 -116.0782
6.080000 96.021 -116.9060
6.150000 96.076 -117.6232
6.220000 96.129 -118.3339
6.300000 96.187 -119.1399
6.400000 96.257 -120.1378
6.500000 96.322 -121.1187
6.600000 96.385 -122.0759
6.700000 96.443 -123.0092
6.800000 96.498 -123.9210
6.900000 96.551 -124.8107
7.000000 96.601 -125.6781
7.100000 96.649 -126.5237
7.200000 96.695 -127.3468
7.300000 96.740 -128.1469
7.400000 96.783 -128.9222
7.500000 96.825 -129.6725
7.620000 96.875 -130.5456
7.750000 96.927 -131.4639
7.880000 96.979 -132.3499
8.000000 97.025 -133.1439
8.120000 97.072 -133.9198
8.250000 97.123 -134.7367
8.380000 97.172 -135.5340
8.500000 97.217 -136.2568
8.620000 97.261 -136.9651
8.750000 97.307 -137.7173
8.850000 97.342 -138.2864
9.000000 97.391 -139.1242
9.120000 97.430 -139.7782
9.250000 97.471 -140.4682
9.380000 97.510 -141.1399
9.500000 97.545 -141.7453
9.620000 97.575 -142.3375
9.750000 97.606 -142.9635
9.880000 97.630 -143.5737
10.000000 97.644 -144.1248
10.150000 97.652 -144.7947
10.300000 97.654 -145.4342
10.440000 97.648 -146.0011
10.600000 97.637 -146.6215
10.750000 97.628 -147.1775
10.900000 97.619 -147.7113
11.060000 97.610 -148.2736
11.200000 97.604 -148.7595
11.380000 97.597 -149.3679
11.500000 97.591 -149.7621
11.720000 97.581 -150.4629
11.800000 97.578 -150.7099
12.060000 97.569 -151.4888
12.200000 97.566 -151.9012
12.410000 97.563 -152.5078
12.500000 97.561 -152.7619
12.650000 97.558 -153.1776
12.800000 97.554 -153.5839
13.150000 97.542 -154.4937
13.200000 97.540 -154.6200
13.400000 97.534 -155.1158
13.600000 97.529 -155.5968
13.800000 97.524 -156.0624
14.000000 97.519 -156.5181
14.300000 97.512 -157.1848
14.500000 97.507 -157.6177
14.750000 97.501 -158.1474
15.000000 97.496 -158.6657
15.250000 97.493 -159.1800
15.500000 97.491 -159.6854
15.750000 97.490 -160.1796
16.000000 97.487 -160.6598
16.250000 97.483 -161.1281
16.500000 97.479 -161.5843
16.750000 97.475 -162.0266
17.000000 97.474 -162.4552
17.250000 97.473 -162.8715
17.500000 97.475 -163.2769
17.750000 97.476 -163.6746
18.000000 97.478 -164.0669
18.250000 97.480 -164.4566
18.500000 97.482 -164.8424
18.750000 97.484 -165.2224
19.000000 97.486 -165.5947
19.250000 97.487 -165.9576
19.500000 97.489 -166.3091
19.750000 97.490 -166.6474
20.000000 97.492 -166.9722
20.299999 97.493 -167.3484
20.600000 97.496 -167.7144
20.900000 97.498 -168.0751
21.200001 97.500 -168.4336
21.400000 97.499 -168.6709
21.799999 97.497 -169.1378
22.000000 97.494 -169.3648
22.400000 97.487 -169.8007
22.700001 97.482 -170.1091
23.000000 97.477 -170.4029
23.299999 97.473 -170.6891
23.600000 97.471 -170.9744
24.000000 97.469 -171.3631
24.299999 97.468 -171.6648
24.700001 97.465 -172.0787
25.000000 97.460 -172.3906
25.400000 97.450 -172.7954
25.799999 97.438 -173.1745
26.200001 97.427 -173.5258
26.500000 97.420 -173.7781
26.900000 97.414 -174.1129
27.200001 97.410 -174.3706
27.600000 97.403 -174.7236
28.000000 97.394 -175.0739
28.500000 97.380 -175.4802
29.000000 97.369 -175.8465
29.500000 97.364 -176.2091
30.000000 97.359 -176.6096
30.400000 97.348 -176.9503
30.700001 97.334 -177.1969
31.100000 97.311 -177.4822
31.500000 97.289 -177.7047
32.000000 97.270 -177.9222
32.500000 97.265 -178.1459
33.000000 97.264 -178.4319
33.500000 97.257 -178.7676
34.000000 97.245 -179.1036
34.500000 97.230 -179.4132
35.000000 97.216 -179.7069
35.500000 97.201 179.9994
36.000000 97.183 179.7104
36.500000 97.164 179.4401
37.000000 97.144 179.1903
37.500000 97.124 178.9501
38.200001 97.097 178.6201
38.700001 97.076 178.3994
39.500000 97.044 178.0980
40.000000 97.027 177.9410
40.599998 97.012 177.7711
41.200001 97.005 177.5997
41.799999 97.001 177.4114
42.500000 96.999 177.1769
43.099998 97.000 176.9775
43.700001 97.005 176.7627
44.400002 97.013 176.4520
45.000000 97.012 176.1395
45.500000 97.005 175.8795
46.200001 96.989 175.5450
46.799999 96.975 175.2734
47.500000 96.957 174.9552
48.200001 96.937 174.6495
48.700001 96.923 174.4432
49.400002 96.905 174.1558
50.000000 96.891 173.9007
50.799999 96.871 173.5584
51.500000 96.853 173.2707
52.200001 96.836 172.9971
53.000000 96.817 172.6970
53.799999 96.798 172.4050
54.500000 96.780 172.1587
55.200001 96.761 171.9211
56.000000 96.736 171.6600
57.000000 96.702 171.3590
58.000000 96.666 171.0578
59.000000 96.622 170.8046
60.000000 96.593 170.6205
60.799999 96.582 170.3799
61.500000 96.565 170.0987
62.200001 96.540 169.8307
63.000000 96.510 169.5677
64.000000 96.477 169.2635
65.000000 96.445 168.9793
66.000000 96.416 168.7047
67.000000 96.384 168.4393
68.000000 96.351 168.1902
69.000000 96.316 167.9525
70.000000 96.280 167.7204
71.000000 96.246 167.4889
72.000000 96.210 167.2578
73.000000 96.174 167.0338
74.000000 96.140 166.8192
75.000000 96.107 166.6044
76.199997 96.066 166.3529
77.500000 96.021 166.0997
78.800003 95.976 165.8606
80.000000 95.935 165.6413
81.199997 95.893 165.4247
82.500000 95.848 165.1968
83.800003 95.803 164.9724
85.000000 95.763 164.7696
86.199997 95.723 164.5714
87.500000 95.679 164.3700
88.500000 95.645 164.2268
90.000000 95.596 164.0194
91.199997 95.558 163.8517
92.500000 95.516 163.6749
93.800003 95.474 163.5058
95.000000 95.434 163.3519
96.199997 95.392 163.2000
97.500000 95.346 163.0441
98.800003 95.299 162.8972
100.000000 95.257 162.7634
101.500000 95.204 162.6021
103.000000 95.153 162.4536
104.400002 95.106 162.3257
106.000000 95.053 162.1857
107.500000 95.002 162.0554
109.000000 94.951 161.9159
110.599998 94.895 161.7687
112.000000 94.846 161.6556
113.800003 94.783 161.5389
115.000000 94.741 161.4745
117.199997 94.663 161.3429
118.000000 94.632 161.2875
120.599998 94.537 161.1606
122.000000 94.498 161.0952
124.099998 94.443 160.9727
125.000000 94.418 160.9337
126.500000 94.376 160.8860
128.000000 94.334 160.8445
131.500000 94.234 160.7235
132.000000 94.219 160.7046
134.000000 94.164 160.6421
136.000000 94.112 160.5910
138.000000 94.061 160.5471
140.000000 94.009 160.5013
143.000000 93.932 160.4286
145.000000 93.882 160.3922
147.500000 93.820 160.3488
150.000000 93.756 160.3203
152.500000 93.692 160.3102
155.000000 93.628 160.3087
157.500000 93.564 160.3230
160.000000 93.499 160.3422
162.500000 93.435 160.3571
165.000000 93.372 160.3722
167.500000 93.310 160.3977
170.000000 93.245 160.4292
172.500000 93.177 160.4679
175.000000 93.113 160.5269
177.500000 93.056 160.6060
180.000000 93.000 160.6765
182.500000 92.936 160.7377
185.000000 92.868 160.8190
187.500000 92.801 160.9116
190.000000 92.740 161.0037
192.500000 92.684 161.0863
195.000000 92.629 161.1751
197.500000 92.575 161.2806
200.000000 92.521 161.3928
203.000000 92.456 161.5266
206.000000 92.393 161.6607
209.000000 92.331 161.8020
212.000000 92.271 161.9572
214.000000 92.230 162.0637
218.000000 92.150 162.2711
220.000000 92.112 162.3757
224.000000 92.036 162.5974
227.000000 91.980 162.7723
230.000000 91.925 162.9453
233.000000 91.872 163.1224
236.000000 91.821 163.3133
240.000000 91.756 163.5655
243.000000 91.702 163.7576
247.000000 91.631 164.0310
250.000000 91.584 164.2185
254.000000 91.525 164.4622
258.000000 91.463 164.7252
262.000000 91.401 164.9980
265.000000 91.357 165.2050
269.000000 91.300 165.4840
272.000000 91.258 165.6936
276.000000 91.206 165.9745
280.000000 91.155 166.2580
285.000000 91.092 166.6165
290.000000 91.029 166.9736
295.000000 90.970 167.3204
